t,p,q,d,b,a
2024-07-08,22750.0,82700.0,-82700.0,82700.0,0.0
2024-07-08,22800.0,763100.0,-228500.0,495800.0,267300.0
2024-07-08,22850.0,988600.0,-704200.0,846400.0,142200.0
2024-07-08,22900.0,2574600.0,-278600.0,1426600.0,1148000.0
2024-07-08,22950.0,1871900.0,720700.0,575600.0,1296300.0
2024-07-08,23000.0,962200.0,483600.0,239300.0,722900.0
2024-07-08,23050.0,724600.0,362400.0,181100.0,543500.0
2024-07-08,23100.0,134300.0,134300.0,0.0,134300.0
2024-07-09,22900.0,6700.0,-6700.0,6700.0,0.0
2024-07-09,22950.0,196000.0,-56200.0,126100.0,69900.0
2024-07-09,23000.0,531000.0,-26400.0,278700.0,252300.0
2024-07-09,23050.0,281700.0,132300.0,74700.0,207000.0
2024-07-09,23100.0,248200.0,228200.0,10000.0,238200.0
2024-07-09,23150.0,78300.0,76100.0,1100.0,77200.0
2024-07-09,23200.0,970100.0,-61500.0,515800.0,454300.0
2024-07-09,23250.0,1106800.0,139800.0,483500.0,623300.0
2024-07-09,23300.0,1979100.0,116100.0,931500.0,1047600.0
2024-07-09,23350.0,2993300.0,588700.0,1202300.0,1791000.0
2024-07-09,23400.0,3195200.0,1479600.0,857800.0,2337400.0
2024-07-09,23450.0,1127300.0,1076700.0,25300.0,1102000.0
2024-07-09,23500.0,1387800.0,1374000.0,6900.0,1380900.0
2024-07-09,23550.0,518300.0,-277700.0,398000.0,120300.0
2024-07-09,23600.0,2090900.0,938500.0,576200.0,1514700.0
2024-07-09,23650.0,1378400.0,729000.0,324700.0,1053700.0
2024-07-09,23700.0,462100.0,462100.0,0.0,462100.0
2024-07-10,23350.0,194500.0,-194500.0,194500.0,0.0
2024-07-10,23400.0,849000.0,-700000.0,774500.0,74500.0
2024-07-10,23450.0,1254300.0,-867700.0,1061000.0,193300.0
2024-07-10,23500.0,1799600.0,-69400.0,934500.0,865100.0
2024-07-10,23550.0,916500.0,-317300.0,616900.0,299600.0
2024-07-10,23600.0,373600.0,7000.0,183300.0,190300.0
2024-07-10,23650.0,238000.0,-104600.0,171300.0,66700.0
2024-07-10,23700.0,122200.0,-63600.0,92900.0,29300.0
2024-07-10,23750.0,17700.0,1500.0,8100.0,9600.0
2024-07-10,23800.0,7000.0,7000.0,0.0,7000.0
2024-07-11,23200.0,57100.0,-57100.0,57100.0,0.0
2024-07-11,23250.0,638400.0,-521200.0,579800.0,58600.0
2024-07-11,23300.0,1691000.0,-387800.0,1039400.0,651600.0
2024-07-11,23350.0,832600.0,-372800.0,602700.0,229900.0
2024-07-11,23400.0,410300.0,-37100.0,223700.0,186600.0
