t,p,q,d,b,a
2024-02-15,28800.0,1900.0,-1900.0,1900.0,0.0
2024-02-15,28900.0,6600.0,-1600.0,4100.0,2500.0
2024-02-15,28950.0,1100.0,1100.0,0.0,1100.0
2024-02-15,29000.0,61700.0,30700.0,15500.0,46200.0
2024-02-15,29050.0,4300.0,4300.0,0.0,4300.0
2024-02-15,29100.0,8800.0,7200.0,800.0,8000.0
2024-02-15,29150.0,18500.0,18500.0,0.0,18500.0
2024-02-15,29200.0,24400.0,-3600.0,14000.0,10400.0
2024-02-15,29250.0,1800.0,400.0,700.0,1100.0
2024-02-15,29300.0,45900.0,15300.0,15300.0,30600.0
2024-02-15,29350.0,11900.0,1700.0,5100.0,6800.0
2024-02-15,29400.0,32700.0,31100.0,800.0,31900.0
2024-02-15,29450.0,28400.0,27200.0,600.0,27800.0
2024-02-15,29500.0,17000.0,17000.0,0.0,17000.0
2024-02-15,29550.0,18100.0,18100.0,0.0,18100.0
2024-02-15,29600.0,3700.0,3700.0,0.0,3700.0
2024-02-15,29650.0,1200.0,1200.0,0.0,1200.0
2024-02-15,29700.0,800.0,800.0,0.0,800.0
2024-02-15,29800.0,5500.0,-100.0,2800.0,2700.0
2024-02-15,29850.0,7100.0,900.0,3100.0,4000.0
2024-02-15,29900.0,28200.0,27800.0,200.0,28000.0
2024-02-15,29950.0,4400.0,4400.0,0.0,4400.0
2024-02-15,30000.0,22900.0,16900.0,3000.0,19900.0
2024-02-15,30100.0,200.0,0.0,100.0,100.0
2024-02-15,30200.0,13800.0,13800.0,0.0,13800.0
2024-02-15,30250.0,500.0,500.0,0.0,500.0
2024-02-15,30300.0,18100.0,13100.0,2500.0,15600.0
2024-02-15,30350.0,1000.0,1000.0,0.0,1000.0
2024-02-15,30400.0,3200.0,3200.0,0.0,3200.0
2024-02-15,30500.0,20500.0,17100.0,1700.0,18800.0
2024-02-15,30600.0,20200.0,19800.0,200.0,20000.0
2024-02-15,30700.0,43300.0,300.0,21500.0,21800.0
2024-02-15,30750.0,17200.0,9200.0,4000.0,13200.0
2024-02-15,30800.0,654800.0,-187200.0,421000.0,233800.0
2024-02-16,30200.0,10100.0,-10100.0,10100.0,0.0
2024-02-16,30250.0,1500.0,-1500.0,1500.0,0.0
2024-02-16,30600.0,1000.0,-1000.0,1000.0,0.0
2024-02-16,30650.0,2500.0,500.0,1000.0,1500.0
2024-02-16,30700.0,13900.0,13900.0,0.0,13900.0
2024-02-16,30750.0,10600.0,10600.0,0.0,10600.0
2024-02-16,30800.0,5200.0,5000.0,100.0,5100.0
2024-02-16,30850.0,11000.0,11000.0,0.0,11000.0
2024-02-16,30900.0,19000.0,-800.0,9900.0,9100.0
2024-02-16,30950.0,27900.0,-7100.0,17500.0,10400.0
2024-02-16,31000.0,218000.0,-30400.0,124200.0,93800.0
2024-02-16,31050.0,85300.0,-81900.0,83600.0,1700.0
2024-02-16,31100.0,130100.0,-6500.0,68300.0,61800.0
2024-02-16,31150.0,45000.0,29800.0,7600.0,37400.0
2024-02-16,31200.0,40200.0,6000.0,17100.0,23100.0
2024-02-16,31250.0,4900.0,-100.0,2500.0,2400.0
2024-02-16,31300.0,19500.0,-700.0,10100.0,9400.0
2024-02-16,31350.0,46400.0,-23600.0,35000.0,11400.0
2024-02-16,31400.0,34600.0,-19000.0,26800.0,7800.0
2024-02-16,31450.0,3100.0,1100.0,1000.0,2100.0
2024-02-16,31500.0,38100.0,-9500.0,23800.0,14300.0
2024-02-16,31550.0,15400.0,-11600.0,13500.0,1900.0
2024-02-16,31600.0,30700.0,-100.0,15400.0,15300.0
2024-02-16,31650.0,4800.0,1800.0,1500.0,3300.0
2024-02-16,31700.0,42600.0,-22600.0,32600.0,10000.0
2024-02-16,31750.0,38300.0,-7700.0,23000.0,15300.0
2024-02-16,31800.0,89900.0,-11900.0,50900.0,39000.0
2024-02-16,31850.0,15200.0,-8200.0,11700.0,3500.0
2024-02-16,31900.0,21100.0,-6700.0,13900.0,7200.0
2024-02-16,31950.0,6000.0,6000.0,0.0,6000.0
2024-02-19,30800.0,9600.0,-9600.0,9600.0,0.0
2024-02-19,30850.0,6700.0,-6700.0,6700.0,0.0
2024-02-19,30900.0,44900.0,8900.0,18000.0,26900.0
2024-02-19,30950.0,15600.0,-5600.0,10600.0,5000.0
2024-02-19,31000.0,184300.0,-110700.0,147500.0,36800.0
2024-02-19,31050.0,24300.0,4700.0,9800.0,14500.0
2024-02-19,31100.0,53600.0,-33800.0,43700.0,9900.0
2024-02-19,31150.0,23600.0,-21000.0,22300.0,1300.0
2024-02-19,31200.0,74900.0,-60900.0,67900.0,7000.0
2024-02-19,31250.0,17000.0,7000.0,5000.0,12000.0
2024-02-19,31300.0,25300.0,24100.0,600.0,24700.0
2024-02-19,31350.0,400.0,400.0,0.0,400.0
2024-02-19,31400.0,20300.0,-5900.0,13100.0,7200.0
2024-02-19,31450.0,12400.0,1600.0,5400.0,7000.0
2024-02-19,31500.0,20400.0,10800.0,4800.0,15600.0
2024-02-19,31600.0,4900.0,-700.0,2800.0,2100.0
2024-02-19,31700.0,5100.0,5100.0,0.0,5100.0
2024-02-19,31800.0,15400.0,-10400.0,12900.0,2500.0
2024-02-19,31900.0,37200.0,-35200.0,36200.0,1000.0
2024-02-19,31950.0,6500.0,6500.0,0.0,6500.0
2024-02-20,30650.0,28100.0,-28100.0,28100.0,0.0
2024-02-20,30700.0,21300.0,-18300.0,19800.0,1500.0
2024-02-20,30750.0,13600.0,-5200.0,9400.0,4200.0
2024-02-20,30800.0,94500.0,-68100.0,81300.0,13200.0
2024-02-20,30850.0,81400.0,-13200.0,47300.0,34100.0
2024-02-20,30900.0,190400.0,16200.0,87100.0,103300.0
2024-02-20,30950.0,42700.0,-1300.0,22000.0,20700.0
2024-02-20,31000.0,85200.0,33800.0,25700.0,59500.0
2024-02-20,31050.0,10300.0,-7900.0,9100.0,1200.0
2024-02-20,31100.0,34700.0,8100.0,13300.0,21400.0
