t,p,q,d,b,a
2024-02-15,69200.0,2300.0,-2300.0,2300.0,0.0
2024-02-15,69300.0,63200.0,-42400.0,52800.0,10400.0
2024-02-15,69400.0,141800.0,-18000.0,79900.0,61900.0
2024-02-15,69500.0,209000.0,-20000.0,114500.0,94500.0
2024-02-15,69600.0,108100.0,19900.0,44100.0,64000.0
2024-02-15,69700.0,39900.0,25100.0,7400.0,32500.0
2024-02-15,69800.0,10800.0,10200.0,300.0,10500.0
2024-02-15,69900.0,23300.0,-21700.0,22500.0,800.0
2024-02-15,70000.0,41700.0,10100.0,15800.0,25900.0
2024-02-15,70100.0,3300.0,-2500.0,2900.0,400.0
2024-02-15,70200.0,23500.0,-900.0,12200.0,11300.0
2024-02-15,70300.0,8600.0,8600.0,0.0,8600.0
2024-02-15,70400.0,600.0,600.0,0.0,600.0
2024-02-16,69200.0,23600.0,-23600.0,23600.0,0.0
2024-02-16,69300.0,62500.0,9700.0,26400.0,36100.0
2024-02-16,69400.0,67300.0,9700.0,28800.0,38500.0
2024-02-16,69500.0,67400.0,4400.0,31500.0,35900.0
2024-02-16,69600.0,63400.0,-7000.0,35200.0,28200.0
2024-02-16,69700.0,169900.0,-26900.0,98400.0,71500.0
2024-02-16,69800.0,267400.0,-28600.0,148000.0,119400.0
2024-02-16,69900.0,173000.0,161000.0,6000.0,167000.0
2024-02-19,70100.0,33000.0,-33000.0,33000.0,0.0
2024-02-19,70200.0,23700.0,16500.0,3600.0,20100.0
2024-02-19,70300.0,36100.0,300.0,17900.0,18200.0
2024-02-19,70400.0,97800.0,-14800.0,56300.0,41500.0
2024-02-19,70500.0,345700.0,-116300.0,231000.0,114700.0
2024-02-19,70600.0,492800.0,-36400.0,264600.0,228200.0
2024-02-19,70700.0,298900.0,103900.0,97500.0,201400.0
2024-02-19,70800.0,127500.0,-21500.0,74500.0,53000.0
2024-02-19,70900.0,147300.0,14500.0,66400.0,80900.0
2024-02-19,71000.0,218800.0,43400.0,87700.0,131100.0
2024-02-19,71100.0,33900.0,8700.0,12600.0,21300.0
2024-02-19,71200.0,75200.0,28000.0,23600.0,51600.0
2024-02-19,71300.0,7500.0,7500.0,0.0,7500.0
2024-02-20,70200.0,7100.0,-7100.0,7100.0,0.0
2024-02-20,70300.0,5500.0,-4500.0,5000.0,500.0
2024-02-20,70400.0,68500.0,-14900.0,41700.0,26800.0
2024-02-20,70500.0,34800.0,27000.0,3900.0,30900.0
2024-02-20,70600.0,12800.0,-10800.0,11800.0,1000.0
2024-02-20,70700.0,84300.0,-10700.0,47500.0,36800.0
2024-02-20,70800.0,140900.0,-25700.0,83300.0,57600.0
2024-02-20,70900.0,125000.0,42200.0,41400.0,83600.0
2024-02-20,71000.0,142200.0,47000.0,47600.0,94600.0
2024-02-20,71100.0,102200.0,29800.0,36200.0,66000.0
2024-02-20,71200.0,103400.0,42800.0,30300.0,73100.0
2024-02-20,71300.0,114200.0,66000.0,24100.0,90100.0
2024-02-20,71400.0,112200.0,6200.0,53000.0,59200.0
2024-02-20,71500.0,120100.0,100500.0,9800.0,110300.0
2024-02-20,71600.0,83800.0,52600.0,15600.0,68200.0
2024-02-20,71700.0,19300.0,19300.0,0.0,19300.0
2024-02-21,70900.0,11400.0,-11400.0,11400.0,0.0
