t,p,q,d,b,a
2024-07-08,35100.0,70500.0,-70500.0,70500.0,0.0
2024-07-08,35150.0,29300.0,3100.0,13100.0,16200.0
2024-07-08,35200.0,113400.0,27200.0,43100.0,70300.0
2024-07-08,35250.0,29500.0,22700.0,3400.0,26100.0
2024-07-08,35300.0,82500.0,-24900.0,53700.0,28800.0
2024-07-08,35350.0,78400.0,2200.0,38100.0,40300.0
2024-07-08,35400.0,154300.0,10300.0,72000.0,82300.0
2024-07-08,35450.0,317800.0,106600.0,105600.0,212200.0
2024-07-08,35500.0,845100.0,-81300.0,463200.0,381900.0
2024-07-08,35550.0,464200.0,109400.0,177400.0,286800.0
2024-07-08,35600.0,266700.0,190700.0,38000.0,228700.0
2024-07-08,35650.0,71200.0,24800.0,23200.0,48000.0
2024-07-08,35700.0,163100.0,109500.0,26800.0,136300.0
2024-07-08,35750.0,139600.0,-42200.0,90900.0,48700.0
2024-07-08,35800.0,239300.0,19100.0,110100.0,129200.0
2024-07-08,35850.0,192000.0,24800.0,83600.0,108400.0
2024-07-08,35900.0,565100.0,183500.0,190800.0,374300.0
2024-07-08,35950.0,217400.0,79800.0,68800.0,148600.0
2024-07-08,36000.0,546500.0,420100.0,63200.0,483300.0
2024-07-08,36050.0,119300.0,52500.0,33400.0,85900.0
2024-07-08,36100.0,215700.0,73900.0,70900.0,144800.0
2024-07-08,36150.0,255300.0,15100.0,120100.0,135200.0
2024-07-08,36200.0,223700.0,132300.0,45700.0,178000.0
2024-07-08,36250.0,4200.0,4200.0,0.0,4200.0
2024-07-08,36500.0,0.0,0.0,0.0,0.0
2024-07-09,37150.0,300.0,-300.0,300.0,0.0
2024-07-09,37200.0,7100.0,-7100.0,7100.0,0.0
2024-07-09,37250.0,1400.0,-1400.0,1400.0,0.0
2024-07-09,37300.0,36500.0,-15100.0,25800.0,10700.0
2024-07-09,37350.0,4300.0,-4300.0,4300.0,0.0
2024-07-09,37400.0,124600.0,101800.0,11400.0,113200.0
2024-07-09,37450.0,24200.0,20000.0,2100.0,22100.0
2024-07-09,37500.0,173500.0,170500.0,1500.0,172000.0
2024-07-09,37550.0,11600.0,-2600.0,7100.0,4500.0
2024-07-09,37600.0,55700.0,50700.0,2500.0,53200.0
2024-07-09,37650.0,4800.0,2400.0,1200.0,3600.0
2024-07-09,37700.0,21300.0,20700.0,300.0,21000.0
2024-07-09,37750.0,13300.0,-11100.0,12200.0,1100.0
2024-07-09,37800.0,39300.0,20500.0,9400.0,29900.0
2024-07-09,37850.0,11300.0,8300.0,1500.0,9800.0
2024-07-09,37900.0,42700.0,22500.0,10100.0,32600.0
2024-07-09,37950.0,55100.0,19100.0,18000.0,37100.0
2024-07-09,38000.0,375600.0,16400.0,179600.0,196000.0
2024-07-09,38050.0,440200.0,-275600.0,357900.0,82300.0
2024-07-09,38100.0,1275400.0,-387000.0,831200.0,444200.0
2024-07-09,38150.0,1199800.0,73000.0,563400.0,636400.0
2024-07-09,38200.0,1238500.0,454700.0,391900.0,846600.0
2024-07-09,38250.0,619600.0,110800.0,254400.0,365200.0
2024-07-09,38300.0,501700.0,179900.0,160900.0,340800.0
2024-07-09,38350.0,366900.0,44500.0,161200.0,205700.0
2024-07-09,38400.0,334600.0,118000.0,108300.0,226300.0
2024-07-09,38450.0,358600.0,4400.0,177100.0,181500.0
2024-07-09,38500.0,86400.0,86400.0,0.0,86400.0
2024-07-10,37000.0,0.0,0.0,0.0,0.0
2024-07-10,37100.0,305600.0,-135000.0,220300.0,85300.0
2024-07-10,37150.0,306900.0,-35900.0,171400.0,135500.0
2024-07-10,37200.0,235200.0,-115400.0,175300.0,59900.0
2024-07-10,37250.0,115200.0,-26200.0,70700.0,44500.0
2024-07-10,37300.0,176100.0,-29900.0,103000.0,73100.0
2024-07-10,37350.0,98600.0,-55800.0,77200.0,21400.0
2024-07-10,37400.0,225100.0,-89700.0,157400.0,67700.0
2024-07-10,37450.0,393200.0,-8200.0,200700.0,192500.0
2024-07-10,37500.0,533100.0,-59700.0,296400.0,236700.0
2024-07-10,37550.0,380200.0,-67800.0,224000.0,156200.0
2024-07-10,37600.0,368000.0,-29000.0,198500.0,169500.0
2024-07-10,37650.0,333000.0,-128800.0,230900.0,102100.0
2024-07-10,37700.0,574400.0,289800.0,142300.0,432100.0
2024-07-10,37750.0,116700.0,-20700.0,68700.0,48000.0
2024-07-10,37800.0,210400.0,-52600.0,131500.0,78900.0
2024-07-10,37850.0,288800.0,-119200.0,204000.0,84800.0
2024-07-10,37900.0,178900.0,19300.0,79800.0,99100.0
2024-07-10,37950.0,35900.0,2100.0,16900.0,19000.0
2024-07-10,38000.0,40200.0,-13800.0,27000.0,13200.0
2024-07-10,38050.0,6000.0,-6000.0,6000.0,0.0
2024-07-10,38100.0,14700.0,-14700.0,14700.0,0.0
2024-07-10,38150.0,51000.0,-39800.0,45400.0,5600.0
2024-07-10,38200.0,173700.0,100.0,86800.0,86900.0
2024-07-10,38250.0,17900.0,2300.0,7800.0,10100.0
2024-07-10,38300.0,2500.0,2500.0,0.0,2500.0
2024-07-11,36650.0,100.0,-100.0,100.0,0.0
2024-07-11,36700.0,86900.0,-84500.0,85700.0,1200.0
2024-07-11,36750.0,156700.0,-42500.0,99600.0,57100.0
2024-07-11,36800.0,236200.0,-42200.0,139200.0,97000.0
2024-07-11,36850.0,30200.0,9000.0,10600.0,19600.0
2024-07-11,36900.0,64600.0,9800.0,27400.0,37200.0
2024-07-11,36950.0,10800.0,-10000.0,10400.0,400.0
2024-07-11,37000.0,280800.0,-244400.0,262600.0,18200.0
2024-07-11,37050.0,178900.0,38100.0,70400.0,108500.0
2024-07-11,37100.0,246000.0,-143200.0,194600.0,51400.0
2024-07-11,37150.0,442600.0,-400.0,221500.0,221100.0
2024-07-11,37200.0,407500.0,36900.0,185300.0,222200.0
2024-07-11,37250.0,312200.0,11000.0,150600.0,161600.0
2024-07-11,37300.0,318300.0,34700.0,141800.0,176500.0
2024-07-11,37350.0,242000.0,-18000.0,130000.0,112000.0
2024-07-11,37400.0,202700.0,96900.0,52900.0,149800.0
2024-07-11,37450.0,107500.0,22900.0,42300.0,65200.0
2024-07-11,37500.0,136600.0,-2600.0,69600.0,67000.0
2024-07-11,37550.0,14700.0,-12700.0,13700.0,1000.0
2024-07-11,37600.0,8300.0,-2300.0,5300.0,3000.0
2024-07-11,37650.0,24600.0,20600.0,2000.0,22600.0
2024-07-11,37700.0,50100.0,18100.0,16000.0,34100.0
2024-07-11,37750.0,12100.0,6900.0,2600.0,9500.0
2024-07-11,37800.0,3000.0,3000.0,0.0,3000.0
2024-07-12,36700.0,52700.0,-52700.0,52700.0,0.0
2024-07-12,36750.0,160300.0,-73900.0,117100.0,43200.0
2024-07-12,36800.0,209000.0,-36800.0,122900.0,86100.0
2024-07-12,36850.0,66400.0,1600.0,32400.0,34000.0
2024-07-12,36900.0,100700.0,-58100.0,79400.0,21300.0
2024-07-12,36950.0,191000.0,-36400.0,113700.0,77300.0
2024-07-12,37000.0,147900.0,28100.0,59900.0,88000.0
2024-07-12,37050.0,103600.0,8200.0,47700.0,55900.0
2024-07-12,37100.0,128400.0,25000.0,51700.0,76700.0
2024-07-12,37150.0,302400.0,-130600.0,216500.0,85900.0
2024-07-12,37200.0,209900.0,94700.0,57600.0,152300.0
2024-07-12,37250.0,88600.0,1200.0,43700.0,44900.0
2024-07-12,37300.0,126100.0,38500.0,43800.0,82300.0
2024-07-12,37350.0,154800.0,-23800.0,89300.0,65500.0
2024-07-12,37400.0,301100.0,19100.0,141000.0,160100.0
2024-07-12,37450.0,155800.0,74600.0,40600.0,115200.0
2024-07-12,37500.0,282300.0,45300.0,118500.0,163800.0
2024-07-12,37550.0,117300.0,-12900.0,65100.0,52200.0
2024-07-12,37600.0,113300.0,51500.0,30900.0,82400.0
2024-07-12,37650.0,81300.0,13100.0,34100.0,47200.0
2024-07-12,37700.0,267200.0,-5800.0,136500.0,130700.0
2024-07-12,37750.0,116300.0,-40100.0,78200.0,38100.0
2024-07-12,37800.0,275500.0,138700.0,68400.0,207100.0
2024-07-12,37850.0,119100.0,93100.0,13000.0,106100.0
2024-07-12,37900.0,366900.0,-50100.0,208500.0,158400.0
2024-07-12,37950.0,352000.0,-109400.0,230700.0,121300.0
2024-07-12,38000.0,311200.0,257600.0,26800.0,284400.0
2024-07-12,38050.0,39200.0,21200.0,9000.0,30200.0
2024-07-12,38100.0,80200.0,45600.0,17300.0,62900.0
2024-07-12,38150.0,29700.0,900.0,14400.0,15300.0
2024-07-12,38200.0,28100.0,28100.0,0.0,28100.0
2024-07-15,37600.0,45600.0,-45600.0,45600.0,0.0
2024-07-15,37650.0,49900.0,-48100.0,49000.0,900.0
2024-07-15,37700.0,104200.0,-26400.0,65300.0,38900.0
2024-07-15,37750.0,99700.0,-67300.0,83500.0,16200.0
2024-07-15,37800.0,218400.0,-27000.0,122700.0,95700.0
2024-07-15,37850.0,145300.0,-22300.0,83800.0,61500.0
2024-07-15,37900.0,171400.0,-67800.0,119600.0,51800.0
2024-07-15,37950.0,212100.0,-78100.0,145100.0,67000.0
2024-07-15,38000.0,265800.0,81200.0,92300.0,173500.0
2024-07-15,38050.0,112600.0,-27000.0,69800.0,42800.0
2024-07-15,38100.0,113700.0,51500.0,31100.0,82600.0
2024-07-15,38150.0,101100.0,11900.0,44600.0,56500.0
2024-07-15,38200.0,296300.0,258300.0,19000.0,277300.0
2024-07-15,38250.0,139700.0,91900.0,23900.0,115800.0
2024-07-15,38300.0,107400.0,99000.0,4200.0,103200.0
2024-07-15,38350.0,83400.0,78400.0,2500.0,80900.0
2024-07-15,38400.0,223400.0,80200.0,71600.0,151800.0
2024-07-15,38450.0,139000.0,14800.0,62100.0,76900.0
2024-07-15,38500.0,288700.0,156500.0,66100.0,222600.0
2024-07-15,38550.0,306800.0,-19800.0,163300.0,143500.0
2024-07-15,38600.0,275900.0,118100.0,78900.0,197000.0
2024-07-15,38650.0,132100.0,6300.0,62900.0,69200.0
2024-07-15,38700.0,121900.0,68300.0,26800.0,95100.0
2024-07-15,38750.0,63000.0,-4200.0,33600.0,29400.0
2024-07-15,38800.0,139900.0,-41700.0,90800.0,49100.0
2024-07-15,38850.0,120200.0,-53600.0,86900.0,33300.0
2024-07-15,38900.0,211100.0,29700.0,90700.0,120400.0
2024-07-15,38950.0,220900.0,192700.0,14100.0,206800.0
2024-07-15,39000.0,48000.0,48000.0,0.0,48000.0
2024-07-16,37800.0,51700.0,-51700.0,51700.0,0.0
2024-07-16,37850.0,90900.0,-6300.0,48600.0,42300.0
2024-07-16,37900.0,77600.0,-62200.0,69900.0,7700.0
2024-07-16,37950.0,73900.0,-10100.0,42000.0,31900.0
2024-07-16,38000.0,265900.0,-124500.0,195200.0,70700.0
2024-07-16,38050.0,193700.0,-96100.0,144900.0,48800.0
2024-07-16,38100.0,266500.0,11100.0,127700.0,138800.0
2024-07-16,38150.0,176200.0,-56200.0,116200.0,60000.0
2024-07-16,38200.0,165000.0,-29000.0,97000.0,68000.0
2024-07-16,38250.0,85400.0,-200.0,42800.0,42600.0
2024-07-16,38300.0,58000.0,-27200.0,42600.0,15400.0
2024-07-16,38350.0,79900.0,-62700.0,71300.0,8600.0
2024-07-16,38400.0,98700.0,2300.0,48200.0,50500.0
2024-07-16,38450.0,33000.0,-16200.0,24600.0,8400.0
2024-07-16,38500.0,95400.0,-73800.0,84600.0,10800.0
2024-07-16,38550.0,176900.0,-33100.0,105000.0,71900.0
2024-07-16,38600.0,130200.0,-49400.0,89800.0,40400.0
2024-07-16,38650.0,187000.0,-147000.0,167000.0,20000.0
2024-07-16,38700.0,590200.0,-17800.0,304000.0,286200.0
2024-07-16,38750.0,121800.0,121800.0,0.0,121800.0
2024-07-17,35550.0,1930800.0,304800.0,813000.0,1117800.0
2024-07-17,35600.0,512600.0,-295200.0,403900.0,108700.0
2024-07-17,35650.0,52200.0,16800.0,17700.0,34500.0
2024-07-17,35700.0,15900.0,-9500.0,12700.0,3200.0
2024-07-17,35750.0,23300.0,-9300.0,16300.0,7000.0
2024-07-17,35800.0,11500.0,-4300.0,7900.0,3600.0
2024-07-17,35850.0,13100.0,-10900.0,12000.0,1100.0
2024-07-17,35900.0,18300.0,-14100.0,16200.0,2100.0
