t,p,q,d,b,a
2024-02-15,13150.0,29800.0,-29800.0,29800.0,0.0
2024-02-15,13200.0,1338400.0,-1035000.0,1186700.0,151700.0
2024-02-15,13250.0,723800.0,-532400.0,628100.0,95700.0
2024-02-15,13300.0,1905400.0,-1642000.0,1773700.0,131700.0
2024-02-15,13350.0,1516400.0,-221200.0,868800.0,647600.0
2024-02-15,13400.0,1581200.0,-447600.0,1014400.0,566800.0
2024-02-15,13450.0,444800.0,-45200.0,245000.0,199800.0
2024-02-15,13500.0,742500.0,300.0,371100.0,371400.0
2024-02-15,13550.0,1889700.0,288900.0,800400.0,1089300.0
2024-02-15,13600.0,1190900.0,200500.0,495200.0,695700.0
2024-02-15,13650.0,1473500.0,419100.0,527200.0,946300.0
2024-02-15,13700.0,689600.0,-51000.0,370300.0,319300.0
2024-02-15,13750.0,132500.0,132500.0,0.0,132500.0
2024-02-16,12600.0,120600.0,-120600.0,120600.0,0.0
2024-02-16,12650.0,812900.0,-65700.0,439300.0,373600.0
2024-02-16,12700.0,1774700.0,-1286300.0,1530500.0,244200.0
2024-02-16,12750.0,2639700.0,-906300.0,1773000.0,866700.0
2024-02-16,12800.0,2059200.0,-566800.0,1313000.0,746200.0
2024-02-16,12850.0,1397400.0,-585400.0,991400.0,406000.0
2024-02-16,12900.0,1971000.0,-1096200.0,1533600.0,437400.0
2024-02-16,12950.0,2143300.0,-770900.0,1457100.0,686200.0
2024-02-16,13000.0,2848600.0,-1263200.0,2055900.0,792700.0
2024-02-16,13050.0,2204000.0,-1163000.0,1683500.0,520500.0
2024-02-16,13100.0,3557800.0,200400.0,1678700.0,1879100.0
2024-02-16,13150.0,4848000.0,-1541000.0,3194500.0,1653500.0
2024-02-16,13200.0,1163600.0,-503000.0,833300.0,330300.0
2024-02-16,13250.0,424900.0,-355500.0,390200.0,34700.0
2024-02-16,13300.0,548300.0,-450500.0,499400.0,48900.0
2024-02-16,13350.0,668000.0,-300600.0,484300.0,183700.0
2024-02-16,13400.0,289000.0,-84800.0,186900.0,102100.0
2024-02-16,13450.0,167200.0,-114200.0,140700.0,26500.0
2024-02-16,13500.0,82400.0,-79800.0,81100.0,1300.0
2024-02-16,13550.0,11900.0,11900.0,0.0,11900.0
2024-02-19,12300.0,324000.0,-324000.0,324000.0,0.0
2024-02-19,12350.0,390200.0,37200.0,176500.0,213700.0
2024-02-19,12400.0,2053700.0,-1002900.0,1528300.0,525400.0
2024-02-19,12450.0,4432400.0,-686400.0,2559400.0,1873000.0
2024-02-19,12500.0,1793600.0,234200.0,779700.0,1013900.0
2024-02-19,12550.0,728100.0,318300.0,204900.0,523200.0
2024-02-19,12600.0,579300.0,-242500.0,410900.0,168400.0
2024-02-19,12650.0,778900.0,-517700.0,648300.0,130600.0
2024-02-19,12700.0,683800.0,253400.0,215200.0,468600.0
2024-02-19,12750.0,885100.0,-145100.0,515100.0,370000.0
2024-02-19,12800.0,1135500.0,-138700.0,637100.0,498400.0
2024-02-19,12850.0,1270400.0,473000.0,398700.0,871700.0
2024-02-19,12900.0,325000.0,306000.0,9500.0,315500.0
2024-02-19,12950.0,269700.0,142300.0,63700.0,206000.0
2024-02-19,13000.0,1556800.0,180800.0,688000.0,868800.0
2024-02-19,13050.0,531400.0,-156600.0,344000.0,187400.0
2024-02-19,13100.0,779400.0,245600.0,266900.0,512500.0
2024-02-19,13150.0,720400.0,197400.0,261500.0,458900.0
2024-02-19,13200.0,17700.0,17700.0,0.0,17700.0
2024-02-20,12550.0,900.0,-900.0,900.0,0.0
2024-02-20,12600.0,1315900.0,-925700.0,1120800.0,195100.0
2024-02-20,12650.0,1663800.0,-742600.0,1203200.0,460600.0
2024-02-20,12700.0,1500600.0,-429200.0,964900.0,535700.0
2024-02-20,12750.0,1080600.0,-256200.0,668400.0,412200.0
2024-02-20,12800.0,3231800.0,-943800.0,2087800.0,1144000.0
2024-02-20,12850.0,1139900.0,5300.0,567300.0,572600.0
2024-02-20,12900.0,184900.0,55500.0,64700.0,120200.0
2024-02-20,12950.0,34500.0,12100.0,11200.0,23300.0
2024-02-20,13000.0,580500.0,-250900.0,415700.0,164800.0
2024-02-20,13050.0,1000.0,1000.0,0.0,1000.0
2024-02-20,13100.0,200.0,200.0,0.0,200.0
2024-02-21,12550.0,265300.0,-265300.0,265300.0,0.0
2024-02-21,12600.0,1900100.0,-557100.0,1228600.0,671500.0
2024-02-21,12650.0,1428000.0,152200.0,637900.0,790100.0
2024-02-21,12700.0,1160700.0,-221100.0,690900.0,469800.0
2024-02-21,12750.0,2172100.0,325500.0,923300.0,1248800.0
2024-02-21,12800.0,1037100.0,513900.0,261600.0,775500.0
2024-02-21,12850.0,267300.0,85500.0,90900.0,176400.0
2024-02-21,12900.0,366000.0,34600.0,165700.0,200300.0
2024-02-21,12950.0,78500.0,78500.0,0.0,78500.0
2024-02-22,12600.0,863200.0,-863200.0,863200.0,0.0
2024-02-22,12650.0,633600.0,-625600.0,629600.0,4000.0
2024-02-22,12700.0,1733700.0,-1028700.0,1381200.0,352500.0
2024-02-22,12750.0,1453900.0,-94100.0,774000.0,679900.0
2024-02-22,12800.0,1206500.0,-300300.0,753400.0,453100.0
2024-02-22,12850.0,1307500.0,-19900.0,663700.0,643800.0
2024-02-22,12900.0,910800.0,103200.0,403800.0,507000.0
2024-02-22,12950.0,1409800.0,5600.0,702100.0,707700.0
2024-02-22,13000.0,2083600.0,478000.0,802800.0,1280800.0
2024-02-22,13050.0,900700.0,819700.0,40500.0,860200.0
2024-02-22,13100.0,1000.0,1000.0,0.0,1000.0
2024-02-23,12250.0,585600.0,-585600.0,585600.0,0.0
2024-02-23,12300.0,1994600.0,138600.0,928000.0,1066600.0
2024-02-23,12350.0,668100.0,-24900.0,346500.0,321600.0
2024-02-23,12400.0,1417800.0,-1331400.0,1374600.0,43200.0
2024-02-23,12450.0,535200.0,-83000.0,309100.0,226100.0
2024-02-23,12500.0,1122500.0,-708300.0,915400.0,207100.0
2024-02-23,12550.0,1827400.0,-1646200.0,1736800.0,90600.0
2024-02-23,12600.0,2291400.0,-641800.0,1466600.0,824800.0
