t,p,q,d,b,a
2024-02-15,40050.0,58500.0,-58500.0,58500.0,0.0
2024-02-15,40100.0,198200.0,-153400.0,175800.0,22400.0
2024-02-15,40150.0,209600.0,-71000.0,140300.0,69300.0
2024-02-15,40200.0,90600.0,23800.0,33400.0,57200.0
2024-02-15,40250.0,26000.0,-15400.0,20700.0,5300.0
2024-02-15,40300.0,78600.0,-52800.0,65700.0,12900.0
2024-02-15,40350.0,91600.0,-64800.0,78200.0,13400.0
2024-02-15,40400.0,121400.0,-9800.0,65600.0,55800.0
2024-02-15,40450.0,137600.0,-99600.0,118600.0,19000.0
2024-02-15,40500.0,219800.0,-73600.0,146700.0,73100.0
2024-02-15,40550.0,129700.0,-34700.0,82200.0,47500.0
2024-02-15,40600.0,224300.0,-150300.0,187300.0,37000.0
2024-02-15,40650.0,242300.0,-16700.0,129500.0,112800.0
2024-02-15,40700.0,70400.0,12000.0,29200.0,41200.0
2024-02-15,40750.0,59400.0,-54200.0,56800.0,2600.0
2024-02-15,40800.0,69500.0,-63900.0,66700.0,2800.0
2024-02-15,40850.0,88700.0,-83100.0,85900.0,2800.0
2024-02-15,40900.0,97500.0,-67100.0,82300.0,15200.0
2024-02-15,40950.0,102700.0,-2300.0,52500.0,50200.0
2024-02-15,41000.0,180800.0,98200.0,41300.0,139500.0
2024-02-15,41050.0,23600.0,-19600.0,21600.0,2000.0
2024-02-15,41100.0,69700.0,8100.0,30800.0,38900.0
2024-02-15,41150.0,97900.0,-6900.0,52400.0,45500.0
2024-02-15,41200.0,87700.0,-1700.0,44700.0,43000.0
2024-02-15,41250.0,33600.0,29400.0,2100.0,31500.0
2024-02-15,41300.0,19500.0,-3500.0,11500.0,8000.0
2024-02-15,41350.0,26500.0,-900.0,13700.0,12800.0
2024-02-15,41400.0,69200.0,41000.0,14100.0,55100.0
2024-02-15,41450.0,50300.0,4900.0,22700.0,27600.0
2024-02-15,41500.0,9800.0,9800.0,0.0,9800.0
2024-02-16,40000.0,38400.0,-38400.0,38400.0,0.0
2024-02-16,40050.0,16100.0,-16100.0,16100.0,0.0
2024-02-16,40100.0,19300.0,-19300.0,19300.0,0.0
2024-02-16,40150.0,5600.0,-5600.0,5600.0,0.0
2024-02-16,40200.0,143300.0,-93500.0,118400.0,24900.0
2024-02-16,40250.0,66600.0,-64000.0,65300.0,1300.0
2024-02-16,40300.0,89400.0,6800.0,41300.0,48100.0
2024-02-16,40350.0,27100.0,-12900.0,20000.0,7100.0
2024-02-16,40400.0,60900.0,-6300.0,33600.0,27300.0
2024-02-16,40450.0,60700.0,26700.0,17000.0,43700.0
2024-02-16,40500.0,72200.0,20400.0,25900.0,46300.0
2024-02-16,40550.0,20800.0,14000.0,3400.0,17400.0
2024-02-16,40600.0,13800.0,13800.0,0.0,13800.0
2024-02-16,40650.0,2900.0,1700.0,600.0,2300.0
2024-02-16,40700.0,121600.0,23400.0,49100.0,72500.0
2024-02-16,40750.0,212800.0,-33800.0,123300.0,89500.0
2024-02-16,40800.0,321700.0,113100.0,104300.0,217400.0
2024-02-16,40850.0,93400.0,20000.0,36700.0,56700.0
2024-02-16,40900.0,112100.0,-4100.0,58100.0,54000.0
2024-02-16,40950.0,134200.0,-24600.0,79400.0,54800.0
2024-02-16,41000.0,375300.0,236900.0,69200.0,306100.0
2024-02-16,41050.0,91100.0,-60900.0,76000.0,15100.0
2024-02-16,41100.0,336000.0,75600.0,130200.0,205800.0
2024-02-16,41150.0,154800.0,-6400.0,80600.0,74200.0
2024-02-16,41200.0,183600.0,101200.0,41200.0,142400.0
2024-02-16,41250.0,180800.0,90600.0,45100.0,135700.0
2024-02-16,41300.0,123500.0,29700.0,46900.0,76600.0
2024-02-16,41350.0,15500.0,15500.0,0.0,15500.0
2024-02-19,41050.0,19400.0,-19400.0,19400.0,0.0
2024-02-19,41100.0,124000.0,-61600.0,92800.0,31200.0
2024-02-19,41150.0,132500.0,18700.0,56900.0,75600.0
2024-02-19,41200.0,129400.0,-98200.0,113800.0,15600.0
2024-02-19,41250.0,148500.0,-110700.0,129600.0,18900.0
2024-02-19,41300.0,267000.0,-41400.0,154200.0,112800.0
2024-02-19,41350.0,169700.0,-56700.0,113200.0,56500.0
2024-02-19,41400.0,228600.0,18200.0,105200.0,123400.0
2024-02-19,41450.0,281900.0,23700.0,129100.0,152800.0
2024-02-19,41500.0,225300.0,20700.0,102300.0,123000.0
2024-02-19,41550.0,139500.0,28100.0,55700.0,83800.0
2024-02-19,41600.0,124900.0,-19900.0,72400.0,52500.0
2024-02-19,41650.0,105700.0,-32900.0,69300.0,36400.0
2024-02-19,41700.0,35200.0,-5000.0,20100.0,15100.0
2024-02-19,41750.0,31500.0,4300.0,13600.0,17900.0
2024-02-19,41800.0,21600.0,-12800.0,17200.0,4400.0
2024-02-19,41850.0,43100.0,-2500.0,22800.0,20300.0
2024-02-19,41900.0,109100.0,14900.0,47100.0,62000.0
2024-02-19,41950.0,55300.0,6700.0,24300.0,31000.0
2024-02-19,42000.0,89500.0,-7700.0,48600.0,40900.0
2024-02-19,42050.0,34900.0,5100.0,14900.0,20000.0
2024-02-19,42100.0,62000.0,7200.0,27400.0,34600.0
2024-02-19,42150.0,29800.0,-6800.0,18300.0,11500.0
2024-02-19,42200.0,22700.0,12900.0,4900.0,17800.0
2024-02-19,42250.0,9000.0,9000.0,0.0,9000.0
2024-02-19,42300.0,5400.0,5400.0,0.0,5400.0
2024-02-20,40650.0,16700.0,-16700.0,16700.0,0.0
2024-02-20,40700.0,98300.0,-71900.0,85100.0,13200.0
2024-02-20,40750.0,163500.0,-69900.0,116700.0,46800.0
2024-02-20,40800.0,471400.0,-178400.0,324900.0,146500.0
2024-02-20,40850.0,329100.0,-118500.0,223800.0,105300.0
2024-02-20,40900.0,416400.0,-126400.0,271400.0,145000.0
2024-02-20,40950.0,229800.0,34400.0,97700.0,132100.0
