t,p,q,d,b,a
2024-02-15,26850.0,6500.0,-6500.0,6500.0,0.0
2024-02-15,26900.0,78100.0,-60100.0,69100.0,9000.0
2024-02-15,26950.0,96300.0,-65100.0,80700.0,15600.0
2024-02-15,27000.0,656500.0,-640700.0,648600.0,7900.0
2024-02-15,27050.0,783700.0,-332700.0,558200.0,225500.0
2024-02-15,27100.0,868400.0,-299800.0,584100.0,284300.0
2024-02-15,27150.0,1546200.0,-737000.0,1141600.0,404600.0
2024-02-15,27200.0,978100.0,-123100.0,550600.0,427500.0
2024-02-15,27250.0,366600.0,-112000.0,239300.0,127300.0
2024-02-15,27300.0,376000.0,-81200.0,228600.0,147400.0
2024-02-15,27350.0,64400.0,19600.0,22400.0,42000.0
2024-02-15,27400.0,8100.0,2900.0,2600.0,5500.0
2024-02-15,27450.0,11300.0,11100.0,100.0,11200.0
2024-02-15,27500.0,57900.0,57900.0,0.0,57900.0
2024-02-16,26850.0,143600.0,-143600.0,143600.0,0.0
2024-02-16,26900.0,546100.0,-390700.0,468400.0,77700.0
2024-02-16,26950.0,821800.0,-501600.0,661700.0,160100.0
2024-02-16,27000.0,2553300.0,-494100.0,1523700.0,1029600.0
2024-02-16,27050.0,1610600.0,-17400.0,814000.0,796600.0
2024-02-16,27100.0,597900.0,105700.0,246100.0,351800.0
2024-02-16,27150.0,78100.0,-28500.0,53300.0,24800.0
2024-02-16,27200.0,137000.0,17800.0,59600.0,77400.0
2024-02-16,27250.0,173900.0,-89900.0,131900.0,42000.0
2024-02-16,27300.0,3000.0,3000.0,0.0,3000.0
2024-02-19,26500.0,130100.0,-130100.0,130100.0,0.0
2024-02-19,26550.0,752500.0,-593900.0,673200.0,79300.0
2024-02-19,26600.0,2086400.0,-472800.0,1279600.0,806800.0
2024-02-19,26650.0,1192900.0,-239900.0,716400.0,476500.0
2024-02-19,26700.0,1125200.0,-454800.0,790000.0,335200.0
2024-02-19,26750.0,2389200.0,-282400.0,1335800.0,1053400.0
2024-02-19,26800.0,1066500.0,55100.0,505700.0,560800.0
2024-02-19,26850.0,643800.0,-327400.0,485600.0,158200.0
2024-02-19,26900.0,369900.0,-257500.0,313700.0,56200.0
2024-02-19,26950.0,561500.0,-441900.0,501700.0,59800.0
2024-02-19,27000.0,7400.0,7400.0,0.0,7400.0
2024-02-20,26700.0,112100.0,-112100.0,112100.0,0.0
2024-02-20,26750.0,658900.0,-262900.0,460900.0,198000.0
2024-02-20,26800.0,938900.0,-349900.0,644400.0,294500.0
2024-02-20,26850.0,1257800.0,133600.0,562100.0,695700.0
2024-02-20,26900.0,1012100.0,-178500.0,595300.0,416800.0
2024-02-20,26950.0,677000.0,-57800.0,367400.0,309600.0
2024-02-20,27000.0,1058900.0,88500.0,485200.0,573700.0
2024-02-20,27050.0,572100.0,49100.0,261500.0,310600.0
2024-02-20,27100.0,501200.0,324200.0,88500.0,412700.0
2024-02-20,27150.0,251900.0,-34300.0,143100.0,108800.0
2024-02-20,27200.0,19000.0,19000.0,0.0,19000.0
2024-02-21,26500.0,377700.0,-377700.0,377700.0,0.0
2024-02-21,26550.0,369400.0,17200.0,176100.0,193300.0
2024-02-21,26600.0,784900.0,-411500.0,598200.0,186700.0
2024-02-21,26650.0,836300.0,-317900.0,577100.0,259200.0
2024-02-21,26700.0,1257900.0,-305900.0,781900.0,476000.0
2024-02-21,26750.0,1092400.0,-198000.0,645200.0,447200.0
2024-02-21,26800.0,1047300.0,156100.0,445600.0,601700.0
2024-02-21,26850.0,560600.0,-117400.0,339000.0,221600.0
2024-02-21,26900.0,136000.0,136000.0,0.0,136000.0
2024-02-22,26550.0,29100.0,-29100.0,29100.0,0.0
2024-02-22,26600.0,1046900.0,-678900.0,862900.0,184000.0
2024-02-22,26650.0,1480000.0,-88000.0,784000.0,696000.0
2024-02-22,26700.0,662300.0,-170100.0,416200.0,246100.0
2024-02-22,26750.0,507900.0,-186900.0,347400.0,160500.0
2024-02-22,26800.0,663800.0,175400.0,244200.0,419600.0
2024-02-22,26850.0,66300.0,66300.0,0.0,66300.0
2024-02-23,26300.0,4100.0,-4100.0,4100.0,0.0
2024-02-23,26350.0,256400.0,-148000.0,202200.0,54200.0
2024-02-23,26400.0,207900.0,-63500.0,135700.0,72200.0
2024-02-23,26450.0,347900.0,-169500.0,258700.0,89200.0
2024-02-23,26500.0,448200.0,-391000.0,419600.0,28600.0
2024-02-23,26550.0,612000.0,-176400.0,394200.0,217800.0
2024-02-23,26600.0,367300.0,-230300.0,298800.0,68500.0
2024-02-23,26650.0,361700.0,-242500.0,302100.0,59600.0
2024-02-23,26700.0,1096100.0,-128900.0,612500.0,483600.0
2024-02-23,26750.0,1981700.0,-487100.0,1234400.0,747300.0
2024-02-23,26800.0,1965200.0,128600.0,918300.0,1046900.0
2024-02-23,26850.0,833900.0,109900.0,362000.0,471900.0
2024-02-23,26900.0,469800.0,127000.0,171400.0,298400.0
2024-02-23,26950.0,282500.0,205700.0,38400.0,244100.0
2024-02-23,27000.0,836400.0,71200.0,382600.0,453800.0
2024-02-23,27050.0,1202100.0,-320100.0,761100.0,441000.0
2024-02-23,27100.0,1101600.0,513000.0,294300.0,807300.0
2024-02-23,27150.0,411100.0,227500.0,91800.0,319300.0
2024-02-26,26600.0,900.0,-900.0,900.0,0.0
2024-02-26,26650.0,335300.0,-71900.0,203600.0,131700.0
2024-02-26,26700.0,408300.0,-211100.0,309700.0,98600.0
2024-02-26,26750.0,775100.0,-49700.0,412400.0,362700.0
2024-02-26,26800.0,930900.0,516300.0,207300.0,723600.0
2024-02-26,26850.0,917000.0,108400.0,404300.0,512700.0
2024-02-26,26900.0,2147500.0,980900.0,583300.0,1564200.0
2024-02-26,26950.0,1061300.0,492100.0,284600.0,776700.0
2024-02-26,27000.0,1492900.0,1232500.0,130200.0,1362700.0
2024-02-26,27050.0,368800.0,340600.0,14100.0,354700.0
2024-02-26,27100.0,473400.0,449800.0,11800.0,461600.0
2024-02-26,27150.0,393700.0,256700.0,68500.0,325200.0
2024-02-26,27200.0,390300.0,387300.0,1500.0,388800.0
2024-02-26,27250.0,240100.0,239100.0,500.0,239600.0
2024-02-26,27300.0,404900.0,404900.0,0.0,404900.0
2024-02-26,27350.0,159200.0,155000.0,2100.0,157100.0
2024-02-26,27400.0,422000.0,199800.0,111100.0,310900.0
2024-02-26,27450.0,432600.0,154200.0,139200.0,293400.0
2024-02-26,27500.0,443300.0,443300.0,0.0,443300.0
2024-02-26,27550.0,228000.0,90200.0,68900.0,159100.0
2024-02-26,27600.0,939200.0,412600.0,263300.0,675900.0
2024-02-26,27650.0,504100.0,264100.0,120000.0,384100.0
2024-02-26,27700.0,473500.0,127900.0,172800.0,300700.0
2024-02-26,27750.0,384500.0,290100.0,47200.0,337300.0
2024-02-26,27800.0,797700.0,505300.0,146200.0,651500.0
2024-02-26,27850.0,1908400.0,-883800.0,1396100.0,512300.0
2024-02-26,27900.0,1930000.0,1273400.0,328300.0,1601700.0
2024-02-26,27950.0,977900.0,622100.0,177900.0,800000.0
2024-02-26,28000.0,971800.0,971800.0,0.0,971800.0
2024-02-26,28050.0,104800.0,-49000.0,76900.0,27900.0
2024-02-26,28100.0,568700.0,151500.0,208600.0,360100.0
2024-02-26,28150.0,625800.0,-177000.0,401400.0,224400.0
2024-02-26,28200.0,2318100.0,-267100.0,1292600.0,1025500.0
2024-02-26,28250.0,3359900.0,728300.0,1315800.0,2044100.0
2024-02-26,28300.0,3959800.0,1578000.0,1190900.0,2768900.0
2024-02-27,28200.0,322400.0,-322400.0,322400.0,0.0
2024-02-27,28250.0,604100.0,-197900.0,401000.0,203100.0
2024-02-27,28300.0,1087900.0,-174700.0,631300.0,456600.0
2024-02-27,28350.0,1323800.0,-188000.0,755900.0,567900.0
2024-02-27,28400.0,989300.0,26500.0,481400.0,507900.0
2024-02-27,28450.0,513700.0,78500.0,217600.0,296100.0
2024-02-27,28500.0,1065700.0,238700.0,413500.0,652200.0
2024-02-27,28550.0,760800.0,257200.0,251800.0,509000.0
2024-02-27,28600.0,365700.0,172300.0,96700.0,269000.0
2024-02-27,28650.0,262000.0,43800.0,109100.0,152900.0
2024-02-27,28700.0,272300.0,197900.0,37200.0,235100.0
2024-02-27,28750.0,207100.0,44100.0,81500.0,125600.0
2024-02-27,28800.0,220700.0,220700.0,0.0,220700.0
2024-02-27,28850.0,6700.0,6700.0,0.0,6700.0
2024-02-28,27850.0,25900.0,-25900.0,25900.0,0.0
2024-02-28,27900.0,370100.0,-120300.0,245200.0,124900.0
2024-02-28,27950.0,723700.0,-23500.0,373600.0,350100.0
2024-02-28,28000.0,1287000.0,69400.0,608800.0,678200.0
2024-02-28,28050.0,527100.0,105100.0,211000.0,316100.0
2024-02-28,28100.0,498200.0,-214000.0,356100.0,142100.0
2024-02-28,28150.0,769700.0,18500.0,375600.0,394100.0
2024-02-28,28200.0,1078800.0,-435000.0,756900.0,321900.0
2024-02-28,28250.0,977300.0,-44100.0,510700.0,466600.0
2024-02-28,28300.0,986800.0,-376000.0,681400.0,305400.0
2024-02-28,28350.0,1532500.0,-66700.0,799600.0,732900.0
2024-02-28,28400.0,833300.0,229500.0,301900.0,531400.0
2024-02-28,28450.0,447000.0,-68800.0,257900.0,189100.0
2024-02-28,28500.0,679100.0,264300.0,207400.0,471700.0
2024-02-28,28550.0,472300.0,-44300.0,258300.0,214000.0
2024-02-28,28600.0,422600.0,148000.0,137300.0,285300.0
2024-02-28,28650.0,110100.0,2300.0,53900.0,56200.0
2024-02-28,28700.0,218800.0,47200.0,85800.0,133000.0
2024-02-28,28750.0,84900.0,-32700.0,58800.0,26100.0
2024-02-28,28800.0,100.0,100.0,0.0,100.0
2024-02-29,27850.0,25300.0,-25300.0,25300.0,0.0
2024-02-29,27900.0,758600.0,-516400.0,637500.0,121100.0
2024-02-29,27950.0,1281100.0,-265900.0,773500.0,507600.0
2024-02-29,28000.0,2076100.0,-580100.0,1328100.0,748000.0
2024-02-29,28050.0,1552600.0,-123600.0,838100.0,714500.0
2024-02-29,28100.0,1408800.0,-895800.0,1152300.0,256500.0
