t,p,q,d,b,a
2024-02-15,23250.0,32200.0,-32200.0,32200.0,0.0
2024-02-15,23300.0,1089300.0,-727500.0,908400.0,180900.0
2024-02-15,23350.0,840000.0,299600.0,270200.0,569800.0
2024-02-15,23400.0,405500.0,29100.0,188200.0,217300.0
2024-02-15,23450.0,352500.0,-103700.0,228100.0,124400.0
2024-02-15,23500.0,827200.0,-449000.0,638100.0,189100.0
2024-02-15,23550.0,1144400.0,44200.0,550100.0,594300.0
2024-02-15,23600.0,654200.0,-14800.0,334500.0,319700.0
2024-02-15,23650.0,1050600.0,842000.0,104300.0,946300.0
2024-02-15,23700.0,140100.0,67500.0,36300.0,103800.0
2024-02-15,23750.0,81000.0,26000.0,27500.0,53500.0
2024-02-15,23800.0,35500.0,35500.0,0.0,35500.0
2024-02-16,23200.0,878600.0,-878600.0,878600.0,0.0
2024-02-16,23250.0,1033700.0,-269300.0,651500.0,382200.0
2024-02-16,23300.0,1101700.0,8100.0,546800.0,554900.0
2024-02-16,23350.0,1017700.0,-178100.0,597900.0,419800.0
2024-02-16,23400.0,946800.0,-64200.0,505500.0,441300.0
2024-02-16,23450.0,123700.0,46300.0,38700.0,85000.0
2024-02-16,23500.0,278300.0,45100.0,116600.0,161700.0
2024-02-16,23550.0,126700.0,-24500.0,75600.0,51100.0
2024-02-16,23600.0,282800.0,-260600.0,271700.0,11100.0
2024-02-16,23650.0,68400.0,68400.0,0.0,68400.0
2024-02-19,22950.0,40700.0,-40700.0,40700.0,0.0
2024-02-19,23000.0,227600.0,-221400.0,224500.0,3100.0
2024-02-19,23050.0,941100.0,-670300.0,805700.0,135400.0
2024-02-19,23100.0,2978700.0,-249300.0,1614000.0,1364700.0
2024-02-19,23150.0,881100.0,321700.0,279700.0,601400.0
2024-02-19,23200.0,199900.0,13100.0,93400.0,106500.0
2024-02-19,23250.0,196900.0,63300.0,66800.0,130100.0
2024-02-19,23300.0,705400.0,705400.0,0.0,705400.0
2024-02-20,23000.0,112000.0,-112000.0,112000.0,0.0
2024-02-20,23050.0,2030700.0,-557900.0,1294300.0,736400.0
2024-02-20,23100.0,1113700.0,251100.0,431300.0,682400.0
2024-02-20,23150.0,553100.0,465100.0,44000.0,509100.0
2024-02-20,23200.0,217900.0,-113500.0,165700.0,52200.0
2024-02-20,23250.0,532100.0,237300.0,147400.0,384700.0
2024-02-20,23300.0,570000.0,-344200.0,457100.0,112900.0
2024-02-20,23350.0,156100.0,77300.0,39400.0,116700.0
2024-02-20,23400.0,138000.0,125600.0,6200.0,131800.0
2024-02-20,23450.0,254600.0,13600.0,120500.0,134100.0
2024-02-20,23500.0,394600.0,130200.0,132200.0,262400.0
2024-02-20,23550.0,248900.0,196900.0,26000.0,222900.0
2024-02-20,23600.0,245400.0,230800.0,7300.0,238100.0
2024-02-20,23650.0,30700.0,30700.0,0.0,30700.0
2024-02-21,23200.0,40700.0,-40700.0,40700.0,0.0
2024-02-21,23250.0,170300.0,-144700.0,157500.0,12800.0
2024-02-21,23300.0,186100.0,-131900.0,159000.0,27100.0
2024-02-21,23350.0,213100.0,-139300.0,176200.0,36900.0
2024-02-21,23400.0,1419400.0,-766200.0,1092800.0,326600.0
2024-02-21,23450.0,1391900.0,-42700.0,717300.0,674600.0
2024-02-21,23500.0,779400.0,308400.0,235500.0,543900.0
2024-02-21,23550.0,1015400.0,-145000.0,580200.0,435200.0
2024-02-21,23600.0,212500.0,112100.0,50200.0,162300.0
2024-02-21,23650.0,186000.0,159400.0,13300.0,172700.0
2024-02-21,23700.0,301600.0,286000.0,7800.0,293800.0
2024-02-21,23750.0,75000.0,75000.0,0.0,75000.0
2024-02-22,22900.0,142100.0,-142100.0,142100.0,0.0
2024-02-22,22950.0,422400.0,-189800.0,306100.0,116300.0
2024-02-22,23000.0,569700.0,-257500.0,413600.0,156100.0
2024-02-22,23050.0,433700.0,-165300.0,299500.0,134200.0
2024-02-22,23100.0,810500.0,-542900.0,676700.0,133800.0
2024-02-22,23150.0,871700.0,-534100.0,702900.0,168800.0
2024-02-22,23200.0,1070400.0,602800.0,233800.0,836600.0
2024-02-22,23250.0,938000.0,-519000.0,728500.0,209500.0
2024-02-22,23300.0,355100.0,221100.0,67000.0,288100.0
2024-02-22,23350.0,136200.0,-136200.0,136200.0,0.0
2024-02-22,23400.0,275300.0,-268300.0,271800.0,3500.0
2024-02-22,23450.0,191300.0,81300.0,55000.0,136300.0
2024-02-22,23500.0,534300.0,534300.0,0.0,534300.0
2024-02-23,22600.0,5700.0,-5700.0,5700.0,0.0
2024-02-23,22650.0,136900.0,-123700.0,130300.0,6600.0
2024-02-23,22700.0,139700.0,-77900.0,108800.0,30900.0
2024-02-23,22750.0,593400.0,-537400.0,565400.0,28000.0
2024-02-23,22800.0,1513500.0,580500.0,466500.0,1047000.0
2024-02-23,22850.0,1312200.0,-523800.0,918000.0,394200.0
2024-02-23,22900.0,1948500.0,262500.0,843000.0,1105500.0
2024-02-23,22950.0,861700.0,335700.0,263000.0,598700.0
2024-02-23,23000.0,425300.0,10100.0,207600.0,217700.0
2024-02-23,23050.0,189600.0,189600.0,0.0,189600.0
2024-02-26,22450.0,169500.0,-121700.0,145600.0,23900.0
2024-02-26,22500.0,1671000.0,1097800.0,286600.0,1384400.0
2024-02-26,22550.0,1192300.0,454100.0,369100.0,823200.0
2024-02-26,22600.0,472400.0,446600.0,12900.0,459500.0
2024-02-26,22650.0,167400.0,78400.0,44500.0,122900.0
2024-02-26,22700.0,95100.0,95100.0,0.0,95100.0
2024-02-26,22750.0,142600.0,-26600.0,84600.0,58000.0
2024-02-26,22800.0,1154400.0,900800.0,126800.0,1027600.0
2024-02-26,22850.0,330800.0,274600.0,28100.0,302700.0
2024-02-26,22900.0,13700.0,13700.0,0.0,13700.0
2024-02-27,22550.0,14700.0,-14700.0,14700.0,0.0
2024-02-27,22600.0,165700.0,16700.0,74500.0,91200.0
2024-02-27,22650.0,751200.0,-662600.0,706900.0,44300.0
2024-02-27,22700.0,2470700.0,72300.0,1199200.0,1271500.0
2024-02-27,22750.0,731200.0,492400.0,119400.0,611800.0
2024-02-27,22800.0,491200.0,227800.0,131700.0,359500.0
2024-02-27,22850.0,517900.0,-52900.0,285400.0,232500.0
2024-02-27,22900.0,642300.0,-78100.0,360200.0,282100.0
2024-02-27,22950.0,200100.0,193300.0,3400.0,196700.0
2024-02-27,23000.0,700.0,700.0,0.0,700.0
2024-02-28,22700.0,602500.0,499100.0,51700.0,550800.0
2024-02-28,22750.0,601900.0,-367500.0,484700.0,117200.0
2024-02-28,22800.0,803300.0,736100.0,33600.0,769700.0
2024-02-28,22850.0,298200.0,265000.0,16600.0,281600.0
2024-02-28,22900.0,604600.0,-247600.0,426100.0,178500.0
2024-02-28,22950.0,798100.0,214900.0,291600.0,506500.0
2024-02-28,23000.0,1167300.0,103100.0,532100.0,635200.0
2024-02-28,23050.0,524500.0,111500.0,206500.0,318000.0
2024-02-28,23100.0,276400.0,169000.0,53700.0,222700.0
2024-02-28,23150.0,187400.0,45000.0,71200.0,116200.0
2024-02-28,23200.0,67500.0,67500.0,0.0,67500.0
2024-02-29,23150.0,227300.0,-227300.0,227300.0,0.0
2024-02-29,23200.0,2668700.0,842300.0,913200.0,1755500.0
2024-02-29,23250.0,1866200.0,672800.0,596700.0,1269500.0
2024-02-29,23300.0,933500.0,359500.0,287000.0,646500.0
2024-02-29,23350.0,148600.0,147400.0,600.0,148000.0
2024-02-29,23400.0,100.0,100.0,0.0,100.0
2024-03-01,22950.0,174800.0,77400.0,48700.0,126100.0
2024-03-01,23000.0,429200.0,-229400.0,329300.0,99900.0
2024-03-01,23050.0,1055700.0,-388100.0,721900.0,333800.0
2024-03-01,23100.0,659000.0,247000.0,206000.0,453000.0
2024-03-01,23150.0,917800.0,-25600.0,471700.0,446100.0
2024-03-01,23200.0,783600.0,22200.0,380700.0,402900.0
2024-03-01,23250.0,998300.0,455100.0,271600.0,726700.0
2024-03-01,23300.0,806000.0,770400.0,17800.0,788200.0
2024-03-01,23350.0,63700.0,63700.0,0.0,63700.0
2024-03-04,23100.0,461400.0,-461400.0,461400.0,0.0
2024-03-04,23150.0,1669900.0,179900.0,745000.0,924900.0
2024-03-04,23200.0,1513200.0,915200.0,299000.0,1214200.0
2024-03-04,23250.0,911200.0,15800.0,447700.0,463500.0
2024-03-04,23300.0,1133400.0,820000.0,156700.0,976700.0
2024-03-04,23350.0,37400.0,37400.0,0.0,37400.0
2024-03-05,23000.0,478200.0,-434800.0,456500.0,21700.0
2024-03-05,23050.0,2381600.0,765200.0,808200.0,1573400.0
2024-03-05,23100.0,1629600.0,301600.0,664000.0,965600.0
2024-03-05,23150.0,604600.0,101600.0,251500.0,353100.0
2024-03-05,23200.0,164600.0,83800.0,40400.0,124200.0
2024-03-05,23250.0,152200.0,94200.0,29000.0,123200.0
2024-03-05,23300.0,546600.0,464800.0,40900.0,505700.0
2024-03-05,23350.0,156100.0,156100.0,0.0,156100.0
2024-03-06,22950.0,17500.0,-17500.0,17500.0,0.0
2024-03-06,23000.0,159700.0,-144500.0,152100.0,7600.0
2024-03-06,23050.0,122000.0,-68000.0,95000.0,27000.0
2024-03-06,23100.0,114100.0,-6500.0,60300.0,53800.0
2024-03-06,23150.0,203200.0,-61000.0,132100.0,71100.0
2024-03-06,23200.0,63400.0,-54000.0,58700.0,4700.0
2024-03-06,23250.0,44400.0,-25400.0,34900.0,9500.0
2024-03-06,23300.0,749200.0,-705400.0,727300.0,21900.0
2024-03-06,23350.0,1723400.0,580600.0,571400.0,1152000.0
2024-03-06,23400.0,1141300.0,1129100.0,6100.0,1135200.0
2024-03-06,23450.0,70700.0,59700.0,5500.0,65200.0
2024-03-06,23500.0,25100.0,25100.0,0.0,25100.0
2024-03-07,23100.0,780200.0,-780200.0,780200.0,0.0
2024-03-07,23150.0,2636800.0,-564800.0,1600800.0,1036000.0
2024-03-07,23200.0,1891100.0,1425900.0,232600.0,1658500.0
2024-03-07,23250.0,101700.0,94500.0,3600.0,98100.0
2024-03-07,23300.0,58600.0,58600.0,0.0,58600.0
2024-03-07,23400.0,400.0,400.0,0.0,400.0
2024-03-08,22750.0,244400.0,-244400.0,244400.0,0.0
2024-03-08,22800.0,843800.0,-638600.0,741200.0,102600.0
2024-03-08,22850.0,1861000.0,-873600.0,1367300.0,493700.0
2024-03-08,22900.0,1211900.0,462100.0,374900.0,837000.0
2024-03-08,22950.0,285100.0,77500.0,103800.0,181300.0
2024-03-08,23000.0,257800.0,-21000.0,139400.0,118400.0
2024-03-08,23050.0,138600.0,-19800.0,79200.0,59400.0
2024-03-08,23100.0,556300.0,-434700.0,495500.0,60800.0
2024-03-08,23150.0,507200.0,507200.0,0.0,507200.0
2024-03-11,22750.0,27000.0,-27000.0,27000.0,0.0
2024-03-11,22800.0,265200.0,-255200.0,260200.0,5000.0
2024-03-11,22850.0,1115600.0,483800.0,315900.0,799700.0
2024-03-11,22900.0,1025600.0,-16800.0,521200.0,504400.0
2024-03-11,22950.0,1190600.0,-327200.0,758900.0,431700.0
2024-03-11,23000.0,1347600.0,695200.0,326200.0,1021400.0
2024-03-11,23050.0,656400.0,416800.0,119800.0,536600.0
2024-03-11,23100.0,189700.0,-18300.0,104000.0,85700.0
2024-03-11,23150.0,25600.0,25600.0,0.0,25600.0
2024-03-12,22450.0,26800.0,-26800.0,26800.0,0.0
2024-03-12,22500.0,557300.0,-542900.0,550100.0,7200.0
2024-03-12,22550.0,1044900.0,-781500.0,913200.0,131700.0
2024-03-12,22600.0,558100.0,3500.0,277300.0,280800.0
2024-03-12,22650.0,581100.0,309700.0,135700.0,445400.0
2024-03-12,22700.0,407700.0,190500.0,108600.0,299100.0
2024-03-12,22750.0,412300.0,-200900.0,306600.0,105700.0
2024-03-12,22800.0,542800.0,194000.0,174400.0,368400.0
2024-03-12,22850.0,580700.0,-20300.0,300500.0,280200.0
2024-03-12,22900.0,156600.0,-28000.0,92300.0,64300.0
2024-03-12,22950.0,41700.0,-37700.0,39700.0,2000.0
2024-03-12,23000.0,373200.0,38800.0,167200.0,206000.0
2024-03-12,23050.0,398300.0,398300.0,0.0,398300.0
2024-03-13,22600.0,114100.0,-114100.0,114100.0,0.0
2024-03-13,22650.0,754500.0,-129900.0,442200.0,312300.0
2024-03-13,22700.0,1415000.0,162400.0,626300.0,788700.0
2024-03-13,22750.0,1129700.0,663300.0,233200.0,896500.0
2024-03-13,22800.0,388200.0,-35600.0,211900.0,176300.0
2024-03-13,22850.0,347600.0,-79400.0,213500.0,134100.0
2024-03-13,22900.0,184900.0,15900.0,84500.0,100400.0
2024-03-13,22950.0,848900.0,356900.0,246000.0,602900.0
2024-03-13,23000.0,352300.0,319900.0,16200.0,336100.0
2024-03-13,23050.0,129200.0,74600.0,27300.0,101900.0
2024-03-13,23100.0,202200.0,153200.0,24500.0,177700.0
2024-03-13,23150.0,106800.0,33200.0,36800.0,70000.0
2024-03-13,23200.0,59900.0,59900.0,0.0,59900.0
2024-03-14,22750.0,9700.0,-9700.0,9700.0,0.0
2024-03-14,22800.0,174300.0,-173100.0,173700.0,600.0
2024-03-14,22850.0,268400.0,181200.0,43600.0,224800.0
2024-03-14,22900.0,620100.0,20700.0,299700.0,320400.0
2024-03-14,22950.0,2560500.0,353700.0,1103400.0,1457100.0
2024-03-14,23000.0,479700.0,217500.0,131100.0,348600.0
2024-03-14,23050.0,197700.0,66300.0,65700.0,132000.0
2024-03-14,23100.0,392600.0,99600.0,146500.0,246100.0
2024-03-14,23150.0,746900.0,746900.0,0.0,746900.0
2024-03-15,22650.0,65800.0,-65800.0,65800.0,0.0
2024-03-15,22700.0,211400.0,-149200.0,180300.0,31100.0
2024-03-15,22750.0,879200.0,-70800.0,475000.0,404200.0
2024-03-15,22800.0,1213700.0,-258900.0,736300.0,477400.0
2024-03-15,22850.0,253600.0,66200.0,93700.0,159900.0
2024-03-15,22900.0,943000.0,496800.0,223100.0,719900.0
2024-03-15,22950.0,630000.0,347000.0,141500.0,488500.0
2024-03-15,23000.0,725100.0,278100.0,223500.0,501600.0
2024-03-15,23050.0,771700.0,766900.0,2400.0,769300.0
2024-03-15,23100.0,149400.0,149400.0,0.0,149400.0
2024-03-18,22400.0,187700.0,-185300.0,186500.0,1200.0
2024-03-18,22450.0,196000.0,-56600.0,126300.0,69700.0
2024-03-18,22500.0,342400.0,-250800.0,296600.0,45800.0
2024-03-18,22550.0,828600.0,61000.0,383800.0,444800.0
2024-03-18,22600.0,803600.0,-238200.0,520900.0,282700.0
2024-03-18,22650.0,1520900.0,1140700.0,190100.0,1330800.0
2024-03-18,22700.0,563200.0,276200.0,143500.0,419700.0
2024-03-18,22750.0,213900.0,122300.0,45800.0,168100.0
2024-03-18,22800.0,352200.0,-157000.0,254600.0,97600.0
2024-03-18,22850.0,32600.0,-29600.0,31100.0,1500.0
2024-03-18,22900.0,196500.0,-110500.0,153500.0,43000.0
2024-03-18,22950.0,297400.0,254000.0,21700.0,275700.0
2024-03-18,23000.0,523400.0,459000.0,32200.0,491200.0
2024-03-18,23050.0,93600.0,93600.0,0.0,93600.0
2024-03-19,21550.0,230500.0,-230500.0,230500.0,0.0
2024-03-19,21600.0,465300.0,-317700.0,391500.0,73800.0
2024-03-19,21650.0,383800.0,-89400.0,236600.0,147200.0
2024-03-19,21700.0,565800.0,-460200.0,513000.0,52800.0
2024-03-19,21750.0,549000.0,-137600.0,343300.0,205700.0
2024-03-19,21800.0,1083900.0,69500.0,507200.0,576700.0
2024-03-19,21850.0,613400.0,-59000.0,336200.0,277200.0
2024-03-19,21900.0,803300.0,-304700.0,554000.0,249300.0
2024-03-19,21950.0,1411500.0,241300.0,585100.0,826400.0
2024-03-19,22000.0,1097500.0,562500.0,267500.0,830000.0
2024-03-19,22050.0,126100.0,-87900.0,107000.0,19100.0
2024-03-19,22100.0,63900.0,1500.0,31200.0,32700.0
2024-03-19,22150.0,62600.0,-62600.0,62600.0,0.0
2024-03-19,22200.0,38600.0,-27000.0,32800.0,5800.0
2024-03-19,22250.0,49800.0,-7600.0,28700.0,21100.0
2024-03-19,22300.0,507700.0,507700.0,0.0,507700.0
2024-03-20,21800.0,121000.0,-121000.0,121000.0,0.0
2024-03-20,21850.0,424100.0,88500.0,167800.0,256300.0
2024-03-20,21900.0,291600.0,121400.0,85100.0,206500.0
2024-03-20,21950.0,332000.0,-149800.0,240900.0,91100.0
2024-03-20,22000.0,331400.0,32200.0,149600.0,181800.0
2024-03-20,22050.0,391100.0,-15900.0,203500.0,187600.0
2024-03-20,22100.0,432300.0,60500.0,185900.0,246400.0
2024-03-20,22150.0,256900.0,127300.0,64800.0,192100.0
2024-03-20,22200.0,231400.0,-60200.0,145800.0,85600.0
2024-03-20,22250.0,663200.0,-93800.0,378500.0,284700.0
2024-03-20,22300.0,328600.0,85800.0,121400.0,207200.0
2024-03-20,22350.0,505900.0,168500.0,168700.0,337200.0
2024-03-20,22400.0,783500.0,645900.0,68800.0,714700.0
2024-03-20,22450.0,91900.0,74300.0,8800.0,83100.0
2024-03-20,22500.0,197000.0,76600.0,60200.0,136800.0
