t,p,q,d,b,a
2024-02-15,26900.0,15100.0,1900.0,6600.0,8500.0
2024-02-15,26950.0,5800.0,-4800.0,5300.0,500.0
2024-02-15,27000.0,126800.0,91600.0,17600.0,109200.0
2024-02-15,27050.0,115100.0,-49100.0,82100.0,33000.0
2024-02-15,27100.0,144100.0,84100.0,30000.0,114100.0
2024-02-15,27150.0,97000.0,-84600.0,90800.0,6200.0
2024-02-15,27200.0,298800.0,-156000.0,227400.0,71400.0
2024-02-15,27250.0,446600.0,-25400.0,236000.0,210600.0
2024-02-15,27300.0,336300.0,209300.0,63500.0,272800.0
2024-02-15,27350.0,22400.0,18200.0,2100.0,20300.0
2024-02-15,27400.0,13400.0,5000.0,4200.0,9200.0
2024-02-15,27450.0,20800.0,10800.0,5000.0,15800.0
2024-02-15,27500.0,139000.0,-10600.0,74800.0,64200.0
2024-02-15,27550.0,4500.0,4500.0,0.0,4500.0
2024-02-16,27050.0,177300.0,-97300.0,137300.0,40000.0
2024-02-16,27100.0,345700.0,-87900.0,216800.0,128900.0
2024-02-16,27150.0,248900.0,-76500.0,162700.0,86200.0
2024-02-16,27200.0,222500.0,-43100.0,132800.0,89700.0
2024-02-16,27250.0,72000.0,-66200.0,69100.0,2900.0
2024-02-16,27300.0,263100.0,-19700.0,141400.0,121700.0
2024-02-16,27350.0,53700.0,38300.0,7700.0,46000.0
2024-02-16,27400.0,2700.0,-1300.0,2000.0,700.0
2024-02-16,27450.0,3100.0,3100.0,0.0,3100.0
2024-02-16,27500.0,43800.0,-43800.0,43800.0,0.0
2024-02-19,26800.0,283300.0,-283300.0,283300.0,0.0
2024-02-19,26850.0,442900.0,-40900.0,241900.0,201000.0
2024-02-19,26900.0,312300.0,-211100.0,261700.0,50600.0
2024-02-19,26950.0,382500.0,-140900.0,261700.0,120800.0
2024-02-19,27000.0,219400.0,25200.0,97100.0,122300.0
2024-02-19,27050.0,114200.0,7200.0,53500.0,60700.0
2024-02-19,27100.0,30400.0,-12000.0,21200.0,9200.0
2024-02-20,26700.0,15400.0,-15400.0,15400.0,0.0
2024-02-20,26750.0,334700.0,-265700.0,300200.0,34500.0
2024-02-20,26800.0,503700.0,-339300.0,421500.0,82200.0
2024-02-20,26850.0,347600.0,-88800.0,218200.0,129400.0
2024-02-20,26900.0,97400.0,-37800.0,67600.0,29800.0
2024-02-20,26950.0,78600.0,-27800.0,53200.0,25400.0
2024-02-20,27000.0,140900.0,-132500.0,136700.0,4200.0
2024-02-20,27050.0,251000.0,-95800.0,173400.0,77600.0
2024-02-20,27100.0,374500.0,9900.0,182300.0,192200.0
2024-02-20,27150.0,124000.0,5000.0,59500.0,64500.0
2024-02-20,27200.0,7300.0,6500.0,400.0,6900.0
2024-02-20,27250.0,600.0,600.0,0.0,600.0
2024-02-20,27300.0,31000.0,-31000.0,31000.0,0.0
2024-02-21,26550.0,173400.0,-36000.0,104700.0,68700.0
2024-02-21,26600.0,375800.0,-225200.0,300500.0,75300.0
2024-02-21,26650.0,284400.0,-61600.0,173000.0,111400.0
2024-02-21,26700.0,143800.0,-17600.0,80700.0,63100.0
2024-02-21,26750.0,314500.0,-63100.0,188800.0,125700.0
2024-02-21,26800.0,198900.0,38100.0,80400.0,118500.0
2024-02-21,26850.0,177700.0,-1100.0,89400.0,88300.0
2024-02-21,26900.0,144700.0,30300.0,57200.0,87500.0
2024-02-21,26950.0,72900.0,60700.0,6100.0,66800.0
2024-02-21,27000.0,3900.0,3900.0,0.0,3900.0
2024-02-22,26850.0,267600.0,-182600.0,225100.0,42500.0
2024-02-22,26900.0,663700.0,-176100.0,419900.0,243800.0
2024-02-22,26950.0,177800.0,59000.0,59400.0,118400.0
2024-02-22,27000.0,259900.0,4900.0,127500.0,132400.0
2024-02-22,27050.0,127200.0,29600.0,48800.0,78400.0
2024-02-22,27100.0,118800.0,94400.0,12200.0,106600.0
2024-02-22,27150.0,6100.0,6100.0,0.0,6100.0
2024-02-23,26000.0,149200.0,-149200.0,149200.0,0.0
2024-02-23,26050.0,70300.0,-63700.0,67000.0,3300.0
2024-02-23,26100.0,330900.0,-185700.0,258300.0,72600.0
2024-02-23,26150.0,164500.0,-15100.0,89800.0,74700.0
2024-02-23,26200.0,64400.0,-7400.0,35900.0,28500.0
2024-02-23,26250.0,54800.0,-26400.0,40600.0,14200.0
2024-02-23,26300.0,57400.0,9600.0,23900.0,33500.0
2024-02-23,26350.0,32500.0,-21100.0,26800.0,5700.0
2024-02-23,26400.0,39700.0,-25700.0,32700.0,7000.0
2024-02-23,26450.0,112000.0,-92800.0,102400.0,9600.0
2024-02-23,26500.0,230800.0,-109800.0,170300.0,60500.0
2024-02-23,26550.0,247500.0,-206100.0,226800.0,20700.0
2024-02-23,26600.0,237100.0,-22500.0,129800.0,107300.0
