t,p,q,d,b,a
2024-02-15,8580.0,34600.0,30600.0,2000.0,32600.0
2024-02-15,8590.0,18700.0,18700.0,0.0,18700.0
2024-02-15,8600.0,1900.0,1900.0,0.0,1900.0
2024-02-15,8610.0,100.0,-100.0,100.0,0.0
2024-02-15,8620.0,1000.0,-1000.0,1000.0,0.0
2024-02-15,8630.0,39800.0,-29800.0,34800.0,5000.0
2024-02-15,8640.0,78600.0,9800.0,34400.0,44200.0
2024-02-15,8650.0,89400.0,-82800.0,86100.0,3300.0
2024-02-15,8660.0,88000.0,-38800.0,63400.0,24600.0
2024-02-15,8670.0,78000.0,77600.0,200.0,77800.0
2024-02-15,8680.0,68200.0,28800.0,19700.0,48500.0
2024-02-15,8690.0,86100.0,9700.0,38200.0,47900.0
2024-02-15,8700.0,643900.0,-173300.0,408600.0,235300.0
2024-02-15,8710.0,174700.0,-69300.0,122000.0,52700.0
2024-02-15,8720.0,80900.0,26900.0,27000.0,53900.0
2024-02-15,8730.0,262700.0,-96100.0,179400.0,83300.0
2024-02-15,8740.0,368200.0,3200.0,182500.0,185700.0
2024-02-15,8750.0,489800.0,37800.0,226000.0,263800.0
2024-02-15,8760.0,109700.0,53700.0,28000.0,81700.0
2024-02-15,8770.0,33300.0,33300.0,0.0,33300.0
2024-02-16,8550.0,22400.0,-22400.0,22400.0,0.0
2024-02-16,8560.0,155800.0,-153800.0,154800.0,1000.0
2024-02-16,8570.0,163300.0,4900.0,79200.0,84100.0
2024-02-16,8580.0,247100.0,-114500.0,180800.0,66300.0
2024-02-16,8590.0,70900.0,39100.0,15900.0,55000.0
2024-02-16,8600.0,392700.0,-132700.0,262700.0,130000.0
2024-02-16,8610.0,86400.0,14800.0,35800.0,50600.0
2024-02-16,8620.0,124600.0,-120800.0,122700.0,1900.0
2024-02-16,8630.0,130100.0,-39100.0,84600.0,45500.0
2024-02-16,8640.0,199600.0,-85000.0,142300.0,57300.0
2024-02-16,8650.0,269000.0,-87400.0,178200.0,90800.0
2024-02-16,8660.0,127800.0,-68200.0,98000.0,29800.0
2024-02-16,8670.0,114300.0,-42300.0,78300.0,36000.0
2024-02-16,8680.0,250900.0,-174300.0,212600.0,38300.0
2024-02-16,8690.0,126000.0,-54200.0,90100.0,35900.0
2024-02-16,8700.0,234900.0,-63900.0,149400.0,85500.0
2024-02-16,8710.0,106600.0,-2600.0,54600.0,52000.0
2024-02-16,8720.0,175500.0,-159500.0,167500.0,8000.0
2024-02-16,8730.0,72900.0,-11500.0,42200.0,30700.0
2024-02-16,8740.0,11100.0,1100.0,5000.0,6100.0
2024-02-16,8750.0,26900.0,-16700.0,21800.0,5100.0
2024-02-16,8760.0,66600.0,-18800.0,42700.0,23900.0
2024-02-16,8770.0,21400.0,6800.0,7300.0,14100.0
2024-02-16,8780.0,400.0,400.0,0.0,400.0
2024-02-16,8800.0,73100.0,73100.0,0.0,73100.0
