t,p,q,d,b,a
2024-07-09,12550.0,194600.0,-194600.0,194600.0,0.0
2024-07-09,12600.0,1598600.0,-94200.0,846400.0,752200.0
2024-07-09,12650.0,786700.0,608900.0,88900.0,697800.0
2024-07-09,12700.0,0.0,0.0,0.0,0.0
2024-07-10,12650.0,100.0,-100.0,100.0,0.0
2024-07-10,12700.0,604500.0,-496700.0,550600.0,53900.0
2024-07-10,12750.0,606100.0,-338900.0,472500.0,133600.0
2024-07-10,12800.0,937600.0,224200.0,356700.0,580900.0
2024-07-10,12850.0,149800.0,142000.0,3900.0,145900.0
2024-07-11,12650.0,125700.0,-125700.0,125700.0,0.0
2024-07-11,12700.0,1695700.0,26900.0,834400.0,861300.0
2024-07-11,12750.0,540200.0,10600.0,264800.0,275400.0
2024-07-11,12800.0,304700.0,168500.0,68100.0,236600.0
2024-07-11,12850.0,6000.0,6000.0,0.0,6000.0
2024-07-12,12500.0,271600.0,-271600.0,271600.0,0.0
2024-07-12,12550.0,1222000.0,48800.0,586600.0,635400.0
2024-07-12,12600.0,427100.0,-126500.0,276800.0,150300.0
2024-07-12,12650.0,244200.0,157000.0,43600.0,200600.0
2024-07-12,12700.0,20500.0,19300.0,600.0,19900.0
2024-07-15,12450.0,5000.0,-5000.0,5000.0,0.0
2024-07-15,12500.0,318600.0,-250600.0,284600.0,34000.0
2024-07-15,12550.0,592900.0,-284300.0,438600.0,154300.0
2024-07-15,12600.0,258100.0,-152500.0,205300.0,52800.0
2024-07-15,12650.0,116400.0,111800.0,2300.0,114100.0
2024-07-16,12450.0,234500.0,-234500.0,234500.0,0.0
2024-07-16,12500.0,592300.0,-335500.0,463900.0,128400.0
2024-07-16,12550.0,1412300.0,747500.0,332400.0,1079900.0
2024-07-16,12600.0,15200.0,15200.0,0.0,15200.0
2024-07-17,12000.0,47200.0,-47200.0,47200.0,0.0
2024-07-17,12050.0,58000.0,-19200.0,38600.0,19400.0
2024-07-17,12100.0,160700.0,-39300.0,100000.0,60700.0
2024-07-17,12150.0,89600.0,19600.0,35000.0,54600.0
2024-07-17,12200.0,244300.0,-161100.0,202700.0,41600.0
2024-07-17,12250.0,48600.0,-42000.0,45300.0,3300.0
2024-07-17,12300.0,132600.0,-126600.0,129600.0,3000.0
2024-07-17,12350.0,160300.0,-157100.0,158700.0,1600.0
2024-07-17,12400.0,851200.0,-681000.0,766100.0,85100.0
2024-07-17,12450.0,539100.0,-14900.0,277000.0,262100.0
2024-07-17,12500.0,341800.0,60400.0,140700.0,201100.0
2024-07-17,12550.0,33200.0,33200.0,0.0,33200.0
2024-07-18,12100.0,49000.0,-49000.0,49000.0,0.0
2024-07-18,12150.0,193900.0,-149100.0,171500.0,22400.0
