t,p,q,d,b,a
2024-02-15,28250.0,200.0,-200.0,200.0,0.0
2024-02-15,28300.0,723000.0,605600.0,58700.0,664300.0
2024-02-15,28350.0,276200.0,251600.0,12300.0,263900.0
2024-02-15,28400.0,158400.0,10400.0,74000.0,84400.0
2024-02-15,28450.0,1757700.0,-432700.0,1095200.0,662500.0
2024-02-15,28500.0,2095800.0,876600.0,609600.0,1486200.0
2024-02-15,28550.0,1156400.0,656000.0,250200.0,906200.0
2024-02-15,28600.0,2115900.0,252700.0,931600.0,1184300.0
2024-02-15,28650.0,2907600.0,-2175800.0,2541700.0,365900.0
2024-02-15,28700.0,12500500.0,-3904300.0,8202400.0,4298100.0
2024-02-15,28750.0,8922400.0,3452200.0,2735100.0,6187300.0
2024-02-15,28800.0,2542400.0,1725400.0,408500.0,2133900.0
2024-02-15,28850.0,994300.0,573700.0,210300.0,784000.0
2024-02-15,28900.0,19200.0,19200.0,0.0,19200.0
2024-02-16,28600.0,2102200.0,-2102200.0,2102200.0,0.0
2024-02-16,28650.0,6657200.0,-311400.0,3484300.0,3172900.0
2024-02-16,28700.0,5537600.0,2194400.0,1671600.0,3866000.0
2024-02-16,28750.0,732600.0,-213800.0,473200.0,259400.0
2024-02-16,28800.0,400000.0,400000.0,0.0,400000.0
2024-02-19,28450.0,488600.0,-488600.0,488600.0,0.0
2024-02-19,28500.0,2010000.0,-832200.0,1421100.0,588900.0
2024-02-19,28550.0,3989800.0,-1462400.0,2726100.0,1263700.0
2024-02-19,28600.0,4928800.0,1361600.0,1783600.0,3145200.0
2024-02-19,28650.0,2915700.0,1214300.0,850700.0,2065000.0
2024-02-19,28700.0,2366000.0,1906200.0,229900.0,2136100.0
2024-02-19,28750.0,715500.0,715500.0,0.0,715500.0
2024-02-19,28800.0,752100.0,752100.0,0.0,752100.0
2024-02-19,28850.0,207700.0,-29100.0,118400.0,89300.0
2024-02-19,28900.0,1188300.0,1188300.0,0.0,1188300.0
2024-02-19,28950.0,525400.0,196200.0,164600.0,360800.0
2024-02-19,29000.0,1184200.0,1170000.0,7100.0,1177100.0
2024-02-19,29050.0,211400.0,137600.0,36900.0,174500.0
2024-02-19,29100.0,1411300.0,-506100.0,958700.0,452600.0
2024-02-19,29150.0,3876800.0,-1788800.0,2832800.0,1044000.0
2024-02-19,29200.0,7409000.0,2450000.0,2479500.0,4929500.0
2024-02-19,29250.0,2575800.0,392200.0,1091800.0,1484000.0
2024-02-19,29300.0,2017600.0,523200.0,747200.0,1270400.0
2024-02-19,29350.0,1371900.0,322500.0,524700.0,847200.0
2024-02-19,29400.0,765400.0,765400.0,0.0,765400.0
2024-02-20,29050.0,1190100.0,-1190100.0,1190100.0,0.0
2024-02-20,29100.0,6270500.0,-2686300.0,4478400.0,1792100.0
2024-02-20,29150.0,6591000.0,1148200.0,2721400.0,3869600.0
2024-02-20,29200.0,4373300.0,1016300.0,1678500.0,2694800.0
2024-02-20,29250.0,1236900.0,658500.0,289200.0,947700.0
2024-02-20,29300.0,733200.0,719000.0,7100.0,726100.0
2024-02-20,29350.0,3800.0,3800.0,0.0,3800.0
2024-02-21,28700.0,23600.0,-23600.0,23600.0,0.0
2024-02-21,28750.0,2187300.0,-1872100.0,2029700.0,157600.0
2024-02-21,28800.0,5715400.0,-2134800.0,3925100.0,1790300.0
2024-02-21,28850.0,6228500.0,-1617500.0,3923000.0,2305500.0
2024-02-21,28900.0,2499500.0,-569900.0,1534700.0,964800.0
2024-02-21,28950.0,1120300.0,-1093900.0,1107100.0,13200.0
2024-02-21,29000.0,5003100.0,-2375900.0,3689500.0,1313600.0
2024-02-21,29050.0,3844400.0,-1625600.0,2735000.0,1109400.0
2024-02-21,29100.0,2826600.0,-378400.0,1602500.0,1224100.0
2024-02-21,29150.0,178400.0,178400.0,0.0,178400.0
2024-02-22,28550.0,670900.0,-670900.0,670900.0,0.0
2024-02-22,28600.0,3595100.0,-1164300.0,2379700.0,1215400.0
2024-02-22,28650.0,3830900.0,-1558300.0,2694600.0,1136300.0
2024-02-22,28700.0,6679700.0,-3442500.0,5061100.0,1618600.0
2024-02-22,28750.0,5464800.0,2959000.0,1252900.0,4211900.0
2024-02-22,28800.0,1031900.0,896500.0,67700.0,964200.0
2024-02-23,28400.0,163800.0,-163800.0,163800.0,0.0
2024-02-23,28450.0,1605800.0,-1170800.0,1388300.0,217500.0
2024-02-23,28500.0,5215900.0,-3209100.0,4212500.0,1003400.0
