t,p,q,d,b,a
2024-02-15,4160.0,1200.0,-1200.0,1200.0,0.0
2024-02-15,4170.0,294500.0,-288900.0,291700.0,2800.0
2024-02-15,4180.0,305700.0,-113100.0,209400.0,96300.0
2024-02-15,4190.0,1569200.0,-532800.0,1051000.0,518200.0
2024-02-15,4200.0,866100.0,37900.0,414100.0,452000.0
2024-02-15,4210.0,377300.0,-162500.0,269900.0,107400.0
2024-02-15,4220.0,680200.0,70400.0,304900.0,375300.0
2024-02-15,4230.0,415600.0,-51400.0,233500.0,182100.0
2024-02-15,4240.0,114900.0,34700.0,40100.0,74800.0
2024-02-15,4250.0,144300.0,24300.0,60000.0,84300.0
2024-02-15,4260.0,93600.0,-50000.0,71800.0,21800.0
2024-02-15,4270.0,222900.0,174900.0,24000.0,198900.0
2024-02-15,4280.0,1000.0,1000.0,0.0,1000.0
2024-02-16,4180.0,50000.0,-50000.0,50000.0,0.0
2024-02-16,4190.0,17000.0,-17000.0,17000.0,0.0
2024-02-16,4200.0,500100.0,-16700.0,258400.0,241700.0
2024-02-16,4210.0,1062100.0,362900.0,349600.0,712500.0
2024-02-16,4220.0,3125600.0,502000.0,1311800.0,1813800.0
2024-02-16,4230.0,1651100.0,1035700.0,307700.0,1343400.0
2024-02-16,4240.0,764900.0,564700.0,100100.0,664800.0
2024-02-16,4250.0,430800.0,358400.0,36200.0,394600.0
2024-02-16,4260.0,307600.0,295600.0,6000.0,301600.0
2024-02-16,4270.0,353000.0,262400.0,45300.0,307700.0
2024-02-16,4280.0,498600.0,322000.0,88300.0,410300.0
2024-02-16,4290.0,1134600.0,424200.0,355200.0,779400.0
2024-02-16,4300.0,2262300.0,518300.0,872000.0,1390300.0
2024-02-16,4310.0,384400.0,188800.0,97800.0,286600.0
2024-02-16,4320.0,233500.0,169900.0,31800.0,201700.0
2024-02-16,4330.0,169600.0,137600.0,16000.0,153600.0
2024-02-16,4340.0,200.0,200.0,0.0,200.0
2024-02-19,4240.0,127300.0,-127300.0,127300.0,0.0
2024-02-19,4250.0,1153900.0,-999900.0,1076900.0,77000.0
2024-02-19,4260.0,1551300.0,-1061500.0,1306400.0,244900.0
2024-02-19,4270.0,2203100.0,690700.0,756200.0,1446900.0
2024-02-19,4280.0,410200.0,71600.0,169300.0,240900.0
2024-02-19,4290.0,581500.0,-138900.0,360200.0,221300.0
2024-02-19,4300.0,310500.0,-25300.0,167900.0,142600.0
2024-02-19,4310.0,640300.0,542100.0,49100.0,591200.0
2024-02-19,4320.0,33000.0,1600.0,15700.0,17300.0
2024-02-19,4330.0,69400.0,41200.0,14100.0,55300.0
2024-02-19,4340.0,57000.0,57000.0,0.0,57000.0
2024-02-20,4190.0,518200.0,-477400.0,497800.0,20400.0
2024-02-20,4200.0,1552900.0,-794700.0,1173800.0,379100.0
2024-02-20,4210.0,1789900.0,242900.0,773500.0,1016400.0
2024-02-20,4220.0,1066400.0,168600.0,448900.0,617500.0
2024-02-20,4230.0,367300.0,-232500.0,299900.0,67400.0
2024-02-20,4240.0,962600.0,-167400.0,565000.0,397600.0
2024-02-20,4250.0,193100.0,-35700.0,114400.0,78700.0
2024-02-20,4260.0,144600.0,-143400.0,144000.0,600.0
2024-02-20,4270.0,164900.0,-83500.0,124200.0,40700.0
2024-02-20,4280.0,92900.0,92900.0,0.0,92900.0
2024-02-21,4170.0,14000.0,-14000.0,14000.0,0.0
2024-02-21,4180.0,1037900.0,-818900.0,928400.0,109500.0
2024-02-21,4190.0,1172400.0,-96400.0,634400.0,538000.0
2024-02-21,4200.0,892300.0,322300.0,285000.0,607300.0
2024-02-21,4210.0,643000.0,-223000.0,433000.0,210000.0
2024-02-21,4220.0,1166100.0,163900.0,501100.0,665000.0
2024-02-21,4230.0,424100.0,367300.0,28400.0,395700.0
2024-02-21,4240.0,177800.0,41400.0,68200.0,109600.0
2024-02-21,4250.0,333300.0,218900.0,57200.0,276100.0
2024-02-21,4260.0,213000.0,79600.0,66700.0,146300.0
2024-02-21,4270.0,248000.0,247000.0,500.0,247500.0
2024-02-22,4250.0,70200.0,70200.0,0.0,70200.0
2024-02-22,4260.0,137500.0,122300.0,7600.0,129900.0
2024-02-22,4270.0,142900.0,2500.0,70200.0,72700.0
2024-02-22,4280.0,1085800.0,125000.0,480400.0,605400.0
2024-02-22,4290.0,929400.0,-194400.0,561900.0,367500.0
2024-02-22,4300.0,1838300.0,343300.0,747500.0,1090800.0
2024-02-22,4310.0,1371600.0,85600.0,643000.0,728600.0
2024-02-22,4320.0,990900.0,92500.0,449200.0,541700.0
2024-02-22,4330.0,1187100.0,-111100.0,649100.0,538000.0
2024-02-22,4340.0,1119300.0,356900.0,381200.0,738100.0
2024-02-22,4350.0,1166800.0,367400.0,399700.0,767100.0
