t,p,q,d,b,a
2024-02-15,23300.0,9100.0,-9100.0,9100.0,0.0
2024-02-15,23350.0,266900.0,-89300.0,178100.0,88800.0
2024-02-15,23400.0,1154800.0,-193200.0,674000.0,480800.0
2024-02-15,23450.0,928900.0,-20500.0,474700.0,454200.0
2024-02-15,23500.0,777800.0,-39600.0,408700.0,369100.0
2024-02-15,23550.0,956700.0,3500.0,476600.0,480100.0
2024-02-15,23600.0,1773400.0,-60600.0,917000.0,856400.0
2024-02-15,23650.0,1494900.0,-679500.0,1087200.0,407700.0
2024-02-15,23700.0,1740100.0,564100.0,588000.0,1152100.0
2024-02-15,23750.0,734600.0,-234200.0,484400.0,250200.0
2024-02-15,23800.0,678200.0,360200.0,159000.0,519200.0
2024-02-15,23850.0,722000.0,44400.0,338800.0,383200.0
2024-02-15,23900.0,298000.0,298000.0,0.0,298000.0
2024-02-16,23200.0,21900.0,-21900.0,21900.0,0.0
2024-02-16,23250.0,1962800.0,-1572600.0,1767700.0,195100.0
2024-02-16,23300.0,2792700.0,177500.0,1307600.0,1485100.0
2024-02-16,23350.0,823300.0,-23100.0,423200.0,400100.0
2024-02-16,23400.0,796100.0,-193900.0,495000.0,301100.0
2024-02-16,23450.0,195100.0,133700.0,30700.0,164400.0
2024-02-16,23500.0,65500.0,65500.0,0.0,65500.0
2024-02-19,22900.0,4000.0,-4000.0,4000.0,0.0
2024-02-19,22950.0,690900.0,-484900.0,587900.0,103000.0
2024-02-19,23000.0,2083000.0,-975000.0,1529000.0,554000.0
2024-02-19,23050.0,2284800.0,-188800.0,1236800.0,1048000.0
2024-02-19,23100.0,811500.0,-85100.0,448300.0,363200.0
2024-02-19,23150.0,901300.0,-79100.0,490200.0,411100.0
2024-02-19,23200.0,1156200.0,-438600.0,797400.0,358800.0
2024-02-19,23250.0,508600.0,430400.0,39100.0,469500.0
2024-02-19,23300.0,421300.0,-153300.0,287300.0,134000.0
2024-02-19,23350.0,1147300.0,63100.0,542100.0,605200.0
2024-02-19,23400.0,1273400.0,-18600.0,646000.0,627400.0
2024-02-19,23450.0,566500.0,123900.0,221300.0,345200.0
2024-02-19,23500.0,1090100.0,-12100.0,551100.0,539000.0
2024-02-19,23550.0,784300.0,553100.0,115600.0,668700.0
2024-02-19,23600.0,791400.0,346400.0,222500.0,568900.0
2024-02-19,23650.0,133400.0,133400.0,0.0,133400.0
2024-02-20,23000.0,526400.0,-526400.0,526400.0,0.0
2024-02-20,23050.0,3107600.0,-1092600.0,2100100.0,1007500.0
2024-02-20,23100.0,2813700.0,17300.0,1398200.0,1415500.0
2024-02-20,23150.0,1049900.0,276500.0,386700.0,663200.0
2024-02-20,23200.0,437400.0,-320600.0,379000.0,58400.0
2024-02-20,23250.0,83300.0,-37300.0,60300.0,23000.0
2024-02-20,23300.0,185600.0,38400.0,73600.0,112000.0
2024-02-20,23350.0,11300.0,2100.0,4600.0,6700.0
2024-02-21,22600.0,8500.0,-8500.0,8500.0,0.0
2024-02-21,22650.0,253700.0,-253700.0,253700.0,0.0
2024-02-21,22700.0,1505600.0,-1059000.0,1282300.0,223300.0
2024-02-21,22750.0,3340400.0,-2400.0,1671400.0,1669000.0
2024-02-21,22800.0,2349700.0,-150100.0,1249900.0,1099800.0
2024-02-21,22850.0,1182300.0,-477700.0,830000.0,352300.0
2024-02-21,22900.0,1814400.0,-1613200.0,1713800.0,100600.0
2024-02-21,22950.0,2666100.0,549500.0,1058300.0,1607800.0
2024-02-21,23000.0,179900.0,2700.0,88600.0,91300.0
