t,p,q,d,b,a
2024-02-15,13050.0,67900.0,-67900.0,67900.0,0.0
2024-02-15,13100.0,214000.0,-106800.0,160400.0,53600.0
2024-02-15,13150.0,67100.0,-31300.0,49200.0,17900.0
2024-02-15,13200.0,34700.0,21900.0,6400.0,28300.0
2024-02-15,13250.0,100.0,100.0,0.0,100.0
2024-02-15,13300.0,11200.0,5800.0,2700.0,8500.0
2024-02-16,13000.0,200.0,-200.0,200.0,0.0
2024-02-16,13050.0,36500.0,-35700.0,36100.0,400.0
2024-02-16,13100.0,191100.0,19700.0,85700.0,105400.0
2024-02-16,13150.0,37200.0,37200.0,0.0,37200.0
2024-02-16,13200.0,4400.0,4400.0,0.0,4400.0
2024-02-19,13150.0,15500.0,-15500.0,15500.0,0.0
2024-02-19,13200.0,138200.0,-36200.0,87200.0,51000.0
2024-02-19,13250.0,141900.0,96500.0,22700.0,119200.0
2024-02-19,13300.0,166000.0,138200.0,13900.0,152100.0
2024-02-19,13350.0,48200.0,42000.0,3100.0,45100.0
2024-02-19,13400.0,64100.0,53700.0,5200.0,58900.0
2024-02-19,13450.0,30300.0,30300.0,0.0,30300.0
2024-02-19,13500.0,95000.0,95000.0,0.0,95000.0
2024-02-20,13350.0,5100.0,-5100.0,5100.0,0.0
2024-02-20,13400.0,21600.0,-6600.0,14100.0,7500.0
2024-02-20,13450.0,75000.0,-55400.0,65200.0,9800.0
2024-02-20,13500.0,344200.0,102400.0,120900.0,223300.0
2024-02-20,13550.0,16300.0,14700.0,800.0,15500.0
2024-02-20,13600.0,5700.0,5700.0,0.0,5700.0
2024-02-21,13400.0,30100.0,-30100.0,30100.0,0.0
2024-02-21,13450.0,130700.0,-48900.0,89800.0,40900.0
2024-02-21,13500.0,238100.0,90700.0,73700.0,164400.0
2024-02-21,13550.0,300.0,300.0,0.0,300.0
2024-02-21,13600.0,1500.0,1500.0,0.0,1500.0
2024-02-22,13400.0,38300.0,-38300.0,38300.0,0.0
2024-02-22,13450.0,65000.0,-24000.0,44500.0,20500.0
2024-02-22,13500.0,196200.0,109800.0,43200.0,153000.0
2024-02-22,13550.0,2300.0,2300.0,0.0,2300.0
2024-02-23,13000.0,1100.0,-1100.0,1100.0,0.0
2024-02-23,13050.0,26300.0,-24300.0,25300.0,1000.0
2024-02-23,13100.0,77200.0,-31400.0,54300.0,22900.0
2024-02-23,13150.0,52500.0,-18300.0,35400.0,17100.0
2024-02-23,13200.0,29100.0,-15300.0,22200.0,6900.0
2024-02-23,13250.0,36700.0,-32500.0,34600.0,2100.0
2024-02-23,13300.0,114000.0,46200.0,33900.0,80100.0
2024-02-23,13350.0,51200.0,-4000.0,27600.0,23600.0
2024-02-23,13400.0,12700.0,2500.0,5100.0,7600.0
2024-02-23,13450.0,20600.0,20600.0,0.0,20600.0
2024-02-26,13000.0,70500.0,-46300.0,58400.0,12100.0
2024-02-26,13050.0,50900.0,-31700.0,41300.0,9600.0
2024-02-26,13100.0,135600.0,70000.0,32800.0,102800.0
2024-02-26,13150.0,49500.0,33100.0,8200.0,41300.0
2024-02-27,13050.0,1400.0,-1400.0,1400.0,0.0
2024-02-27,13100.0,92700.0,6300.0,43200.0,49500.0
2024-02-27,13150.0,65600.0,36600.0,14500.0,51100.0
2024-02-27,13200.0,119600.0,14800.0,52400.0,67200.0
2024-02-27,13250.0,35100.0,35100.0,0.0,35100.0
2024-02-27,13300.0,92300.0,12500.0,39900.0,52400.0
2024-02-27,13350.0,54800.0,54800.0,0.0,54800.0
2024-02-28,13300.0,19300.0,-19300.0,19300.0,0.0
2024-02-28,13350.0,64200.0,-5600.0,34900.0,29300.0
2024-02-28,13400.0,95600.0,-37000.0,66300.0,29300.0
2024-02-28,13450.0,4500.0,100.0,2200.0,2300.0
2024-02-28,13500.0,5000.0,5000.0,0.0,5000.0
2024-02-29,13150.0,9000.0,-9000.0,9000.0,0.0
2024-02-29,13200.0,52100.0,-40300.0,46200.0,5900.0
2024-02-29,13250.0,55600.0,-22600.0,39100.0,16500.0
2024-02-29,13300.0,54500.0,-13500.0,34000.0,20500.0
2024-02-29,13350.0,37300.0,-14300.0,25800.0,11500.0
2024-02-29,13400.0,18200.0,-5200.0,11700.0,6500.0
