t,p,q,d,b,a
2024-07-08,11750.0,0.0,0.0,0.0,0.0
2024-07-08,11800.0,45100.0,-45100.0,45100.0,0.0
2024-07-08,11850.0,113100.0,-78900.0,96000.0,17100.0
2024-07-08,11900.0,159000.0,-122000.0,140500.0,18500.0
2024-07-08,11950.0,247900.0,-84900.0,166400.0,81500.0
2024-07-08,12000.0,109800.0,-39800.0,74800.0,35000.0
2024-07-08,12050.0,26500.0,23500.0,1500.0,25000.0
2024-07-09,11700.0,100.0,-100.0,100.0,0.0
2024-07-09,11750.0,73800.0,-42200.0,58000.0,15800.0
2024-07-09,11800.0,35800.0,5200.0,15300.0,20500.0
2024-07-09,11850.0,180500.0,-56100.0,118300.0,62200.0
2024-07-09,11900.0,51200.0,43800.0,3700.0,47500.0
2024-07-09,11950.0,24200.0,13800.0,5200.0,19000.0
2024-07-09,12000.0,48800.0,17600.0,15600.0,33200.0
2024-07-09,12050.0,88000.0,-26000.0,57000.0,31000.0
2024-07-09,12100.0,35900.0,9900.0,13000.0,22900.0
2024-07-09,12150.0,1100.0,1100.0,0.0,1100.0
2024-07-10,11800.0,31000.0,-31000.0,31000.0,0.0
2024-07-10,11850.0,47400.0,-47400.0,47400.0,0.0
2024-07-10,11900.0,72100.0,-47100.0,59600.0,12500.0
2024-07-10,11950.0,105000.0,-21200.0,63100.0,41900.0
2024-07-10,12000.0,110300.0,-300.0,55300.0,55000.0
2024-07-10,12050.0,45400.0,-30800.0,38100.0,7300.0
2024-07-10,12100.0,5500.0,4300.0,600.0,4900.0
2024-07-11,11850.0,0.0,0.0,0.0,0.0
2024-07-11,11900.0,200.0,200.0,0.0,200.0
2024-07-11,11950.0,1000.0,1000.0,0.0,1000.0
2024-07-11,12000.0,78400.0,-10400.0,44400.0,34000.0
2024-07-11,12050.0,164700.0,19900.0,72400.0,92300.0
2024-07-11,12100.0,116100.0,-36100.0,76100.0,40000.0
2024-07-11,12150.0,127600.0,10000.0,58800.0,68800.0
2024-07-11,12200.0,101700.0,48300.0,26700.0,75000.0
2024-07-11,12250.0,71200.0,19600.0,25800.0,45400.0
2024-07-11,12300.0,69300.0,2100.0,33600.0,35700.0
2024-07-11,12350.0,20200.0,20200.0,0.0,20200.0
2024-07-12,11900.0,68600.0,-68600.0,68600.0,0.0
2024-07-12,11950.0,125700.0,-54100.0,89900.0,35800.0
2024-07-12,12000.0,124600.0,-106200.0,115400.0,9200.0
2024-07-12,12050.0,21900.0,-6900.0,14400.0,7500.0
2024-07-12,12100.0,41400.0,18800.0,11300.0,30100.0
2024-07-12,12150.0,29100.0,-15900.0,22500.0,6600.0
2024-07-12,12200.0,14500.0,7900.0,3300.0,11200.0
2024-07-12,12250.0,5300.0,5300.0,0.0,5300.0
2024-07-12,12300.0,0.0,0.0,0.0,0.0
2024-07-15,11800.0,26500.0,-26500.0,26500.0,0.0
2024-07-15,11850.0,140300.0,-27500.0,83900.0,56400.0
2024-07-15,11900.0,104100.0,-5700.0,54900.0,49200.0
2024-07-15,11950.0,51900.0,-29300.0,40600.0,11300.0
2024-07-15,12000.0,13700.0,1500.0,6100.0,7600.0
2024-07-15,12050.0,2400.0,2400.0,0.0,2400.0
2024-07-16,11800.0,81600.0,-81600.0,81600.0,0.0
2024-07-16,11850.0,172300.0,-94500.0,133400.0,38900.0
2024-07-16,11900.0,129000.0,-4200.0,66600.0,62400.0
2024-07-16,11950.0,6900.0,6500.0,200.0,6700.0
2024-07-16,12000.0,11500.0,-9500.0,10500.0,1000.0
2024-07-17,11050.0,10000.0,-10000.0,10000.0,0.0
2024-07-17,11100.0,43400.0,-29800.0,36600.0,6800.0
2024-07-17,11150.0,25000.0,-4400.0,14700.0,10300.0
2024-07-17,11200.0,4100.0,-2100.0,3100.0,1000.0
