t,p,q,d,b,a
2024-02-15,18900.0,43697.0,-43697.0,43697.0,0.0
2024-02-15,19000.0,1506772.0,504112.0,501330.0,1005442.0
2024-02-15,19100.0,841947.0,-623253.0,732600.0,109347.0
2024-02-15,19200.0,900730.0,24070.0,438330.0,462400.0
2024-02-15,19300.0,1178827.0,22779.0,578024.0,600803.0
2024-02-15,19400.0,1800.0,1800.0,0.0,1800.0
2024-02-16,19100.0,3200.0,-3200.0,3200.0,0.0
2024-02-16,19200.0,1555671.0,-796003.0,1175837.0,379834.0
2024-02-16,19300.0,1588416.0,973324.0,307546.0,1280870.0
2024-02-16,19400.0,34711.0,34711.0,0.0,34711.0
2024-02-19,18900.0,10100.0,-10100.0,10100.0,0.0
2024-02-19,19000.0,1203757.0,-669563.0,936660.0,267097.0
2024-02-19,19100.0,1107710.0,-210372.0,659041.0,448669.0
2024-02-19,19200.0,1722668.0,-544810.0,1133739.0,588929.0
2024-02-19,19300.0,298219.0,-20981.0,159600.0,138619.0
2024-02-20,19200.0,11100.0,-11100.0,11100.0,0.0
2024-02-20,19300.0,65605.0,-25205.0,45405.0,20200.0
2024-02-20,19400.0,1384609.0,-145889.0,765249.0,619360.0
2024-02-20,19500.0,2004518.0,-674918.0,1339718.0,664800.0
2024-02-20,19600.0,1082387.0,195235.0,443576.0,638811.0
2024-02-20,19700.0,178900.0,178900.0,0.0,178900.0
2024-02-21,18800.0,10000.0,-10000.0,10000.0,0.0
2024-02-21,19100.0,685540.0,-685540.0,685540.0,0.0
2024-02-21,19200.0,1335798.0,398398.0,468700.0,867098.0
2024-02-21,19300.0,414225.0,-263405.0,338815.0,75410.0
2024-02-21,19400.0,305188.0,138588.0,83300.0,221888.0
2024-02-21,19500.0,117000.0,52000.0,32500.0,84500.0
2024-02-22,18900.0,5000.0,4400.0,300.0,4700.0
2024-02-22,19000.0,307950.0,233450.0,37250.0,270700.0
2024-02-22,19100.0,1154763.0,-728259.0,941511.0,213252.0
2024-02-22,19200.0,1052106.0,-55346.0,553726.0,498380.0
2024-02-22,19300.0,80506.0,80506.0,0.0,80506.0
2024-02-23,18400.0,306494.0,-243106.0,274800.0,31694.0
2024-02-23,18500.0,895410.0,87634.0,403888.0,491522.0
2024-02-23,18600.0,1155025.0,343347.0,405839.0,749186.0
2024-02-23,18700.0,644502.0,-68698.0,356600.0,287902.0
2024-02-23,18800.0,700033.0,46233.0,326900.0,373133.0
2024-02-23,18900.0,871299.0,-566901.0,719100.0,152199.0
2024-02-23,19000.0,1140473.0,-273725.0,707099.0,433374.0
2024-02-23,19100.0,558919.0,402919.0,78000.0,480919.0
2024-02-23,19200.0,1600.0,1600.0,0.0,1600.0
2024-02-26,18200.0,34109.0,-34109.0,34109.0,0.0
2024-02-26,18300.0,1802958.0,-1289152.0,1546055.0,256903.0
2024-02-26,18400.0,1591805.0,218035.0,686885.0,904920.0
2024-02-26,18500.0,430786.0,180336.0,125225.0,305561.0
2024-02-26,18600.0,34501.0,34501.0,0.0,34501.0
2024-02-27,18000.0,2600.0,-2600.0,2600.0,0.0
2024-02-27,18400.0,11100.0,-8300.0,9700.0,1400.0
2024-02-27,18500.0,508364.0,-371948.0,440156.0,68208.0
2024-02-27,18600.0,1552517.0,286577.0,632970.0,919547.0
2024-02-27,18700.0,483520.0,378120.0,52700.0,430820.0
2024-02-28,17200.0,5000.0,-5000.0,5000.0,0.0
2024-02-28,18600.0,283065.0,-283065.0,283065.0,0.0
2024-02-28,18700.0,1291736.0,-354782.0,823259.0,468477.0
2024-02-28,18800.0,2069765.0,160961.0,954402.0,1115363.0
2024-02-28,18900.0,522100.0,495500.0,13300.0,508800.0
2024-02-28,19000.0,100.0,100.0,0.0,100.0
2024-02-29,18600.0,69953.0,-69953.0,69953.0,0.0
2024-02-29,18700.0,448816.0,66784.0,191016.0,257800.0
2024-02-29,18800.0,903568.0,-315984.0,609776.0,293792.0
2024-02-29,18900.0,1084895.0,-543055.0,813975.0,270920.0
2024-02-29,19000.0,881665.0,113961.0,383852.0,497813.0
2024-02-29,19100.0,522594.0,475574.0,23510.0,499084.0
2024-02-29,19200.0,657820.0,650020.0,3900.0,653920.0
2024-03-01,18900.0,147900.0,-147900.0,147900.0,0.0
2024-03-01,19000.0,1061472.0,-349148.0,705310.0,356162.0
2024-03-01,19100.0,1360618.0,493440.0,433589.0,927029.0
2024-03-01,19200.0,204622.0,204622.0,0.0,204622.0
2024-03-01,19300.0,100.0,100.0,0.0,100.0
2024-03-04,19200.0,67000.0,-15000.0,41000.0,26000.0
2024-03-04,19300.0,1621619.0,-583675.0,1102647.0,518972.0
2024-03-04,19400.0,2806356.0,399700.0,1203328.0,1603028.0
2024-03-04,19500.0,2326970.0,875072.0,725949.0,1601021.0
2024-03-04,19600.0,197911.0,197911.0,0.0,197911.0
2024-03-05,17400.0,100.0,-100.0,100.0,0.0
2024-03-05,19200.0,504953.0,-504953.0,504953.0,0.0
2024-03-05,19300.0,1933862.0,661142.0,636360.0,1297502.0
2024-03-05,19400.0,763571.0,70189.0,346691.0,416880.0
2024-03-05,19500.0,206804.0,206804.0,0.0,206804.0
2024-03-06,18600.0,200000.0,-200000.0,200000.0,0.0
2024-03-06,18700.0,339200.0,-339200.0,339200.0,0.0
2024-03-06,18800.0,873141.0,-383441.0,628291.0,244850.0
2024-03-06,18900.0,1125957.0,-315131.0,720544.0,405413.0
2024-03-06,19000.0,864462.0,-638462.0,751462.0,113000.0
2024-03-06,19100.0,613700.0,-49900.0,331800.0,281900.0
2024-03-06,19200.0,751427.0,-485973.0,618700.0,132727.0
2024-03-06,19300.0,100000.0,95000.0,2500.0,97500.0
2024-03-06,19400.0,200.0,200.0,0.0,200.0
2024-03-07,18600.0,2500.0,-2500.0,2500.0,0.0
