t,p,q,d,b,a
2024-07-09,34400.0,58800.0,-58800.0,58800.0,0.0
2024-07-09,34450.0,367500.0,-96300.0,231900.0,135600.0
2024-07-09,34500.0,729800.0,-475200.0,602500.0,127300.0
2024-07-09,34550.0,792300.0,-185100.0,488700.0,303600.0
2024-07-09,34600.0,439700.0,165100.0,137300.0,302400.0
2024-07-09,34650.0,119200.0,-18200.0,68700.0,50500.0
2024-07-09,34700.0,135500.0,-54100.0,94800.0,40700.0
2024-07-09,34750.0,38000.0,-18000.0,28000.0,10000.0
2024-07-09,34800.0,196300.0,-186700.0,191500.0,4800.0
2024-07-09,34850.0,372900.0,-96700.0,234800.0,138100.0
2024-07-09,34900.0,64200.0,-47200.0,55700.0,8500.0
2024-07-09,34950.0,54800.0,-41400.0,48100.0,6700.0
2024-07-09,35000.0,499800.0,-319200.0,409500.0,90300.0
2024-07-09,35050.0,255000.0,-137600.0,196300.0,58700.0
2024-07-09,35100.0,204100.0,90300.0,56900.0,147200.0
2024-07-09,35150.0,48800.0,-41400.0,45100.0,3700.0
2024-07-09,35200.0,75200.0,-29000.0,52100.0,23100.0
2024-07-09,35250.0,33100.0,-25900.0,29500.0,3600.0
2024-07-09,35300.0,84600.0,-63600.0,74100.0,10500.0
2024-07-09,35350.0,20700.0,-20700.0,20700.0,0.0
2024-07-09,35400.0,17800.0,-7200.0,12500.0,5300.0
2024-07-09,35450.0,18000.0,-10000.0,14000.0,4000.0
2024-07-09,35500.0,84200.0,-59200.0,71700.0,12500.0
2024-07-09,35550.0,84800.0,-47400.0,66100.0,18700.0
2024-07-09,35600.0,199500.0,52700.0,73400.0,126100.0
2024-07-09,35650.0,117200.0,-76200.0,96700.0,20500.0
2024-07-09,35700.0,72400.0,29600.0,21400.0,51000.0
2024-07-09,35750.0,300.0,300.0,0.0,300.0
2024-07-09,35800.0,7900.0,7900.0,0.0,7900.0
2024-07-10,34000.0,53300.0,-53300.0,53300.0,0.0
2024-07-10,34050.0,334400.0,-129400.0,231900.0,102500.0
2024-07-10,34100.0,249000.0,-81600.0,165300.0,83700.0
2024-07-10,34150.0,372500.0,-162300.0,267400.0,105100.0
2024-07-10,34200.0,317900.0,-89900.0,203900.0,114000.0
2024-07-10,34250.0,348000.0,-71400.0,209700.0,138300.0
2024-07-10,34300.0,301700.0,-29300.0,165500.0,136200.0
2024-07-10,34350.0,51600.0,-18400.0,35000.0,16600.0
2024-07-10,34400.0,237000.0,-3000.0,120000.0,117000.0
2024-07-10,34450.0,130400.0,-85600.0,108000.0,22400.0
2024-07-10,34500.0,217800.0,-144200.0,181000.0,36800.0
2024-07-10,34550.0,278600.0,-171400.0,225000.0,53600.0
2024-07-10,34600.0,510000.0,-201800.0,355900.0,154100.0
2024-07-10,34650.0,250000.0,-101800.0,175900.0,74100.0
2024-07-10,34700.0,327600.0,-200.0,163900.0,163700.0
2024-07-10,34750.0,197700.0,-60100.0,128900.0,68800.0
2024-07-10,34800.0,276200.0,-43400.0,159800.0,116400.0
2024-07-10,34850.0,163800.0,-55400.0,109600.0,54200.0
2024-07-10,34900.0,145000.0,-39400.0,92200.0,52800.0
2024-07-10,34950.0,65400.0,32000.0,16700.0,48700.0
2024-07-10,35000.0,62800.0,62800.0,0.0,62800.0
2024-07-11,34000.0,1100.0,-1100.0,1100.0,0.0
2024-07-11,34100.0,400.0,-400.0,400.0,0.0
2024-07-11,34200.0,8300.0,-2100.0,5200.0,3100.0
2024-07-11,34250.0,1500.0,-1500.0,1500.0,0.0
2024-07-11,34300.0,13600.0,-12600.0,13100.0,500.0
2024-07-11,34350.0,62900.0,35300.0,13800.0,49100.0
2024-07-11,34400.0,59200.0,12400.0,23400.0,35800.0
2024-07-11,34450.0,38600.0,-23200.0,30900.0,7700.0
2024-07-11,34500.0,85800.0,35400.0,25200.0,60600.0
2024-07-11,34550.0,48400.0,400.0,24000.0,24400.0
2024-07-11,34600.0,250000.0,-145200.0,197600.0,52400.0
2024-07-11,34650.0,303100.0,-49900.0,176500.0,126600.0
2024-07-11,34700.0,287400.0,-72600.0,180000.0,107400.0
2024-07-11,34750.0,178200.0,70000.0,54100.0,124100.0
2024-07-11,34800.0,53700.0,17300.0,18200.0,35500.0
2024-07-11,34850.0,5400.0,5400.0,0.0,5400.0
2024-07-12,34300.0,12200.0,-12200.0,12200.0,0.0
2024-07-12,34350.0,29200.0,-1600.0,15400.0,13800.0
2024-07-12,34400.0,268600.0,-137600.0,203100.0,65500.0
2024-07-12,34450.0,153600.0,-71200.0,112400.0,41200.0
2024-07-12,34500.0,367000.0,-151000.0,259000.0,108000.0
2024-07-12,34550.0,215000.0,-85800.0,150400.0,64600.0
2024-07-12,34600.0,280100.0,-72100.0,176100.0,104000.0
2024-07-12,34650.0,120600.0,58200.0,31200.0,89400.0
2024-07-12,34700.0,61700.0,8100.0,26800.0,34900.0
2024-07-12,34750.0,46700.0,-32300.0,39500.0,7200.0
2024-07-12,34800.0,140900.0,-39700.0,90300.0,50600.0
2024-07-12,34850.0,76100.0,25300.0,25400.0,50700.0
2024-07-12,34900.0,30300.0,23700.0,3300.0,27000.0
2024-07-12,34950.0,400.0,400.0,0.0,400.0
2024-07-15,33600.0,173100.0,-173100.0,173100.0,0.0
2024-07-15,33650.0,378400.0,-117800.0,248100.0,130300.0
2024-07-15,33700.0,374700.0,-36900.0,205800.0,168900.0
2024-07-15,33750.0,190400.0,-19200.0,104800.0,85600.0
2024-07-15,33800.0,196800.0,-53800.0,125300.0,71500.0
2024-07-15,33850.0,82100.0,-2100.0,42100.0,40000.0
2024-07-15,33900.0,66900.0,-40900.0,53900.0,13000.0
2024-07-15,33950.0,122200.0,-34200.0,78200.0,44000.0
2024-07-15,34000.0,242200.0,-112400.0,177300.0,64900.0
2024-07-15,34050.0,79700.0,-49900.0,64800.0,14900.0
2024-07-15,34100.0,52000.0,31800.0,10100.0,41900.0
2024-07-15,34150.0,6000.0,-6000.0,6000.0,0.0
2024-07-15,34200.0,58000.0,-52000.0,55000.0,3000.0
2024-07-15,34250.0,66600.0,1400.0,32600.0,34000.0
2024-07-15,34300.0,81500.0,-77900.0,79700.0,1800.0
2024-07-15,34350.0,61300.0,-51700.0,56500.0,4800.0
2024-07-15,34400.0,96000.0,-25400.0,60700.0,35300.0
2024-07-15,34450.0,169900.0,-122500.0,146200.0,23700.0
2024-07-15,34500.0,47700.0,300.0,23700.0,24000.0
2024-07-15,34550.0,12000.0,7200.0,2400.0,9600.0
2024-07-15,34600.0,43300.0,-40300.0,41800.0,1500.0
2024-07-15,34650.0,7100.0,-6700.0,6900.0,200.0
2024-07-15,34700.0,15000.0,-9800.0,12400.0,2600.0
2024-07-15,34750.0,66600.0,23800.0,21400.0,45200.0
2024-07-15,34800.0,61600.0,34800.0,13400.0,48200.0
2024-07-15,34850.0,500.0,500.0,0.0,500.0
2024-07-16,31250.0,3127300.0,-219500.0,1673400.0,1453900.0
2024-07-16,31300.0,445500.0,-217500.0,331500.0,114000.0
2024-07-16,31350.0,94100.0,24900.0,34600.0,59500.0
2024-07-16,31400.0,125100.0,-22900.0,74000.0,51100.0
2024-07-16,31450.0,9700.0,-4100.0,6900.0,2800.0
2024-07-16,31500.0,475800.0,-382200.0,429000.0,46800.0
2024-07-16,31550.0,227900.0,-212300.0,220100.0,7800.0
2024-07-16,31600.0,122600.0,-82200.0,102400.0,20200.0
2024-07-16,31650.0,74500.0,-67900.0,71200.0,3300.0
2024-07-16,31700.0,182000.0,-135800.0,158900.0,23100.0
2024-07-16,31750.0,244500.0,-73900.0,159200.0,85300.0
2024-07-16,31800.0,541900.0,-253500.0,397700.0,144200.0
2024-07-16,31850.0,507700.0,-78900.0,293300.0,214400.0
2024-07-16,31900.0,236000.0,1200.0,117400.0,118600.0
2024-07-16,31950.0,49200.0,21200.0,14000.0,35200.0
2024-07-16,32000.0,549000.0,-210400.0,379700.0,169300.0
2024-07-16,32050.0,64200.0,-18000.0,41100.0,23100.0
2024-07-16,32100.0,120900.0,-13900.0,67400.0,53500.0
2024-07-16,32150.0,57800.0,-16800.0,37300.0,20500.0
2024-07-16,32200.0,144100.0,-51900.0,98000.0,46100.0
2024-07-16,32250.0,55500.0,-3100.0,29300.0,26200.0
2024-07-16,32300.0,117700.0,-31300.0,74500.0,43200.0
2024-07-16,32350.0,37100.0,6700.0,15200.0,21900.0
2024-07-16,32400.0,130800.0,-40800.0,85800.0,45000.0
2024-07-16,32450.0,78400.0,-5400.0,41900.0,36500.0
2024-07-16,32500.0,336600.0,-178400.0,257500.0,79100.0
2024-07-16,32550.0,21400.0,-21200.0,21300.0,100.0
2024-07-16,32600.0,164200.0,-152200.0,158200.0,6000.0
2024-07-16,32650.0,123400.0,-17000.0,70200.0,53200.0
2024-07-16,32700.0,145300.0,-122100.0,133700.0,11600.0
2024-07-16,32750.0,63900.0,-51900.0,57900.0,6000.0
2024-07-16,32800.0,461600.0,-238400.0,350000.0,111600.0
2024-07-16,32850.0,262400.0,-91000.0,176700.0,85700.0
2024-07-16,32900.0,250600.0,-22200.0,136400.0,114200.0
2024-07-16,32950.0,25900.0,13700.0,6100.0,19800.0
2024-07-16,33000.0,192200.0,64800.0,63700.0,128500.0
2024-07-16,33050.0,9700.0,-9700.0,9700.0,0.0
2024-07-16,33100.0,2700.0,-2700.0,2700.0,0.0
2024-07-16,33150.0,13500.0,8300.0,2600.0,10900.0
2024-07-16,33200.0,30600.0,-21200.0,25900.0,4700.0
2024-07-16,33250.0,5800.0,1800.0,2000.0,3800.0
2024-07-16,33300.0,24200.0,-7000.0,15600.0,8600.0
2024-07-16,33350.0,1700.0,-1700.0,1700.0,0.0
2024-07-16,33400.0,58400.0,-400.0,29400.0,29000.0
2024-07-16,33450.0,600.0,-600.0,600.0,0.0
2024-07-16,33500.0,15200.0,-7000.0,11100.0,4100.0
2024-07-16,33550.0,8800.0,-3600.0,6200.0,2600.0
2024-07-16,33600.0,180900.0,-128700.0,154800.0,26100.0
2024-07-16,33650.0,22400.0,-22200.0,22300.0,100.0
2024-07-16,33700.0,51600.0,-13000.0,32300.0,19300.0
2024-07-16,33750.0,29900.0,14300.0,7800.0,22100.0
2024-07-16,33800.0,61400.0,3000.0,29200.0,32200.0
2024-07-17,29100.0,1284400.0,-347200.0,815800.0,468600.0
2024-07-17,29150.0,80200.0,-80000.0,80100.0,100.0
2024-07-17,29200.0,641900.0,-630300.0,636100.0,5800.0
2024-07-17,29250.0,614700.0,-185500.0,400100.0,214600.0
2024-07-17,29300.0,659700.0,-32100.0,345900.0,313800.0
2024-07-17,29350.0,365900.0,21500.0,172200.0,193700.0
2024-07-17,29400.0,616900.0,-188700.0,402800.0,214100.0
2024-07-17,29450.0,544000.0,6800.0,268600.0,275400.0
2024-07-17,29500.0,777700.0,146500.0,315600.0,462100.0
2024-07-17,29550.0,234400.0,-73400.0,153900.0,80500.0
2024-07-17,29600.0,312500.0,18100.0,147200.0,165300.0
2024-07-17,29650.0,128000.0,-76200.0,102100.0,25900.0
2024-07-17,29700.0,59700.0,-9300.0,34500.0,25200.0
2024-07-17,29750.0,70000.0,-42600.0,56300.0,13700.0
2024-07-17,29800.0,572400.0,-67600.0,320000.0,252400.0
2024-07-17,29850.0,198000.0,25200.0,86400.0,111600.0
2024-07-17,29900.0,156800.0,8200.0,74300.0,82500.0
2024-07-17,29950.0,26000.0,25800.0,100.0,25900.0
2024-07-17,30000.0,151600.0,66400.0,42600.0,109000.0
2024-07-17,30050.0,2700.0,900.0,900.0,1800.0
2024-07-17,30100.0,3200.0,1200.0,1000.0,2200.0
2024-07-17,30150.0,700.0,700.0,0.0,700.0
2024-07-17,30200.0,5400.0,5400.0,0.0,5400.0
2024-07-17,30250.0,32100.0,16900.0,7600.0,24500.0
2024-07-17,30300.0,114400.0,-86600.0,100500.0,13900.0
