t,p,q,d,b,a
2024-07-09,13750.0,36300.0,-36300.0,36300.0,0.0
2024-07-09,13800.0,19900.0,-17500.0,18700.0,1200.0
2024-07-09,13850.0,31400.0,-15400.0,23400.0,8000.0
2024-07-09,13900.0,87800.0,-41600.0,64700.0,23100.0
2024-07-09,13950.0,30600.0,-200.0,15400.0,15200.0
2024-07-09,14000.0,67600.0,-17600.0,42600.0,25000.0
2024-07-09,14050.0,17500.0,-8900.0,13200.0,4300.0
2024-07-09,14100.0,16300.0,3700.0,6300.0,10000.0
2024-07-09,14150.0,2700.0,2100.0,300.0,2400.0
2024-07-09,14200.0,1700.0,-700.0,1200.0,500.0
2024-07-09,14250.0,100.0,-100.0,100.0,0.0
2024-07-09,14300.0,1200.0,-1200.0,1200.0,0.0
2024-07-09,14350.0,4000.0,-2000.0,3000.0,1000.0
2024-07-09,14400.0,7300.0,-6300.0,6800.0,500.0
2024-07-09,14450.0,6300.0,2500.0,1900.0,4400.0
2024-07-09,14500.0,1700.0,-1700.0,1700.0,0.0
2024-07-09,14550.0,2800.0,-2800.0,2800.0,0.0
2024-07-09,14600.0,3300.0,-700.0,2000.0,1300.0
2024-07-10,14200.0,6000.0,4000.0,1000.0,5000.0
2024-07-10,14250.0,9800.0,7000.0,1400.0,8400.0
2024-07-10,14300.0,11100.0,-300.0,5700.0,5400.0
2024-07-10,14350.0,25400.0,-10200.0,17800.0,7600.0
2024-07-10,14400.0,95400.0,46600.0,24400.0,71000.0
2024-07-10,14500.0,27900.0,15500.0,6200.0,21700.0
2024-07-10,14550.0,3900.0,3900.0,0.0,3900.0
2024-07-11,14000.0,400.0,-400.0,400.0,0.0
2024-07-11,14050.0,100.0,-100.0,100.0,0.0
2024-07-11,14100.0,7900.0,-7500.0,7700.0,200.0
2024-07-11,14150.0,4500.0,-1500.0,3000.0,1500.0
2024-07-11,14200.0,7300.0,-1500.0,4400.0,2900.0
2024-07-11,14250.0,6800.0,-1400.0,4100.0,2700.0
2024-07-11,14300.0,10000.0,2600.0,3700.0,6300.0
2024-07-11,14350.0,7100.0,-500.0,3800.0,3300.0
2024-07-11,14400.0,13600.0,-7200.0,10400.0,3200.0
2024-07-11,14450.0,2100.0,300.0,900.0,1200.0
2024-07-11,14500.0,6200.0,400.0,2900.0,3300.0
2024-07-11,14550.0,1000.0,-1000.0,1000.0,0.0
2024-07-11,14600.0,8500.0,2300.0,3100.0,5400.0
2024-07-11,14700.0,400.0,-400.0,400.0,0.0
2024-07-11,14800.0,1000.0,1000.0,0.0,1000.0
2024-07-12,13800.0,26000.0,-13400.0,19700.0,6300.0
2024-07-12,13850.0,8900.0,-8100.0,8500.0,400.0
2024-07-12,13900.0,15900.0,-10100.0,13000.0,2900.0
2024-07-12,13950.0,17900.0,-15700.0,16800.0,1100.0
2024-07-12,14000.0,16900.0,-11500.0,14200.0,2700.0
2024-07-12,14050.0,5700.0,700.0,2500.0,3200.0
2024-07-12,14100.0,5000.0,-200.0,2600.0,2400.0
2024-07-15,13650.0,7400.0,-6200.0,6800.0,600.0
2024-07-15,13700.0,28900.0,-25700.0,27300.0,1600.0
2024-07-15,13750.0,24100.0,-1500.0,12800.0,11300.0
2024-07-15,13800.0,27400.0,-11600.0,19500.0,7900.0
2024-07-15,13850.0,9000.0,-8600.0,8800.0,200.0
2024-07-15,13900.0,300.0,-300.0,300.0,0.0
2024-07-15,13950.0,500.0,-500.0,500.0,0.0
2024-07-15,14000.0,6600.0,2200.0,2200.0,4400.0
2024-07-15,14200.0,2200.0,1200.0,500.0,1700.0
2024-07-16,13600.0,1000.0,-1000.0,1000.0,0.0
2024-07-16,13650.0,7000.0,-2200.0,4600.0,2400.0
2024-07-16,13700.0,17600.0,-10800.0,14200.0,3400.0
2024-07-16,13750.0,22000.0,-4000.0,13000.0,9000.0
2024-07-16,13800.0,8900.0,-4300.0,6600.0,2300.0
2024-07-16,13850.0,8100.0,-4100.0,6100.0,2000.0
2024-07-16,13900.0,5300.0,4900.0,200.0,5100.0
2024-07-16,13950.0,4700.0,700.0,2000.0,2700.0
2024-07-16,14000.0,6400.0,-3800.0,5100.0,1300.0
2024-07-16,14100.0,1300.0,100.0,600.0,700.0
2024-07-17,13300.0,1500.0,-1500.0,1500.0,0.0
2024-07-17,13400.0,31900.0,-31700.0,31800.0,100.0
2024-07-17,13450.0,4400.0,-4400.0,4400.0,0.0
2024-07-17,13500.0,19400.0,-14200.0,16800.0,2600.0
2024-07-17,13550.0,10100.0,1500.0,4300.0,5800.0
2024-07-17,13600.0,13700.0,-500.0,7100.0,6600.0
2024-07-17,13650.0,6900.0,3700.0,1600.0,5300.0
2024-07-17,13700.0,11900.0,-10700.0,11300.0,600.0
2024-07-17,13800.0,1600.0,600.0,500.0,1100.0
2024-07-17,13850.0,200.0,200.0,0.0,200.0
2024-07-17,14000.0,100.0,100.0,0.0,100.0
2024-07-18,13100.0,12000.0,-12000.0,12000.0,0.0
2024-07-18,13150.0,10900.0,-10700.0,10800.0,100.0
2024-07-18,13200.0,27200.0,-18600.0,22900.0,4300.0
2024-07-18,13250.0,6700.0,-1700.0,4200.0,2500.0
2024-07-18,13300.0,5300.0,2700.0,1300.0,4000.0
2024-07-18,13350.0,100.0,-100.0,100.0,0.0
2024-07-18,13400.0,1100.0,-500.0,800.0,300.0
2024-07-18,13450.0,400.0,0.0,200.0,200.0
2024-07-18,13500.0,100.0,-100.0,100.0,0.0
2024-07-19,13100.0,4300.0,-4300.0,4300.0,0.0
2024-07-19,13150.0,11900.0,-11900.0,11900.0,0.0
2024-07-19,13200.0,11800.0,-9200.0,10500.0,1300.0
2024-07-19,13250.0,9800.0,-1200.0,5500.0,4300.0
2024-07-19,13300.0,30100.0,17500.0,6300.0,23800.0
2024-07-19,13350.0,2800.0,-1200.0,2000.0,800.0
2024-07-19,13400.0,4900.0,900.0,2000.0,2900.0
2024-07-19,13450.0,2300.0,700.0,800.0,1500.0
2024-07-19,13500.0,1600.0,200.0,700.0,900.0
2024-07-22,13000.0,6500.0,-6500.0,6500.0,0.0
2024-07-22,13200.0,8500.0,-8500.0,8500.0,0.0
2024-07-22,13250.0,4700.0,-3700.0,4200.0,500.0
2024-07-22,13300.0,15700.0,700.0,7500.0,8200.0
2024-07-22,13350.0,1400.0,-1200.0,1300.0,100.0
2024-07-22,13400.0,8500.0,5700.0,1400.0,7100.0
2024-07-22,13450.0,1300.0,-1100.0,1200.0,100.0
2024-07-23,13000.0,0.0,0.0,0.0,0.0
2024-07-23,13150.0,500.0,-500.0,500.0,0.0
2024-07-23,13200.0,24500.0,-20300.0,22400.0,2100.0
2024-07-23,13250.0,14900.0,-7900.0,11400.0,3500.0
2024-07-23,13300.0,4200.0,-2400.0,3300.0,900.0
2024-07-23,13350.0,200.0,200.0,0.0,200.0
2024-07-23,13400.0,1000.0,1000.0,0.0,1000.0
2024-07-23,13450.0,900.0,-500.0,700.0,200.0
2024-07-23,13500.0,1300.0,-300.0,800.0,500.0
2024-07-23,13600.0,400.0,-200.0,300.0,100.0
2024-07-24,13000.0,1200.0,-1200.0,1200.0,0.0
2024-07-24,13050.0,4200.0,-3800.0,4000.0,200.0
2024-07-24,13100.0,4400.0,-1200.0,2800.0,1600.0
2024-07-24,13200.0,100.0,100.0,0.0,100.0
2024-07-24,13300.0,6000.0,4800.0,600.0,5400.0
2024-07-24,13400.0,900.0,900.0,0.0,900.0
2024-07-24,13500.0,300.0,300.0,0.0,300.0
2024-07-25,13000.0,12800.0,-12800.0,12800.0,0.0
2024-07-25,13050.0,10000.0,-8800.0,9400.0,600.0
2024-07-25,13100.0,22300.0,-13100.0,17700.0,4600.0
2024-07-25,13150.0,200.0,0.0,100.0,100.0
2024-07-25,13200.0,1000.0,200.0,400.0,600.0
2024-07-26,13050.0,1000.0,-1000.0,1000.0,0.0
2024-07-26,13100.0,10100.0,-9100.0,9600.0,500.0
2024-07-26,13150.0,8100.0,-2300.0,5200.0,2900.0
2024-07-26,13200.0,17900.0,2900.0,7500.0,10400.0
2024-07-26,13250.0,1600.0,1600.0,0.0,1600.0
2024-07-26,13300.0,3600.0,3600.0,0.0,3600.0
2024-07-26,13350.0,1000.0,1000.0,0.0,1000.0
2024-07-26,13400.0,0.0,0.0,0.0,0.0
2024-07-29,13350.0,500.0,-500.0,500.0,0.0
2024-07-29,13400.0,9900.0,-9900.0,9900.0,0.0
2024-07-29,13450.0,1300.0,-900.0,1100.0,200.0
2024-07-29,13500.0,1100.0,-1100.0,1100.0,0.0
2024-07-29,13550.0,12100.0,-2300.0,7200.0,4900.0
2024-07-29,13600.0,4400.0,-3600.0,4000.0,400.0
2024-07-29,13650.0,800.0,800.0,0.0,800.0
2024-07-29,13750.0,100.0,100.0,0.0,100.0
2024-07-29,13800.0,12300.0,-6100.0,9200.0,3100.0
2024-07-29,13850.0,8200.0,-3800.0,6000.0,2200.0
2024-07-29,13900.0,200.0,200.0,0.0,200.0
2024-07-30,13350.0,5000.0,-5000.0,5000.0,0.0
2024-07-30,13400.0,3000.0,-800.0,1900.0,1100.0
2024-07-30,13450.0,3800.0,-3200.0,3500.0,300.0
2024-07-30,13500.0,12200.0,-9800.0,11000.0,1200.0
2024-07-30,13550.0,11800.0,-4800.0,8300.0,3500.0
2024-07-30,13600.0,5200.0,-400.0,2800.0,2400.0
2024-07-30,13650.0,3800.0,2800.0,500.0,3300.0
2024-07-30,13700.0,4700.0,4700.0,0.0,4700.0
