t,p,q,d,b,a
2024-07-08,61000.0,15800.0,-6000.0,10900.0,4900.0
2024-07-08,61100.0,16400.0,-200.0,8300.0,8100.0
2024-07-08,61200.0,14500.0,-7500.0,11000.0,3500.0
2024-07-08,61300.0,26200.0,-200.0,13200.0,13000.0
2024-07-08,61400.0,112900.0,58700.0,27100.0,85800.0
2024-07-08,61500.0,112900.0,27700.0,42600.0,70300.0
2024-07-08,61600.0,144100.0,-83300.0,113700.0,30400.0
2024-07-08,61700.0,240000.0,-86000.0,163000.0,77000.0
2024-07-08,61800.0,362900.0,-111100.0,237000.0,125900.0
2024-07-08,61900.0,166400.0,38600.0,63900.0,102500.0
2024-07-08,62000.0,304400.0,-138200.0,221300.0,83100.0
2024-07-08,62100.0,52200.0,-14600.0,33400.0,18800.0
2024-07-08,62200.0,101300.0,-36900.0,69100.0,32200.0
2024-07-08,62300.0,128000.0,37800.0,45100.0,82900.0
2024-07-08,62400.0,114600.0,13200.0,50700.0,63900.0
2024-07-08,62500.0,99700.0,32500.0,33600.0,66100.0
2024-07-08,62600.0,45700.0,-2500.0,24100.0,21600.0
2024-07-08,62700.0,24100.0,9900.0,7100.0,17000.0
2024-07-08,62800.0,61200.0,61200.0,0.0,61200.0
2024-07-09,61800.0,89900.0,-71500.0,80700.0,9200.0
2024-07-09,61900.0,370200.0,-113200.0,241700.0,128500.0
2024-07-09,62000.0,345600.0,-52800.0,199200.0,146400.0
2024-07-09,62100.0,105100.0,-33900.0,69500.0,35600.0
2024-07-09,62200.0,59300.0,21300.0,19000.0,40300.0
2024-07-09,62300.0,104400.0,-57200.0,80800.0,23600.0
2024-07-09,62400.0,52800.0,6000.0,23400.0,29400.0
2024-07-09,62500.0,292500.0,-289700.0,291100.0,1400.0
2024-07-09,62600.0,2000.0,600.0,700.0,1300.0
2024-07-09,62700.0,100.0,100.0,0.0,100.0
2024-07-10,61900.0,86100.0,-86100.0,86100.0,0.0
2024-07-10,62000.0,143300.0,-104500.0,123900.0,19400.0
2024-07-10,62100.0,139500.0,-85900.0,112700.0,26800.0
2024-07-10,62200.0,184200.0,-64000.0,124100.0,60100.0
2024-07-10,62300.0,150600.0,-97000.0,123800.0,26800.0
2024-07-10,62400.0,101800.0,-46600.0,74200.0,27600.0
2024-07-10,62500.0,63600.0,13600.0,25000.0,38600.0
2024-07-10,62600.0,67200.0,-4600.0,35900.0,31300.0
2024-07-10,62700.0,97500.0,30100.0,33700.0,63800.0
2024-07-10,62800.0,60200.0,400.0,29900.0,30300.0
2024-07-10,62900.0,77900.0,29300.0,24300.0,53600.0
2024-07-11,61600.0,113200.0,-112800.0,113000.0,200.0
2024-07-11,61700.0,36100.0,-23100.0,29600.0,6500.0
2024-07-11,61800.0,154300.0,-132500.0,143400.0,10900.0
2024-07-11,61900.0,150600.0,-92200.0,121400.0,29200.0
2024-07-11,62000.0,173500.0,-6300.0,89900.0,83600.0
2024-07-11,62100.0,51600.0,-12400.0,32000.0,19600.0
2024-07-11,62200.0,41700.0,14500.0,13600.0,28100.0
2024-07-11,62300.0,19000.0,-15000.0,17000.0,2000.0
2024-07-11,62400.0,30500.0,5300.0,12600.0,17900.0
2024-07-11,62500.0,3000.0,3000.0,0.0,3000.0
2024-07-12,61200.0,92500.0,-91500.0,92000.0,500.0
2024-07-12,61300.0,21100.0,-19100.0,20100.0,1000.0
2024-07-12,61400.0,130800.0,-49200.0,90000.0,40800.0
2024-07-12,61500.0,169300.0,-57500.0,113400.0,55900.0
2024-07-12,61600.0,231000.0,-71000.0,151000.0,80000.0
2024-07-12,61700.0,122700.0,-10500.0,66600.0,56100.0
2024-07-12,61800.0,100700.0,-8300.0,54500.0,46200.0
2024-07-12,61900.0,27600.0,-2200.0,14900.0,12700.0
2024-07-12,62000.0,10400.0,10400.0,0.0,10400.0
2024-07-15,60000.0,252300.0,-252300.0,252300.0,0.0
2024-07-15,60100.0,339000.0,-26400.0,182700.0,156300.0
2024-07-15,60200.0,277400.0,17200.0,130100.0,147300.0
2024-07-15,60300.0,205800.0,21000.0,92400.0,113400.0
2024-07-15,60400.0,149600.0,-89000.0,119300.0,30300.0
2024-07-15,60500.0,276200.0,-51600.0,163900.0,112300.0
2024-07-15,60600.0,61400.0,-43600.0,52500.0,8900.0
2024-07-15,60700.0,97300.0,-28700.0,63000.0,34300.0
2024-07-15,60800.0,12000.0,-7000.0,9500.0,2500.0
2024-07-15,60900.0,9000.0,-6800.0,7900.0,1100.0
2024-07-15,61000.0,54800.0,-53800.0,54300.0,500.0
2024-07-15,61100.0,45500.0,-22900.0,34200.0,11300.0
2024-07-15,61200.0,35700.0,-5700.0,20700.0,15000.0
2024-07-15,61300.0,15000.0,-10800.0,12900.0,2100.0
2024-07-15,61400.0,3200.0,0.0,1600.0,1600.0
2024-07-15,61500.0,22000.0,-14200.0,18100.0,3900.0
2024-07-15,61600.0,13600.0,8800.0,2400.0,11200.0
2024-07-16,59800.0,600.0,-600.0,600.0,0.0
2024-07-16,59900.0,127000.0,-104600.0,115800.0,11200.0
2024-07-16,60000.0,286100.0,-220300.0,253200.0,32900.0
2024-07-16,60100.0,541000.0,171800.0,184600.0,356400.0
2024-07-16,60200.0,120700.0,35100.0,42800.0,77900.0
2024-07-16,60300.0,120800.0,1800.0,59500.0,61300.0
2024-07-16,60400.0,138800.0,-34600.0,86700.0,52100.0
2024-07-16,60500.0,21400.0,18000.0,1700.0,19700.0
2024-07-17,58100.0,43000.0,-43000.0,43000.0,0.0
2024-07-17,58200.0,39800.0,-23800.0,31800.0,8000.0
2024-07-17,58300.0,63600.0,-26200.0,44900.0,18700.0
2024-07-17,58400.0,67800.0,-28400.0,48100.0,19700.0
2024-07-17,58500.0,199100.0,81500.0,58800.0,140300.0
2024-07-17,58600.0,50800.0,-48000.0,49400.0,1400.0
2024-07-17,58700.0,49400.0,-35000.0,42200.0,7200.0
2024-07-17,58800.0,39800.0,-34000.0,36900.0,2900.0
2024-07-17,58900.0,36500.0,-32100.0,34300.0,2200.0
2024-07-17,59000.0,132900.0,-129100.0,131000.0,1900.0
2024-07-17,59100.0,94500.0,-81900.0,88200.0,6300.0
