t,p,q,d,b,a
2024-02-15,11350.0,23400.0,21400.0,1000.0,22400.0
2024-02-15,11400.0,18800.0,18800.0,0.0,18800.0
2024-02-15,11450.0,54600.0,54600.0,0.0,54600.0
2024-02-15,11500.0,94800.0,94800.0,0.0,94800.0
2024-02-15,11550.0,49900.0,-32700.0,41300.0,8600.0
2024-02-15,11600.0,224900.0,68900.0,78000.0,146900.0
2024-02-15,11650.0,151800.0,71800.0,40000.0,111800.0
2024-02-15,11700.0,1590400.0,-635600.0,1113000.0,477400.0
2024-02-15,11750.0,1059500.0,430300.0,314600.0,744900.0
2024-02-15,11800.0,153000.0,153000.0,0.0,153000.0
2024-02-16,11600.0,6200.0,-6200.0,6200.0,0.0
2024-02-16,11650.0,727700.0,-440900.0,584300.0,143400.0
2024-02-16,11700.0,654400.0,165800.0,244300.0,410100.0
2024-02-16,11750.0,21500.0,21500.0,0.0,21500.0
2024-02-19,11650.0,37600.0,-37600.0,37600.0,0.0
2024-02-19,11700.0,533200.0,-228000.0,380600.0,152600.0
2024-02-19,11750.0,1063000.0,182600.0,440200.0,622800.0
2024-02-19,11800.0,337300.0,118500.0,109400.0,227900.0
2024-02-19,11850.0,75000.0,75000.0,0.0,75000.0
2024-02-20,11600.0,32500.0,-32500.0,32500.0,0.0
2024-02-20,11650.0,687300.0,-392100.0,539700.0,147600.0
2024-02-20,11700.0,504000.0,-91200.0,297600.0,206400.0
2024-02-20,11750.0,459700.0,267900.0,95900.0,363800.0
2024-02-20,11800.0,34300.0,34300.0,0.0,34300.0
2024-02-21,11500.0,341300.0,-341300.0,341300.0,0.0
2024-02-21,11550.0,658700.0,94900.0,281900.0,376800.0
2024-02-21,11600.0,587800.0,-279600.0,433700.0,154100.0
2024-02-21,11650.0,321200.0,-78400.0,199800.0,121400.0
2024-02-21,11700.0,17100.0,17100.0,0.0,17100.0
2024-02-22,11500.0,9000.0,-9000.0,9000.0,0.0
2024-02-22,11550.0,30500.0,-9900.0,20200.0,10300.0
2024-02-22,11600.0,58100.0,22300.0,17900.0,40200.0
2024-02-22,11650.0,393300.0,-118900.0,256100.0,137200.0
2024-02-22,11700.0,732300.0,-187500.0,459900.0,272400.0
2024-02-22,11750.0,810500.0,545300.0,132600.0,677900.0
2024-02-22,11800.0,12100.0,12100.0,0.0,12100.0
2024-02-23,11750.0,39400.0,-39400.0,39400.0,0.0
2024-02-23,11800.0,241200.0,-162200.0,201700.0,39500.0
2024-02-23,11850.0,468400.0,-193400.0,330900.0,137500.0
2024-02-23,11900.0,576500.0,-177100.0,376800.0,199700.0
2024-02-23,11950.0,467500.0,-192500.0,330000.0,137500.0
2024-02-23,12000.0,781100.0,-251300.0,516200.0,264900.0
2024-02-23,12050.0,904100.0,-90700.0,497400.0,406700.0
2024-02-23,12100.0,3250200.0,-452200.0,1851200.0,1399000.0
2024-02-23,12150.0,1267100.0,939100.0,164000.0,1103100.0
2024-02-23,12200.0,2700.0,2700.0,0.0,2700.0
2024-02-26,11850.0,97200.0,18400.0,39400.0,57800.0
2024-02-26,11900.0,51800.0,-15800.0,33800.0,18000.0
2024-02-26,11950.0,244900.0,-58300.0,151600.0,93300.0
2024-02-26,12000.0,97300.0,97300.0,0.0,97300.0
2024-02-26,12050.0,121200.0,93200.0,14000.0,107200.0
2024-02-26,12100.0,211200.0,117800.0,46700.0,164500.0
2024-02-26,12150.0,367700.0,-36900.0,202300.0,165400.0
2024-02-26,12200.0,334000.0,282200.0,25900.0,308100.0
2024-02-26,12250.0,575400.0,230200.0,172600.0,402800.0
2024-02-26,12300.0,669000.0,477200.0,95900.0,573100.0
2024-02-26,12350.0,375900.0,321500.0,27200.0,348700.0
2024-02-26,12400.0,477100.0,421100.0,28000.0,449100.0
2024-02-26,12450.0,198000.0,185800.0,6100.0,191900.0
2024-02-26,12500.0,489600.0,487000.0,1300.0,488300.0
2024-02-26,12550.0,725000.0,-494400.0,609700.0,115300.0
2024-02-26,12600.0,3091300.0,1544500.0,773400.0,2317900.0
2024-02-26,12650.0,2450800.0,1553400.0,448700.0,2002100.0
2024-02-27,12400.0,95800.0,-95800.0,95800.0,0.0
2024-02-27,12450.0,700100.0,-394500.0,547300.0,152800.0
2024-02-27,12500.0,475800.0,28000.0,223900.0,251900.0
2024-02-27,12550.0,434000.0,-71800.0,252900.0,181100.0
2024-02-27,12600.0,658200.0,41200.0,308500.0,349700.0
2024-02-27,12650.0,376900.0,-3100.0,190000.0,186900.0
2024-02-27,12700.0,308900.0,-32300.0,170600.0,138300.0
2024-02-27,12750.0,129000.0,-55800.0,92400.0,36600.0
2024-02-27,12800.0,271600.0,-8400.0,140000.0,131600.0
2024-02-27,12850.0,141000.0,-50200.0,95600.0,45400.0
2024-02-27,12900.0,4200.0,4200.0,0.0,4200.0
2024-02-28,12250.0,16900.0,-16900.0,16900.0,0.0
2024-02-28,12300.0,471200.0,-296000.0,383600.0,87600.0
2024-02-28,12350.0,700600.0,-354800.0,527700.0,172900.0
2024-02-28,12400.0,744600.0,-112200.0,428400.0,316200.0
2024-02-28,12450.0,572900.0,-223300.0,398100.0,174800.0
2024-02-28,12500.0,488500.0,-75300.0,281900.0,206600.0
2024-02-28,12550.0,648900.0,-519700.0,584300.0,64600.0
2024-02-28,12600.0,588700.0,-98700.0,343700.0,245000.0
2024-02-28,12650.0,236700.0,36500.0,100100.0,136600.0
2024-02-28,12700.0,102700.0,81900.0,10400.0,92300.0
2024-02-28,12750.0,23000.0,23000.0,0.0,23000.0
2024-02-29,12300.0,114300.0,-114300.0,114300.0,0.0
2024-02-29,12350.0,887800.0,-315000.0,601400.0,286400.0
2024-02-29,12400.0,406900.0,-98100.0,252500.0,154400.0
2024-02-29,12450.0,628000.0,-205400.0,416700.0,211300.0
2024-02-29,12500.0,1066000.0,-362600.0,714300.0,351700.0
2024-02-29,12550.0,598000.0,49000.0,274500.0,323500.0
2024-02-29,12600.0,662400.0,149600.0,256400.0,406000.0
2024-02-29,12650.0,536500.0,283700.0,126400.0,410100.0
2024-02-29,12700.0,132200.0,23600.0,54300.0,77900.0
2024-02-29,12750.0,294200.0,160400.0,66900.0,227300.0
2024-02-29,12800.0,243200.0,143400.0,49900.0,193300.0
2024-02-29,12850.0,7000.0,7000.0,0.0,7000.0
2024-03-01,12400.0,100000.0,-100000.0,100000.0,0.0
2024-03-01,12450.0,902600.0,-690000.0,796300.0,106300.0
2024-03-01,12500.0,1290900.0,-95300.0,693100.0,597800.0
2024-03-01,12550.0,256000.0,117600.0,69200.0,186800.0
2024-03-01,12600.0,163200.0,-36200.0,99700.0,63500.0
2024-03-01,12650.0,58500.0,58500.0,0.0,58500.0
2024-03-04,12650.0,77800.0,-77800.0,77800.0,0.0
2024-03-04,12700.0,497100.0,-251900.0,374500.0,122600.0
2024-03-04,12750.0,1837300.0,-369900.0,1103600.0,733700.0
2024-03-04,12800.0,565200.0,58800.0,253200.0,312000.0
2024-03-04,12850.0,425800.0,-98400.0,262100.0,163700.0
2024-03-04,12900.0,858700.0,220500.0,319100.0,539600.0
2024-03-04,12950.0,362900.0,282900.0,40000.0,322900.0
2024-03-05,12650.0,9900.0,-9900.0,9900.0,0.0
2024-03-05,12700.0,328000.0,-93400.0,210700.0,117300.0
2024-03-05,12750.0,159500.0,-30300.0,94900.0,64600.0
2024-03-05,12800.0,420200.0,-254000.0,337100.0,83100.0
2024-03-05,12850.0,831300.0,-441900.0,636600.0,194700.0
2024-03-05,12900.0,1037300.0,186900.0,425200.0,612100.0
2024-03-05,12950.0,841400.0,267200.0,287100.0,554300.0
2024-03-05,13000.0,346300.0,134700.0,105800.0,240500.0
2024-03-05,13050.0,343900.0,201700.0,71100.0,272800.0
2024-03-05,13100.0,100.0,100.0,0.0,100.0
2024-03-06,12500.0,119800.0,-119800.0,119800.0,0.0
2024-03-06,12550.0,661700.0,-413700.0,537700.0,124000.0
2024-03-06,12600.0,544300.0,-6100.0,275200.0,269100.0
2024-03-06,12650.0,635900.0,-614900.0,625400.0,10500.0
2024-03-06,12700.0,626300.0,-40300.0,333300.0,293000.0
2024-03-06,12750.0,237400.0,-199600.0,218500.0,18900.0
2024-03-06,12800.0,601100.0,-179300.0,390200.0,210900.0
2024-03-06,12850.0,207400.0,-2000.0,104700.0,102700.0
2024-03-06,12900.0,10300.0,10300.0,0.0,10300.0
2024-03-07,12550.0,9000.0,-9000.0,9000.0,0.0
2024-03-07,12600.0,125800.0,-105800.0,115800.0,10000.0
2024-03-07,12650.0,1042700.0,-546300.0,794500.0,248200.0
2024-03-07,12700.0,865100.0,281100.0,292000.0,573100.0
2024-03-07,12750.0,317900.0,163300.0,77300.0,240600.0
2024-03-07,12800.0,53100.0,53100.0,0.0,53100.0
2024-03-08,12450.0,37500.0,-37500.0,37500.0,0.0
2024-03-08,12500.0,1006300.0,-795500.0,900900.0,105400.0
2024-03-08,12550.0,1244700.0,-486300.0,865500.0,379200.0
2024-03-08,12600.0,805300.0,-41300.0,423300.0,382000.0
2024-03-08,12650.0,237200.0,-121200.0,179200.0,58000.0
2024-03-08,12700.0,265900.0,-33500.0,149700.0,116200.0
2024-03-08,12750.0,155300.0,33700.0,60800.0,94500.0
2024-03-08,12800.0,72000.0,64200.0,3900.0,68100.0
2024-03-11,12700.0,15000.0,-15000.0,15000.0,0.0
2024-03-11,12750.0,379300.0,300100.0,39600.0,339700.0
2024-03-11,12800.0,336300.0,-198900.0,267600.0,68700.0
2024-03-11,12850.0,406100.0,108700.0,148700.0,257400.0
2024-03-11,12900.0,706400.0,-29200.0,367800.0,338600.0
2024-03-11,12950.0,774300.0,-111500.0,442900.0,331400.0
2024-03-11,13000.0,510000.0,287800.0,111100.0,398900.0
2024-03-11,13050.0,179300.0,94100.0,42600.0,136700.0
2024-03-11,13100.0,327000.0,50000.0,138500.0,188500.0
2024-03-11,13150.0,1223300.0,-642500.0,932900.0,290400.0
2024-03-11,13200.0,3523900.0,299100.0,1612400.0,1911500.0
2024-03-11,13250.0,307000.0,307000.0,0.0,307000.0
2024-03-12,12700.0,139100.0,-139100.0,139100.0,0.0
2024-03-12,12750.0,186000.0,-186000.0,186000.0,0.0
2024-03-12,12800.0,677400.0,-670200.0,673800.0,3600.0
2024-03-12,12850.0,618000.0,-261800.0,439900.0,178100.0
2024-03-12,12900.0,574500.0,-359900.0,467200.0,107300.0
2024-03-12,12950.0,634300.0,-224700.0,429500.0,204800.0
2024-03-12,13000.0,961800.0,491600.0,235100.0,726700.0
2024-03-12,13050.0,97300.0,97300.0,0.0,97300.0
2024-03-13,12850.0,128900.0,-27500.0,78200.0,50700.0
2024-03-13,12900.0,180500.0,118500.0,31000.0,149500.0
2024-03-13,12950.0,264200.0,137800.0,63200.0,201000.0
2024-03-13,13000.0,200900.0,200900.0,0.0,200900.0
2024-03-13,13050.0,269900.0,-152900.0,211400.0,58500.0
2024-03-13,13100.0,1265300.0,-306500.0,785900.0,479400.0
2024-03-13,13150.0,846900.0,-22700.0,434800.0,412100.0
2024-03-13,13200.0,1107100.0,223900.0,441600.0,665500.0
2024-03-13,13250.0,336500.0,80700.0,127900.0,208600.0
2024-03-13,13300.0,272500.0,63700.0,104400.0,168100.0
2024-03-13,13350.0,101400.0,15800.0,42800.0,58600.0
2024-03-13,13400.0,114800.0,87600.0,13600.0,101200.0
2024-03-14,12850.0,10900.0,-10900.0,10900.0,0.0
2024-03-14,12900.0,345100.0,-276300.0,310700.0,34400.0
2024-03-14,12950.0,413700.0,-166500.0,290100.0,123600.0
2024-03-14,13000.0,976500.0,-46500.0,511500.0,465000.0
2024-03-14,13050.0,849600.0,393400.0,228100.0,621500.0
2024-03-14,13100.0,666600.0,-273600.0,470100.0,196500.0
2024-03-14,13150.0,642200.0,-285600.0,463900.0,178300.0
2024-03-14,13200.0,281700.0,-7100.0,144400.0,137300.0
2024-03-14,13250.0,51800.0,11200.0,20300.0,31500.0
2024-03-14,13300.0,35700.0,35700.0,0.0,35700.0
2024-03-15,12700.0,235400.0,-212600.0,224000.0,11400.0
2024-03-15,12750.0,868900.0,-362700.0,615800.0,253100.0
2024-03-15,12800.0,1124000.0,-212600.0,668300.0,455700.0
2024-03-15,12850.0,944600.0,-326400.0,635500.0,309100.0
2024-03-15,12900.0,934400.0,-386000.0,660200.0,274200.0
2024-03-15,12950.0,229200.0,165800.0,31700.0,197500.0
2024-03-15,13000.0,39700.0,-39700.0,39700.0,0.0
2024-03-15,13050.0,26400.0,26400.0,0.0,26400.0
2024-03-18,12000.0,199200.0,-199200.0,199200.0,0.0
2024-03-18,12050.0,596700.0,-364300.0,480500.0,116200.0
2024-03-18,12100.0,1143000.0,-742800.0,942900.0,200100.0
2024-03-18,12150.0,1307700.0,-432500.0,870100.0,437600.0
2024-03-18,12200.0,703900.0,-111500.0,407700.0,296200.0
2024-03-18,12250.0,270900.0,-132700.0,201800.0,69100.0
2024-03-18,12300.0,469200.0,-107800.0,288500.0,180700.0
2024-03-18,12350.0,419300.0,47300.0,186000.0,233300.0
2024-03-18,12400.0,369900.0,67300.0,151300.0,218600.0
2024-03-18,12450.0,73300.0,-23100.0,48200.0,25100.0
2024-03-18,12500.0,157400.0,-56800.0,107100.0,50300.0
2024-03-18,12550.0,32800.0,-32600.0,32700.0,100.0
2024-03-18,12600.0,257700.0,-256700.0,257200.0,500.0
2024-03-18,12650.0,119200.0,-118800.0,119000.0,200.0
2024-03-18,12700.0,141800.0,-119600.0,130700.0,11100.0
2024-03-18,12750.0,232600.0,-178000.0,205300.0,27300.0
2024-03-18,12800.0,455100.0,55100.0,200000.0,255100.0
2024-03-18,12850.0,306500.0,115900.0,95300.0,211200.0
2024-03-18,12900.0,20600.0,20600.0,0.0,20600.0
2024-03-19,12150.0,109400.0,-95000.0,102200.0,7200.0
2024-03-19,12200.0,464900.0,-260300.0,362600.0,102300.0
2024-03-19,12250.0,478000.0,-192800.0,335400.0,142600.0
2024-03-19,12300.0,523800.0,280600.0,121600.0,402200.0
2024-03-19,12350.0,71100.0,65300.0,2900.0,68200.0
2024-03-20,12100.0,204000.0,-186400.0,195200.0,8800.0
2024-03-20,12150.0,206400.0,-123200.0,164800.0,41600.0
2024-03-20,12200.0,388400.0,-115800.0,252100.0,136300.0
2024-03-20,12250.0,763600.0,-23800.0,393700.0,369900.0
2024-03-20,12300.0,274900.0,132900.0,71000.0,203900.0
2024-03-20,12350.0,245100.0,110300.0,67400.0,177700.0
2024-03-20,12400.0,216200.0,65000.0,75600.0,140600.0
2024-03-20,12450.0,110000.0,94200.0,7900.0,102100.0
2024-03-20,12500.0,200.0,200.0,0.0,200.0
2024-03-21,12400.0,163600.0,-154000.0,158800.0,4800.0
2024-03-21,12450.0,140200.0,-32200.0,86200.0,54000.0
2024-03-21,12500.0,228400.0,79400.0,74500.0,153900.0
2024-03-21,12550.0,248500.0,110300.0,69100.0,179400.0
2024-03-21,12600.0,272600.0,235600.0,18500.0,254100.0
2024-03-21,12650.0,447600.0,-181400.0,314500.0,133100.0
2024-03-21,12700.0,545800.0,-92600.0,319200.0,226600.0
2024-03-21,12750.0,1027300.0,33300.0,497000.0,530300.0
2024-03-21,12800.0,615800.0,247400.0,184200.0,431600.0
2024-03-21,12850.0,333300.0,138100.0,97600.0,235700.0
2024-03-21,12900.0,300300.0,155900.0,72200.0,228100.0
2024-03-21,12950.0,73900.0,73900.0,0.0,73900.0
2024-03-22,12500.0,196600.0,-196600.0,196600.0,0.0
2024-03-22,12550.0,857000.0,-386200.0,621600.0,235400.0
2024-03-22,12600.0,1698800.0,105200.0,796800.0,902000.0
2024-03-22,12650.0,483100.0,52500.0,215300.0,267800.0
2024-03-22,12700.0,160700.0,-132500.0,146600.0,14100.0
2024-03-22,12750.0,219600.0,-65600.0,142600.0,77000.0
2024-03-22,12800.0,84400.0,82800.0,800.0,83600.0
2024-03-25,12400.0,37800.0,-37800.0,37800.0,0.0
2024-03-25,12450.0,328400.0,-201200.0,264800.0,63600.0
2024-03-25,12500.0,431800.0,-342600.0,387200.0,44600.0
2024-03-25,12550.0,327900.0,-96500.0,212200.0,115700.0
2024-03-25,12600.0,541300.0,-440700.0,491000.0,50300.0
2024-03-25,12650.0,409200.0,-38200.0,223700.0,185500.0
2024-03-25,12700.0,441600.0,-28800.0,235200.0,206400.0
2024-03-25,12750.0,440900.0,-63700.0,252300.0,188600.0
2024-03-25,12800.0,571200.0,329600.0,120800.0,450400.0
2024-03-25,12850.0,95200.0,95200.0,0.0,95200.0
2024-03-26,12350.0,58400.0,-58400.0,58400.0,0.0
2024-03-26,12400.0,119900.0,-44900.0,82400.0,37500.0
2024-03-26,12450.0,58300.0,56300.0,1000.0,57300.0
2024-03-26,12500.0,122100.0,-28300.0,75200.0,46900.0
2024-03-26,12550.0,133900.0,89500.0,22200.0,111700.0
2024-03-26,12600.0,106700.0,105300.0,700.0,106000.0
2024-03-26,12650.0,191500.0,63300.0,64100.0,127400.0
2024-03-26,12700.0,176300.0,64100.0,56100.0,120200.0
2024-03-26,12750.0,625600.0,-160800.0,393200.0,232400.0
2024-03-26,12800.0,965700.0,391900.0,286900.0,678800.0
2024-03-26,12850.0,218800.0,-31400.0,125100.0,93700.0
2024-03-26,12900.0,167000.0,200.0,83400.0,83600.0
2024-03-26,12950.0,235900.0,113500.0,61200.0,174700.0
2024-03-26,13000.0,306500.0,118700.0,93900.0,212600.0
2024-03-26,13050.0,196800.0,36200.0,80300.0,116500.0
2024-03-27,12650.0,74100.0,-74100.0,74100.0,0.0
2024-03-27,12700.0,392900.0,-278900.0,335900.0,57000.0
2024-03-27,12750.0,825800.0,-189000.0,507400.0,318400.0
2024-03-27,12800.0,659600.0,44400.0,307600.0,352000.0
2024-03-27,12850.0,296200.0,89600.0,103300.0,192900.0
2024-03-27,12900.0,114200.0,114200.0,0.0,114200.0
2024-03-28,12800.0,34400.0,-34400.0,34400.0,0.0
2024-03-28,12850.0,677300.0,299700.0,188800.0,488500.0
2024-03-28,12900.0,932200.0,-118600.0,525400.0,406800.0
2024-03-28,12950.0,899700.0,287500.0,306100.0,593600.0
2024-03-28,13000.0,676100.0,-29900.0,353000.0,323100.0
2024-03-28,13050.0,834900.0,146900.0,344000.0,490900.0
2024-03-28,13100.0,707600.0,491800.0,107900.0,599700.0
2024-03-28,13150.0,12100.0,12100.0,0.0,12100.0
2024-03-29,12750.0,121900.0,-121900.0,121900.0,0.0
2024-03-29,12800.0,843600.0,-291600.0,567600.0,276000.0
2024-03-29,12850.0,703400.0,-270400.0,486900.0,216500.0
2024-03-29,12900.0,373900.0,154900.0,109500.0,264400.0
2024-03-29,12950.0,72500.0,72500.0,0.0,72500.0
2024-04-01,12700.0,87300.0,-87300.0,87300.0,0.0
2024-04-01,12750.0,1127700.0,-171100.0,649400.0,478300.0
2024-04-01,12800.0,665300.0,83900.0,290700.0,374600.0
2024-04-01,12850.0,866500.0,-17100.0,441800.0,424700.0
2024-04-01,12900.0,132200.0,131600.0,300.0,131900.0
2024-04-01,12950.0,147900.0,147900.0,0.0,147900.0
2024-04-02,12650.0,34300.0,-34300.0,34300.0,0.0
2024-04-02,12700.0,649400.0,-353400.0,501400.0,148000.0
2024-04-02,12750.0,930700.0,-269900.0,600300.0,330400.0
2024-04-02,12800.0,635700.0,270300.0,182700.0,453000.0
2024-04-02,12850.0,21800.0,7800.0,7000.0,14800.0
2024-04-02,12900.0,10900.0,10900.0,0.0,10900.0
2024-04-02,12950.0,22900.0,22900.0,0.0,22900.0
2024-04-03,12900.0,91700.0,-91700.0,91700.0,0.0
2024-04-03,12950.0,462300.0,40500.0,210900.0,251400.0
2024-04-03,13000.0,329800.0,329800.0,0.0,329800.0
2024-04-03,13050.0,194200.0,-64000.0,129100.0,65100.0
2024-04-03,13100.0,593800.0,-93200.0,343500.0,250300.0
2024-04-03,13150.0,1973900.0,-646700.0,1310300.0,663600.0
2024-04-03,13200.0,3391000.0,-119800.0,1755400.0,1635600.0
2024-04-03,13250.0,1439800.0,553800.0,443000.0,996800.0
2024-04-03,13300.0,12300.0,12300.0,0.0,12300.0
2024-04-04,12700.0,27100.0,-27100.0,27100.0,0.0
2024-04-04,12750.0,355100.0,-232900.0,294000.0,61100.0
2024-04-04,12800.0,533600.0,-105400.0,319500.0,214100.0
2024-04-04,12850.0,660500.0,-60500.0,360500.0,300000.0
2024-04-04,12900.0,630500.0,-111500.0,371000.0,259500.0
2024-04-04,12950.0,148800.0,-23200.0,86000.0,62800.0
2024-04-04,13000.0,69600.0,-69600.0,69600.0,0.0
2024-04-04,13050.0,53900.0,52700.0,600.0,53300.0
2024-04-05,12450.0,10300.0,-10300.0,10300.0,0.0
2024-04-05,12500.0,69900.0,-13100.0,41500.0,28400.0
2024-04-05,12550.0,68900.0,-66500.0,67700.0,1200.0
2024-04-05,12600.0,231200.0,-133200.0,182200.0,49000.0
2024-04-05,12650.0,171200.0,63600.0,53800.0,117400.0
2024-04-05,12700.0,263900.0,-76500.0,170200.0,93700.0
2024-04-05,12750.0,611800.0,-205400.0,408600.0,203200.0
2024-04-05,12800.0,511500.0,-77300.0,294400.0,217100.0
2024-04-05,12850.0,606800.0,81000.0,262900.0,343900.0
2024-04-05,12900.0,661100.0,348300.0,156400.0,504700.0
2024-04-05,12950.0,137100.0,69300.0,33900.0,103200.0
2024-04-05,13000.0,46000.0,46000.0,0.0,46000.0
2024-04-08,12350.0,98300.0,-98300.0,98300.0,0.0
2024-04-08,12400.0,451400.0,-293200.0,372300.0,79100.0
2024-04-08,12450.0,630500.0,-242500.0,436500.0,194000.0
2024-04-08,12500.0,921200.0,58200.0,431500.0,489700.0
2024-04-08,12550.0,471000.0,-15800.0,243400.0,227600.0
2024-04-08,12600.0,164200.0,117800.0,23200.0,141000.0
2024-04-08,12650.0,86500.0,76100.0,5200.0,81300.0
2024-04-08,12700.0,14100.0,-500.0,7300.0,6800.0
2024-04-08,12750.0,18900.0,-18500.0,18700.0,200.0
2024-04-09,12050.0,3700.0,-3700.0,3700.0,0.0
2024-04-09,12100.0,358700.0,-358700.0,358700.0,0.0
2024-04-09,12150.0,399200.0,-269200.0,334200.0,65000.0
2024-04-09,12200.0,694800.0,-263600.0,479200.0,215600.0
2024-04-09,12250.0,976300.0,-223100.0,599700.0,376600.0
2024-04-09,12300.0,484100.0,119500.0,182300.0,301800.0
2024-04-09,12350.0,229300.0,-39900.0,134600.0,94700.0
2024-04-09,12400.0,11400.0,11400.0,0.0,11400.0
2024-04-10,12050.0,46600.0,-46600.0,46600.0,0.0
2024-04-10,12100.0,497100.0,-218700.0,357900.0,139200.0
2024-04-10,12150.0,624600.0,-106800.0,365700.0,258900.0
2024-04-10,12200.0,509400.0,-21000.0,265200.0,244200.0
2024-04-10,12250.0,430300.0,-66300.0,248300.0,182000.0
2024-04-10,12300.0,207500.0,-25900.0,116700.0,90800.0
2024-04-10,12350.0,162400.0,-109000.0,135700.0,26700.0
2024-04-10,12400.0,37100.0,34100.0,1500.0,35600.0
2024-04-10,12450.0,4200.0,4200.0,0.0,4200.0
2024-04-11,11850.0,85100.0,-85100.0,85100.0,0.0
2024-04-11,11900.0,234200.0,-1600.0,117900.0,116300.0
2024-04-11,11950.0,276900.0,-97500.0,187200.0,89700.0
2024-04-11,12000.0,641000.0,-174000.0,407500.0,233500.0
2024-04-11,12050.0,372600.0,126000.0,123300.0,249300.0
2024-04-11,12100.0,62000.0,38200.0,11900.0,50100.0
2024-04-11,12150.0,100.0,100.0,0.0,100.0
2024-04-12,12000.0,10000.0,-10000.0,10000.0,0.0
2024-04-12,12050.0,326300.0,-159500.0,242900.0,83400.0
2024-04-12,12100.0,440300.0,46500.0,196900.0,243400.0
2024-04-12,12150.0,454400.0,21800.0,216300.0,238100.0
2024-04-12,12200.0,135300.0,68300.0,33500.0,101800.0
2024-04-12,12250.0,97600.0,31000.0,33300.0,64300.0
2024-04-15,11300.0,509900.0,-509900.0,509900.0,0.0
2024-04-15,11350.0,179000.0,-56400.0,117700.0,61300.0
2024-04-15,11400.0,218300.0,-25500.0,121900.0,96400.0
2024-04-15,11450.0,10000.0,800.0,4600.0,5400.0
2024-04-15,11500.0,115200.0,-62200.0,88700.0,26500.0
2024-04-15,11550.0,24900.0,-10900.0,17900.0,7000.0
2024-04-15,11600.0,15200.0,-2800.0,9000.0,6200.0
