t,p,q,d,b,a
2024-02-15,6350.0,156800.0,-125200.0,141000.0,15800.0
2024-02-15,6360.0,300200.0,-43800.0,172000.0,128200.0
2024-02-15,6370.0,499700.0,-135100.0,317400.0,182300.0
2024-02-15,6380.0,372800.0,-22400.0,197600.0,175200.0
2024-02-15,6390.0,270100.0,23100.0,123500.0,146600.0
2024-02-15,6400.0,270100.0,-18300.0,144200.0,125900.0
2024-02-15,6410.0,113900.0,17300.0,48300.0,65600.0
2024-02-15,6420.0,87000.0,-200.0,43600.0,43400.0
2024-02-15,6430.0,19900.0,-1300.0,10600.0,9300.0
2024-02-15,6440.0,10500.0,10500.0,0.0,10500.0
2024-02-15,6450.0,72700.0,24700.0,24000.0,48700.0
2024-02-15,6460.0,25600.0,-12200.0,18900.0,6700.0
2024-02-15,6470.0,7000.0,7000.0,0.0,7000.0
2024-02-15,6480.0,3400.0,3400.0,0.0,3400.0
2024-02-15,6490.0,4700.0,4700.0,0.0,4700.0
2024-02-15,6500.0,1900.0,1900.0,0.0,1900.0
2024-02-16,6400.0,33700.0,17700.0,8000.0,25700.0
2024-02-16,6410.0,48500.0,-7700.0,28100.0,20400.0
2024-02-16,6420.0,89200.0,-41000.0,65100.0,24100.0
2024-02-16,6430.0,26600.0,23600.0,1500.0,25100.0
2024-02-16,6440.0,57100.0,49700.0,3700.0,53400.0
2024-02-16,6450.0,111700.0,97700.0,7000.0,104700.0
2024-02-16,6460.0,224300.0,-194300.0,209300.0,15000.0
2024-02-16,6470.0,509800.0,-218000.0,363900.0,145900.0
2024-02-16,6480.0,569700.0,-124500.0,347100.0,222600.0
2024-02-16,6490.0,337100.0,300.0,168400.0,168700.0
2024-02-16,6500.0,555400.0,62000.0,246700.0,308700.0
2024-02-16,6510.0,273300.0,-36700.0,155000.0,118300.0
2024-02-16,6520.0,344300.0,-62300.0,203300.0,141000.0
2024-02-16,6530.0,285300.0,110900.0,87200.0,198100.0
2024-02-16,6540.0,41300.0,-17900.0,29600.0,11700.0
2024-02-16,6550.0,208000.0,-97800.0,152900.0,55100.0
2024-02-16,6560.0,47900.0,-28500.0,38200.0,9700.0
2024-02-16,6570.0,69300.0,69300.0,0.0,69300.0
2024-02-16,6580.0,79000.0,-37600.0,58300.0,20700.0
2024-02-16,6590.0,111400.0,111400.0,0.0,111400.0
2024-02-16,6600.0,2100.0,2100.0,0.0,2100.0
2024-02-19,6450.0,36900.0,-36900.0,36900.0,0.0
2024-02-19,6460.0,428600.0,-153600.0,291100.0,137500.0
2024-02-19,6470.0,313500.0,19900.0,146800.0,166700.0
2024-02-19,6480.0,353800.0,-54600.0,204200.0,149600.0
2024-02-19,6490.0,336400.0,63800.0,136300.0,200100.0
2024-02-19,6500.0,271800.0,60400.0,105700.0,166100.0
2024-02-19,6510.0,80000.0,-47000.0,63500.0,16500.0
2024-02-19,6520.0,336400.0,-221400.0,278900.0,57500.0
2024-02-19,6530.0,538500.0,98500.0,220000.0,318500.0
2024-02-19,6540.0,513300.0,175500.0,168900.0,344400.0
2024-02-19,6550.0,424000.0,175400.0,124300.0,299700.0
2024-02-19,6560.0,132500.0,76700.0,27900.0,104600.0
2024-02-19,6570.0,40900.0,40900.0,0.0,40900.0
2024-02-19,6580.0,25600.0,-5800.0,15700.0,9900.0
2024-02-20,6460.0,7000.0,-7000.0,7000.0,0.0
2024-02-20,6470.0,353900.0,-304300.0,329100.0,24800.0
2024-02-20,6480.0,644700.0,-252300.0,448500.0,196200.0
2024-02-20,6490.0,398500.0,-82700.0,240600.0,157900.0
2024-02-20,6500.0,358800.0,-244600.0,301700.0,57100.0
2024-02-20,6510.0,321600.0,-115800.0,218700.0,102900.0
2024-02-20,6520.0,137200.0,-53800.0,95500.0,41700.0
2024-02-20,6530.0,110500.0,44100.0,33200.0,77300.0
2024-02-20,6540.0,68700.0,-65700.0,67200.0,1500.0
2024-02-20,6550.0,116700.0,-114700.0,115700.0,1000.0
2024-02-20,6560.0,66600.0,-56800.0,61700.0,4900.0
2024-02-20,6570.0,145000.0,-49200.0,97100.0,47900.0
2024-02-20,6580.0,189200.0,-76200.0,132700.0,56500.0
2024-02-21,6410.0,100.0,-100.0,100.0,0.0
2024-02-21,6420.0,74300.0,-45700.0,60000.0,14300.0
2024-02-21,6430.0,76700.0,-47100.0,61900.0,14800.0
2024-02-21,6440.0,140100.0,-80100.0,110100.0,30000.0
2024-02-21,6450.0,462900.0,-241300.0,352100.0,110800.0
2024-02-21,6460.0,674300.0,-350900.0,512600.0,161700.0
2024-02-21,6470.0,416800.0,-16000.0,216400.0,200400.0
2024-02-21,6480.0,287400.0,-17800.0,152600.0,134800.0
2024-02-21,6490.0,148500.0,5100.0,71700.0,76800.0
2024-02-21,6500.0,252800.0,-28600.0,140700.0,112100.0
2024-02-21,6510.0,114900.0,-54700.0,84800.0,30100.0
2024-02-21,6520.0,104600.0,-32000.0,68300.0,36300.0
