t,p,q,d,b,a
2024-06-11,16500.0,5200.0,-5200.0,5200.0,0.0
2024-06-11,16550.0,9900.0,-9300.0,9600.0,300.0
2024-06-11,16600.0,29300.0,-27900.0,28600.0,700.0
2024-06-11,16650.0,6600.0,3600.0,1500.0,5100.0
2024-06-11,16700.0,9400.0,7200.0,1100.0,8300.0
2024-06-11,16750.0,2100.0,2100.0,0.0,2100.0
2024-06-11,16800.0,69300.0,-43100.0,56200.0,13100.0
2024-06-11,16850.0,19900.0,19700.0,100.0,19800.0
2024-06-11,16900.0,78000.0,60000.0,9000.0,69000.0
2024-06-11,16950.0,42700.0,35100.0,3800.0,38900.0
2024-06-11,17000.0,84500.0,39100.0,22700.0,61800.0
2024-06-11,17050.0,18600.0,-15600.0,17100.0,1500.0
2024-06-11,17100.0,39700.0,16700.0,11500.0,28200.0
2024-06-11,17150.0,19800.0,-16000.0,17900.0,1900.0
2024-06-11,17200.0,132400.0,-102200.0,117300.0,15100.0
2024-06-11,17250.0,36500.0,-1300.0,18900.0,17600.0
2024-06-11,17300.0,116100.0,-40500.0,78300.0,37800.0
2024-06-11,17350.0,6200.0,0.0,3100.0,3100.0
2024-06-11,17400.0,13000.0,4000.0,4500.0,8500.0
2024-06-11,17450.0,1300.0,1300.0,0.0,1300.0
2024-06-11,17500.0,48000.0,18400.0,14800.0,33200.0
2024-06-11,17550.0,16700.0,16700.0,0.0,16700.0
2024-06-11,17600.0,23500.0,23500.0,0.0,23500.0
2024-06-11,17650.0,16400.0,16400.0,0.0,16400.0
2024-04-22,9820.0,20500.0,1500.0,9500.0,11000.0
2024-04-22,9980.0,1100.0,100.0,500.0,600.0
2024-05-22,11200.0,900.0,-900.0,900.0,0.0
2024-05-22,11300.0,38200.0,-26800.0,32500.0,5700.0
2024-05-22,11350.0,4900.0,-1700.0,3300.0,1600.0
2024-05-22,11400.0,11900.0,1900.0,5000.0,6900.0
2024-05-22,11450.0,7400.0,3400.0,2000.0,5400.0
2024-05-22,11500.0,7600.0,3600.0,2000.0,5600.0
2024-04-10,9640.0,600.0,-600.0,600.0,0.0
2024-04-10,9650.0,400.0,-400.0,400.0,0.0
2024-04-10,9660.0,10000.0,-10000.0,10000.0,0.0
2024-04-10,9670.0,100.0,-100.0,100.0,0.0
2024-04-10,9700.0,200.0,200.0,0.0,200.0
2024-04-10,9720.0,400.0,-400.0,400.0,0.0
2024-04-10,9730.0,2700.0,-2700.0,2700.0,0.0
2024-04-10,9740.0,200.0,-200.0,200.0,0.0
2024-04-10,9800.0,2600.0,-2000.0,2300.0,300.0
2024-04-10,9850.0,4900.0,4700.0,100.0,4800.0
2024-04-10,9860.0,2700.0,2700.0,0.0,2700.0
2024-04-10,9870.0,3000.0,3000.0,0.0,3000.0
2024-04-10,9880.0,2600.0,1600.0,500.0,2100.0
2024-04-10,9900.0,15100.0,1900.0,6600.0,8500.0
2024-04-10,9950.0,4000.0,-2000.0,3000.0,1000.0
2024-04-10,9970.0,1200.0,1200.0,0.0,1200.0
2024-04-10,9980.0,100.0,100.0,0.0,100.0
2024-04-10,9990.0,1000.0,1000.0,0.0,1000.0
2024-04-10,10000.0,5900.0,1500.0,2200.0,3700.0
2024-04-10,10100.0,7500.0,6900.0,300.0,7200.0
2024-05-10,10100.0,6400.0,-5000.0,5700.0,700.0
2024-05-10,10150.0,5200.0,-2200.0,3700.0,1500.0
2024-05-10,10200.0,1300.0,-1300.0,1300.0,0.0
2024-05-10,10250.0,900.0,900.0,0.0,900.0
2024-05-10,10300.0,25600.0,25600.0,0.0,25600.0
2024-05-10,10350.0,5400.0,5400.0,0.0,5400.0
2024-05-10,10400.0,11200.0,11200.0,0.0,11200.0
2024-03-06,9630.0,1200.0,-1200.0,1200.0,0.0
2024-03-06,9650.0,800.0,-800.0,800.0,0.0
2024-03-06,9660.0,300.0,-300.0,300.0,0.0
