t,p,q,d,b,a
2024-02-15,2700.0,20100.0,-8500.0,14300.0,5800.0
2024-02-15,2800.0,3200.0,3200.0,0.0,3200.0
2024-02-16,2700.0,27600.0,-27600.0,27600.0,0.0
2024-02-16,2800.0,321300.0,99500.0,110900.0,210400.0
2024-02-16,2900.0,8700.0,8700.0,0.0,8700.0
2024-02-19,2800.0,1300.0,-1300.0,1300.0,0.0
2024-02-19,2900.0,199233.0,81967.0,58633.0,140600.0
2024-02-19,3000.0,1509.0,1509.0,0.0,1509.0
2024-02-20,2800.0,700.0,-700.0,700.0,0.0
2024-02-20,2900.0,86402.0,-39402.0,62902.0,23500.0
2024-02-20,3000.0,1100.0,1100.0,0.0,1100.0
2024-02-21,2800.0,6300.0,-6300.0,6300.0,0.0
2024-02-21,2900.0,83800.0,-58200.0,71000.0,12800.0
2024-02-21,3000.0,400.0,400.0,0.0,400.0
2024-02-22,2800.0,100.0,-100.0,100.0,0.0
2024-02-22,2900.0,16100.0,14500.0,800.0,15300.0
2024-02-22,3000.0,509600.0,45000.0,232300.0,277300.0
2024-02-22,3100.0,13401.0,13401.0,0.0,13401.0
2024-02-23,3000.0,101500.0,-83500.0,92500.0,9000.0
2024-02-23,3100.0,279200.0,-251000.0,265100.0,14100.0
2024-02-23,3200.0,335500.0,102300.0,116600.0,218900.0
2024-02-23,3300.0,5300.0,5300.0,0.0,5300.0
2024-02-26,3000.0,20101.0,-20101.0,20101.0,0.0
2024-02-26,3100.0,312442.0,-28042.0,170242.0,142200.0
2024-02-26,3200.0,11203.0,11203.0,0.0,11203.0
2024-02-27,3100.0,1800.0,-1800.0,1800.0,0.0
2024-02-27,3200.0,329300.0,38500.0,145400.0,183900.0
2024-02-27,3300.0,4200.0,4200.0,0.0,4200.0
2024-02-28,3100.0,18803.0,-18803.0,18803.0,0.0
2024-02-28,3200.0,251600.0,81200.0,85200.0,166400.0
2024-02-28,3300.0,91900.0,91900.0,0.0,91900.0
2024-02-29,3000.0,700.0,-700.0,700.0,0.0
2024-02-29,3100.0,189900.0,-132300.0,161100.0,28800.0
2024-02-29,3200.0,57900.0,30300.0,13800.0,44100.0
2024-02-29,3300.0,3200.0,3200.0,0.0,3200.0
2024-03-01,3000.0,500.0,-500.0,500.0,0.0
2024-03-01,3100.0,118400.0,-116600.0,117500.0,900.0
2024-03-01,3200.0,66200.0,66200.0,0.0,66200.0
2024-03-04,3100.0,4500.0,-4500.0,4500.0,0.0
2024-03-04,3200.0,51000.0,-49800.0,50400.0,600.0
2024-03-04,3300.0,256670.0,184846.0,35912.0,220758.0
2024-03-04,3400.0,337171.0,117371.0,109900.0,227271.0
2024-03-04,3500.0,553309.0,388909.0,82200.0,471109.0
2024-03-05,3500.0,24800.0,-24800.0,24800.0,0.0
2024-03-05,3600.0,531200.0,168200.0,181500.0,349700.0
2024-03-05,3700.0,566401.0,523801.0,21300.0,545101.0
2024-03-05,3800.0,1132350.0,795550.0,168400.0,963950.0
2024-03-06,3700.0,12400.0,-12400.0,12400.0,0.0
2024-03-06,3800.0,323800.0,-64400.0,194100.0,129700.0
2024-03-06,3900.0,613270.0,-59930.0,336600.0,276670.0
2024-03-06,4000.0,204506.0,204506.0,0.0,204506.0
2024-03-07,3500.0,83610.0,-83610.0,83610.0,0.0
2024-03-07,3600.0,626616.0,81010.0,272803.0,353813.0
2024-03-07,3700.0,274700.0,-53700.0,164200.0,110500.0
2024-03-07,3800.0,75800.0,75600.0,100.0,75700.0
2024-03-07,3900.0,2100.0,2100.0,0.0,2100.0
2024-03-08,3400.0,13200.0,-13200.0,13200.0,0.0
2024-03-08,3500.0,523293.0,-299487.0,411390.0,111903.0
2024-03-08,3600.0,101611.0,5611.0,48000.0,53611.0
2024-03-08,3700.0,69125.0,69125.0,0.0,69125.0
2024-03-11,3400.0,85103.0,-85103.0,85103.0,0.0
2024-03-11,3500.0,409426.0,182026.0,113700.0,295726.0
