t,p,q,d,b,a
2024-02-15,30900.0,102900.0,-102900.0,102900.0,0.0
2024-02-15,30950.0,335800.0,155200.0,90300.0,245500.0
2024-02-15,31000.0,435800.0,-131000.0,283400.0,152400.0
2024-02-15,31050.0,438900.0,-263300.0,351100.0,87800.0
2024-02-15,31100.0,467000.0,-153400.0,310200.0,156800.0
2024-02-15,31150.0,573300.0,-450700.0,512000.0,61300.0
2024-02-15,31200.0,1383100.0,-810700.0,1096900.0,286200.0
2024-02-15,31250.0,394800.0,108800.0,143000.0,251800.0
2024-02-15,31300.0,588200.0,-399000.0,493600.0,94600.0
2024-02-15,31350.0,759000.0,59400.0,349800.0,409200.0
2024-02-15,31400.0,133200.0,9200.0,62000.0,71200.0
2024-02-15,31450.0,33800.0,33800.0,0.0,33800.0
2024-02-15,31500.0,70300.0,70300.0,0.0,70300.0
2024-02-16,31050.0,41700.0,-41700.0,41700.0,0.0
2024-02-16,31100.0,103700.0,-69300.0,86500.0,17200.0
2024-02-16,31150.0,371700.0,-173500.0,272600.0,99100.0
2024-02-16,31200.0,338300.0,178500.0,79900.0,258400.0
2024-02-16,31250.0,169000.0,169000.0,0.0,169000.0
2024-02-16,31300.0,62100.0,62100.0,0.0,62100.0
2024-02-16,31350.0,39100.0,39100.0,0.0,39100.0
2024-02-16,31400.0,74400.0,74400.0,0.0,74400.0
2024-02-16,31450.0,426000.0,-146600.0,286300.0,139700.0
2024-02-16,31500.0,2108500.0,-429700.0,1269100.0,839400.0
2024-02-16,31550.0,480400.0,3600.0,238400.0,242000.0
2024-02-16,31600.0,575300.0,-366700.0,471000.0,104300.0
2024-02-16,31650.0,1091100.0,-115100.0,603100.0,488000.0
2024-02-16,31700.0,589000.0,259200.0,164900.0,424100.0
2024-02-16,31750.0,215000.0,67200.0,73900.0,141100.0
2024-02-16,31800.0,193800.0,31000.0,81400.0,112400.0
2024-02-16,31850.0,182600.0,-41800.0,112200.0,70400.0
2024-02-16,31900.0,639700.0,-84900.0,362300.0,277400.0
2024-02-16,31950.0,97000.0,97000.0,0.0,97000.0
2024-02-19,31250.0,87900.0,-87900.0,87900.0,0.0
2024-02-19,31300.0,871000.0,-254600.0,562800.0,308200.0
2024-02-19,31350.0,721400.0,-272600.0,497000.0,224400.0
2024-02-19,31400.0,870000.0,-235200.0,552600.0,317400.0
2024-02-19,31450.0,1176700.0,-239300.0,708000.0,468700.0
2024-02-19,31500.0,867200.0,645000.0,111100.0,756100.0
2024-02-19,31550.0,488900.0,109100.0,189900.0,299000.0
2024-02-19,31600.0,221200.0,221200.0,0.0,221200.0
2024-02-19,31650.0,69200.0,65200.0,2000.0,67200.0
2024-02-19,31700.0,101100.0,101100.0,0.0,101100.0
2024-02-19,31750.0,43600.0,41600.0,1000.0,42600.0
2024-02-19,31800.0,206400.0,193800.0,6300.0,200100.0
2024-02-19,31850.0,54700.0,45300.0,4700.0,50000.0
2024-02-19,31900.0,273800.0,273800.0,0.0,273800.0
2024-02-19,31950.0,223800.0,143000.0,40400.0,183400.0
2024-02-19,32000.0,2108100.0,-67700.0,1087900.0,1020200.0
2024-02-19,32050.0,440100.0,313300.0,63400.0,376700.0
2024-02-19,32100.0,292500.0,155300.0,68600.0,223900.0
2024-02-19,32150.0,256900.0,-26700.0,141800.0,115100.0
2024-02-19,32200.0,637700.0,296300.0,170700.0,467000.0
2024-02-19,32250.0,336600.0,156400.0,90100.0,246500.0
2024-02-19,32300.0,122900.0,122900.0,0.0,122900.0
2024-02-20,31550.0,21800.0,-21800.0,21800.0,0.0
2024-02-20,31600.0,248700.0,-140300.0,194500.0,54200.0
2024-02-20,31650.0,835500.0,-187100.0,511300.0,324200.0
2024-02-20,31700.0,525400.0,139200.0,193100.0,332300.0
2024-02-20,31750.0,400000.0,-242600.0,321300.0,78700.0
2024-02-20,31800.0,561000.0,-164000.0,362500.0,198500.0
2024-02-20,31850.0,1092700.0,-682300.0,887500.0,205200.0
2024-02-20,31900.0,747300.0,395500.0,175900.0,571400.0
2024-02-20,31950.0,198700.0,52500.0,73100.0,125600.0
2024-02-20,32000.0,228700.0,-216900.0,222800.0,5900.0
2024-02-20,32050.0,228700.0,10300.0,109200.0,119500.0
2024-02-20,32100.0,42200.0,42200.0,0.0,42200.0
2024-02-21,31600.0,125500.0,-125500.0,125500.0,0.0
2024-02-21,31650.0,817500.0,-232300.0,524900.0,292600.0
2024-02-21,31700.0,764300.0,-139300.0,451800.0,312500.0
2024-02-21,31750.0,806000.0,81400.0,362300.0,443700.0
2024-02-21,31800.0,883400.0,28000.0,427700.0,455700.0
2024-02-21,31850.0,584300.0,-251900.0,418100.0,166200.0
2024-02-21,31900.0,291800.0,89400.0,101200.0,190600.0
2024-02-21,31950.0,174300.0,-31100.0,102700.0,71600.0
2024-02-21,32000.0,404000.0,-9800.0,206900.0,197100.0
2024-02-21,32050.0,152500.0,-42300.0,97400.0,55100.0
2024-02-21,32100.0,196000.0,-50400.0,123200.0,72800.0
2024-02-21,32150.0,214700.0,1300.0,106700.0,108000.0
2024-02-21,32200.0,349500.0,-27500.0,188500.0,161000.0
2024-02-21,32250.0,169600.0,-34400.0,102000.0,67600.0
2024-02-21,32300.0,423600.0,220800.0,101400.0,322200.0
2024-02-21,32350.0,166600.0,148000.0,9300.0,157300.0
2024-02-21,32400.0,31100.0,31100.0,0.0,31100.0
