t,p,q,d,b,a
2024-02-15,31200.0,2000.0,-2000.0,2000.0,0.0
2024-02-15,31250.0,116100.0,-63100.0,89600.0,26500.0
2024-02-15,31300.0,144800.0,71800.0,36500.0,108300.0
2024-02-15,31350.0,80900.0,10100.0,35400.0,45500.0
2024-02-15,31400.0,131400.0,-36000.0,83700.0,47700.0
2024-02-15,31450.0,269500.0,-65100.0,167300.0,102200.0
2024-02-15,31500.0,581200.0,171600.0,204800.0,376400.0
2024-02-15,31550.0,104300.0,84500.0,9900.0,94400.0
2024-02-16,31350.0,5100.0,-5100.0,5100.0,0.0
2024-02-16,31400.0,128400.0,-97800.0,113100.0,15300.0
2024-02-16,31450.0,152200.0,-118600.0,135400.0,16800.0
2024-02-16,31500.0,303300.0,-99100.0,201200.0,102100.0
2024-02-16,31550.0,233700.0,-105100.0,169400.0,64300.0
2024-02-16,31600.0,215700.0,-11300.0,113500.0,102200.0
2024-02-16,31650.0,69400.0,35600.0,16900.0,52500.0
2024-02-16,31700.0,31700.0,-2900.0,17300.0,14400.0
2024-02-16,31750.0,1800.0,1800.0,0.0,1800.0
2024-02-19,30950.0,45700.0,-45700.0,45700.0,0.0
2024-02-19,31000.0,257900.0,-216300.0,237100.0,20800.0
2024-02-19,31050.0,82700.0,-68300.0,75500.0,7200.0
2024-02-19,31100.0,118000.0,-93800.0,105900.0,12100.0
2024-02-19,31150.0,134900.0,-7300.0,71100.0,63800.0
2024-02-19,31200.0,187600.0,1600.0,93000.0,94600.0
2024-02-19,31250.0,263000.0,-67000.0,165000.0,98000.0
2024-02-19,31300.0,191900.0,77300.0,57300.0,134600.0
2024-02-19,31350.0,60300.0,31900.0,14200.0,46100.0
2024-02-19,31400.0,114400.0,-18400.0,66400.0,48000.0
2024-02-19,31450.0,55600.0,13800.0,20900.0,34700.0
2024-02-19,31500.0,10500.0,10100.0,200.0,10300.0
2024-02-20,31250.0,79800.0,-3400.0,41600.0,38200.0
2024-02-20,31300.0,60500.0,29100.0,15700.0,44800.0
2024-02-20,31350.0,37800.0,14200.0,11800.0,26000.0
2024-02-20,31400.0,158000.0,8400.0,74800.0,83200.0
2024-02-20,31450.0,82900.0,23100.0,29900.0,53000.0
2024-02-20,31500.0,385900.0,-84900.0,235400.0,150500.0
2024-02-20,31550.0,463700.0,61100.0,201300.0,262400.0
2024-02-20,31600.0,346100.0,270700.0,37700.0,308400.0
2024-02-20,31650.0,73800.0,73800.0,0.0,73800.0
2024-02-20,31700.0,121000.0,16000.0,52500.0,68500.0
2024-02-20,31750.0,104900.0,62900.0,21000.0,83900.0
2024-02-20,31800.0,21800.0,21800.0,0.0,21800.0
2024-02-21,31700.0,111200.0,-107200.0,109200.0,2000.0
2024-02-21,31750.0,567000.0,-318400.0,442700.0,124300.0
2024-02-21,31800.0,453200.0,-4400.0,228800.0,224400.0
2024-02-21,31850.0,138300.0,134300.0,2000.0,136300.0
2024-02-21,31900.0,53900.0,53900.0,0.0,53900.0
2024-02-21,31950.0,28600.0,28600.0,0.0,28600.0
2024-02-21,32000.0,268200.0,143000.0,62600.0,205600.0
2024-02-21,32050.0,216300.0,185700.0,15300.0,201000.0
2024-02-21,32100.0,34300.0,34300.0,0.0,34300.0
2024-02-21,32150.0,124200.0,-17600.0,70900.0,53300.0
2024-02-21,32200.0,47300.0,13300.0,17000.0,30300.0
