t,p,q,d,b,a
2024-02-15,29250.0,3700.0,-3700.0,3700.0,0.0
2024-02-15,29300.0,800.0,-800.0,800.0,0.0
2024-02-15,29350.0,43300.0,-43300.0,43300.0,0.0
2024-02-15,29400.0,144500.0,21700.0,61400.0,83100.0
2024-02-15,29450.0,48100.0,21900.0,13100.0,35000.0
2024-02-15,29500.0,128600.0,128600.0,0.0,128600.0
2024-02-15,29550.0,41600.0,0.0,20800.0,20800.0
2024-02-15,29600.0,159600.0,86000.0,36800.0,122800.0
2024-02-15,29650.0,226100.0,-25100.0,125600.0,100500.0
2024-02-15,29700.0,281500.0,165100.0,58200.0,223300.0
2024-02-15,29750.0,143900.0,132100.0,5900.0,138000.0
2024-02-15,29800.0,151500.0,74500.0,38500.0,113000.0
2024-02-15,29850.0,197200.0,8800.0,94200.0,103000.0
2024-02-15,29900.0,425100.0,147300.0,138900.0,286200.0
2024-02-15,29950.0,154400.0,-33600.0,94000.0,60400.0
2024-02-15,30000.0,374000.0,66200.0,153900.0,220100.0
2024-02-15,30050.0,376100.0,-193300.0,284700.0,91400.0
2024-02-15,30100.0,589800.0,-55600.0,322700.0,267100.0
2024-02-15,30150.0,777000.0,-61200.0,419100.0,357900.0
2024-02-15,30200.0,227500.0,188100.0,19700.0,207800.0
2024-02-16,29600.0,219100.0,-219100.0,219100.0,0.0
2024-02-16,29650.0,1509200.0,-241800.0,875500.0,633700.0
2024-02-16,29700.0,1013500.0,-250700.0,632100.0,381400.0
2024-02-16,29750.0,792300.0,-262700.0,527500.0,264800.0
2024-02-16,29800.0,465600.0,179000.0,143300.0,322300.0
2024-02-16,29850.0,57500.0,27100.0,15200.0,42300.0
2024-02-16,29900.0,57700.0,-54900.0,56300.0,1400.0
2024-02-16,29950.0,74300.0,-52900.0,63600.0,10700.0
2024-02-16,30000.0,69000.0,-55200.0,62100.0,6900.0
2024-02-16,30050.0,69400.0,-69000.0,69200.0,200.0
2024-02-16,30100.0,82900.0,-16900.0,49900.0,33000.0
2024-02-16,30150.0,1300.0,1300.0,0.0,1300.0
2024-02-19,25850.0,58000.0,-58000.0,58000.0,0.0
2024-02-19,25900.0,400300.0,-131500.0,265900.0,134400.0
2024-02-19,25950.0,401400.0,68400.0,166500.0,234900.0
2024-02-19,26000.0,339700.0,-62500.0,201100.0,138600.0
2024-02-19,26050.0,210400.0,-156000.0,183200.0,27200.0
2024-02-19,26100.0,320500.0,151700.0,84400.0,236100.0
2024-02-19,26150.0,111100.0,-5300.0,58200.0,52900.0
2024-02-19,26200.0,75100.0,34300.0,20400.0,54700.0
2024-02-19,26250.0,33200.0,-23200.0,28200.0,5000.0
2024-02-19,26300.0,35600.0,-32600.0,34100.0,1500.0
2024-02-19,26350.0,14400.0,8400.0,3000.0,11400.0
2024-02-19,26400.0,3300.0,-100.0,1700.0,1600.0
2024-02-19,26450.0,1000.0,-1000.0,1000.0,0.0
2024-02-19,26500.0,198000.0,-198000.0,198000.0,0.0
2024-02-20,25600.0,154700.0,-154700.0,154700.0,0.0
2024-02-20,25650.0,194800.0,-46600.0,120700.0,74100.0
2024-02-20,25700.0,403500.0,-306900.0,355200.0,48300.0
2024-02-20,25750.0,409900.0,-54900.0,232400.0,177500.0
2024-02-20,25800.0,173200.0,37000.0,68100.0,105100.0
2024-02-20,25850.0,54900.0,-10700.0,32800.0,22100.0
2024-02-20,25900.0,21200.0,11400.0,4900.0,16300.0
