t,p,q,d,b,a
2024-02-15,41500.0,3917.0,-2517.0,3217.0,700.0
2024-02-15,41600.0,3623.0,-3023.0,3323.0,300.0
2024-02-15,41700.0,34631.0,-10515.0,22573.0,12058.0
2024-02-15,41800.0,5100.0,4700.0,200.0,4900.0
2024-02-15,41900.0,6000.0,2200.0,1900.0,4100.0
2024-02-15,42000.0,14500.0,13700.0,400.0,14100.0
2024-02-15,42100.0,3000.0,3000.0,0.0,3000.0
2024-02-15,42200.0,15600.0,-2600.0,9100.0,6500.0
2024-02-15,42300.0,15996.0,10396.0,2800.0,13196.0
2024-02-15,42400.0,48325.0,-18085.0,33205.0,15120.0
2024-02-15,42500.0,56996.0,9092.0,23952.0,33044.0
2024-02-15,42600.0,23400.0,-6000.0,14700.0,8700.0
2024-02-15,42700.0,21546.0,1118.0,10214.0,11332.0
2024-02-16,42500.0,1500.0,-900.0,1200.0,300.0
2024-02-16,42600.0,15844.0,756.0,7544.0,8300.0
2024-02-16,42700.0,62979.0,-55771.0,59375.0,3604.0
2024-02-16,42800.0,45087.0,5543.0,19772.0,25315.0
2024-02-16,42900.0,48343.0,9933.0,19205.0,29138.0
2024-02-16,43000.0,42700.0,5900.0,18400.0,24300.0
2024-02-16,43100.0,9656.0,-254.0,4955.0,4701.0
2024-02-16,43200.0,12718.0,10918.0,900.0,11818.0
2024-02-19,41900.0,200.0,-200.0,200.0,0.0
2024-02-19,42000.0,20700.0,-8700.0,14700.0,6000.0
2024-02-19,42100.0,14125.0,-5125.0,9625.0,4500.0
2024-02-19,42200.0,32005.0,595.0,15705.0,16300.0
2024-02-19,42300.0,49324.0,2024.0,23650.0,25674.0
2024-02-19,42400.0,34916.0,9894.0,12511.0,22405.0
2024-02-19,42500.0,18932.0,12330.0,3301.0,15631.0
2024-02-19,42600.0,4207.0,-793.0,2500.0,1707.0
2024-02-19,42700.0,4000.0,-1800.0,2900.0,1100.0
2024-02-19,42800.0,1600.0,-1600.0,1600.0,0.0
2024-02-19,42900.0,8300.0,5700.0,1300.0,7000.0
2024-02-20,42100.0,7500.0,5100.0,1200.0,6300.0
2024-02-20,42200.0,2800.0,-1600.0,2200.0,600.0
2024-02-20,42300.0,8600.0,1800.0,3400.0,5200.0
2024-02-20,42400.0,23795.0,7225.0,8285.0,15510.0
2024-02-20,42500.0,55519.0,35115.0,10202.0,45317.0
2024-02-20,42600.0,11317.0,8717.0,1300.0,10017.0
2024-02-20,42700.0,15730.0,-9070.0,12400.0,3330.0
2024-02-20,42800.0,42942.0,18894.0,12024.0,30918.0
2024-02-20,42900.0,17002.0,-2598.0,9800.0,7202.0
2024-02-20,43000.0,26044.0,8844.0,8600.0,17444.0
2024-02-20,43100.0,7176.0,4024.0,1576.0,5600.0
2024-02-20,43200.0,16140.0,2740.0,6700.0,9440.0
2024-02-20,43300.0,7305.0,3905.0,1700.0,5605.0
2024-02-20,43400.0,1310.0,910.0,200.0,1110.0
2024-02-20,43500.0,11805.0,11805.0,0.0,11805.0
2024-02-21,42300.0,3600.0,-3600.0,3600.0,0.0
2024-02-21,42400.0,16350.0,-4550.0,10450.0,5900.0
2024-02-21,42500.0,49277.0,13439.0,17919.0,31358.0
2024-02-21,42600.0,5300.0,5300.0,0.0,5300.0
2024-02-21,42700.0,7900.0,-5900.0,6900.0,1000.0
2024-02-21,42800.0,29000.0,-9000.0,19000.0,10000.0
2024-02-21,42900.0,37007.0,-6123.0,21565.0,15442.0
2024-02-21,43000.0,24700.0,13700.0,5500.0,19200.0
2024-02-22,42300.0,14500.0,-2300.0,8400.0,6100.0
2024-02-22,42400.0,30468.0,-14148.0,22308.0,8160.0
2024-02-22,42500.0,39693.0,-16109.0,27901.0,11792.0
2024-02-22,42600.0,36959.0,601.0,18179.0,18780.0
2024-02-22,42700.0,8500.0,1900.0,3300.0,5200.0
2024-02-22,42800.0,19541.0,-12859.0,16200.0,3341.0
2024-02-22,42900.0,13644.0,1444.0,6100.0,7544.0
2024-02-22,43000.0,14500.0,10500.0,2000.0,12500.0
2024-02-22,43100.0,500.0,500.0,0.0,500.0
2024-02-23,41400.0,1000.0,-1000.0,1000.0,0.0
2024-02-23,41500.0,43445.0,-10845.0,27145.0,16300.0
2024-02-23,41600.0,15200.0,-2800.0,9000.0,6200.0
2024-02-23,41700.0,5700.0,2300.0,1700.0,4000.0
2024-02-23,41800.0,26100.0,-15300.0,20700.0,5400.0
2024-02-23,41900.0,9326.0,-8326.0,8826.0,500.0
2024-02-23,42000.0,36097.0,-23497.0,29797.0,6300.0
2024-02-23,42100.0,27702.0,-27502.0,27602.0,100.0
2024-02-23,42200.0,42085.0,-32065.0,37075.0,5010.0
2024-02-23,42300.0,11426.0,-1426.0,6426.0,5000.0
2024-02-23,42400.0,7700.0,2300.0,2700.0,5000.0
2024-02-23,42500.0,9440.0,-7240.0,8340.0,1100.0
2024-02-23,42600.0,5610.0,3810.0,900.0,4710.0
2024-02-26,41000.0,11200.0,-11200.0,11200.0,0.0
2024-02-26,41100.0,38208.0,-30808.0,34508.0,3700.0
2024-02-26,41200.0,55769.0,21589.0,17090.0,38679.0
2024-02-26,41300.0,19400.0,-1200.0,10300.0,9100.0
2024-02-26,41400.0,38002.0,11802.0,13100.0,24902.0
2024-02-26,41500.0,15238.0,8638.0,3300.0,11938.0
2024-02-27,41400.0,13400.0,-11800.0,12600.0,800.0
2024-02-27,41500.0,33543.0,-16653.0,25098.0,8445.0
2024-02-27,41600.0,31832.0,9958.0,10937.0,20895.0
2024-02-27,41700.0,20515.0,315.0,10100.0,10415.0
2024-02-27,41800.0,23275.0,8333.0,7471.0,15804.0
2024-02-27,41900.0,17500.0,-10500.0,14000.0,3500.0
2024-02-27,42000.0,30244.0,8164.0,11040.0,19204.0
2024-02-27,42100.0,5200.0,4600.0,300.0,4900.0
2024-02-27,42200.0,11300.0,10500.0,400.0,10900.0
2024-02-27,42300.0,20939.0,461.0,10239.0,10700.0
2024-02-27,42400.0,3200.0,1800.0,700.0,2500.0
2024-02-27,42500.0,7200.0,-2800.0,5000.0,2200.0
2024-02-28,41600.0,5100.0,-1900.0,3500.0,1600.0
2024-02-28,41700.0,41435.0,-7835.0,24635.0,16800.0
2024-02-28,41800.0,24089.0,4965.0,9562.0,14527.0
2024-02-28,41900.0,17301.0,-11701.0,14501.0,2800.0
2024-02-28,42000.0,22340.0,-13660.0,18000.0,4340.0
2024-02-28,42100.0,2001.0,-1.0,1001.0,1000.0
2024-02-28,42200.0,10976.0,7176.0,1900.0,9076.0
2024-02-28,42300.0,2043.0,-1643.0,1843.0,200.0
2024-02-28,42400.0,1700.0,-1700.0,1700.0,0.0
2024-02-28,42500.0,3300.0,-300.0,1800.0,1500.0
2024-02-28,42600.0,100.0,100.0,0.0,100.0
2024-02-29,41400.0,1300.0,-1300.0,1300.0,0.0
2024-02-29,41500.0,24205.0,10995.0,6605.0,17600.0
2024-02-29,41600.0,52872.0,-15582.0,34227.0,18645.0
2024-02-29,41700.0,44258.0,6920.0,18669.0,25589.0
2024-02-29,41800.0,49838.0,-14218.0,32028.0,17810.0
2024-02-29,41900.0,19000.0,14000.0,2500.0,16500.0
2024-02-29,42000.0,9112.0,5688.0,1712.0,7400.0
2024-03-01,41800.0,11006.0,-10406.0,10706.0,300.0
2024-03-01,41900.0,27200.0,-19600.0,23400.0,3800.0
2024-03-01,42000.0,59612.0,-9078.0,34345.0,25267.0
2024-03-01,42100.0,59066.0,3388.0,27839.0,31227.0
2024-03-01,42200.0,21873.0,9873.0,6000.0,15873.0
2024-03-01,42300.0,3600.0,3600.0,0.0,3600.0
2024-03-04,42500.0,200.0,-200.0,200.0,0.0
2024-03-04,42600.0,8700.0,-7100.0,7900.0,800.0
2024-03-04,42700.0,14300.0,-7900.0,11100.0,3200.0
2024-03-04,42800.0,76961.0,-42939.0,59950.0,17011.0
2024-03-04,42900.0,78165.0,26747.0,25709.0,52456.0
2024-03-04,43000.0,107734.0,56290.0,25722.0,82012.0
2024-03-04,43100.0,39035.0,-1499.0,20267.0,18768.0
2024-03-04,43200.0,43703.0,1347.0,21178.0,22525.0
2024-03-04,43300.0,33246.0,29246.0,2000.0,31246.0
2024-03-04,43400.0,10600.0,-5000.0,7800.0,2800.0
2024-03-04,43500.0,48700.0,48700.0,0.0,48700.0
