t,p,q,d,b,a
2024-02-15,17000.0,50800.0,-50800.0,50800.0,0.0
2024-02-15,17100.0,231557.0,61351.0,85103.0,146454.0
2024-02-15,17200.0,474399.0,-136599.0,305499.0,168900.0
2024-02-15,17300.0,206046.0,138246.0,33900.0,172146.0
2024-02-15,17400.0,68300.0,42900.0,12700.0,55600.0
2024-02-15,17500.0,9031.0,9031.0,0.0,9031.0
2024-02-15,17800.0,113500.0,113500.0,0.0,113500.0
2024-02-16,17500.0,61306.0,-61306.0,61306.0,0.0
2024-02-16,17600.0,182118.0,-40490.0,111304.0,70814.0
2024-02-16,17700.0,176203.0,-21403.0,98803.0,77400.0
2024-02-16,17800.0,396702.0,140498.0,128102.0,268600.0
2024-02-16,17900.0,1600.0,1600.0,0.0,1600.0
2024-02-19,17800.0,8200.0,-5400.0,6800.0,1400.0
2024-02-19,17900.0,1300.0,-1300.0,1300.0,0.0
2024-02-19,18000.0,93248.0,7588.0,42830.0,50418.0
2024-02-19,18100.0,31600.0,31200.0,200.0,31400.0
2024-02-19,18200.0,17200.0,2800.0,7200.0,10000.0
2024-02-19,18300.0,128852.0,-124852.0,126852.0,2000.0
2024-02-19,18400.0,548181.0,-150575.0,349378.0,198803.0
2024-02-19,18500.0,901412.0,14808.0,443302.0,458110.0
2024-02-19,18600.0,631433.0,339633.0,145900.0,485533.0
2024-02-19,18700.0,192570.0,48568.0,72001.0,120569.0
2024-02-19,18800.0,77400.0,35400.0,21000.0,56400.0
2024-02-19,18900.0,31000.0,18200.0,6400.0,24600.0
2024-02-19,19000.0,24700.0,24700.0,0.0,24700.0
2024-02-20,18500.0,34201.0,-33601.0,33901.0,300.0
2024-02-20,18600.0,265290.0,-19270.0,142280.0,123010.0
2024-02-20,18700.0,281768.0,-53344.0,167556.0,114212.0
2024-02-20,18800.0,157458.0,43242.0,57108.0,100350.0
2024-02-20,18900.0,5400.0,5400.0,0.0,5400.0
2024-02-21,18500.0,54600.0,-54600.0,54600.0,0.0
2024-02-21,18600.0,136770.0,-82770.0,109770.0,27000.0
2024-02-21,18700.0,179900.0,36900.0,71500.0,108400.0
2024-02-21,18800.0,171884.0,17786.0,77049.0,94835.0
2024-02-21,18900.0,133802.0,33296.0,50253.0,83549.0
2024-02-21,19000.0,328792.0,187050.0,70871.0,257921.0
2024-02-21,19100.0,103308.0,47892.0,27708.0,75600.0
2024-02-21,19200.0,2600.0,2600.0,0.0,2600.0
2024-02-22,18400.0,5700.0,-5700.0,5700.0,0.0
2024-02-22,18500.0,188300.0,-55900.0,122100.0,66200.0
2024-02-22,18600.0,345102.0,-145502.0,245302.0,99800.0
2024-02-22,18700.0,407334.0,-121534.0,264434.0,142900.0
2024-02-22,18800.0,215849.0,-40743.0,128296.0,87553.0
2024-02-22,18900.0,87156.0,59356.0,13900.0,73256.0
2024-02-22,19000.0,2100.0,300.0,900.0,1200.0
2024-02-23,18000.0,11100.0,-11100.0,11100.0,0.0
2024-02-23,18100.0,136800.0,-36200.0,86500.0,50300.0
2024-02-23,18200.0,156200.0,-95600.0,125900.0,30300.0
2024-02-23,18300.0,329709.0,11909.0,158900.0,170809.0
2024-02-23,18400.0,348007.0,-217607.0,282807.0,65200.0
2024-02-23,18500.0,319090.0,-101290.0,210190.0,108900.0
2024-02-23,18600.0,187300.0,77700.0,54800.0,132500.0
2024-02-23,18700.0,39030.0,39030.0,0.0,39030.0
2024-02-26,18300.0,12200.0,10800.0,700.0,11500.0
2024-02-26,18400.0,16620.0,3380.0,6620.0,10000.0
2024-02-26,18500.0,123860.0,-53340.0,88600.0,35260.0
2024-02-26,18600.0,220399.0,-50819.0,135609.0,84790.0
2024-02-26,18700.0,190511.0,-5921.0,98216.0,92295.0
2024-02-26,18800.0,240599.0,87613.0,76493.0,164106.0
2024-02-26,18900.0,183281.0,181843.0,719.0,182562.0
2024-02-26,19000.0,700.0,700.0,0.0,700.0
2024-02-27,18700.0,400.0,400.0,0.0,400.0
2024-02-27,18900.0,48008.0,-43408.0,45708.0,2300.0
2024-02-27,19000.0,456832.0,-9138.0,232985.0,223847.0
2024-02-27,19100.0,154555.0,131755.0,11400.0,143155.0
