t,p,q,d,b,a
2024-02-15,13100.0,2000.0,-2000.0,2000.0,0.0
2024-02-15,13150.0,434100.0,-379900.0,407000.0,27100.0
2024-02-15,13200.0,1190300.0,-208500.0,699400.0,490900.0
2024-02-15,13250.0,2059600.0,159200.0,950200.0,1109400.0
2024-02-15,13300.0,1411400.0,-61800.0,736600.0,674800.0
2024-02-15,13350.0,635200.0,121400.0,256900.0,378300.0
2024-02-15,13400.0,296200.0,151400.0,72400.0,223800.0
2024-02-15,13450.0,456900.0,-51700.0,254300.0,202600.0
2024-02-15,13500.0,476700.0,175300.0,150700.0,326000.0
2024-02-15,13550.0,3200.0,3200.0,0.0,3200.0
2024-02-16,13200.0,155800.0,-155800.0,155800.0,0.0
2024-02-16,13250.0,2809500.0,-896700.0,1853100.0,956400.0
2024-02-16,13300.0,591300.0,-223900.0,407600.0,183700.0
2024-02-16,13350.0,699900.0,-102900.0,401400.0,298500.0
2024-02-16,13400.0,529500.0,92700.0,218400.0,311100.0
2024-02-16,13450.0,500.0,500.0,0.0,500.0
2024-02-19,13000.0,90900.0,-90900.0,90900.0,0.0
2024-02-19,13050.0,1189100.0,-606500.0,897800.0,291300.0
2024-02-19,13100.0,2335900.0,-581300.0,1458600.0,877300.0
2024-02-19,13150.0,1058700.0,-293700.0,676200.0,382500.0
2024-02-19,13200.0,414700.0,-258300.0,336500.0,78200.0
2024-02-19,13250.0,153300.0,66100.0,43600.0,109700.0
2024-02-19,13300.0,32600.0,32600.0,0.0,32600.0
2024-02-20,13150.0,103100.0,-97900.0,100500.0,2600.0
2024-02-20,13200.0,723700.0,-205700.0,464700.0,259000.0
2024-02-20,13250.0,958100.0,-291700.0,624900.0,333200.0
2024-02-20,13300.0,1495000.0,-325800.0,910400.0,584600.0
2024-02-20,13350.0,1188700.0,60500.0,564100.0,624600.0
2024-02-20,13400.0,1141700.0,79900.0,530900.0,610800.0
2024-02-20,13450.0,164800.0,164800.0,0.0,164800.0
2024-02-21,13100.0,338000.0,-338000.0,338000.0,0.0
2024-02-21,13150.0,718100.0,-459700.0,588900.0,129200.0
2024-02-21,13200.0,1383300.0,13100.0,685100.0,698200.0
2024-02-21,13250.0,1717400.0,303200.0,707100.0,1010300.0
2024-02-21,13300.0,456200.0,379800.0,38200.0,418000.0
2024-02-21,13350.0,56500.0,56500.0,0.0,56500.0
2024-02-22,13200.0,16200.0,-16200.0,16200.0,0.0
2024-02-22,13250.0,150200.0,108400.0,20900.0,129300.0
2024-02-22,13300.0,177700.0,171100.0,3300.0,174400.0
2024-02-22,13350.0,923300.0,-204100.0,563700.0,359600.0
2024-02-22,13400.0,379800.0,377200.0,1300.0,378500.0
2024-02-22,13450.0,345800.0,345800.0,0.0,345800.0
2024-02-22,13500.0,692800.0,206400.0,243200.0,449600.0
2024-02-22,13550.0,1842400.0,-168600.0,1005500.0,836900.0
2024-02-22,13600.0,2227900.0,178300.0,1024800.0,1203100.0
2024-02-22,13650.0,1803800.0,534400.0,634700.0,1169100.0
2024-02-22,13700.0,1375400.0,397400.0,489000.0,886400.0
