t,p,q,d,b,a
2024-07-08,2780.0,205900.0,-59500.0,132700.0,73200.0
2024-07-08,2790.0,144100.0,-22100.0,83100.0,61000.0
2024-07-08,2800.0,817600.0,114600.0,351500.0,466100.0
2024-07-08,2810.0,55600.0,55600.0,0.0,55600.0
2024-07-09,2750.0,57500.0,-57500.0,57500.0,0.0
2024-07-09,2760.0,198000.0,-85200.0,141600.0,56400.0
2024-07-09,2770.0,138900.0,-85100.0,112000.0,26900.0
2024-07-09,2780.0,135700.0,-57300.0,96500.0,39200.0
2024-07-09,2790.0,234100.0,-99900.0,167000.0,67100.0
2024-07-09,2800.0,383400.0,-224600.0,304000.0,79400.0
2024-07-09,2810.0,27100.0,23500.0,1800.0,25300.0
2024-07-09,2820.0,900.0,900.0,0.0,900.0
2024-07-10,2720.0,488200.0,-480200.0,484200.0,4000.0
2024-07-10,2730.0,525900.0,-481100.0,503500.0,22400.0
2024-07-10,2740.0,260000.0,-84000.0,172000.0,88000.0
2024-07-10,2750.0,285600.0,-29000.0,157300.0,128300.0
2024-07-10,2760.0,108200.0,-96400.0,102300.0,5900.0
2024-07-10,2770.0,44500.0,-14900.0,29700.0,14800.0
2024-07-10,2780.0,39300.0,-5700.0,22500.0,16800.0
2024-07-10,2790.0,13800.0,13400.0,200.0,13600.0
2024-07-11,2750.0,16400.0,7600.0,4400.0,12000.0
2024-07-11,2760.0,62300.0,27900.0,17200.0,45100.0
2024-07-11,2770.0,373300.0,-195700.0,284500.0,88800.0
2024-07-11,2780.0,463200.0,280800.0,91200.0,372000.0
2024-07-11,2790.0,22100.0,22100.0,0.0,22100.0
2024-07-12,2750.0,582800.0,-297000.0,439900.0,142900.0
2024-07-12,2760.0,253000.0,-132800.0,192900.0,60100.0
2024-07-12,2770.0,172300.0,43300.0,64500.0,107800.0
2024-07-12,2780.0,67300.0,50700.0,8300.0,59000.0
2024-07-15,2750.0,61600.0,-61600.0,61600.0,0.0
2024-07-15,2760.0,305100.0,-46300.0,175700.0,129400.0
2024-07-15,2770.0,198700.0,-135500.0,167100.0,31600.0
2024-07-15,2780.0,122400.0,60800.0,30800.0,91600.0
2024-07-15,2790.0,57200.0,-25000.0,41100.0,16100.0
2024-07-15,2800.0,3200.0,3200.0,0.0,3200.0
2024-07-16,2730.0,14100.0,-14100.0,14100.0,0.0
2024-07-16,2740.0,205600.0,-124000.0,164800.0,40800.0
2024-07-16,2750.0,229800.0,-23000.0,126400.0,103400.0
2024-07-16,2760.0,111500.0,-95700.0,103600.0,7900.0
2024-07-16,2770.0,184700.0,-89100.0,136900.0,47800.0
2024-07-16,2780.0,8000.0,8000.0,0.0,8000.0
2024-07-17,2660.0,5000.0,-5000.0,5000.0,0.0
2024-07-17,2670.0,34800.0,-23600.0,29200.0,5600.0
2024-07-17,2680.0,114200.0,-102000.0,108100.0,6100.0
2024-07-17,2690.0,94300.0,-85300.0,89800.0,4500.0
2024-07-17,2700.0,557300.0,-397500.0,477400.0,79900.0
2024-07-17,2710.0,814600.0,-412400.0,613500.0,201100.0
2024-07-17,2720.0,535700.0,-300700.0,418200.0,117500.0
2024-07-17,2730.0,193000.0,33000.0,80000.0,113000.0
2024-07-17,2740.0,74400.0,-68000.0,71200.0,3200.0
2024-07-17,2750.0,19400.0,19400.0,0.0,19400.0
2024-07-18,2660.0,200700.0,-121700.0,161200.0,39500.0
2024-07-18,2670.0,258100.0,-83700.0,170900.0,87200.0
2024-07-18,2680.0,255200.0,-32600.0,143900.0,111300.0
2024-07-18,2690.0,80800.0,69600.0,5600.0,75200.0
2024-07-18,2700.0,43000.0,43000.0,0.0,43000.0
2024-07-19,2640.0,0.0,0.0,0.0,0.0
2024-07-19,2650.0,120200.0,-112200.0,116200.0,4000.0
2024-07-19,2660.0,191900.0,-141100.0,166500.0,25400.0
2024-07-19,2670.0,138200.0,-29600.0,83900.0,54300.0
2024-07-19,2680.0,133100.0,-102100.0,117600.0,15500.0
2024-07-19,2690.0,53600.0,27000.0,13300.0,40300.0
2024-07-22,2560.0,1000.0,-1000.0,1000.0,0.0
2024-07-22,2570.0,40500.0,7900.0,16300.0,24200.0
2024-07-22,2580.0,123800.0,-70800.0,97300.0,26500.0
2024-07-22,2590.0,154400.0,-16400.0,85400.0,69000.0
2024-07-22,2600.0,625100.0,-448700.0,536900.0,88200.0
2024-07-22,2610.0,103700.0,32300.0,35700.0,68000.0
2024-07-22,2620.0,141400.0,-122800.0,132100.0,9300.0
2024-07-22,2630.0,122500.0,-61500.0,92000.0,30500.0
2024-07-22,2640.0,119200.0,-61400.0,90300.0,28900.0
2024-07-22,2650.0,59900.0,-2700.0,31300.0,28600.0
2024-07-22,2660.0,200.0,200.0,0.0,200.0
2024-07-23,2580.0,20000.0,-20000.0,20000.0,0.0
2024-07-23,2590.0,47500.0,-30900.0,39200.0,8300.0
2024-07-23,2600.0,147000.0,-97800.0,122400.0,24600.0
2024-07-23,2610.0,121800.0,-28600.0,75200.0,46600.0
2024-07-23,2620.0,109900.0,-81100.0,95500.0,14400.0
2024-07-23,2630.0,27600.0,25400.0,1100.0,26500.0
2024-07-23,2650.0,10700.0,-1500.0,6100.0,4600.0
2024-07-24,2540.0,3100.0,-3100.0,3100.0,0.0
2024-07-24,2550.0,53200.0,-47200.0,50200.0,3000.0
2024-07-24,2560.0,208000.0,58400.0,74800.0,133200.0
