t,p,q,d,b,a
2024-02-15,34200.0,900.0,-900.0,900.0,0.0
2024-02-15,34250.0,3300.0,-2700.0,3000.0,300.0
2024-02-15,34300.0,5700.0,1500.0,2100.0,3600.0
2024-02-15,34350.0,2600.0,-1200.0,1900.0,700.0
2024-02-15,34400.0,5400.0,-5000.0,5200.0,200.0
2024-02-15,34450.0,5600.0,-4600.0,5100.0,500.0
2024-02-15,34500.0,12700.0,2100.0,5300.0,7400.0
2024-02-15,34550.0,7100.0,-5100.0,6100.0,1000.0
2024-02-15,34600.0,10000.0,-10000.0,10000.0,0.0
2024-02-15,34650.0,5600.0,-5600.0,5600.0,0.0
2024-02-15,34700.0,21600.0,-21600.0,21600.0,0.0
2024-02-15,34750.0,21400.0,-19200.0,20300.0,1100.0
2024-02-15,34800.0,29600.0,-21200.0,25400.0,4200.0
2024-02-15,34850.0,33500.0,3700.0,14900.0,18600.0
2024-02-15,34900.0,40500.0,-12900.0,26700.0,13800.0
2024-02-15,34950.0,34700.0,27500.0,3600.0,31100.0
2024-02-15,35000.0,3500.0,3500.0,0.0,3500.0
2024-02-16,34450.0,1200.0,-1200.0,1200.0,0.0
2024-02-16,34500.0,1300.0,-1300.0,1300.0,0.0
2024-02-16,34550.0,200.0,-200.0,200.0,0.0
2024-02-16,34650.0,100.0,100.0,0.0,100.0
2024-02-16,34700.0,9600.0,9400.0,100.0,9500.0
2024-02-16,34800.0,3400.0,-3400.0,3400.0,0.0
2024-02-16,34850.0,20400.0,5600.0,7400.0,13000.0
2024-02-16,34900.0,16700.0,-9300.0,13000.0,3700.0
2024-02-16,34950.0,20200.0,-2600.0,11400.0,8800.0
2024-02-16,35000.0,45300.0,5700.0,19800.0,25500.0
2024-02-16,35050.0,7200.0,-5200.0,6200.0,1000.0
2024-02-16,35100.0,8600.0,5000.0,1800.0,6800.0
2024-02-16,35150.0,1400.0,400.0,500.0,900.0
2024-02-16,35200.0,7800.0,-2800.0,5300.0,2500.0
2024-02-16,35300.0,8500.0,-8300.0,8400.0,100.0
2024-02-16,35350.0,4700.0,-4700.0,4700.0,0.0
2024-02-16,35400.0,3500.0,-700.0,2100.0,1400.0
2024-02-16,35450.0,2200.0,2200.0,0.0,2200.0
2024-02-16,35500.0,15600.0,4200.0,5700.0,9900.0
2024-02-16,35600.0,800.0,800.0,0.0,800.0
2024-02-16,35700.0,100.0,100.0,0.0,100.0
2024-02-16,35900.0,2300.0,2300.0,0.0,2300.0
2024-02-16,35950.0,500.0,500.0,0.0,500.0
2024-02-16,36150.0,500.0,500.0,0.0,500.0
2024-02-16,36350.0,600.0,600.0,0.0,600.0
