t,p,q,d,b,a
2024-02-15,11550.0,34700.0,-34700.0,34700.0,0.0
2024-02-15,11600.0,154000.0,-119400.0,136700.0,17300.0
2024-02-15,11650.0,43500.0,35100.0,4200.0,39300.0
2024-02-15,11700.0,6200.0,6000.0,100.0,6100.0
2024-02-16,11400.0,115800.0,-115800.0,115800.0,0.0
2024-02-16,11450.0,202000.0,-84000.0,143000.0,59000.0
2024-02-16,11500.0,250700.0,-148900.0,199800.0,50900.0
2024-02-16,11550.0,9500.0,5300.0,2100.0,7400.0
2024-02-19,11400.0,300.0,-300.0,300.0,0.0
2024-02-19,11450.0,111100.0,-38300.0,74700.0,36400.0
2024-02-19,11500.0,117900.0,65300.0,26300.0,91600.0
2024-02-19,11550.0,55500.0,14700.0,20400.0,35100.0
2024-02-19,11600.0,268100.0,-85100.0,176600.0,91500.0
2024-02-19,11650.0,16700.0,16700.0,0.0,16700.0
2024-02-20,11450.0,29200.0,-29200.0,29200.0,0.0
2024-02-20,11500.0,232900.0,-154500.0,193700.0,39200.0
2024-02-20,11550.0,209700.0,-37300.0,123500.0,86200.0
2024-02-20,11600.0,51100.0,-20700.0,35900.0,15200.0
2024-02-20,11650.0,4900.0,4900.0,0.0,4900.0
2024-02-21,11400.0,21900.0,-21900.0,21900.0,0.0
2024-02-21,11450.0,193200.0,-125000.0,159100.0,34100.0
2024-02-21,11500.0,143400.0,61400.0,41000.0,102400.0
2024-02-21,11550.0,22600.0,22600.0,0.0,22600.0
2024-02-22,11550.0,1800.0,-1800.0,1800.0,0.0
2024-02-22,11600.0,71500.0,17900.0,26800.0,44700.0
2024-02-22,11650.0,42000.0,26800.0,7600.0,34400.0
2024-02-22,11700.0,87200.0,18400.0,34400.0,52800.0
2024-02-22,11750.0,154300.0,65100.0,44600.0,109700.0
2024-02-22,11800.0,83000.0,72400.0,5300.0,77700.0
2024-02-22,11850.0,455800.0,-92600.0,274200.0,181600.0
2024-02-22,11900.0,302600.0,268800.0,16900.0,285700.0
2024-02-22,11950.0,101200.0,100800.0,200.0,101000.0
2024-02-22,12000.0,188400.0,188400.0,0.0,188400.0
2024-02-22,12050.0,39400.0,39400.0,0.0,39400.0
2024-02-22,12100.0,37600.0,37400.0,100.0,37500.0
