t,p,q,d,b,a
2024-07-04,22600.0,270700.0,-270700.0,270700.0,0.0
2024-07-04,22650.0,171400.0,-151600.0,161500.0,9900.0
2024-07-04,22700.0,238800.0,-209800.0,224300.0,14500.0
2024-07-04,22750.0,695400.0,-466800.0,581100.0,114300.0
2024-07-04,22800.0,434600.0,-283800.0,359200.0,75400.0
2024-07-04,22850.0,782800.0,-661600.0,722200.0,60600.0
2024-07-04,22900.0,1854300.0,-574700.0,1214500.0,639800.0
2024-07-04,22950.0,515400.0,203400.0,156000.0,359400.0
2024-07-04,23000.0,498100.0,498100.0,0.0,498100.0
2024-07-05,22600.0,584600.0,-584600.0,584600.0,0.0
2024-07-05,22650.0,1812600.0,-835400.0,1324000.0,488600.0
2024-07-05,22700.0,1833600.0,600400.0,616600.0,1217000.0
2024-07-05,22750.0,1172000.0,-51600.0,611800.0,560200.0
2024-07-05,22800.0,241600.0,-21200.0,131400.0,110200.0
2024-07-05,22850.0,29400.0,29400.0,0.0,29400.0
2024-07-08,22600.0,1432900.0,-1432900.0,1432900.0,0.0
2024-07-08,22650.0,2464100.0,-988900.0,1726500.0,737600.0
2024-07-08,22700.0,1093700.0,46300.0,523700.0,570000.0
2024-07-08,22750.0,820800.0,-367000.0,593900.0,226900.0
2024-07-08,22800.0,508000.0,-38000.0,273000.0,235000.0
2024-07-08,22850.0,194000.0,-12000.0,103000.0,91000.0
2024-07-08,22900.0,114200.0,50200.0,32000.0,82200.0
2024-07-08,22950.0,12500.0,12500.0,0.0,12500.0
2024-07-09,22650.0,331300.0,-331300.0,331300.0,0.0
2024-07-09,22700.0,699100.0,129100.0,285000.0,414100.0
2024-07-09,22750.0,378200.0,73200.0,152500.0,225700.0
2024-07-09,22800.0,297600.0,226800.0,35400.0,262200.0
2024-07-09,22850.0,133900.0,35300.0,49300.0,84600.0
2024-07-09,22900.0,253700.0,238100.0,7800.0,245900.0
2024-07-09,22950.0,1683700.0,-573300.0,1128500.0,555200.0
2024-07-09,23000.0,3909400.0,-91600.0,2000500.0,1908900.0
2024-07-09,23050.0,3386900.0,1578700.0,904100.0,2482800.0
2024-07-09,23100.0,1585400.0,1583400.0,1000.0,1584400.0
2024-07-09,23150.0,0.0,0.0,0.0,0.0
2024-07-10,23150.0,2200.0,-2200.0,2200.0,0.0
2024-07-10,23200.0,440700.0,18300.0,211200.0,229500.0
2024-07-10,23250.0,888100.0,53100.0,417500.0,470600.0
2024-07-10,23300.0,2581400.0,-982600.0,1782000.0,799400.0
2024-07-10,23350.0,3730400.0,438200.0,1646100.0,2084300.0
2024-07-10,23400.0,3010200.0,1041200.0,984500.0,2025700.0
2024-07-10,23450.0,2186300.0,-269100.0,1227700.0,958600.0
2024-07-10,23500.0,4051500.0,2049700.0,1000900.0,3050600.0
2024-07-10,23550.0,1311500.0,874100.0,218700.0,1092800.0
2024-07-10,23600.0,140800.0,140800.0,0.0,140800.0
2024-07-11,23100.0,14700.0,-14700.0,14700.0,0.0
2024-07-11,23150.0,549800.0,-285200.0,417500.0,132300.0
2024-07-11,23200.0,703600.0,-367200.0,535400.0,168200.0
2024-07-11,23250.0,1011300.0,-579100.0,795200.0,216100.0
2024-07-11,23300.0,1836000.0,-348200.0,1092100.0,743900.0
2024-07-11,23350.0,841300.0,-256700.0,549000.0,292300.0
2024-07-11,23400.0,1375300.0,-280300.0,827800.0,547500.0
2024-07-11,23450.0,459800.0,46600.0,206600.0,253200.0
2024-07-11,23500.0,12100.0,12100.0,0.0,12100.0
2024-07-12,22900.0,33800.0,-33800.0,33800.0,0.0
2024-07-12,22950.0,555100.0,-475500.0,515300.0,39800.0
2024-07-12,23000.0,1014300.0,-679100.0,846700.0,167600.0
2024-07-12,23050.0,1688900.0,-676100.0,1182500.0,506400.0
2024-07-12,23100.0,2126600.0,298800.0,913900.0,1212700.0
2024-07-12,23150.0,940000.0,158200.0,390900.0,549100.0
2024-07-12,23200.0,21300.0,21300.0,0.0,21300.0
2024-07-15,22950.0,190800.0,-190800.0,190800.0,0.0
2024-07-15,23000.0,1432500.0,-937300.0,1184900.0,247600.0
2024-07-15,23050.0,1503400.0,131400.0,686000.0,817400.0
2024-07-15,23100.0,598800.0,51400.0,273700.0,325100.0
2024-07-15,23150.0,246600.0,-34600.0,140600.0,106000.0
2024-07-15,23200.0,105600.0,105600.0,0.0,105600.0
2024-07-16,23050.0,16400.0,-16400.0,16400.0,0.0
2024-07-16,23100.0,227600.0,-188600.0,208100.0,19500.0
2024-07-16,23150.0,470400.0,-15600.0,243000.0,227400.0
2024-07-16,23200.0,374900.0,263300.0,55800.0,319100.0
2024-07-16,23250.0,170900.0,163500.0,3700.0,167200.0
2024-07-16,23300.0,297100.0,267500.0,14800.0,282300.0
2024-07-16,23350.0,477500.0,191700.0,142900.0,334600.0
2024-07-16,23400.0,538100.0,453500.0,42300.0,495800.0
2024-07-16,23450.0,1050000.0,-321400.0,685700.0,364300.0
2024-07-16,23500.0,2952700.0,-351500.0,1652100.0,1300600.0
2024-07-16,23550.0,1673500.0,-411100.0,1042300.0,631200.0
2024-07-16,23600.0,2014300.0,-140100.0,1077200.0,937100.0
2024-07-16,23650.0,4510400.0,-1251000.0,2880700.0,1629700.0
2024-07-16,23700.0,3600100.0,1948300.0,825900.0,2774200.0
2024-07-16,23750.0,1821200.0,463600.0,678800.0,1142400.0
2024-07-16,23800.0,1632600.0,1476800.0,77900.0,1554700.0
2024-07-16,23850.0,748300.0,34900.0,356700.0,391600.0
2024-07-16,23900.0,1530200.0,1011800.0,259200.0,1271000.0
2024-07-16,23950.0,41000.0,41000.0,0.0,41000.0
2024-07-17,23550.0,155800.0,-155800.0,155800.0,0.0
2024-07-17,23600.0,678100.0,-269900.0,474000.0,204100.0
2024-07-17,23650.0,1894200.0,-870600.0,1382400.0,511800.0
2024-07-17,23700.0,2158500.0,559900.0,799300.0,1359200.0
2024-07-17,23750.0,1775600.0,-256600.0,1016100.0,759500.0
2024-07-17,23800.0,2879100.0,1423300.0,727900.0,2151200.0
2024-07-17,23850.0,1933000.0,1144000.0,394500.0,1538500.0
2024-07-17,23900.0,2855100.0,1340300.0,757400.0,2097700.0
2024-07-17,23950.0,2757900.0,626500.0,1065700.0,1692200.0
2024-07-17,24000.0,7275500.0,3966500.0,1654500.0,5621000.0
2024-07-17,24050.0,1878600.0,633400.0,622600.0,1256000.0
2024-07-17,24100.0,2579900.0,1558500.0,510700.0,2069200.0
2024-07-17,24150.0,1148100.0,687700.0,230200.0,917900.0
2024-07-17,24200.0,1770300.0,970100.0,400100.0,1370200.0
2024-07-17,24250.0,844700.0,168700.0,338000.0,506700.0
2024-07-17,24300.0,1633700.0,300900.0,666400.0,967300.0
2024-07-17,24350.0,738400.0,151800.0,293300.0,445100.0
2024-07-17,24400.0,710500.0,438100.0,136200.0,574300.0
2024-07-17,24450.0,1155300.0,358700.0,398300.0,757000.0
2024-07-17,24500.0,3426500.0,2316900.0,554800.0,2871700.0
2024-07-17,24550.0,1253900.0,132500.0,560700.0,693200.0
2024-07-17,24600.0,1424200.0,413800.0,505200.0,919000.0
2024-07-17,24650.0,2278600.0,-363200.0,1320900.0,957700.0
2024-07-17,24700.0,3483900.0,760900.0,1361500.0,2122400.0
2024-07-17,24750.0,2343800.0,578000.0,882900.0,1460900.0
2024-07-17,24800.0,3618700.0,1584300.0,1017200.0,2601500.0
2024-07-17,24850.0,1599300.0,163900.0,717700.0,881600.0
2024-07-17,24900.0,1772600.0,281800.0,745400.0,1027200.0
2024-07-17,24950.0,1709900.0,310500.0,699700.0,1010200.0
2024-07-17,25000.0,3523800.0,2299800.0,612000.0,2911800.0
2024-07-17,25050.0,1291300.0,58100.0,616600.0,674700.0
2024-07-17,25100.0,3030800.0,1252400.0,889200.0,2141600.0
2024-07-17,25150.0,138500.0,138500.0,0.0,138500.0
2024-07-18,24100.0,98600.0,-98600.0,98600.0,0.0
