t,p,q,d,b,a
2024-07-08,32800.0,195600.0,-184200.0,189900.0,5700.0
2024-07-08,32900.0,207500.0,-108300.0,157900.0,49600.0
2024-07-08,33000.0,530100.0,-30900.0,280500.0,249600.0
2024-07-08,33100.0,317200.0,194600.0,61300.0,255900.0
2024-07-08,33200.0,102800.0,200.0,51300.0,51500.0
2024-07-08,33300.0,77800.0,57200.0,10300.0,67500.0
2024-07-08,33400.0,120600.0,50600.0,35000.0,85600.0
2024-07-08,33500.0,144000.0,139200.0,2400.0,141600.0
2024-07-08,33600.0,273500.0,-201500.0,237500.0,36000.0
2024-07-08,33700.0,387900.0,-213500.0,300700.0,87200.0
2024-07-08,33800.0,778800.0,283800.0,247500.0,531300.0
2024-07-08,33900.0,528600.0,64200.0,232200.0,296400.0
2024-07-08,34000.0,50000.0,50000.0,0.0,50000.0
2024-07-09,33600.0,39100.0,-39100.0,39100.0,0.0
2024-07-09,33700.0,322900.0,77100.0,122900.0,200000.0
2024-07-09,33800.0,182700.0,10500.0,86100.0,96600.0
2024-07-09,33900.0,232000.0,21000.0,105500.0,126500.0
2024-07-09,34000.0,343000.0,-156600.0,249800.0,93200.0
2024-07-09,34100.0,511500.0,137500.0,187000.0,324500.0
2024-07-09,34200.0,531500.0,-42300.0,286900.0,244600.0
2024-07-09,34300.0,516700.0,33300.0,241700.0,275000.0
2024-07-09,34400.0,441800.0,191000.0,125400.0,316400.0
2024-07-09,34500.0,273100.0,273100.0,0.0,273100.0
2024-07-10,33600.0,384100.0,-384100.0,384100.0,0.0
2024-07-10,33700.0,551700.0,-240300.0,396000.0,155700.0
2024-07-10,33800.0,693500.0,-411500.0,552500.0,141000.0
2024-07-10,33900.0,661900.0,-204900.0,433400.0,228500.0
2024-07-10,34000.0,422800.0,-98600.0,260700.0,162100.0
2024-07-10,34100.0,52100.0,48300.0,1900.0,50200.0
2024-07-10,34200.0,900.0,900.0,0.0,900.0
2024-07-11,33600.0,10000.0,10000.0,0.0,10000.0
2024-07-11,33700.0,21400.0,-21400.0,21400.0,0.0
2024-07-11,33800.0,271200.0,-152800.0,212000.0,59200.0
2024-07-11,33900.0,423300.0,21700.0,200800.0,222500.0
2024-07-11,34000.0,903000.0,-12600.0,457800.0,445200.0
2024-07-11,34100.0,390700.0,246900.0,71900.0,318800.0
2024-07-11,34200.0,285300.0,191500.0,46900.0,238400.0
2024-07-11,34300.0,320400.0,-26000.0,173200.0,147200.0
2024-07-11,34400.0,386900.0,381100.0,2900.0,384000.0
2024-07-11,34500.0,271700.0,270900.0,400.0,271300.0
2024-07-11,34600.0,184400.0,25800.0,79300.0,105100.0
2024-07-11,34700.0,377600.0,36400.0,170600.0,207000.0
2024-07-11,34800.0,397500.0,48300.0,174600.0,222900.0
2024-07-11,34900.0,953300.0,-166700.0,560000.0,393300.0
2024-07-11,35000.0,831400.0,792600.0,19400.0,812000.0
2024-07-11,35100.0,26600.0,26600.0,0.0,26600.0
2024-07-12,34800.0,1000.0,-1000.0,1000.0,0.0
2024-07-12,34900.0,347100.0,-311700.0,329400.0,17700.0
2024-07-12,35000.0,780100.0,-290500.0,535300.0,244800.0
2024-07-12,35100.0,1380500.0,-235500.0,808000.0,572500.0
2024-07-12,35200.0,1014900.0,-30500.0,522700.0,492200.0
2024-07-12,35300.0,475000.0,312400.0,81300.0,393700.0
2024-07-12,35400.0,262900.0,-36100.0,149500.0,113400.0
2024-07-12,35500.0,4800.0,4800.0,0.0,4800.0
2024-07-15,34900.0,67600.0,-67600.0,67600.0,0.0
2024-07-15,35000.0,206600.0,-90800.0,148700.0,57900.0
2024-07-15,35100.0,371600.0,-259000.0,315300.0,56300.0
2024-07-15,35200.0,378000.0,-143000.0,260500.0,117500.0
2024-07-15,35300.0,162300.0,-141300.0,151800.0,10500.0
2024-07-15,35400.0,413300.0,-111900.0,262600.0,150700.0
2024-07-15,35500.0,523600.0,-15000.0,269300.0,254300.0
2024-07-15,35600.0,270300.0,191700.0,39300.0,231000.0
2024-07-15,35700.0,110900.0,10100.0,50400.0,60500.0
2024-07-15,35800.0,264700.0,109900.0,77400.0,187300.0
2024-07-15,35900.0,59400.0,59400.0,0.0,59400.0
2024-07-16,34300.0,83000.0,-83000.0,83000.0,0.0
2024-07-16,34400.0,162000.0,-73400.0,117700.0,44300.0
2024-07-16,34500.0,335200.0,-201200.0,268200.0,67000.0
2024-07-16,34600.0,201500.0,-7100.0,104300.0,97200.0
2024-07-16,34700.0,152100.0,-19100.0,85600.0,66500.0
2024-07-16,34800.0,349000.0,-34200.0,191600.0,157400.0
2024-07-16,34900.0,361500.0,-63700.0,212600.0,148900.0
2024-07-16,35000.0,242500.0,74300.0,84100.0,158400.0
2024-07-16,35100.0,352900.0,-252300.0,302600.0,50300.0
2024-07-16,35200.0,468300.0,53100.0,207600.0,260700.0
2024-07-16,35300.0,316400.0,-114800.0,215600.0,100800.0
2024-07-16,35400.0,157400.0,-20800.0,89100.0,68300.0
2024-07-16,35500.0,161000.0,93800.0,33600.0,127400.0
2024-07-16,35600.0,133300.0,102700.0,15300.0,118000.0
2024-07-16,35700.0,7500.0,7500.0,0.0,7500.0
2024-07-17,33400.0,127100.0,-55500.0,91300.0,35800.0
2024-07-17,33500.0,102900.0,-71300.0,87100.0,15800.0
2024-07-17,33600.0,49100.0,-13100.0,31100.0,18000.0
2024-07-17,33700.0,15600.0,-4800.0,10200.0,5400.0
2024-07-17,33800.0,118200.0,-12000.0,65100.0,53100.0
2024-07-17,33900.0,47700.0,-32500.0,40100.0,7600.0
2024-07-17,34000.0,238900.0,-192700.0,215800.0,23100.0
2024-07-17,34100.0,216300.0,9700.0,103300.0,113000.0
2024-07-17,34200.0,344400.0,-58600.0,201500.0,142900.0
