t,p,q,d,b,a
2024-07-09,22600.0,400.0,-400.0,400.0,0.0
2024-07-09,22750.0,4900.0,2100.0,1400.0,3500.0
2024-07-09,22800.0,10100.0,-300.0,5200.0,4900.0
2024-07-09,22850.0,23200.0,6400.0,8400.0,14800.0
2024-07-09,22900.0,17100.0,5500.0,5800.0,11300.0
2024-07-09,22950.0,58800.0,17000.0,20900.0,37900.0
2024-07-09,23000.0,93300.0,93300.0,0.0,93300.0
2024-07-09,23050.0,3500.0,3500.0,0.0,3500.0
2024-07-09,23100.0,24300.0,24300.0,0.0,24300.0
2024-07-09,23200.0,22200.0,22200.0,0.0,22200.0
2024-07-09,23250.0,200.0,-200.0,200.0,0.0
2024-07-09,23300.0,22000.0,22000.0,0.0,22000.0
2024-07-09,23400.0,35000.0,17000.0,9000.0,26000.0
2024-07-09,23450.0,15400.0,-4000.0,9700.0,5700.0
2024-07-09,23500.0,107100.0,107100.0,0.0,107100.0
2024-07-09,23550.0,70400.0,-54400.0,62400.0,8000.0
2024-07-09,23600.0,63600.0,-13600.0,38600.0,25000.0
2024-07-09,23650.0,78900.0,-5100.0,42000.0,36900.0
2024-07-09,23700.0,68100.0,-4100.0,36100.0,32000.0
2024-07-09,23750.0,40100.0,19100.0,10500.0,29600.0
2024-07-09,23800.0,148100.0,-35700.0,91900.0,56200.0
2024-07-09,23850.0,144800.0,-69800.0,107300.0,37500.0
2024-07-09,23900.0,172400.0,46600.0,62900.0,109500.0
2024-07-09,23950.0,177200.0,29600.0,73800.0,103400.0
2024-07-09,24000.0,433700.0,433700.0,0.0,433700.0
2024-07-09,24050.0,135700.0,135700.0,0.0,135700.0
2024-07-10,21950.0,1800.0,1800.0,0.0,1800.0
2024-07-10,22000.0,7800.0,-7800.0,7800.0,0.0
2024-07-10,22050.0,2000.0,-2000.0,2000.0,0.0
2024-07-10,22100.0,800.0,-800.0,800.0,0.0
2024-07-10,22200.0,500.0,-500.0,500.0,0.0
2024-07-10,22400.0,8500.0,-8100.0,8300.0,200.0
2024-07-10,22500.0,25500.0,-15500.0,20500.0,5000.0
2024-07-10,22550.0,53300.0,-30700.0,42000.0,11300.0
2024-07-10,22600.0,57600.0,2400.0,27600.0,30000.0
2024-07-10,22650.0,77000.0,-61200.0,69100.0,7900.0
2024-07-10,22700.0,126800.0,-88600.0,107700.0,19100.0
2024-07-10,22750.0,141200.0,-47200.0,94200.0,47000.0
2024-07-10,22800.0,79600.0,13800.0,32900.0,46700.0
2024-07-10,22850.0,4200.0,-3800.0,4000.0,200.0
2024-07-10,22900.0,58000.0,-31000.0,44500.0,13500.0
2024-07-10,22950.0,11800.0,-5600.0,8700.0,3100.0
2024-07-10,23000.0,138700.0,-89500.0,114100.0,24600.0
2024-07-10,23050.0,55000.0,-24800.0,39900.0,15100.0
2024-07-10,23100.0,36100.0,-7700.0,21900.0,14200.0
2024-07-10,23150.0,28300.0,-10100.0,19200.0,9100.0
2024-07-10,23200.0,34900.0,-26300.0,30600.0,4300.0
2024-07-10,23250.0,6400.0,-4000.0,5200.0,1200.0
2024-07-10,23300.0,15600.0,-2600.0,9100.0,6500.0
2024-07-10,23350.0,14600.0,-10200.0,12400.0,2200.0
2024-07-10,23400.0,30100.0,-15700.0,22900.0,7200.0
2024-07-10,23450.0,12600.0,-9200.0,10900.0,1700.0
2024-07-10,23500.0,7600.0,-5400.0,6500.0,1100.0
2024-07-10,23550.0,2100.0,-2100.0,2100.0,0.0
2024-07-10,23600.0,5000.0,-4800.0,4900.0,100.0
2024-07-10,23650.0,2000.0,2000.0,0.0,2000.0
2024-07-10,23700.0,100.0,100.0,0.0,100.0
2024-07-10,23750.0,100.0,100.0,0.0,100.0
2024-07-11,21900.0,17000.0,-17000.0,17000.0,0.0
2024-07-11,21950.0,27900.0,-9700.0,18800.0,9100.0
2024-07-11,22000.0,76700.0,-35100.0,55900.0,20800.0
2024-07-11,22050.0,109000.0,-64000.0,86500.0,22500.0
2024-07-11,22100.0,88700.0,-18700.0,53700.0,35000.0
2024-07-11,22150.0,59200.0,-1000.0,30100.0,29100.0
2024-07-11,22200.0,19000.0,-14800.0,16900.0,2100.0
2024-07-11,22250.0,10800.0,-9800.0,10300.0,500.0
2024-07-11,22300.0,74000.0,-70000.0,72000.0,2000.0
2024-07-11,22350.0,29200.0,-14200.0,21700.0,7500.0
2024-07-11,22400.0,52300.0,-30500.0,41400.0,10900.0
2024-07-11,22450.0,21600.0,-9200.0,15400.0,6200.0
2024-07-11,22500.0,54400.0,-3600.0,29000.0,25400.0
2024-07-11,22550.0,17200.0,-11600.0,14400.0,2800.0
2024-07-11,22600.0,9700.0,-7700.0,8700.0,1000.0
2024-07-11,22650.0,9800.0,-9800.0,9800.0,0.0
2024-07-11,22700.0,97500.0,-88300.0,92900.0,4600.0
2024-07-11,22750.0,59800.0,-20800.0,40300.0,19500.0
2024-07-11,22800.0,85300.0,27700.0,28800.0,56500.0
2024-07-11,22850.0,40300.0,15100.0,12600.0,27700.0
2024-07-11,22900.0,10200.0,9000.0,600.0,9600.0
2024-07-11,22950.0,16100.0,16100.0,0.0,16100.0
2024-07-11,23000.0,19700.0,6100.0,6800.0,12900.0
2024-07-11,23050.0,4000.0,4000.0,0.0,4000.0
2024-07-12,22000.0,22100.0,-22100.0,22100.0,0.0
2024-07-12,22050.0,22400.0,-16000.0,19200.0,3200.0
2024-07-12,22100.0,15500.0,-12100.0,13800.0,1700.0
2024-07-12,22150.0,36100.0,-14900.0,25500.0,10600.0
2024-07-12,22200.0,73400.0,-17200.0,45300.0,28100.0
2024-07-12,22250.0,48900.0,5100.0,21900.0,27000.0
2024-07-12,22300.0,74000.0,-31200.0,52600.0,21400.0
2024-07-12,22350.0,38500.0,-9700.0,24100.0,14400.0
2024-07-12,22400.0,53800.0,-17800.0,35800.0,18000.0
2024-07-12,22450.0,21000.0,400.0,10300.0,10700.0
2024-07-12,22500.0,33400.0,3200.0,15100.0,18300.0
2024-07-12,22550.0,1300.0,1300.0,0.0,1300.0
2024-07-12,22600.0,14600.0,-200.0,7400.0,7200.0
2024-07-15,22300.0,300.0,300.0,0.0,300.0
2024-07-15,22400.0,500.0,500.0,0.0,500.0
2024-07-15,22600.0,22200.0,1800.0,10200.0,12000.0
2024-07-15,22650.0,10100.0,-3500.0,6800.0,3300.0
2024-07-15,22700.0,119800.0,14800.0,52500.0,67300.0
2024-07-15,22750.0,89900.0,-68500.0,79200.0,10700.0
2024-07-15,22800.0,135500.0,-8700.0,72100.0,63400.0
2024-07-15,22850.0,173600.0,1600.0,86000.0,87600.0
2024-07-15,22900.0,57600.0,47200.0,5200.0,52400.0
2024-07-15,22950.0,53200.0,41200.0,6000.0,47200.0
2024-07-15,23000.0,81700.0,68300.0,6700.0,75000.0
2024-07-15,23050.0,3100.0,-2900.0,3000.0,100.0
2024-07-15,23100.0,10100.0,-6700.0,8400.0,1700.0
2024-07-15,23150.0,10100.0,4100.0,3000.0,7100.0
2024-07-15,23200.0,12700.0,10100.0,1300.0,11400.0
2024-07-15,23250.0,2800.0,2800.0,0.0,2800.0
2024-07-15,23300.0,200.0,200.0,0.0,200.0
2024-07-16,22500.0,10200.0,-10200.0,10200.0,0.0
2024-07-16,22550.0,37100.0,-13700.0,25400.0,11700.0
2024-07-16,22600.0,35100.0,-14100.0,24600.0,10500.0
2024-07-16,22650.0,46600.0,-17800.0,32200.0,14400.0
2024-07-16,22700.0,95500.0,-22100.0,58800.0,36700.0
2024-07-16,22750.0,40600.0,-4200.0,22400.0,18200.0
2024-07-16,22800.0,46300.0,34100.0,6100.0,40200.0
2024-07-16,22850.0,17100.0,7900.0,4600.0,12500.0
2024-07-16,22900.0,26200.0,7600.0,9300.0,16900.0
2024-07-16,22950.0,3300.0,3300.0,0.0,3300.0
2024-07-17,20950.0,199800.0,22200.0,88800.0,111000.0
2024-07-17,21000.0,66000.0,-49800.0,57900.0,8100.0
2024-07-17,21050.0,19100.0,-4300.0,11700.0,7400.0
2024-07-17,21100.0,5700.0,-4300.0,5000.0,700.0
2024-07-17,21150.0,3400.0,-3400.0,3400.0,0.0
2024-07-17,21200.0,11000.0,-9200.0,10100.0,900.0
2024-07-17,21250.0,200.0,-200.0,200.0,0.0
2024-07-17,21300.0,39000.0,-39000.0,39000.0,0.0
2024-07-17,21350.0,15000.0,-15000.0,15000.0,0.0
2024-07-17,21400.0,5800.0,-5200.0,5500.0,300.0
2024-07-17,21450.0,5300.0,-5300.0,5300.0,0.0
2024-07-17,21500.0,32500.0,-30300.0,31400.0,1100.0
2024-07-17,21550.0,16500.0,-13500.0,15000.0,1500.0
2024-07-17,21600.0,40000.0,-39200.0,39600.0,400.0
2024-07-17,21650.0,211200.0,-52800.0,132000.0,79200.0
2024-07-17,21700.0,48500.0,-21100.0,34800.0,13700.0
2024-07-17,21750.0,35700.0,-700.0,18200.0,17500.0
2024-07-17,21800.0,113400.0,-92400.0,102900.0,10500.0
2024-07-17,21850.0,60600.0,-25400.0,43000.0,17600.0
2024-07-17,21900.0,44600.0,-17800.0,31200.0,13400.0
2024-07-17,21950.0,35100.0,12500.0,11300.0,23800.0
2024-07-17,22000.0,79600.0,-62600.0,71100.0,8500.0
2024-07-17,22050.0,31400.0,-26200.0,28800.0,2600.0
2024-07-17,22100.0,104000.0,32800.0,35600.0,68400.0
2024-07-17,22150.0,34400.0,-19800.0,27100.0,7300.0
2024-07-17,22200.0,30600.0,-200.0,15400.0,15200.0
2024-07-17,22250.0,11100.0,-11100.0,11100.0,0.0
2024-07-17,22300.0,14900.0,-14900.0,14900.0,0.0
2024-07-17,22350.0,21700.0,-5700.0,13700.0,8000.0
2024-07-17,22400.0,39100.0,-6500.0,22800.0,16300.0
2024-07-17,22450.0,21600.0,4000.0,8800.0,12800.0
2024-07-17,22500.0,2800.0,-2800.0,2800.0,0.0
2024-07-17,22550.0,3000.0,-3000.0,3000.0,0.0
2024-07-18,20500.0,1200.0,-1200.0,1200.0,0.0
2024-07-18,20550.0,20600.0,-15400.0,18000.0,2600.0
2024-07-18,20600.0,8400.0,-6200.0,7300.0,1100.0
2024-07-18,20650.0,21900.0,-13700.0,17800.0,4100.0
2024-07-18,20700.0,20100.0,-18300.0,19200.0,900.0
2024-07-18,20750.0,4900.0,-3300.0,4100.0,800.0
2024-07-18,20800.0,28800.0,-28400.0,28600.0,200.0
2024-07-18,20850.0,50100.0,-46900.0,48500.0,1600.0
2024-07-18,20900.0,59400.0,-33600.0,46500.0,12900.0
2024-07-18,20950.0,89100.0,-35100.0,62100.0,27000.0
2024-07-18,21000.0,82300.0,-42100.0,62200.0,20100.0
2024-07-18,21050.0,37200.0,-12200.0,24700.0,12500.0
2024-07-18,21100.0,27100.0,18700.0,4200.0,22900.0
2024-07-18,21150.0,6500.0,2300.0,2100.0,4400.0
2024-07-18,21200.0,29200.0,24600.0,2300.0,26900.0
2024-07-18,21250.0,800.0,-800.0,800.0,0.0
2024-07-18,21300.0,9200.0,8000.0,600.0,8600.0
2024-07-18,21350.0,2700.0,2700.0,0.0,2700.0
2024-07-18,21400.0,3400.0,3400.0,0.0,3400.0
2024-07-18,21500.0,0.0,0.0,0.0,0.0
2024-07-19,20850.0,29900.0,-29900.0,29900.0,0.0
2024-07-19,20900.0,19600.0,-19600.0,19600.0,0.0
2024-07-19,20950.0,37900.0,-15900.0,26900.0,11000.0
2024-07-19,21000.0,135000.0,-88800.0,111900.0,23100.0
2024-07-19,21050.0,73700.0,-20500.0,47100.0,26600.0
2024-07-19,21100.0,53300.0,-36700.0,45000.0,8300.0
2024-07-19,21150.0,30200.0,7200.0,11500.0,18700.0
2024-07-19,21200.0,25800.0,-13400.0,19600.0,6200.0
2024-07-19,21250.0,7800.0,-7800.0,7800.0,0.0
2024-07-19,21300.0,7600.0,-7600.0,7600.0,0.0
2024-07-19,21350.0,4200.0,3800.0,200.0,4000.0
2024-07-19,21400.0,9800.0,-8600.0,9200.0,600.0
2024-07-19,21450.0,400.0,-400.0,400.0,0.0
2024-07-19,21500.0,15800.0,5600.0,5100.0,10700.0
2024-07-19,21550.0,1000.0,-1000.0,1000.0,0.0
2024-07-19,21600.0,15600.0,6800.0,4400.0,11200.0
2024-07-19,21650.0,5600.0,-400.0,3000.0,2600.0
2024-07-19,21700.0,3800.0,-3800.0,3800.0,0.0
2024-07-19,21750.0,9300.0,6300.0,1500.0,7800.0
2024-07-19,21800.0,12000.0,12000.0,0.0,12000.0
2024-07-22,19500.0,124000.0,-79200.0,101600.0,22400.0
2024-07-22,19550.0,97900.0,-46500.0,72200.0,25700.0
2024-07-22,19600.0,200000.0,-90600.0,145300.0,54700.0
2024-07-22,19650.0,89700.0,19700.0,35000.0,54700.0
2024-07-22,19700.0,104500.0,-21300.0,62900.0,41600.0
2024-07-22,19750.0,46100.0,-21100.0,33600.0,12500.0
2024-07-22,19800.0,36700.0,-5700.0,21200.0,15500.0
2024-07-22,19850.0,9600.0,-3600.0,6600.0,3000.0
2024-07-22,19900.0,31000.0,18400.0,6300.0,24700.0
2024-07-22,19950.0,11900.0,5900.0,3000.0,8900.0
2024-07-22,20000.0,60500.0,-55300.0,57900.0,2600.0
2024-07-22,20050.0,27000.0,-8000.0,17500.0,9500.0
2024-07-22,20100.0,18100.0,-8900.0,13500.0,4600.0
2024-07-22,20150.0,19900.0,-3500.0,11700.0,8200.0
2024-07-22,20200.0,10100.0,-10100.0,10100.0,0.0
2024-07-22,20250.0,4600.0,-4600.0,4600.0,0.0
2024-07-22,20300.0,10100.0,5300.0,2400.0,7700.0
2024-07-22,20350.0,500.0,500.0,0.0,500.0
2024-07-22,20400.0,18200.0,-14600.0,16400.0,1800.0
2024-07-22,20450.0,21100.0,-20700.0,20900.0,200.0
2024-07-22,20500.0,22000.0,-3000.0,12500.0,9500.0
2024-07-22,20600.0,8800.0,-6000.0,7400.0,1400.0
2024-07-22,20650.0,12800.0,-12800.0,12800.0,0.0
2024-07-22,20700.0,38600.0,-38400.0,38500.0,100.0
2024-07-22,20750.0,24500.0,-19500.0,22000.0,2500.0
2024-07-22,20800.0,30100.0,1500.0,14300.0,15800.0
2024-07-22,20850.0,14500.0,-2700.0,8600.0,5900.0
2024-07-22,20900.0,40000.0,-20200.0,30100.0,9900.0
2024-07-22,20950.0,1000.0,1000.0,0.0,1000.0
2024-07-23,18650.0,0.0,0.0,0.0,0.0
2024-07-23,18700.0,11300.0,-11300.0,11300.0,0.0
2024-07-23,18750.0,300.0,-300.0,300.0,0.0
2024-07-23,18800.0,14700.0,6900.0,3900.0,10800.0
2024-07-23,18900.0,8500.0,-2500.0,5500.0,3000.0
2024-07-23,18950.0,1800.0,-1400.0,1600.0,200.0
2024-07-23,19000.0,44200.0,-24200.0,34200.0,10000.0
2024-07-23,19050.0,5100.0,-5100.0,5100.0,0.0
2024-07-23,19100.0,2400.0,-2400.0,2400.0,0.0
2024-07-23,19150.0,1000.0,-1000.0,1000.0,0.0
2024-07-23,19200.0,29600.0,-8200.0,18900.0,10700.0
2024-07-23,19250.0,6400.0,-6400.0,6400.0,0.0
2024-07-23,19300.0,39000.0,-27000.0,33000.0,6000.0
2024-07-23,19350.0,52400.0,-18600.0,35500.0,16900.0
2024-07-23,19400.0,56500.0,-2300.0,29400.0,27100.0
2024-07-23,19450.0,31500.0,-21100.0,26300.0,5200.0
2024-07-23,19500.0,103500.0,32900.0,35300.0,68200.0
2024-07-23,19550.0,4400.0,-4000.0,4200.0,200.0
2024-07-23,19600.0,11700.0,-7100.0,9400.0,2300.0
2024-07-23,19650.0,9900.0,9900.0,0.0,9900.0
2024-07-23,19750.0,1200.0,-1000.0,1100.0,100.0
2024-07-23,19800.0,5500.0,-2900.0,4200.0,1300.0
2024-07-23,19850.0,22600.0,1200.0,10700.0,11900.0
2024-07-23,19900.0,1100.0,1100.0,0.0,1100.0
2024-07-24,18400.0,42700.0,-42700.0,42700.0,0.0
2024-07-24,18450.0,3400.0,1200.0,1100.0,2300.0
2024-07-24,18500.0,37200.0,-25600.0,31400.0,5800.0
2024-07-24,18550.0,29900.0,-26100.0,28000.0,1900.0
2024-07-24,18600.0,46700.0,-26500.0,36600.0,10100.0
2024-07-24,18650.0,158600.0,50800.0,53900.0,104700.0
2024-07-24,18700.0,50800.0,-40800.0,45800.0,5000.0
