t,p,q,d,b,a
2024-02-15,14200.0,769400.0,48000.0,360700.0,408700.0
2024-02-15,14250.0,1511600.0,799000.0,356300.0,1155300.0
2024-02-15,14300.0,1032400.0,742000.0,145200.0,887200.0
2024-02-15,14350.0,569800.0,567400.0,1200.0,568600.0
2024-02-15,14400.0,487700.0,481700.0,3000.0,484700.0
2024-02-15,14450.0,469100.0,302900.0,83100.0,386000.0
2024-02-15,14500.0,900400.0,896400.0,2000.0,898400.0
2024-02-15,14550.0,318400.0,259400.0,29500.0,288900.0
2024-02-15,14600.0,1185700.0,-44300.0,615000.0,570700.0
2024-02-15,14650.0,1666500.0,488700.0,588900.0,1077600.0
2024-02-15,14700.0,734800.0,448400.0,143200.0,591600.0
2024-02-15,14750.0,1835500.0,-652700.0,1244100.0,591400.0
2024-02-15,14800.0,2681700.0,1222300.0,729700.0,1952000.0
2024-02-15,14850.0,1492800.0,853600.0,319600.0,1173200.0
2024-02-15,14900.0,659600.0,625400.0,17100.0,642500.0
2024-02-15,14950.0,658700.0,559300.0,49700.0,609000.0
2024-02-15,15000.0,8655800.0,-2986800.0,5821300.0,2834500.0
2024-02-15,15050.0,9270300.0,102300.0,4584000.0,4686300.0
2024-02-16,15000.0,1143600.0,-991600.0,1067600.0,76000.0
2024-02-16,15050.0,879400.0,-13800.0,446600.0,432800.0
2024-02-16,15100.0,1625200.0,-393400.0,1009300.0,615900.0
2024-02-16,15150.0,2499300.0,-288500.0,1393900.0,1105400.0
2024-02-16,15200.0,639700.0,-21900.0,330800.0,308900.0
2024-02-16,15250.0,1476600.0,587000.0,444800.0,1031800.0
2024-02-16,15300.0,2008900.0,978100.0,515400.0,1493500.0
2024-02-16,15350.0,70400.0,70400.0,0.0,70400.0
2024-02-19,15150.0,257400.0,-235800.0,246600.0,10800.0
2024-02-19,15200.0,1038500.0,-47900.0,543200.0,495300.0
2024-02-19,15250.0,634300.0,561300.0,36500.0,597800.0
2024-02-19,15300.0,322800.0,322800.0,0.0,322800.0
2024-02-19,15350.0,297600.0,297000.0,300.0,297300.0
2024-02-19,15400.0,861000.0,850200.0,5400.0,855600.0
2024-02-19,15450.0,805500.0,480900.0,162300.0,643200.0
2024-02-19,15500.0,2067500.0,-352300.0,1209900.0,857600.0
2024-02-19,15550.0,2764400.0,-1099000.0,1931700.0,832700.0
2024-02-19,15600.0,2790900.0,-174500.0,1482700.0,1308200.0
2024-02-19,15650.0,2355900.0,-867500.0,1611700.0,744200.0
2024-02-19,15700.0,2993400.0,311400.0,1341000.0,1652400.0
2024-02-19,15750.0,2437800.0,162000.0,1137900.0,1299900.0
2024-02-19,15800.0,1801900.0,1328100.0,236900.0,1565000.0
2024-02-19,15850.0,974500.0,274300.0,350100.0,624400.0
2024-02-19,15900.0,358100.0,358100.0,0.0,358100.0
2024-02-20,15300.0,500.0,-500.0,500.0,0.0
2024-02-20,15350.0,1082100.0,-464700.0,773400.0,308700.0
2024-02-20,15400.0,2069700.0,-535500.0,1302600.0,767100.0
2024-02-20,15450.0,2185200.0,194400.0,995400.0,1189800.0
2024-02-20,15500.0,2307500.0,282900.0,1012300.0,1295200.0
2024-02-20,15550.0,1144200.0,99600.0,522300.0,621900.0
2024-02-20,15600.0,928500.0,447500.0,240500.0,688000.0
2024-02-20,15650.0,3600.0,3600.0,0.0,3600.0
2024-02-21,15400.0,46200.0,-46200.0,46200.0,0.0
2024-02-21,15450.0,177500.0,15300.0,81100.0,96400.0
2024-02-21,15500.0,208300.0,81700.0,63300.0,145000.0
2024-02-21,15550.0,924600.0,-471400.0,698000.0,226600.0
2024-02-21,15600.0,3802900.0,66100.0,1868400.0,1934500.0
2024-02-21,15650.0,5271100.0,361500.0,2454800.0,2816300.0
2024-02-21,15700.0,3172900.0,1815900.0,678500.0,2494400.0
2024-02-21,15750.0,1183500.0,984300.0,99600.0,1083900.0
2024-02-21,15800.0,1021000.0,1006000.0,7500.0,1013500.0
2024-02-21,15850.0,561600.0,452400.0,54600.0,507000.0
2024-02-21,15900.0,1718000.0,-20200.0,869100.0,848900.0
2024-02-21,15950.0,2272200.0,-77400.0,1174800.0,1097400.0
2024-02-21,16000.0,1413200.0,1005000.0,204100.0,1209100.0
2024-02-21,16050.0,174500.0,-63900.0,119200.0,55300.0
2024-02-21,16100.0,297300.0,2500.0,147400.0,149900.0
2024-02-21,16150.0,53900.0,53900.0,0.0,53900.0
2024-02-22,15450.0,658000.0,-483000.0,570500.0,87500.0
2024-02-22,15500.0,1590100.0,-410100.0,1000100.0,590000.0
2024-02-22,15550.0,1739400.0,-775200.0,1257300.0,482100.0
2024-02-22,15600.0,4602900.0,-429700.0,2516300.0,2086600.0
2024-02-22,15650.0,2695900.0,-100300.0,1398100.0,1297800.0
2024-02-22,15700.0,1330300.0,53300.0,638500.0,691800.0
2024-02-22,15750.0,486500.0,334900.0,75800.0,410700.0
2024-02-22,15800.0,132700.0,97500.0,17600.0,115100.0
2024-02-22,15850.0,94800.0,94800.0,0.0,94800.0
2024-02-23,15300.0,121500.0,-121500.0,121500.0,0.0
2024-02-23,15350.0,248500.0,-86900.0,167700.0,80800.0
2024-02-23,15400.0,876800.0,-546600.0,711700.0,165100.0
2024-02-23,15450.0,1209400.0,-338200.0,773800.0,435600.0
2024-02-23,15500.0,766000.0,-308600.0,537300.0,228700.0
2024-02-23,15550.0,323300.0,-200300.0,261800.0,61500.0
2024-02-23,15600.0,623800.0,-444800.0,534300.0,89500.0
2024-02-23,15650.0,1078600.0,-496000.0,787300.0,291300.0
2024-02-23,15700.0,2330600.0,-546400.0,1438500.0,892100.0
2024-02-23,15750.0,2266300.0,492300.0,887000.0,1379300.0
2024-02-23,15800.0,2596700.0,-93500.0,1345100.0,1251600.0
