t,p,q,d,b,a
2024-02-15,64900.0,154300.0,-149500.0,151900.0,2400.0
2024-02-15,65000.0,663200.0,-614800.0,639000.0,24200.0
2024-02-15,65100.0,756300.0,-52700.0,404500.0,351800.0
2024-02-15,65200.0,158800.0,-33000.0,95900.0,62900.0
2024-02-15,65300.0,150700.0,-21300.0,86000.0,64700.0
2024-02-15,65400.0,13100.0,13100.0,0.0,13100.0
2024-02-15,65500.0,55900.0,12300.0,21800.0,34100.0
2024-02-15,65600.0,12000.0,-3400.0,7700.0,4300.0
2024-02-15,65700.0,3200.0,3200.0,0.0,3200.0
2024-02-16,65100.0,14300.0,-14300.0,14300.0,0.0
2024-02-16,65200.0,46800.0,-11600.0,29200.0,17600.0
2024-02-16,65300.0,139500.0,-3700.0,71600.0,67900.0
2024-02-16,65400.0,95100.0,-35900.0,65500.0,29600.0
2024-02-16,65500.0,129000.0,64200.0,32400.0,96600.0
2024-02-16,65600.0,53700.0,53700.0,0.0,53700.0
2024-02-16,65700.0,56000.0,43600.0,6200.0,49800.0
2024-02-16,65800.0,90900.0,10700.0,40100.0,50800.0
2024-02-16,65900.0,353500.0,-47300.0,200400.0,153100.0
2024-02-16,66000.0,560200.0,-75200.0,317700.0,242500.0
2024-02-16,66100.0,445200.0,167400.0,138900.0,306300.0
2024-02-16,66200.0,375600.0,-20800.0,198200.0,177400.0
2024-02-16,66300.0,134500.0,37300.0,48600.0,85900.0
2024-02-16,66400.0,35200.0,35200.0,0.0,35200.0
2024-02-19,66500.0,74100.0,-74100.0,74100.0,0.0
2024-02-19,66600.0,74600.0,24600.0,25000.0,49600.0
2024-02-19,66700.0,97100.0,65500.0,15800.0,81300.0
2024-02-19,66800.0,87200.0,69800.0,8700.0,78500.0
2024-02-19,66900.0,54500.0,50900.0,1800.0,52700.0
2024-02-19,67000.0,71300.0,71300.0,0.0,71300.0
2024-02-19,67100.0,17800.0,1600.0,8100.0,9700.0
2024-02-19,67200.0,121900.0,30900.0,45500.0,76400.0
2024-02-19,67300.0,151700.0,65300.0,43200.0,108500.0
2024-02-19,67400.0,173200.0,102800.0,35200.0,138000.0
2024-02-19,67500.0,256800.0,131800.0,62500.0,194300.0
2024-02-19,67600.0,100500.0,87700.0,6400.0,94100.0
2024-02-19,67700.0,134400.0,101800.0,16300.0,118100.0
2024-02-19,67800.0,294100.0,29300.0,132400.0,161700.0
2024-02-19,67900.0,611800.0,-66800.0,339300.0,272500.0
2024-02-19,68000.0,1681000.0,377800.0,651600.0,1029400.0
2024-02-19,68100.0,955100.0,355100.0,300000.0,655100.0
2024-02-19,68200.0,294500.0,241300.0,26600.0,267900.0
