t,p,q,d,b,a
2024-07-09,14700.0,1800.0,-1800.0,1800.0,0.0
2024-07-09,14800.0,123700.0,-70500.0,97100.0,26600.0
2024-07-09,14900.0,96200.0,7600.0,44300.0,51900.0
2024-07-09,15000.0,28000.0,28000.0,0.0,28000.0
2024-07-10,14800.0,200.0,-200.0,200.0,0.0
2024-07-10,14900.0,88000.0,-52000.0,70000.0,18000.0
2024-07-10,15000.0,161200.0,-22200.0,91700.0,69500.0
2024-07-10,15100.0,120700.0,-10500.0,65600.0,55100.0
2024-07-10,15200.0,15500.0,15500.0,0.0,15500.0
2024-07-11,14800.0,14200.0,-14200.0,14200.0,0.0
2024-07-11,14900.0,159400.0,-41200.0,100300.0,59100.0
2024-07-11,15000.0,46000.0,-17200.0,31600.0,14400.0
2024-07-11,15100.0,38000.0,34800.0,1600.0,36400.0
2024-07-12,14600.0,54600.0,11600.0,21500.0,33100.0
2024-07-12,14700.0,122400.0,34200.0,44100.0,78300.0
2024-07-12,14800.0,114800.0,-43600.0,79200.0,35600.0
2024-07-12,14900.0,32400.0,32400.0,0.0,32400.0
2024-07-15,14500.0,68200.0,-68200.0,68200.0,0.0
2024-07-15,14600.0,62600.0,-46000.0,54300.0,8300.0
2024-07-15,14700.0,45200.0,2600.0,21300.0,23900.0
2024-07-15,14800.0,300.0,300.0,0.0,300.0
2024-07-16,14400.0,20000.0,-20000.0,20000.0,0.0
2024-07-16,14500.0,191700.0,-127700.0,159700.0,32000.0
2024-07-16,14600.0,96100.0,40500.0,27800.0,68300.0
2024-07-16,14700.0,59600.0,2600.0,28500.0,31100.0
2024-07-16,14800.0,34500.0,34500.0,0.0,34500.0
2024-07-17,13700.0,65500.0,-65500.0,65500.0,0.0
2024-07-17,13800.0,82200.0,-55200.0,68700.0,13500.0
2024-07-17,13900.0,26200.0,-4000.0,15100.0,11100.0
2024-07-17,14000.0,133700.0,-76500.0,105100.0,28600.0
2024-07-17,14100.0,83200.0,-50800.0,67000.0,16200.0
2024-07-17,14200.0,90100.0,-32300.0,61200.0,28900.0
2024-07-17,14300.0,147100.0,-41700.0,94400.0,52700.0
