t,p,q,d,b,a
2024-02-15,45850.0,288100.0,-288100.0,288100.0,0.0
2024-02-15,45900.0,358700.0,-117300.0,238000.0,120700.0
2024-02-15,45950.0,357700.0,-187300.0,272500.0,85200.0
2024-02-15,46000.0,1446500.0,-705500.0,1076000.0,370500.0
2024-02-15,46050.0,1494100.0,-110900.0,802500.0,691600.0
2024-02-15,46100.0,1180800.0,-171400.0,676100.0,504700.0
2024-02-15,46150.0,670200.0,-105800.0,388000.0,282200.0
2024-02-15,46200.0,430000.0,73400.0,178300.0,251700.0
2024-02-15,46250.0,408800.0,108800.0,150000.0,258800.0
2024-02-15,46300.0,515500.0,-12300.0,263900.0,251600.0
2024-02-15,46350.0,221600.0,106000.0,57800.0,163800.0
2024-02-15,46400.0,73400.0,-70800.0,72100.0,1300.0
2024-02-15,46450.0,144700.0,-70500.0,107600.0,37100.0
2024-02-15,46500.0,210100.0,-116300.0,163200.0,46900.0
2024-02-15,46550.0,262100.0,-97100.0,179600.0,82500.0
2024-02-15,46600.0,132000.0,-14600.0,73300.0,58700.0
2024-02-15,46650.0,55300.0,100.0,27600.0,27700.0
2024-02-15,46700.0,38500.0,-33700.0,36100.0,2400.0
2024-02-15,46750.0,19000.0,19000.0,0.0,19000.0
2024-02-15,46800.0,70800.0,-63400.0,67100.0,3700.0
2024-02-15,46850.0,21400.0,-18400.0,19900.0,1500.0
2024-02-15,46900.0,70300.0,-64100.0,67200.0,3100.0
2024-02-15,46950.0,221100.0,174100.0,23500.0,197600.0
2024-02-15,47000.0,77000.0,77000.0,0.0,77000.0
2024-02-16,45800.0,12600.0,-12600.0,12600.0,0.0
2024-02-16,45850.0,197100.0,-174300.0,185700.0,11400.0
2024-02-16,45900.0,186500.0,-6900.0,96700.0,89800.0
2024-02-16,45950.0,193100.0,65500.0,63800.0,129300.0
2024-02-16,46000.0,800100.0,-257700.0,528900.0,271200.0
2024-02-16,46050.0,757500.0,-188700.0,473100.0,284400.0
2024-02-16,46100.0,460100.0,30300.0,214900.0,245200.0
2024-02-16,46150.0,783000.0,-140200.0,461600.0,321400.0
2024-02-16,46200.0,438300.0,236300.0,101000.0,337300.0
2024-02-16,46250.0,179200.0,34400.0,72400.0,106800.0
2024-02-16,46300.0,110000.0,41800.0,34100.0,75900.0
2024-02-16,46350.0,78000.0,72200.0,2900.0,75100.0
2024-02-16,46400.0,78000.0,69400.0,4300.0,73700.0
2024-02-16,46450.0,97300.0,14900.0,41200.0,56100.0
2024-02-16,46500.0,144700.0,128900.0,7900.0,136800.0
2024-02-16,46550.0,135400.0,-51600.0,93500.0,41900.0
2024-02-16,46600.0,62000.0,55800.0,3100.0,58900.0
2024-02-19,46150.0,102500.0,-102500.0,102500.0,0.0
2024-02-19,46200.0,602000.0,-299600.0,450800.0,151200.0
2024-02-19,46250.0,406300.0,-20500.0,213400.0,192900.0
2024-02-19,46300.0,463000.0,-235600.0,349300.0,113700.0
2024-02-19,46350.0,249600.0,71800.0,88900.0,160700.0
2024-02-19,46400.0,171700.0,89500.0,41100.0,130600.0
2024-02-19,46450.0,132800.0,37200.0,47800.0,85000.0
2024-02-19,46500.0,283800.0,85800.0,99000.0,184800.0
2024-02-19,46550.0,231700.0,-38300.0,135000.0,96700.0
2024-02-19,46600.0,918300.0,-279900.0,599100.0,319200.0
2024-02-19,46650.0,922400.0,25200.0,448600.0,473800.0
2024-02-19,46700.0,992400.0,281400.0,355500.0,636900.0
2024-02-19,46750.0,536800.0,125400.0,205700.0,331100.0
2024-02-19,46800.0,414000.0,173200.0,120400.0,293600.0
2024-02-19,46850.0,101900.0,30300.0,35800.0,66100.0
2024-02-19,46900.0,36300.0,14900.0,10700.0,25600.0
2024-02-19,46950.0,75800.0,-34400.0,55100.0,20700.0
2024-02-19,47000.0,351800.0,89800.0,131000.0,220800.0
2024-02-19,47050.0,138600.0,81000.0,28800.0,109800.0
2024-02-19,47100.0,71300.0,25100.0,23100.0,48200.0
2024-02-19,47150.0,26400.0,-3400.0,14900.0,11500.0
2024-02-19,47200.0,3700.0,3700.0,0.0,3700.0
2024-02-20,46000.0,34200.0,-34200.0,34200.0,0.0
2024-02-20,46050.0,154800.0,-154800.0,154800.0,0.0
2024-02-20,46100.0,378400.0,-159200.0,268800.0,109600.0
2024-02-20,46150.0,746500.0,-109100.0,427800.0,318700.0
2024-02-20,46200.0,569700.0,26700.0,271500.0,298200.0
2024-02-20,46250.0,551600.0,-176400.0,364000.0,187600.0
2024-02-20,46300.0,535500.0,-133500.0,334500.0,201000.0
2024-02-20,46350.0,383300.0,-108100.0,245700.0,137600.0
2024-02-20,46400.0,859900.0,-517300.0,688600.0,171300.0
2024-02-20,46450.0,1088600.0,-254800.0,671700.0,416900.0
2024-02-20,46500.0,460200.0,69000.0,195600.0,264600.0
2024-02-20,46550.0,117100.0,-4900.0,61000.0,56100.0
2024-02-20,46600.0,140100.0,-66700.0,103400.0,36700.0
2024-02-20,46650.0,191000.0,-78000.0,134500.0,56500.0
2024-02-20,46700.0,135200.0,-83200.0,109200.0,26000.0
2024-02-20,46750.0,114000.0,25400.0,44300.0,69700.0
2024-02-20,46800.0,264500.0,8500.0,128000.0,136500.0
2024-02-20,46850.0,297000.0,126000.0,85500.0,211500.0
2024-02-20,46900.0,98400.0,53200.0,22600.0,75800.0
2024-02-20,46950.0,59400.0,59400.0,0.0,59400.0
2024-02-21,46000.0,14300.0,-14300.0,14300.0,0.0
2024-02-21,46050.0,389600.0,-304200.0,346900.0,42700.0
2024-02-21,46100.0,541300.0,-140500.0,340900.0,200400.0
2024-02-21,46150.0,368700.0,-226700.0,297700.0,71000.0
2024-02-21,46200.0,1237900.0,-819900.0,1028900.0,209000.0
2024-02-21,46250.0,1764900.0,-932900.0,1348900.0,416000.0
2024-02-21,46300.0,1336400.0,345600.0,495400.0,841000.0
2024-02-21,46350.0,268300.0,102300.0,83000.0,185300.0
2024-02-21,46400.0,37700.0,-9500.0,23600.0,14100.0
2024-02-21,46450.0,100.0,100.0,0.0,100.0
2024-02-21,46500.0,16000.0,-15000.0,15500.0,500.0
2024-02-21,46550.0,10000.0,10000.0,0.0,10000.0
2024-02-21,46600.0,15400.0,15000.0,200.0,15200.0
2024-02-21,46650.0,600.0,-600.0,600.0,0.0
2024-02-21,46700.0,29500.0,29500.0,0.0,29500.0
2024-02-22,45200.0,9700.0,-9700.0,9700.0,0.0
2024-02-22,45250.0,132500.0,-79300.0,105900.0,26600.0
2024-02-22,45300.0,403100.0,-310500.0,356800.0,46300.0
2024-02-22,45350.0,1068300.0,-155700.0,612000.0,456300.0
2024-02-22,45400.0,1346200.0,-466000.0,906100.0,440100.0
2024-02-22,45450.0,1072700.0,-151900.0,612300.0,460400.0
2024-02-22,45500.0,1673900.0,-762500.0,1218200.0,455700.0
2024-02-22,45550.0,1324900.0,12100.0,656400.0,668500.0
2024-02-22,45600.0,744600.0,-155000.0,449800.0,294800.0
2024-02-22,45650.0,169100.0,100.0,84500.0,84600.0
2024-02-22,45700.0,240900.0,-234300.0,237600.0,3300.0
2024-02-22,45750.0,550700.0,-183300.0,367000.0,183700.0
2024-02-22,45800.0,824400.0,-149000.0,486700.0,337700.0
2024-02-22,45850.0,498400.0,-99600.0,299000.0,199400.0
2024-02-22,45900.0,107300.0,-27300.0,67300.0,40000.0
2024-02-22,45950.0,45500.0,-44300.0,44900.0,600.0
2024-02-22,46000.0,105000.0,-98000.0,101500.0,3500.0
2024-02-22,46050.0,43800.0,-37000.0,40400.0,3400.0
2024-02-22,46100.0,76500.0,-41500.0,59000.0,17500.0
2024-02-22,46150.0,28500.0,-27500.0,28000.0,500.0
2024-02-22,46200.0,43900.0,-15300.0,29600.0,14300.0
2024-02-22,46250.0,50500.0,-34300.0,42400.0,8100.0
2024-02-22,46300.0,44500.0,44500.0,0.0,44500.0
2024-02-23,43950.0,8100.0,-8100.0,8100.0,0.0
2024-02-23,44000.0,708400.0,-649200.0,678800.0,29600.0
2024-02-23,44050.0,1835500.0,-1546300.0,1690900.0,144600.0
2024-02-23,44100.0,1092400.0,-63800.0,578100.0,514300.0
2024-02-23,44150.0,400100.0,-109100.0,254600.0,145500.0
2024-02-23,44200.0,476200.0,-259600.0,367900.0,108300.0
2024-02-23,44250.0,261400.0,-111600.0,186500.0,74900.0
2024-02-23,44300.0,194600.0,-145800.0,170200.0,24400.0
2024-02-23,44350.0,86600.0,-52000.0,69300.0,17300.0
2024-02-23,44400.0,267400.0,-188400.0,227900.0,39500.0
2024-02-23,44450.0,270500.0,14500.0,128000.0,142500.0
2024-02-23,44500.0,581900.0,-557700.0,569800.0,12100.0
2024-02-23,44550.0,1062600.0,-685000.0,873800.0,188800.0
2024-02-23,44600.0,778900.0,-394100.0,586500.0,192400.0
2024-02-23,44650.0,530100.0,-398300.0,464200.0,65900.0
2024-02-23,44700.0,1280800.0,-902400.0,1091600.0,189200.0
2024-02-23,44750.0,1055700.0,-466100.0,760900.0,294800.0
2024-02-23,44800.0,1159300.0,-626100.0,892700.0,266600.0
2024-02-23,44850.0,1177100.0,-231300.0,704200.0,472900.0
2024-02-23,44900.0,1294900.0,-138700.0,716800.0,578100.0
2024-02-23,44950.0,283400.0,-131000.0,207200.0,76200.0
2024-02-23,45000.0,709200.0,-257200.0,483200.0,226000.0
2024-02-23,45050.0,291500.0,-146700.0,219100.0,72400.0
2024-02-23,45100.0,170200.0,-88400.0,129300.0,40900.0
2024-02-23,45150.0,64000.0,-64000.0,64000.0,0.0
2024-02-23,45200.0,85800.0,-79800.0,82800.0,3000.0
2024-02-23,45250.0,58100.0,20700.0,18700.0,39400.0
2024-02-23,45300.0,128400.0,42800.0,42800.0,85600.0
2024-02-23,45350.0,88900.0,-74900.0,81900.0,7000.0
2024-02-23,45400.0,77400.0,-36800.0,57100.0,20300.0
2024-02-23,45450.0,65600.0,40400.0,12600.0,53000.0
2024-02-23,45500.0,27100.0,20300.0,3400.0,23700.0
