t,p,q,d,b,a
2024-02-15,10500.0,7100.0,2900.0,2100.0,5000.0
2024-02-15,10600.0,74700.0,31100.0,21800.0,52900.0
2024-02-15,10700.0,158345.0,25245.0,66550.0,91795.0
2024-02-15,10800.0,5000.0,5000.0,0.0,5000.0
2024-02-16,10700.0,106100.0,-65900.0,86000.0,20100.0
2024-02-16,10800.0,126302.0,-42628.0,84465.0,41837.0
2024-02-16,10900.0,10100.0,10100.0,0.0,10100.0
2024-02-19,10700.0,8400.0,-8400.0,8400.0,0.0
2024-02-19,10800.0,218900.0,-90700.0,154800.0,64100.0
2024-02-19,10900.0,97600.0,18600.0,39500.0,58100.0
2024-02-19,11000.0,56100.0,-55300.0,55700.0,400.0
2024-02-20,10800.0,25900.0,-25900.0,25900.0,0.0
2024-02-20,10900.0,47908.0,-29092.0,38500.0,9408.0
2024-02-20,11000.0,161242.0,5758.0,77742.0,83500.0
2024-02-20,11100.0,158644.0,37156.0,60744.0,97900.0
2024-02-20,11200.0,149993.0,-11333.0,80663.0,69330.0
2024-02-20,11300.0,230305.0,19695.0,105305.0,125000.0
2024-02-20,11400.0,108767.0,-22333.0,65550.0,43217.0
2024-02-20,11500.0,56425.0,56425.0,0.0,56425.0
2024-02-21,11300.0,61800.0,8800.0,26500.0,35300.0
2024-02-21,11400.0,196007.0,94193.0,50907.0,145100.0
2024-02-21,11500.0,245709.0,114933.0,65388.0,180321.0
2024-02-21,11600.0,8502.0,8502.0,0.0,8502.0
2024-02-22,11300.0,8900.0,-8900.0,8900.0,0.0
2024-02-22,11400.0,277403.0,-2597.0,140000.0,137403.0
2024-02-22,11500.0,137705.0,111297.0,13204.0,124501.0
2024-02-22,11600.0,311.0,311.0,0.0,311.0
2024-02-23,11100.0,91800.0,37000.0,27400.0,64400.0
2024-02-23,11200.0,140280.0,-73880.0,107080.0,33200.0
2024-02-23,11300.0,218621.0,-98799.0,158710.0,59911.0
2024-02-23,11400.0,129310.0,30108.0,49601.0,79709.0
2024-02-23,11500.0,2800.0,2800.0,0.0,2800.0
2024-02-26,11000.0,41900.0,-41900.0,41900.0,0.0
2024-02-26,11100.0,107329.0,-27329.0,67329.0,40000.0
2024-02-26,11200.0,249211.0,-95211.0,172211.0,77000.0
2024-02-26,11300.0,47709.0,47709.0,0.0,47709.0
2024-02-27,11200.0,15600.0,-15600.0,15600.0,0.0
2024-02-27,11300.0,128689.0,-92489.0,110589.0,18100.0
2024-02-27,11400.0,199200.0,148200.0,25500.0,173700.0
2024-02-27,11500.0,110800.0,110000.0,400.0,110400.0
2024-02-28,11500.0,1400.0,-1400.0,1400.0,0.0
