t,p,q,d,b,a
2024-02-15,17000.0,3400.0,-3400.0,3400.0,0.0
2024-02-15,17050.0,20400.0,-16200.0,18300.0,2100.0
2024-02-15,17100.0,57100.0,-6100.0,31600.0,25500.0
2024-02-15,17150.0,34700.0,-18500.0,26600.0,8100.0
2024-02-15,17200.0,100.0,100.0,0.0,100.0
2024-02-15,17250.0,700.0,700.0,0.0,700.0
2024-02-15,17300.0,1700.0,1700.0,0.0,1700.0
2024-02-15,17400.0,2400.0,2400.0,0.0,2400.0
2024-02-15,17500.0,50400.0,50400.0,0.0,50400.0
2024-02-16,16800.0,6400.0,6400.0,0.0,6400.0
2024-02-16,17000.0,5400.0,-5400.0,5400.0,0.0
2024-02-16,17050.0,800.0,-800.0,800.0,0.0
2024-02-16,17100.0,6100.0,-6100.0,6100.0,0.0
2024-02-16,17150.0,62300.0,17900.0,22200.0,40100.0
2024-02-16,17200.0,34900.0,-1300.0,18100.0,16800.0
2024-02-16,17250.0,5200.0,4200.0,500.0,4700.0
2024-02-16,17300.0,4800.0,4200.0,300.0,4500.0
2024-02-16,17350.0,7300.0,6700.0,300.0,7000.0
2024-02-16,17400.0,400.0,400.0,0.0,400.0
2024-02-19,17000.0,51700.0,-48500.0,50100.0,1600.0
2024-02-19,17050.0,44500.0,21900.0,11300.0,33200.0
2024-02-19,17100.0,7700.0,-5500.0,6600.0,1100.0
2024-02-19,17150.0,34100.0,-14700.0,24400.0,9700.0
2024-02-19,17200.0,4900.0,-2100.0,3500.0,1400.0
2024-02-19,17250.0,300.0,-100.0,200.0,100.0
2024-02-19,17300.0,10500.0,6700.0,1900.0,8600.0
2024-02-20,17150.0,11700.0,-11500.0,11600.0,100.0
2024-02-20,17200.0,35000.0,-6400.0,20700.0,14300.0
2024-02-20,17250.0,14400.0,10200.0,2100.0,12300.0
2024-02-20,17300.0,12100.0,11100.0,500.0,11600.0
2024-02-20,17350.0,11300.0,11300.0,0.0,11300.0
2024-02-20,17400.0,17900.0,-700.0,9300.0,8600.0
2024-02-20,17450.0,11400.0,5200.0,3100.0,8300.0
2024-02-20,17500.0,22000.0,22000.0,0.0,22000.0
2024-02-20,17550.0,3200.0,3200.0,0.0,3200.0
2024-02-20,17600.0,13400.0,6800.0,3300.0,10100.0
2024-02-20,17650.0,20300.0,-7100.0,13700.0,6600.0
2024-02-20,17700.0,93600.0,-28000.0,60800.0,32800.0
2024-02-20,17750.0,68100.0,-15900.0,42000.0,26100.0
2024-02-20,17800.0,56900.0,-8900.0,32900.0,24000.0
2024-02-20,17850.0,4700.0,1500.0,1600.0,3100.0
2024-02-20,17900.0,16200.0,-2000.0,9100.0,7100.0
2024-02-20,17950.0,22800.0,800.0,11000.0,11800.0
2024-02-20,18000.0,57300.0,24700.0,16300.0,41000.0
2024-02-20,18050.0,4200.0,4200.0,0.0,4200.0
2024-02-21,16900.0,800.0,-800.0,800.0,0.0
2024-02-21,17000.0,9800.0,-9800.0,9800.0,0.0
2024-02-21,17100.0,3300.0,-3300.0,3300.0,0.0
2024-02-21,17150.0,1100.0,-1100.0,1100.0,0.0
2024-02-21,17200.0,1100.0,-1100.0,1100.0,0.0
2024-02-21,17250.0,1100.0,-1100.0,1100.0,0.0
2024-02-21,17300.0,5100.0,-900.0,3000.0,2100.0
2024-02-21,17350.0,1000.0,-1000.0,1000.0,0.0
2024-02-21,17400.0,5200.0,-3200.0,4200.0,1000.0
2024-02-21,17450.0,4900.0,2500.0,1200.0,3700.0
