t,p,q,d,b,a
2024-02-15,24500.0,6400.0,-6400.0,6400.0,0.0
2024-02-15,24550.0,54400.0,-54400.0,54400.0,0.0
2024-02-15,24600.0,239100.0,41300.0,98900.0,140200.0
2024-02-15,24650.0,286100.0,22500.0,131800.0,154300.0
2024-02-15,24700.0,920200.0,289800.0,315200.0,605000.0
2024-02-15,24750.0,620100.0,-350900.0,485500.0,134600.0
2024-02-15,24800.0,953600.0,-534600.0,744100.0,209500.0
2024-02-15,24850.0,1780400.0,-498600.0,1139500.0,640900.0
2024-02-15,24900.0,1737900.0,460500.0,638700.0,1099200.0
2024-02-15,24950.0,536900.0,294100.0,121400.0,415500.0
2024-02-15,25000.0,613200.0,237400.0,187900.0,425300.0
2024-02-15,25050.0,237500.0,175900.0,30800.0,206700.0
2024-02-15,25100.0,10700.0,10700.0,0.0,10700.0
2024-02-16,24550.0,19600.0,-19600.0,19600.0,0.0
2024-02-16,24600.0,740900.0,-248700.0,494800.0,246100.0
2024-02-16,24650.0,1653400.0,-851800.0,1252600.0,400800.0
2024-02-16,24700.0,820700.0,-384500.0,602600.0,218100.0
2024-02-16,24750.0,1320900.0,-311700.0,816300.0,504600.0
2024-02-16,24800.0,481200.0,232400.0,124400.0,356800.0
2024-02-16,24850.0,181600.0,15200.0,83200.0,98400.0
2024-02-16,24900.0,135500.0,105900.0,14800.0,120700.0
2024-02-19,24150.0,32000.0,-32000.0,32000.0,0.0
2024-02-19,24200.0,471000.0,-299200.0,385100.0,85900.0
2024-02-19,24250.0,872200.0,-463200.0,667700.0,204500.0
2024-02-19,24300.0,832800.0,-276600.0,554700.0,278100.0
2024-02-19,24350.0,945400.0,4600.0,470400.0,475000.0
2024-02-19,24400.0,517600.0,-191000.0,354300.0,163300.0
2024-02-19,24450.0,1080200.0,-752000.0,916100.0,164100.0
2024-02-19,24500.0,1436800.0,-335400.0,886100.0,550700.0
2024-02-19,24550.0,679200.0,-24400.0,351800.0,327400.0
2024-02-19,24600.0,571300.0,144900.0,213200.0,358100.0
2024-02-19,24650.0,346700.0,26100.0,160300.0,186400.0
2024-02-19,24700.0,768200.0,53400.0,357400.0,410800.0
2024-02-19,24750.0,679200.0,156200.0,261500.0,417700.0
2024-02-19,24800.0,345900.0,30300.0,157800.0,188100.0
2024-02-19,24850.0,221400.0,51600.0,84900.0,136500.0
2024-02-19,24900.0,364200.0,66800.0,148700.0,215500.0
2024-02-19,24950.0,443200.0,3800.0,219700.0,223500.0
2024-02-19,25000.0,68700.0,68700.0,0.0,68700.0
2024-02-20,24250.0,320700.0,-320700.0,320700.0,0.0
2024-02-20,24300.0,1652900.0,-1177500.0,1415200.0,237700.0
2024-02-20,24350.0,1811700.0,-724300.0,1268000.0,543700.0
2024-02-20,24400.0,777500.0,-418300.0,597900.0,179600.0
2024-02-20,24450.0,1234800.0,85800.0,574500.0,660300.0
2024-02-20,24500.0,130600.0,100200.0,15200.0,115400.0
2024-02-20,24550.0,71300.0,71300.0,0.0,71300.0
2024-02-21,24000.0,103500.0,-103500.0,103500.0,0.0
2024-02-21,24050.0,1282000.0,-500400.0,891200.0,390800.0
