t,p,q,d,b,a
2024-02-15,39250.0,15500.0,-15500.0,15500.0,0.0
2024-02-15,39300.0,191900.0,-152900.0,172400.0,19500.0
2024-02-15,39350.0,288700.0,85700.0,101500.0,187200.0
2024-02-15,39400.0,259400.0,-174600.0,217000.0,42400.0
2024-02-15,39450.0,450300.0,-349700.0,400000.0,50300.0
2024-02-15,39500.0,641100.0,-14500.0,327800.0,313300.0
2024-02-15,39550.0,282600.0,-12000.0,147300.0,135300.0
2024-02-15,39600.0,190000.0,-106600.0,148300.0,41700.0
2024-02-15,39650.0,64400.0,-7000.0,35700.0,28700.0
2024-02-15,39700.0,19000.0,-3000.0,11000.0,8000.0
2024-02-15,39750.0,26300.0,6300.0,10000.0,16300.0
2024-02-15,39800.0,35800.0,-1200.0,18500.0,17300.0
2024-02-15,39850.0,100.0,100.0,0.0,100.0
2024-02-15,39900.0,300.0,300.0,0.0,300.0
2024-02-16,39300.0,46800.0,-46800.0,46800.0,0.0
2024-02-16,39350.0,439100.0,-181300.0,310200.0,128900.0
2024-02-16,39400.0,263300.0,-94500.0,178900.0,84400.0
2024-02-16,39450.0,185400.0,-157000.0,171200.0,14200.0
2024-02-16,39500.0,397100.0,14500.0,191300.0,205800.0
2024-02-16,39550.0,120200.0,400.0,59900.0,60300.0
2024-02-16,39600.0,95000.0,-20200.0,57600.0,37400.0
2024-02-16,39650.0,33600.0,-18600.0,26100.0,7500.0
2024-02-16,39700.0,73400.0,-34200.0,53800.0,19600.0
2024-02-16,39750.0,44700.0,-44300.0,44500.0,200.0
2024-02-16,39800.0,67100.0,29100.0,19000.0,48100.0
2024-02-16,39850.0,58700.0,-12700.0,35700.0,23000.0
2024-02-16,39900.0,286000.0,-116000.0,201000.0,85000.0
2024-02-16,39950.0,206300.0,8900.0,98700.0,107600.0
2024-02-16,40000.0,175300.0,24500.0,75400.0,99900.0
2024-02-16,40050.0,135600.0,19600.0,58000.0,77600.0
2024-02-16,40100.0,114700.0,95100.0,9800.0,104900.0
2024-02-16,40150.0,8500.0,8500.0,0.0,8500.0
2024-02-16,40200.0,19400.0,19400.0,0.0,19400.0
2024-02-19,38700.0,6000.0,-6000.0,6000.0,0.0
2024-02-19,38750.0,187800.0,-5800.0,96800.0,91000.0
2024-02-19,38800.0,265600.0,-254600.0,260100.0,5500.0
2024-02-19,38850.0,533700.0,-245300.0,389500.0,144200.0
2024-02-19,38900.0,701800.0,-292200.0,497000.0,204800.0
2024-02-19,38950.0,693900.0,-106300.0,400100.0,293800.0
2024-02-19,39000.0,511900.0,-134300.0,323100.0,188800.0
2024-02-19,39050.0,273600.0,-232400.0,253000.0,20600.0
2024-02-19,39100.0,499000.0,-148600.0,323800.0,175200.0
2024-02-19,39150.0,236700.0,-58100.0,147400.0,89300.0
2024-02-19,39200.0,127500.0,7700.0,59900.0,67600.0
2024-02-19,39250.0,90200.0,-49200.0,69700.0,20500.0
2024-02-19,39300.0,127500.0,-22300.0,74900.0,52600.0
2024-02-19,39350.0,49100.0,-3100.0,26100.0,23000.0
2024-02-19,39400.0,64000.0,20200.0,21900.0,42100.0
2024-02-19,39450.0,17100.0,-1900.0,9500.0,7600.0
2024-02-19,39500.0,36200.0,-33400.0,34800.0,1400.0
2024-02-20,38750.0,2700.0,-2700.0,2700.0,0.0
2024-02-20,38800.0,7800.0,-5400.0,6600.0,1200.0
2024-02-20,38850.0,68200.0,-51400.0,59800.0,8400.0
2024-02-20,38900.0,377600.0,-148600.0,263100.0,114500.0
2024-02-20,38950.0,390400.0,40800.0,174800.0,215600.0
2024-02-20,39000.0,363900.0,76300.0,143800.0,220100.0
2024-02-20,39050.0,78100.0,11700.0,33200.0,44900.0
2024-02-20,39100.0,94500.0,-24100.0,59300.0,35200.0
2024-02-20,39150.0,180000.0,44000.0,68000.0,112000.0
2024-02-20,39200.0,143500.0,98500.0,22500.0,121000.0
2024-02-20,39250.0,114300.0,87100.0,13600.0,100700.0
2024-02-20,39300.0,34400.0,34400.0,0.0,34400.0
2024-02-21,38700.0,13700.0,-13700.0,13700.0,0.0
2024-02-21,38750.0,12600.0,0.0,6300.0,6300.0
2024-02-21,38800.0,100200.0,-65200.0,82700.0,17500.0
2024-02-21,38850.0,54100.0,-40300.0,47200.0,6900.0
2024-02-21,38900.0,79300.0,2100.0,38600.0,40700.0
2024-02-21,38950.0,104500.0,-18100.0,61300.0,43200.0
2024-02-21,39000.0,372900.0,-220900.0,296900.0,76000.0
2024-02-21,39050.0,209900.0,-77700.0,143800.0,66100.0
2024-02-21,39100.0,233800.0,-68600.0,151200.0,82600.0
