t,p,q,d,b,a
2024-02-15,30850.0,7200.0,-4200.0,5700.0,1500.0
2024-02-15,30900.0,44000.0,10200.0,16900.0,27100.0
2024-02-15,30950.0,45100.0,5500.0,19800.0,25300.0
2024-02-15,31000.0,253200.0,-165400.0,209300.0,43900.0
2024-02-15,31050.0,109200.0,-26400.0,67800.0,41400.0
2024-02-15,31100.0,121000.0,37200.0,41900.0,79100.0
2024-02-15,31150.0,99400.0,-7000.0,53200.0,46200.0
2024-02-15,31200.0,49400.0,13400.0,18000.0,31400.0
2024-02-15,31250.0,21400.0,-21400.0,21400.0,0.0
2024-02-15,31300.0,24200.0,2000.0,11100.0,13100.0
2024-02-15,31350.0,12600.0,-5200.0,8900.0,3700.0
2024-02-15,31400.0,18800.0,9200.0,4800.0,14000.0
2024-02-15,31450.0,5700.0,3500.0,1100.0,4600.0
2024-02-16,31250.0,500.0,-500.0,500.0,0.0
2024-02-16,31300.0,48200.0,-42200.0,45200.0,3000.0
2024-02-16,31350.0,53800.0,26200.0,13800.0,40000.0
2024-02-16,31400.0,92700.0,-11500.0,52100.0,40600.0
2024-02-16,31450.0,120800.0,23800.0,48500.0,72300.0
2024-02-16,31500.0,499200.0,-196800.0,348000.0,151200.0
2024-02-16,31550.0,188900.0,67500.0,60700.0,128200.0
2024-02-16,31600.0,95400.0,69200.0,13100.0,82300.0
2024-02-16,31650.0,25600.0,4800.0,10400.0,15200.0
2024-02-16,31700.0,2000.0,2000.0,0.0,2000.0
2024-02-19,31550.0,17500.0,-17500.0,17500.0,0.0
2024-02-19,31600.0,42700.0,-10100.0,26400.0,16300.0
2024-02-19,31650.0,20000.0,-9400.0,14700.0,5300.0
2024-02-19,31700.0,41500.0,-17100.0,29300.0,12200.0
2024-02-19,31750.0,26300.0,15100.0,5600.0,20700.0
2024-02-19,31800.0,48600.0,33600.0,7500.0,41100.0
2024-02-19,31850.0,94800.0,-55000.0,74900.0,19900.0
2024-02-19,31900.0,570400.0,-216400.0,393400.0,177000.0
2024-02-19,31950.0,196800.0,40400.0,78200.0,118600.0
2024-02-19,32000.0,252500.0,163300.0,44600.0,207900.0
2024-02-19,32050.0,41200.0,-14400.0,27800.0,13400.0
2024-02-19,32100.0,71500.0,53700.0,8900.0,62600.0
2024-02-19,32150.0,26600.0,4400.0,11100.0,15500.0
2024-02-19,32200.0,49300.0,39900.0,4700.0,44600.0
2024-02-20,31600.0,75700.0,-75700.0,75700.0,0.0
2024-02-20,31650.0,57200.0,-38000.0,47600.0,9600.0
2024-02-20,31700.0,161200.0,-46600.0,103900.0,57300.0
2024-02-20,31750.0,81700.0,-28500.0,55100.0,26600.0
2024-02-20,31800.0,60100.0,500.0,29800.0,30300.0
2024-02-20,31850.0,58200.0,36400.0,10900.0,47300.0
2024-02-20,31900.0,53100.0,-19700.0,36400.0,16700.0
2024-02-20,31950.0,10300.0,1500.0,4400.0,5900.0
2024-02-20,32000.0,10300.0,-5300.0,7800.0,2500.0
2024-02-20,32050.0,4100.0,-2700.0,3400.0,700.0
2024-02-20,32100.0,9800.0,6600.0,1600.0,8200.0
2024-02-21,31200.0,7600.0,-7600.0,7600.0,0.0
2024-02-21,31250.0,28200.0,8400.0,9900.0,18300.0
2024-02-21,31300.0,84200.0,-56800.0,70500.0,13700.0
2024-02-21,31350.0,96000.0,-61400.0,78700.0,17300.0
2024-02-21,31400.0,106100.0,14100.0,46000.0,60100.0
2024-02-21,31450.0,71500.0,-27300.0,49400.0,22100.0
2024-02-21,31500.0,147600.0,-42000.0,94800.0,52800.0
2024-02-21,31550.0,106000.0,-22400.0,64200.0,41800.0
2024-02-21,31600.0,42700.0,-2900.0,22800.0,19900.0
2024-02-21,31650.0,71800.0,4000.0,33900.0,37900.0
2024-02-21,31700.0,60500.0,9900.0,25300.0,35200.0
2024-02-21,31800.0,3800.0,400.0,1700.0,2100.0
2024-02-22,31200.0,33500.0,-33500.0,33500.0,0.0
2024-02-22,31250.0,52500.0,-52500.0,52500.0,0.0
2024-02-22,31300.0,70100.0,1300.0,34400.0,35700.0
