t,p,q,d,b,a
2024-02-15,10800.0,500.0,-500.0,500.0,0.0
2024-02-15,10900.0,2000.0,2000.0,0.0,2000.0
2024-02-15,11000.0,72100.0,-41100.0,56600.0,15500.0
2024-02-15,11100.0,27400.0,19400.0,4000.0,23400.0
2024-02-15,11200.0,20700.0,-20700.0,20700.0,0.0
2024-02-15,11300.0,29000.0,-8000.0,18500.0,10500.0
2024-02-15,11400.0,214821.0,2341.0,106240.0,108581.0
2024-02-15,11500.0,64809.0,6609.0,29100.0,35709.0
2024-02-15,11600.0,74100.0,74100.0,0.0,74100.0
2024-02-16,11300.0,3900.0,-3900.0,3900.0,0.0
2024-02-16,11400.0,88110.0,-72510.0,80310.0,7800.0
2024-02-16,11500.0,85840.0,4040.0,40900.0,44940.0
2024-02-16,11600.0,48000.0,-3800.0,25900.0,22100.0
2024-02-16,11700.0,25300.0,25300.0,0.0,25300.0
2024-02-19,11100.0,16200.0,-16200.0,16200.0,0.0
2024-02-19,11200.0,91000.0,-37600.0,64300.0,26700.0
2024-02-19,11300.0,80815.0,-77815.0,79315.0,1500.0
2024-02-19,11400.0,20201.0,-3199.0,11700.0,8501.0
2024-02-20,11000.0,43800.0,-43800.0,43800.0,0.0
2024-02-20,11100.0,105773.0,-11173.0,58473.0,47300.0
2024-02-20,11200.0,43201.0,-1801.0,22501.0,20700.0
2024-02-20,11300.0,4200.0,4200.0,0.0,4200.0
2024-02-21,11100.0,67701.0,-67701.0,67701.0,0.0
2024-02-21,11200.0,231814.0,-40814.0,136314.0,95500.0
2024-02-21,11300.0,17100.0,17100.0,0.0,17100.0
2024-02-21,11400.0,1100.0,1100.0,0.0,1100.0
2024-02-22,11200.0,26700.0,-26700.0,26700.0,0.0
2024-02-22,11300.0,132911.0,-54309.0,93610.0,39301.0
2024-02-22,11400.0,33510.0,33510.0,0.0,33510.0
2024-02-23,11200.0,6400.0,-6400.0,6400.0,0.0
2024-02-23,11300.0,100400.0,-56600.0,78500.0,21900.0
2024-02-23,11400.0,262500.0,-110700.0,186600.0,75900.0
2024-02-23,11500.0,296300.0,-156300.0,226300.0,70000.0
2024-02-23,11600.0,86601.0,70401.0,8100.0,78501.0
2024-02-26,11000.0,21500.0,-21500.0,21500.0,0.0
2024-02-26,11100.0,120500.0,-88100.0,104300.0,16200.0
2024-02-26,11200.0,154827.0,1773.0,76527.0,78300.0
2024-02-26,11300.0,27150.0,-13650.0,20400.0,6750.0
2024-02-27,11000.0,140502.0,-140502.0,140502.0,0.0
2024-02-27,11100.0,173800.0,-6800.0,90300.0,83500.0
2024-02-27,11200.0,41200.0,9800.0,15700.0,25500.0
2024-02-27,11300.0,34100.0,6700.0,13700.0,20400.0
2024-02-28,11000.0,66802.0,-52002.0,59402.0,7400.0
2024-02-28,11100.0,169370.0,-28910.0,99140.0,70230.0
2024-02-28,11200.0,60920.0,9080.0,25920.0,35000.0
2024-02-29,11100.0,51400.0,-51400.0,51400.0,0.0
2024-02-29,11200.0,63410.0,-810.0,32110.0,31300.0
2024-02-29,11300.0,41700.0,-28300.0,35000.0,6700.0
2024-02-29,11400.0,29800.0,11400.0,9200.0,20600.0
2024-02-29,11500.0,24400.0,24400.0,0.0,24400.0
2024-03-01,11100.0,129300.0,-129300.0,129300.0,0.0
2024-03-01,11200.0,133602.0,-19800.0,76701.0,56901.0
2024-03-01,11300.0,13410.0,13410.0,0.0,13410.0
2024-03-04,11100.0,184001.0,-153801.0,168901.0,15100.0
2024-03-04,11200.0,92462.0,-3338.0,47900.0,44562.0
2024-03-04,11300.0,9001.0,9001.0,0.0,9001.0
2024-03-05,11000.0,77400.0,-77400.0,77400.0,0.0
2024-03-05,11100.0,169901.0,-43299.0,106600.0,63301.0
2024-03-05,11200.0,16900.0,16300.0,300.0,16600.0
2024-03-05,11300.0,1100.0,1100.0,0.0,1100.0
2024-03-06,10900.0,28100.0,-28100.0,28100.0,0.0
2024-03-06,11000.0,184900.0,-57700.0,121300.0,63600.0
2024-03-06,11100.0,143110.0,3310.0,69900.0,73210.0
2024-03-06,11200.0,400.0,400.0,0.0,400.0
2024-03-07,10900.0,34100.0,-1700.0,17900.0,16200.0
2024-03-07,11000.0,211600.0,-48800.0,130200.0,81400.0
2024-03-07,11100.0,10315.0,10315.0,0.0,10315.0
2024-03-08,10700.0,35500.0,-35500.0,35500.0,0.0
2024-03-08,10800.0,155795.0,-155795.0,155795.0,0.0
2024-03-08,10900.0,83310.0,-32910.0,58110.0,25200.0
2024-03-08,11000.0,16330.0,2926.0,6702.0,9628.0
2024-03-08,11100.0,500.0,500.0,0.0,500.0
2024-03-11,10600.0,38100.0,-38100.0,38100.0,0.0
2024-03-11,10700.0,104100.0,-64300.0,84200.0,19900.0
2024-03-11,10800.0,136810.0,9210.0,63800.0,73010.0
2024-03-11,10900.0,2700.0,2700.0,0.0,2700.0
2024-03-12,10600.0,119008.0,-17192.0,68100.0,50908.0
2024-03-12,10700.0,123909.0,80509.0,21700.0,102209.0
2024-03-12,10800.0,3200.0,3200.0,0.0,3200.0
2024-03-13,10600.0,19520.0,-19520.0,19520.0,0.0
2024-03-13,10700.0,117125.0,45505.0,35810.0,81315.0
2024-03-13,10800.0,1300.0,1300.0,0.0,1300.0
2024-03-14,10600.0,7700.0,-7700.0,7700.0,0.0
2024-03-14,10700.0,104100.0,-43300.0,73700.0,30400.0
2024-03-14,10800.0,22700.0,20100.0,1300.0,21400.0
2024-03-14,10900.0,200.0,200.0,0.0,200.0
2024-03-15,10500.0,3600.0,-3600.0,3600.0,0.0
2024-03-15,10600.0,78100.0,-48500.0,63300.0,14800.0
2024-03-15,10700.0,30200.0,3000.0,13600.0,16600.0
2024-03-15,10800.0,2000.0,2000.0,0.0,2000.0
2024-03-18,10200.0,70050.0,-70050.0,70050.0,0.0
2024-03-18,10300.0,93950.0,-63850.0,78900.0,15050.0
2024-03-18,10400.0,85400.0,-61200.0,73300.0,12100.0
2024-03-18,10500.0,71100.0,-56300.0,63700.0,7400.0
2024-03-18,10600.0,93600.0,3600.0,45000.0,48600.0
2024-03-18,10700.0,500.0,500.0,0.0,500.0
