t,p,q,d,b,a
2024-07-09,13250.0,880100.0,-880100.0,880100.0,0.0
2024-07-09,13300.0,3892700.0,-3900.0,1948300.0,1944400.0
2024-07-09,13350.0,1347300.0,746700.0,300300.0,1047000.0
2024-07-09,13400.0,9100.0,9100.0,0.0,9100.0
2024-07-10,13100.0,455100.0,-455100.0,455100.0,0.0
2024-07-10,13150.0,2925500.0,-274100.0,1599800.0,1325700.0
2024-07-10,13200.0,2355800.0,-630800.0,1493300.0,862500.0
2024-07-10,13250.0,2857700.0,-1294500.0,2076100.0,781600.0
2024-07-10,13300.0,387200.0,-125400.0,256300.0,130900.0
2024-07-10,13350.0,31600.0,31600.0,0.0,31600.0
2024-07-11,13150.0,0.0,0.0,0.0,0.0
2024-07-11,13200.0,137000.0,-62400.0,99700.0,37300.0
2024-07-11,13250.0,451900.0,220100.0,115900.0,336000.0
2024-07-11,13300.0,610100.0,559700.0,25200.0,584900.0
2024-07-11,13350.0,1578500.0,-568900.0,1073700.0,504800.0
2024-07-11,13400.0,4299100.0,626700.0,1836200.0,2462900.0
2024-07-11,13450.0,1655100.0,703500.0,475800.0,1179300.0
2024-07-11,13500.0,809300.0,809300.0,0.0,809300.0
2024-07-12,13250.0,363000.0,-363000.0,363000.0,0.0
2024-07-12,13300.0,1357800.0,-530400.0,944100.0,413700.0
2024-07-12,13350.0,1279900.0,-626100.0,953000.0,326900.0
2024-07-12,13400.0,443200.0,47600.0,197800.0,245400.0
2024-07-12,13450.0,311800.0,-50400.0,181100.0,130700.0
2024-07-12,13500.0,31700.0,31700.0,0.0,31700.0
2024-07-15,13050.0,282100.0,-282100.0,282100.0,0.0
2024-07-15,13100.0,909200.0,-909200.0,909200.0,0.0
2024-07-15,13150.0,2877300.0,-2003500.0,2440400.0,436900.0
2024-07-15,13200.0,1160900.0,-433300.0,797100.0,363800.0
2024-07-15,13250.0,461400.0,-341800.0,401600.0,59800.0
2024-07-15,13300.0,470600.0,-102000.0,286300.0,184300.0
2024-07-15,13350.0,69900.0,17300.0,26300.0,43600.0
2024-07-15,13400.0,1000.0,1000.0,0.0,1000.0
2024-07-16,12500.0,362800.0,-362800.0,362800.0,0.0
2024-07-16,12550.0,446000.0,-446000.0,446000.0,0.0
2024-07-16,12600.0,3418600.0,-1743800.0,2581200.0,837400.0
2024-07-16,12650.0,3648200.0,-778800.0,2213500.0,1434700.0
2024-07-16,12700.0,2892500.0,-497900.0,1695200.0,1197300.0
2024-07-16,12750.0,1364300.0,269900.0,547200.0,817100.0
2024-07-16,12800.0,965500.0,-817500.0,891500.0,74000.0
2024-07-16,12850.0,789800.0,-357400.0,573600.0,216200.0
2024-07-16,12900.0,775400.0,-622600.0,699000.0,76400.0
2024-07-16,12950.0,1212100.0,-264100.0,738100.0,474000.0
2024-07-16,13000.0,1529800.0,-1086400.0,1308100.0,221700.0
2024-07-16,13050.0,1038600.0,-863200.0,950900.0,87700.0
2024-07-16,13100.0,1240400.0,-864400.0,1052400.0,188000.0
2024-07-16,13150.0,1210600.0,-915000.0,1062800.0,147800.0
2024-07-16,13200.0,531200.0,272600.0,129300.0,401900.0
2024-07-16,13250.0,44600.0,44600.0,0.0,44600.0
2024-07-17,11950.0,10400.0,-10400.0,10400.0,0.0
2024-07-17,12000.0,1871200.0,-957400.0,1414300.0,456900.0
2024-07-17,12050.0,1125400.0,-619200.0,872300.0,253100.0
2024-07-17,12100.0,1815200.0,-918800.0,1367000.0,448200.0
2024-07-17,12150.0,2074600.0,-959200.0,1516900.0,557700.0
2024-07-17,12200.0,2546000.0,-1213200.0,1879600.0,666400.0
2024-07-17,12250.0,2284100.0,-1018500.0,1651300.0,632800.0
2024-07-17,12300.0,3780300.0,-1565900.0,2673100.0,1107200.0
2024-07-17,12350.0,1671900.0,-23500.0,847700.0,824200.0
2024-07-17,12400.0,429500.0,-330100.0,379800.0,49700.0
2024-07-17,12450.0,505600.0,-457800.0,481700.0,23900.0
2024-07-17,12500.0,668800.0,-663800.0,666300.0,2500.0
2024-07-17,12550.0,635400.0,-342800.0,489100.0,146300.0
2024-07-17,12600.0,1501500.0,-634300.0,1067900.0,433600.0
2024-07-17,12650.0,586700.0,78900.0,253900.0,332800.0
2024-07-17,12700.0,223200.0,40400.0,91400.0,131800.0
2024-07-17,12750.0,49800.0,49800.0,0.0,49800.0
2024-07-18,12000.0,104100.0,-104100.0,104100.0,0.0
2024-07-18,12050.0,796600.0,-674200.0,735400.0,61200.0
2024-07-18,12100.0,2365700.0,-583700.0,1474700.0,891000.0
2024-07-18,12150.0,1700700.0,-102300.0,901500.0,799200.0
2024-07-18,12200.0,1631200.0,-256000.0,943600.0,687600.0
2024-07-18,12250.0,558500.0,319300.0,119600.0,438900.0
2024-07-18,12300.0,228800.0,13200.0,107800.0,121000.0
2024-07-18,12350.0,27200.0,27200.0,0.0,27200.0
2024-07-19,11850.0,172400.0,-172400.0,172400.0,0.0
2024-07-19,11900.0,1353600.0,-858000.0,1105800.0,247800.0
2024-07-19,11950.0,3003600.0,-1757200.0,2380400.0,623200.0
2024-07-19,12000.0,4217300.0,-722700.0,2470000.0,1747300.0
2024-07-19,12050.0,640400.0,-147400.0,393900.0,246500.0
2024-07-19,12100.0,389500.0,-325900.0,357700.0,31800.0
2024-07-19,12150.0,433500.0,-36300.0,234900.0,198600.0
2024-07-19,12200.0,255100.0,-165700.0,210400.0,44700.0
2024-07-19,12250.0,363800.0,-161600.0,262700.0,101100.0
2024-07-19,12300.0,386500.0,-114100.0,250300.0,136200.0
2024-07-19,12350.0,486600.0,-61800.0,274200.0,212400.0
2024-07-19,12400.0,127600.0,127600.0,0.0,127600.0
2024-07-22,11100.0,20444800.0,7832000.0,6306400.0,14138400.0
2024-07-22,11150.0,3587700.0,-162700.0,1875200.0,1712500.0
2024-07-22,11200.0,1678200.0,67000.0,805600.0,872600.0
2024-07-22,11250.0,1013600.0,-231200.0,622400.0,391200.0
2024-07-22,11300.0,2179600.0,-168200.0,1173900.0,1005700.0
2024-07-22,11350.0,1986700.0,238500.0,874100.0,1112600.0
2024-07-22,11400.0,666400.0,-206600.0,436500.0,229900.0
2024-07-22,11450.0,705500.0,-568700.0,637100.0,68400.0
2024-07-22,11500.0,1493000.0,-646600.0,1069800.0,423200.0
2024-07-22,11550.0,1790900.0,-1412700.0,1601800.0,189100.0
2024-07-22,11600.0,1031000.0,122000.0,454500.0,576500.0
2024-07-22,11650.0,1012500.0,-714700.0,863600.0,148900.0
2024-07-22,11700.0,719700.0,52900.0,333400.0,386300.0
2024-07-22,11750.0,147500.0,90900.0,28300.0,119200.0
2024-07-22,11800.0,23900.0,-18900.0,21400.0,2500.0
2024-07-22,11850.0,10400.0,-2400.0,6400.0,4000.0
2024-07-22,11900.0,0.0,0.0,0.0,0.0
2024-07-23,11100.0,9900.0,-9900.0,9900.0,0.0
2024-07-23,11150.0,1089700.0,-818900.0,954300.0,135400.0
2024-07-23,11200.0,3194400.0,-494200.0,1844300.0,1350100.0
2024-07-23,11250.0,3781300.0,1103300.0,1339000.0,2442300.0
2024-07-23,11300.0,286000.0,112200.0,86900.0,199100.0
2024-07-23,11350.0,108600.0,47000.0,30800.0,77800.0
2024-07-23,11400.0,40600.0,-28600.0,34600.0,6000.0
2024-07-24,11000.0,39500.0,-39500.0,39500.0,0.0
2024-07-24,11050.0,669300.0,-139700.0,404500.0,264800.0
2024-07-24,11100.0,1175500.0,-217100.0,696300.0,479200.0
2024-07-24,11150.0,1505000.0,-56200.0,780600.0,724400.0
2024-07-24,11200.0,811800.0,461600.0,175100.0,636700.0
2024-07-24,11250.0,1061000.0,-319200.0,690100.0,370900.0
2024-07-24,11300.0,2407000.0,1385400.0,510800.0,1896200.0
2024-07-24,11350.0,333600.0,328600.0,2500.0,331100.0
2024-07-24,11400.0,374700.0,230500.0,72100.0,302600.0
2024-07-24,11450.0,273900.0,171700.0,51100.0,222800.0
2024-07-24,11500.0,624600.0,178600.0,223000.0,401600.0
2024-07-24,11550.0,321700.0,139900.0,90900.0,230800.0
2024-07-24,11600.0,4300.0,4300.0,0.0,4300.0
2024-07-25,11150.0,12600.0,-12600.0,12600.0,0.0
2024-07-25,11200.0,908700.0,-548500.0,728600.0,180100.0
2024-07-25,11250.0,2276800.0,-1123800.0,1700300.0,576500.0
2024-07-25,11300.0,1258800.0,283800.0,487500.0,771300.0
2024-07-25,11350.0,160300.0,9900.0,75200.0,85100.0
2024-07-25,11400.0,200.0,200.0,0.0,200.0
2024-07-26,10900.0,230500.0,-230500.0,230500.0,0.0
2024-07-26,10950.0,1314000.0,-718400.0,1016200.0,297800.0
2024-07-26,11000.0,1816800.0,-787600.0,1302200.0,514600.0
2024-07-26,11050.0,1271400.0,-148200.0,709800.0,561600.0
2024-07-26,11100.0,776500.0,-442500.0,609500.0,167000.0
2024-07-26,11150.0,758300.0,-630100.0,694200.0,64100.0
2024-07-26,11200.0,1004200.0,-428000.0,716100.0,288100.0
2024-07-26,11250.0,876400.0,-156600.0,516500.0,359900.0
2024-07-26,11300.0,574900.0,-175700.0,375300.0,199600.0
2024-07-26,11350.0,271200.0,124200.0,73500.0,197700.0
2024-07-26,11400.0,100.0,100.0,0.0,100.0
2024-07-29,11000.0,148700.0,-148700.0,148700.0,0.0
2024-07-29,11050.0,4133300.0,-2044100.0,3088700.0,1044600.0
2024-07-29,11100.0,1665000.0,1306800.0,179100.0,1485900.0
2024-07-29,11150.0,248200.0,-55400.0,151800.0,96400.0
2024-07-29,11200.0,12100.0,12100.0,0.0,12100.0
2024-07-30,10600.0,61400.0,-61400.0,61400.0,0.0
2024-07-30,10650.0,1686300.0,-836500.0,1261400.0,424900.0
2024-07-30,10700.0,1867600.0,-1008600.0,1438100.0,429500.0
2024-07-30,10750.0,1703800.0,-639800.0,1171800.0,532000.0
2024-07-30,10800.0,2534500.0,-519700.0,1527100.0,1007400.0
2024-07-30,10850.0,1244700.0,39700.0,602500.0,642200.0
2024-07-30,10900.0,1696100.0,-1117100.0,1406600.0,289500.0
2024-07-30,10950.0,1668800.0,-85200.0,877000.0,791800.0
2024-07-30,11000.0,1035700.0,615300.0,210200.0,825500.0
2024-07-30,11050.0,761400.0,578800.0,91300.0,670100.0
2024-07-30,11100.0,225600.0,181800.0,21900.0,203700.0
2024-07-30,11150.0,123500.0,116900.0,3300.0,120200.0
2024-07-30,11200.0,410500.0,153500.0,128500.0,282000.0
2024-07-30,11250.0,1275600.0,765200.0,255200.0,1020400.0
2024-07-30,11300.0,454000.0,454000.0,0.0,454000.0
2024-07-30,11400.0,0.0,0.0,0.0,0.0
2024-07-31,11700.0,13900.0,-13900.0,13900.0,0.0
2024-07-31,11750.0,47500.0,-22900.0,35200.0,12300.0
2024-07-31,11800.0,1042300.0,-285700.0,664000.0,378300.0
2024-07-31,11850.0,2403400.0,-1281400.0,1842400.0,561000.0
2024-07-31,11900.0,3227100.0,-52900.0,1640000.0,1587100.0
2024-07-31,11950.0,3287100.0,-1219100.0,2253100.0,1034000.0
2024-07-31,12000.0,2816400.0,1766200.0,525100.0,2291300.0
2024-07-31,12050.0,594400.0,-150400.0,372400.0,222000.0
2024-07-31,12100.0,3174600.0,1830800.0,671900.0,2502700.0
2024-07-31,12150.0,99000.0,99000.0,0.0,99000.0
2024-08-01,11100.0,109500.0,-109500.0,109500.0,0.0
2024-08-01,11150.0,454700.0,-235700.0,345200.0,109500.0
2024-08-01,11200.0,558400.0,-90000.0,324200.0,234200.0
2024-08-01,11250.0,318000.0,-205800.0,261900.0,56100.0
2024-08-01,11300.0,710200.0,-502800.0,606500.0,103700.0
2024-08-01,11350.0,1518600.0,-556200.0,1037400.0,481200.0
2024-08-01,11400.0,1761700.0,132900.0,814400.0,947300.0
2024-08-01,11450.0,623000.0,-23400.0,323200.0,299800.0
2024-08-01,11500.0,491700.0,-471500.0,481600.0,10100.0
2024-08-01,11550.0,787300.0,-558100.0,672700.0,114600.0
2024-08-01,11600.0,1570300.0,-333900.0,952100.0,618200.0
2024-08-01,11650.0,261400.0,3200.0,129100.0,132300.0
2024-08-01,11700.0,324000.0,-288600.0,306300.0,17700.0
2024-08-01,11750.0,156000.0,31200.0,62400.0,93600.0
2024-08-01,11800.0,187200.0,-185000.0,186100.0,1100.0
2024-08-01,11850.0,220600.0,5800.0,107400.0,113200.0
2024-08-01,11900.0,54900.0,-39500.0,47200.0,7700.0
2024-08-02,11050.0,77300.0,-26900.0,52100.0,25200.0
2024-08-02,11100.0,213700.0,20500.0,96600.0,117100.0
2024-08-02,11150.0,119700.0,18300.0,50700.0,69000.0
2024-08-02,11200.0,1396100.0,-806300.0,1101200.0,294900.0
2024-08-02,11250.0,2497900.0,581900.0,958000.0,1539900.0
2024-08-02,11300.0,3252600.0,914600.0,1169000.0,2083600.0
2024-08-02,11350.0,1569100.0,-52300.0,810700.0,758400.0
2024-08-02,11400.0,844100.0,615100.0,114500.0,729600.0
2024-08-02,11450.0,87200.0,87200.0,0.0,87200.0
2024-08-02,11500.0,0.0,0.0,0.0,0.0
2024-08-05,10800.0,231100.0,-231100.0,231100.0,0.0
2024-08-05,10850.0,398400.0,102800.0,147800.0,250600.0
2024-08-05,10900.0,835700.0,-335100.0,585400.0,250300.0
2024-08-05,10950.0,1226200.0,-576600.0,901400.0,324800.0
2024-08-05,11000.0,3792200.0,-156200.0,1974200.0,1818000.0
2024-08-05,11050.0,1291200.0,-350400.0,820800.0,470400.0
2024-08-05,11100.0,1112700.0,-310500.0,711600.0,401100.0
2024-08-05,11150.0,295000.0,-237600.0,266300.0,28700.0
2024-08-05,11200.0,881200.0,-597000.0,739100.0,142100.0
2024-08-05,11250.0,876900.0,225900.0,325500.0,551400.0
2024-08-05,11300.0,776100.0,-467100.0,621600.0,154500.0
2024-08-05,11350.0,798600.0,103600.0,347500.0,451100.0
2024-08-05,11400.0,113600.0,83000.0,15300.0,98300.0
2024-08-05,11450.0,1000.0,-1000.0,1000.0,0.0
2024-08-05,11500.0,0.0,0.0,0.0,0.0
2024-08-06,11000.0,50300.0,-50300.0,50300.0,0.0
2024-08-06,11050.0,1763500.0,-929700.0,1346600.0,416900.0
2024-08-06,11100.0,714300.0,622100.0,46100.0,668200.0
2024-08-06,11150.0,248300.0,149500.0,49400.0,198900.0
2024-08-06,11200.0,525800.0,50000.0,237900.0,287900.0
2024-08-06,11250.0,1396700.0,-247500.0,822100.0,574600.0
2024-08-06,11300.0,1654300.0,257100.0,698600.0,955700.0
2024-08-06,11350.0,1583700.0,104100.0,739800.0,843900.0
2024-08-06,11400.0,2078000.0,1026400.0,525800.0,1552200.0
2024-08-06,11450.0,1092600.0,568600.0,262000.0,830600.0
2024-08-06,11500.0,225400.0,225400.0,0.0,225400.0
2024-08-07,11300.0,12700.0,-12700.0,12700.0,0.0
2024-08-07,11350.0,1390900.0,46100.0,672400.0,718500.0
2024-08-07,11400.0,1653500.0,334300.0,659600.0,993900.0
2024-08-07,11450.0,1626600.0,-64800.0,845700.0,780900.0
2024-08-07,11500.0,2509200.0,394400.0,1057400.0,1451800.0
2024-08-07,11550.0,1156500.0,-194500.0,675500.0,481000.0
2024-08-07,11600.0,2856800.0,1124000.0,866400.0,1990400.0
2024-08-07,11650.0,965400.0,-84600.0,525000.0,440400.0
2024-08-07,11700.0,387300.0,364700.0,11300.0,376000.0
2024-08-07,11750.0,69500.0,69500.0,0.0,69500.0
2024-08-07,11800.0,58400.0,58400.0,0.0,58400.0
2024-08-08,11300.0,321200.0,-321200.0,321200.0,0.0
2024-08-08,11350.0,1512500.0,-981100.0,1246800.0,265700.0
2024-08-08,11400.0,2204300.0,-938500.0,1571400.0,632900.0
2024-08-08,11450.0,1680600.0,-444600.0,1062600.0,618000.0
2024-08-08,11500.0,892000.0,101200.0,395400.0,496600.0
2024-08-08,11550.0,447200.0,115400.0,165900.0,281300.0
2024-08-08,11600.0,266500.0,195100.0,35700.0,230800.0
2024-08-09,11250.0,8100.0,-8100.0,8100.0,0.0
2024-08-09,11300.0,1136300.0,-957300.0,1046800.0,89500.0
2024-08-09,11350.0,1758000.0,-393600.0,1075800.0,682200.0
2024-08-09,11400.0,1694300.0,322300.0,686000.0,1008300.0
2024-08-09,11450.0,969100.0,-459500.0,714300.0,254800.0
2024-08-09,11500.0,1036900.0,174700.0,431100.0,605800.0
2024-08-09,11550.0,560600.0,326400.0,117100.0,443500.0
2024-08-09,11600.0,100400.0,100400.0,0.0,100400.0
2024-08-12,11150.0,204900.0,-204900.0,204900.0,0.0
2024-08-12,11200.0,1879900.0,-930300.0,1405100.0,474800.0
2024-08-12,11250.0,1510600.0,278200.0,616200.0,894400.0
2024-08-12,11300.0,613300.0,-304300.0,458800.0,154500.0
2024-08-12,11350.0,573900.0,-60100.0,317000.0,256900.0
2024-08-12,11400.0,52000.0,52000.0,0.0,52000.0
