t,p,q,d,b,a
2024-02-15,15100.0,179700.0,179700.0,0.0,179700.0
2024-02-15,15150.0,5200.0,4800.0,200.0,5000.0
2024-02-15,15200.0,149000.0,-88400.0,118700.0,30300.0
2024-02-15,15250.0,156600.0,32000.0,62300.0,94300.0
2024-02-15,15300.0,611900.0,176700.0,217600.0,394300.0
2024-02-15,15350.0,329100.0,145300.0,91900.0,237200.0
2024-02-15,15400.0,363200.0,303200.0,30000.0,333200.0
2024-02-15,15450.0,213500.0,107500.0,53000.0,160500.0
2024-02-15,15500.0,581400.0,581400.0,0.0,581400.0
2024-02-15,15550.0,47600.0,47600.0,0.0,47600.0
2024-02-15,15600.0,123200.0,123200.0,0.0,123200.0
2024-02-15,15650.0,24300.0,24300.0,0.0,24300.0
2024-02-15,15700.0,175700.0,29900.0,72900.0,102800.0
2024-02-15,15750.0,896500.0,-259500.0,578000.0,318500.0
2024-02-15,15800.0,2415600.0,-190600.0,1303100.0,1112500.0
2024-02-15,15850.0,1855300.0,316100.0,769600.0,1085700.0
2024-02-15,15900.0,1173400.0,223400.0,475000.0,698400.0
2024-02-15,15950.0,793000.0,194000.0,299500.0,493500.0
2024-02-15,16000.0,865500.0,367700.0,248900.0,616600.0
2024-02-15,16050.0,97500.0,97500.0,0.0,97500.0
2024-02-16,15550.0,98500.0,-98500.0,98500.0,0.0
2024-02-16,15600.0,426100.0,-182500.0,304300.0,121800.0
2024-02-16,15650.0,864300.0,-513300.0,688800.0,175500.0
2024-02-16,15700.0,575600.0,105000.0,235300.0,340300.0
2024-02-16,15750.0,503100.0,-386300.0,444700.0,58400.0
2024-02-16,15800.0,284300.0,5500.0,139400.0,144900.0
2024-02-16,15850.0,91300.0,-20100.0,55700.0,35600.0
2024-02-16,15900.0,37300.0,-36900.0,37100.0,200.0
2024-02-16,15950.0,89300.0,-75700.0,82500.0,6800.0
2024-02-16,16000.0,141300.0,141300.0,0.0,141300.0
2024-02-19,15500.0,17400.0,-17400.0,17400.0,0.0
2024-02-19,15550.0,273600.0,-262200.0,267900.0,5700.0
2024-02-19,15600.0,858800.0,-492600.0,675700.0,183100.0
2024-02-19,15650.0,597900.0,46500.0,275700.0,322200.0
2024-02-19,15700.0,588600.0,15800.0,286400.0,302200.0
2024-02-19,15750.0,191300.0,-41700.0,116500.0,74800.0
2024-02-19,15800.0,148700.0,-14500.0,81600.0,67100.0
2024-02-19,15850.0,255500.0,-91100.0,173300.0,82200.0
2024-02-19,15900.0,264600.0,-94800.0,179700.0,84900.0
2024-02-19,15950.0,212900.0,8100.0,102400.0,110500.0
2024-02-19,16000.0,368300.0,90300.0,139000.0,229300.0
2024-02-19,16050.0,76800.0,42600.0,17100.0,59700.0
2024-02-19,16100.0,44000.0,17800.0,13100.0,30900.0
2024-02-19,16150.0,21200.0,21200.0,0.0,21200.0
