t,p,q,d,b,a
2024-02-15,16250.0,10900.0,-10900.0,10900.0,0.0
2024-02-15,16300.0,104400.0,-64200.0,84300.0,20100.0
2024-02-15,16350.0,449200.0,-225600.0,337400.0,111800.0
2024-02-15,16400.0,966200.0,390200.0,288000.0,678200.0
2024-02-15,16450.0,577300.0,253700.0,161800.0,415500.0
2024-02-15,16500.0,115200.0,114800.0,200.0,115000.0
2024-02-15,16550.0,11500.0,11500.0,0.0,11500.0
2024-02-16,16100.0,77500.0,-77500.0,77500.0,0.0
2024-02-16,16150.0,628000.0,-271200.0,449600.0,178400.0
2024-02-16,16200.0,820800.0,-111200.0,466000.0,354800.0
2024-02-16,16250.0,560000.0,-229800.0,394900.0,165100.0
2024-02-16,16300.0,499500.0,65300.0,217100.0,282400.0
2024-02-16,16350.0,363900.0,61700.0,151100.0,212800.0
2024-02-16,16400.0,275200.0,234400.0,20400.0,254800.0
2024-02-16,16450.0,112900.0,112900.0,0.0,112900.0
2024-02-19,15800.0,80400.0,-80400.0,80400.0,0.0
2024-02-19,15850.0,416300.0,-178100.0,297200.0,119100.0
2024-02-19,15900.0,404200.0,-48600.0,226400.0,177800.0
2024-02-19,15950.0,509000.0,-282200.0,395600.0,113400.0
2024-02-19,16000.0,591900.0,-58100.0,325000.0,266900.0
2024-02-19,16050.0,182600.0,29800.0,76400.0,106200.0
2024-02-19,16100.0,54000.0,-37600.0,45800.0,8200.0
2024-02-19,16150.0,13400.0,7200.0,3100.0,10300.0
2024-02-19,16200.0,6900.0,6900.0,0.0,6900.0
2024-02-20,16100.0,23100.0,3100.0,10000.0,13100.0
2024-02-20,16150.0,213400.0,-106000.0,159700.0,53700.0
2024-02-20,16200.0,616300.0,-148500.0,382400.0,233900.0
2024-02-20,16250.0,433600.0,71000.0,181300.0,252300.0
2024-02-20,16300.0,292800.0,-4400.0,148600.0,144200.0
2024-02-20,16350.0,370800.0,33600.0,168600.0,202200.0
2024-02-20,16400.0,342600.0,305400.0,18600.0,324000.0
2024-02-21,16000.0,110700.0,-110700.0,110700.0,0.0
2024-02-21,16050.0,403800.0,-274200.0,339000.0,64800.0
2024-02-21,16100.0,524100.0,211300.0,156400.0,367700.0
2024-02-21,16150.0,260300.0,50700.0,104800.0,155500.0
2024-02-21,16200.0,227900.0,51900.0,88000.0,139900.0
2024-02-21,16250.0,27700.0,27700.0,0.0,27700.0
2024-02-21,16300.0,8900.0,8900.0,0.0,8900.0
2024-02-22,16050.0,22900.0,-22900.0,22900.0,0.0
2024-02-22,16100.0,46700.0,-11700.0,29200.0,17500.0
2024-02-22,16150.0,83900.0,73900.0,5000.0,78900.0
2024-02-22,16200.0,75100.0,73100.0,1000.0,74100.0
2024-02-22,16250.0,131700.0,-78100.0,104900.0,26800.0
2024-02-22,16300.0,1560700.0,-651300.0,1106000.0,454700.0
2024-02-22,16350.0,1245300.0,480700.0,382300.0,863000.0
2024-02-22,16400.0,570100.0,332500.0,118800.0,451300.0
2024-02-22,16450.0,166300.0,109500.0,28400.0,137900.0
2024-02-22,16500.0,71900.0,71900.0,0.0,71900.0
2024-02-23,15850.0,45600.0,-45600.0,45600.0,0.0
