t,p,q,d,b,a
2024-02-15,22800.0,500.0,-500.0,500.0,0.0
2024-02-15,22850.0,69100.0,-36900.0,53000.0,16100.0
2024-02-15,22900.0,240600.0,-86200.0,163400.0,77200.0
2024-02-15,22950.0,319700.0,-30300.0,175000.0,144700.0
2024-02-15,23000.0,865100.0,68500.0,398300.0,466800.0
2024-02-15,23050.0,263600.0,-11400.0,137500.0,126100.0
2024-02-15,23100.0,89900.0,89900.0,0.0,89900.0
2024-02-16,22700.0,12200.0,-12200.0,12200.0,0.0
2024-02-16,22750.0,58500.0,-27900.0,43200.0,15300.0
2024-02-16,22800.0,33300.0,3300.0,15000.0,18300.0
2024-02-16,22850.0,75500.0,-50700.0,63100.0,12400.0
2024-02-16,22900.0,180900.0,-53500.0,117200.0,63700.0
2024-02-16,22950.0,179700.0,-65300.0,122500.0,57200.0
2024-02-16,23000.0,125300.0,-21300.0,73300.0,52000.0
2024-02-16,23050.0,79000.0,-72200.0,75600.0,3400.0
2024-02-16,23100.0,287400.0,-131200.0,209300.0,78100.0
2024-02-16,23150.0,195800.0,25200.0,85300.0,110500.0
2024-02-16,23200.0,184100.0,97700.0,43200.0,140900.0
2024-02-16,23250.0,102000.0,-20400.0,61200.0,40800.0
2024-02-16,23300.0,170400.0,114000.0,28200.0,142200.0
2024-02-16,23350.0,17000.0,3400.0,6800.0,10200.0
2024-02-16,23400.0,61100.0,29300.0,15900.0,45200.0
2024-02-16,23450.0,16200.0,16200.0,0.0,16200.0
2024-02-16,23500.0,2800.0,2800.0,0.0,2800.0
2024-02-19,22650.0,27700.0,-27700.0,27700.0,0.0
2024-02-19,22700.0,194000.0,-96600.0,145300.0,48700.0
2024-02-19,22750.0,373100.0,-108100.0,240600.0,132500.0
2024-02-19,22800.0,357800.0,-98000.0,227900.0,129900.0
2024-02-19,22850.0,362000.0,28600.0,166700.0,195300.0
2024-02-19,22900.0,185700.0,-2700.0,94200.0,91500.0
2024-02-19,22950.0,236100.0,38900.0,98600.0,137500.0
2024-02-19,23000.0,296900.0,271700.0,12600.0,284300.0
2024-02-19,23050.0,77600.0,17000.0,30300.0,47300.0
2024-02-19,23100.0,104200.0,73200.0,15500.0,88700.0
2024-02-19,23150.0,348100.0,113900.0,117100.0,231000.0
2024-02-19,23200.0,218500.0,154700.0,31900.0,186600.0
2024-02-19,23250.0,36900.0,16100.0,10400.0,26500.0
2024-02-19,23300.0,80700.0,38100.0,21300.0,59400.0
2024-02-19,23350.0,5700.0,5700.0,0.0,5700.0
2024-02-20,22850.0,37700.0,-37700.0,37700.0,0.0
2024-02-20,22900.0,217500.0,-106900.0,162200.0,55300.0
2024-02-20,22950.0,237300.0,-64100.0,150700.0,86600.0
2024-02-20,23000.0,574300.0,-122300.0,348300.0,226000.0
2024-02-20,23050.0,204000.0,100600.0,51700.0,152300.0
2024-02-20,23100.0,117700.0,-14300.0,66000.0,51700.0
2024-02-20,23150.0,100600.0,39800.0,30400.0,70200.0
2024-02-20,23200.0,58500.0,-24300.0,41400.0,17100.0
2024-02-20,23250.0,29600.0,20400.0,4600.0,25000.0
2024-02-20,23300.0,58900.0,-6900.0,32900.0,26000.0
2024-02-20,23350.0,4400.0,-3400.0,3900.0,500.0
2024-02-20,23400.0,39000.0,-4600.0,21800.0,17200.0
2024-02-20,23450.0,1200.0,1200.0,0.0,1200.0
2024-02-21,22550.0,76300.0,-76300.0,76300.0,0.0
2024-02-21,22600.0,317500.0,-105300.0,211400.0,106100.0
2024-02-21,22650.0,290300.0,81900.0,104200.0,186100.0
2024-02-21,22700.0,209900.0,5100.0,102400.0,107500.0
2024-02-21,22750.0,187400.0,-110600.0,149000.0,38400.0
2024-02-21,22800.0,420600.0,-110400.0,265500.0,155100.0
2024-02-21,22850.0,183500.0,142300.0,20600.0,162900.0
