t,p,q,d,b,a
2024-07-08,29200.0,7200.0,-7200.0,7200.0,0.0
2024-07-08,29250.0,126800.0,-71800.0,99300.0,27500.0
2024-07-08,29300.0,97100.0,1100.0,48000.0,49100.0
2024-07-08,29350.0,48300.0,-16300.0,32300.0,16000.0
2024-07-08,29400.0,137900.0,-48700.0,93300.0,44600.0
2024-07-08,29450.0,172300.0,32500.0,69900.0,102400.0
2024-07-08,29500.0,214100.0,-85700.0,149900.0,64200.0
2024-07-08,29550.0,417600.0,39400.0,189100.0,228500.0
2024-07-08,29600.0,370300.0,-64900.0,217600.0,152700.0
2024-07-08,29650.0,406000.0,-41200.0,223600.0,182400.0
2024-07-08,29700.0,646300.0,-74300.0,360300.0,286000.0
2024-07-08,29750.0,294600.0,6600.0,144000.0,150600.0
2024-07-08,29800.0,260100.0,139700.0,60200.0,199900.0
2024-07-08,29850.0,181900.0,-79500.0,130700.0,51200.0
2024-07-08,29900.0,184800.0,42600.0,71100.0,113700.0
2024-07-08,29950.0,162900.0,15300.0,73800.0,89100.0
2024-07-08,30000.0,323800.0,166800.0,78500.0,245300.0
2024-07-08,30050.0,219300.0,34700.0,92300.0,127000.0
2024-07-08,30100.0,174000.0,139000.0,17500.0,156500.0
2024-07-08,30150.0,4700.0,4700.0,0.0,4700.0
2024-07-09,29650.0,7600.0,-7600.0,7600.0,0.0
2024-07-09,29700.0,7200.0,0.0,3600.0,3600.0
2024-07-09,29750.0,5000.0,-1000.0,3000.0,2000.0
2024-07-09,29800.0,37300.0,14900.0,11200.0,26100.0
2024-07-09,29850.0,11300.0,2300.0,4500.0,6800.0
2024-07-09,29900.0,30100.0,-5700.0,17900.0,12200.0
2024-07-09,29950.0,304700.0,-46500.0,175600.0,129100.0
2024-07-09,30000.0,536100.0,320300.0,107900.0,428200.0
2024-07-09,30050.0,137300.0,99500.0,18900.0,118400.0
2024-07-09,30100.0,360100.0,181900.0,89100.0,271000.0
2024-07-09,30150.0,300400.0,223600.0,38400.0,262000.0
2024-07-09,30200.0,319500.0,318100.0,700.0,318800.0
2024-07-09,30250.0,34100.0,31300.0,1400.0,32700.0
