t,p,q,d,b,a
2024-02-15,29500.0,532800.0,-532800.0,532800.0,0.0
2024-02-15,29550.0,998200.0,48000.0,475100.0,523100.0
2024-02-15,29600.0,642800.0,-547600.0,595200.0,47600.0
2024-02-15,29650.0,1095700.0,-272900.0,684300.0,411400.0
2024-02-15,29700.0,781100.0,179700.0,300700.0,480400.0
2024-02-15,29750.0,295600.0,-65800.0,180700.0,114900.0
2024-02-15,29800.0,866900.0,-783300.0,825100.0,41800.0
2024-02-15,29850.0,2484900.0,-1052900.0,1768900.0,716000.0
2024-02-15,29900.0,1501100.0,-213500.0,857300.0,643800.0
2024-02-15,29950.0,1078500.0,91100.0,493700.0,584800.0
2024-02-15,30000.0,292500.0,56900.0,117800.0,174700.0
2024-02-15,30050.0,103600.0,-67400.0,85500.0,18100.0
2024-02-15,30100.0,55600.0,-50800.0,53200.0,2400.0
2024-02-15,30150.0,159600.0,90600.0,34500.0,125100.0
2024-02-15,30200.0,900.0,900.0,0.0,900.0
2024-02-16,29550.0,69100.0,-69100.0,69100.0,0.0
2024-02-16,29600.0,395100.0,-140900.0,268000.0,127100.0
2024-02-16,29650.0,608800.0,5600.0,301600.0,307200.0
2024-02-16,29700.0,601200.0,-172600.0,386900.0,214300.0
2024-02-16,29750.0,296600.0,-168000.0,232300.0,64300.0
2024-02-16,29800.0,843700.0,-474300.0,659000.0,184700.0
2024-02-16,29850.0,865700.0,-188700.0,527200.0,338500.0
2024-02-16,29900.0,609200.0,110200.0,249500.0,359700.0
2024-02-16,29950.0,196200.0,1400.0,97400.0,98800.0
2024-02-16,30000.0,460100.0,-118900.0,289500.0,170600.0
2024-02-16,30050.0,442800.0,-138600.0,290700.0,152100.0
2024-02-16,30100.0,826800.0,39600.0,393600.0,433200.0
2024-02-16,30150.0,781800.0,55400.0,363200.0,418600.0
2024-02-16,30200.0,1192500.0,201100.0,495700.0,696800.0
2024-02-16,30250.0,568900.0,209500.0,179700.0,389200.0
2024-02-16,30300.0,433900.0,223300.0,105300.0,328600.0
2024-02-19,29100.0,97500.0,-97500.0,97500.0,0.0
2024-02-19,29150.0,742100.0,-442900.0,592500.0,149600.0
2024-02-19,29200.0,1515200.0,-763800.0,1139500.0,375700.0
2024-02-19,29250.0,1709900.0,-184500.0,947200.0,762700.0
