t,p,q,d,b,a
2024-02-15,25000.0,27900.0,-2300.0,15100.0,12800.0
2024-02-15,25050.0,7300.0,-3100.0,5200.0,2100.0
2024-02-15,25100.0,19800.0,-8800.0,14300.0,5500.0
2024-02-15,25150.0,53800.0,200.0,26800.0,27000.0
2024-02-15,25200.0,72200.0,-65200.0,68700.0,3500.0
2024-02-15,25250.0,38000.0,-12400.0,25200.0,12800.0
2024-02-15,25300.0,35000.0,400.0,17300.0,17700.0
2024-02-15,25350.0,6900.0,2100.0,2400.0,4500.0
2024-02-15,25400.0,14800.0,14400.0,200.0,14600.0
2024-02-16,25150.0,13700.0,5100.0,4300.0,9400.0
2024-02-16,25200.0,12400.0,-10400.0,11400.0,1000.0
2024-02-16,25250.0,64200.0,-44200.0,54200.0,10000.0
2024-02-16,25300.0,92800.0,59400.0,16700.0,76100.0
2024-02-16,25350.0,12400.0,7400.0,2500.0,9900.0
2024-02-16,25400.0,26200.0,20400.0,2900.0,23300.0
2024-02-16,25450.0,40500.0,-14300.0,27400.0,13100.0
2024-02-16,25500.0,42900.0,-19300.0,31100.0,11800.0
2024-02-16,25550.0,47700.0,10100.0,18800.0,28900.0
2024-02-19,25550.0,2300.0,-2300.0,2300.0,0.0
2024-02-19,25600.0,52100.0,-50300.0,51200.0,900.0
2024-02-19,25650.0,112000.0,-14200.0,63100.0,48900.0
2024-02-19,25700.0,122200.0,21200.0,50500.0,71700.0
2024-02-19,25750.0,114400.0,1200.0,56600.0,57800.0
2024-02-19,25800.0,11400.0,11400.0,0.0,11400.0
2024-02-19,25850.0,500.0,500.0,0.0,500.0
2024-02-19,25900.0,12500.0,12500.0,0.0,12500.0
2024-02-20,25600.0,21600.0,-21600.0,21600.0,0.0
2024-02-20,25650.0,102600.0,-99200.0,100900.0,1700.0
2024-02-20,25700.0,124200.0,-55600.0,89900.0,34300.0
2024-02-20,25750.0,60400.0,-43800.0,52100.0,8300.0
2024-02-20,25800.0,52100.0,11500.0,20300.0,31800.0
2024-02-20,25850.0,9300.0,4700.0,2300.0,7000.0
2024-02-20,25900.0,33100.0,23300.0,4900.0,28200.0
2024-02-20,25950.0,43900.0,6900.0,18500.0,25400.0
2024-02-20,26000.0,1800.0,1800.0,0.0,1800.0
2024-02-21,25500.0,1300.0,-1300.0,1300.0,0.0
2024-02-21,25550.0,38000.0,-32400.0,35200.0,2800.0
2024-02-21,25600.0,139500.0,-38500.0,89000.0,50500.0
2024-02-21,25650.0,43400.0,7000.0,18200.0,25200.0
2024-02-21,25700.0,53000.0,-29200.0,41100.0,11900.0
2024-02-21,25750.0,68800.0,8200.0,30300.0,38500.0
2024-02-21,25800.0,44000.0,6800.0,18600.0,25400.0
2024-02-21,25850.0,18200.0,-9000.0,13600.0,4600.0
2024-02-21,25900.0,2000.0,2000.0,0.0,2000.0
2024-02-22,25450.0,1300.0,-1300.0,1300.0,0.0
2024-02-22,25500.0,83000.0,-76800.0,79900.0,3100.0
2024-02-22,25550.0,128600.0,-71400.0,100000.0,28600.0
2024-02-22,25600.0,94400.0,17000.0,38700.0,55700.0
2024-02-22,25650.0,8800.0,4200.0,2300.0,6500.0
2024-02-22,25700.0,12400.0,10800.0,800.0,11600.0
2024-02-22,25800.0,2300.0,2300.0,0.0,2300.0
2024-02-23,24500.0,40700.0,-40700.0,40700.0,0.0
2024-02-23,24550.0,3800.0,-2000.0,2900.0,900.0
2024-02-23,24600.0,34200.0,-16600.0,25400.0,8800.0
2024-02-23,24650.0,31100.0,-10300.0,20700.0,10400.0
2024-02-23,24700.0,19100.0,3900.0,7600.0,11500.0
2024-02-23,24750.0,3100.0,-2300.0,2700.0,400.0
2024-02-23,24800.0,21200.0,-8400.0,14800.0,6400.0
2024-02-23,24850.0,7800.0,-6200.0,7000.0,800.0
2024-02-23,24900.0,27800.0,-25800.0,26800.0,1000.0
2024-02-23,24950.0,12500.0,-9900.0,11200.0,1300.0
2024-02-23,25000.0,37800.0,-35400.0,36600.0,1200.0
2024-02-23,25050.0,22800.0,-22800.0,22800.0,0.0
2024-02-23,25100.0,26300.0,-14900.0,20600.0,5700.0
2024-02-23,25150.0,10600.0,-5800.0,8200.0,2400.0
2024-02-23,25200.0,15100.0,-15100.0,15100.0,0.0
2024-02-23,25250.0,51200.0,-31000.0,41100.0,10100.0
2024-02-23,25300.0,60000.0,-27200.0,43600.0,16400.0
2024-02-23,25350.0,27900.0,19500.0,4200.0,23700.0
2024-02-23,25400.0,21400.0,-21400.0,21400.0,0.0
2024-02-23,25450.0,1100.0,-500.0,800.0,300.0
2024-02-23,25500.0,23300.0,23300.0,0.0,23300.0
2024-02-26,24050.0,15200.0,-4200.0,9700.0,5500.0
2024-02-26,24100.0,12800.0,-7600.0,10200.0,2600.0
2024-02-26,24150.0,70000.0,-9000.0,39500.0,30500.0
2024-02-26,24200.0,52100.0,13700.0,19200.0,32900.0
2024-02-26,24250.0,20600.0,-9000.0,14800.0,5800.0
2024-02-26,24300.0,69900.0,-27500.0,48700.0,21200.0
2024-02-26,24350.0,57200.0,29800.0,13700.0,43500.0
2024-02-26,24400.0,5200.0,-1800.0,3500.0,1700.0
2024-02-26,24450.0,1100.0,-900.0,1000.0,100.0
2024-02-26,24500.0,10700.0,-3500.0,7100.0,3600.0
2024-02-26,24550.0,6500.0,-2700.0,4600.0,1900.0
2024-02-27,24150.0,2000.0,2000.0,0.0,2000.0
2024-02-27,24200.0,100.0,-100.0,100.0,0.0
2024-02-27,24250.0,27200.0,-27200.0,27200.0,0.0
2024-02-27,24300.0,117000.0,-12800.0,64900.0,52100.0
2024-02-27,24350.0,57600.0,1800.0,27900.0,29700.0
2024-02-27,24400.0,28100.0,-4100.0,16100.0,12000.0
2024-02-27,24450.0,5800.0,-1600.0,3700.0,2100.0
2024-02-27,24500.0,22300.0,16300.0,3000.0,19300.0
