t,p,q,d,b,a
2024-05-10,21600.0,2400.0,-2400.0,2400.0,0.0
2024-05-10,21700.0,500.0,-500.0,500.0,0.0
2024-05-10,21900.0,7200.0,3000.0,2100.0,5100.0
2024-07-09,29000.0,29200.0,-29200.0,29200.0,0.0
2024-07-09,29100.0,24900.0,-15900.0,20400.0,4500.0
2024-07-09,29200.0,49300.0,-21900.0,35600.0,13700.0
2024-07-09,29300.0,58600.0,-29600.0,44100.0,14500.0
2024-07-09,29400.0,12000.0,-10000.0,11000.0,1000.0
2024-07-09,29500.0,22100.0,4300.0,8900.0,13200.0
2024-07-09,29600.0,20800.0,-4000.0,12400.0,8400.0
2024-07-09,29700.0,4200.0,-4200.0,4200.0,0.0
2024-07-09,29800.0,6700.0,-1900.0,4300.0,2400.0
2024-07-09,29900.0,800.0,-800.0,800.0,0.0
2024-07-09,30000.0,17500.0,-500.0,9000.0,8500.0
2024-07-09,30100.0,7200.0,7200.0,0.0,7200.0
2024-07-10,29200.0,13800.0,200.0,6800.0,7000.0
2024-07-10,29300.0,20400.0,2200.0,9100.0,11300.0
2024-07-10,29400.0,19800.0,800.0,9500.0,10300.0
2024-07-10,29500.0,31800.0,-14800.0,23300.0,8500.0
2024-07-10,29600.0,28400.0,1800.0,13300.0,15100.0
2024-07-10,29700.0,48100.0,3900.0,22100.0,26000.0
2024-07-10,29800.0,60900.0,21100.0,19900.0,41000.0
2024-07-10,29900.0,25900.0,-12100.0,19000.0,6900.0
2024-07-10,30000.0,42300.0,-2700.0,22500.0,19800.0
2024-07-10,30100.0,17900.0,-14500.0,16200.0,1700.0
2024-07-10,30200.0,25100.0,-8500.0,16800.0,8300.0
2024-07-10,30300.0,10700.0,5300.0,2700.0,8000.0
2024-07-11,29300.0,7000.0,-7000.0,7000.0,0.0
2024-07-11,29400.0,3700.0,700.0,1500.0,2200.0
2024-07-11,29500.0,13900.0,-4700.0,9300.0,4600.0
2024-07-11,29600.0,5400.0,-2600.0,4000.0,1400.0
2024-07-11,29700.0,22200.0,-7200.0,14700.0,7500.0
2024-07-11,29800.0,68200.0,-8000.0,38100.0,30100.0
2024-07-11,29900.0,2700.0,2700.0,0.0,2700.0
2024-07-11,30000.0,19600.0,2400.0,8600.0,11000.0
2024-07-11,30100.0,1100.0,1100.0,0.0,1100.0
2024-07-12,29500.0,100.0,100.0,0.0,100.0
2024-07-12,29600.0,3500.0,-3500.0,3500.0,0.0
2024-07-12,29700.0,9600.0,2400.0,3600.0,6000.0
2024-07-12,29800.0,50200.0,-21600.0,35900.0,14300.0
2024-07-12,29900.0,54100.0,-7900.0,31000.0,23100.0
2024-07-12,30000.0,35900.0,32900.0,1500.0,34400.0
2024-07-15,29500.0,4000.0,-4000.0,4000.0,0.0
2024-07-15,29600.0,30100.0,-26100.0,28100.0,2000.0
2024-07-15,29700.0,25300.0,8300.0,8500.0,16800.0
2024-07-15,29800.0,38700.0,-9700.0,24200.0,14500.0
2024-07-15,29900.0,41400.0,-1400.0,21400.0,20000.0
2024-07-15,30000.0,7600.0,-2200.0,4900.0,2700.0
2024-07-16,28400.0,2800.0,-2800.0,2800.0,0.0
2024-07-16,28500.0,43300.0,-25500.0,34400.0,8900.0
