t,p,q,d,b,a
2024-02-15,53300.0,1700.0,-1700.0,1700.0,0.0
2024-02-15,53400.0,4700.0,-2700.0,3700.0,1000.0
2024-02-15,53500.0,8500.0,900.0,3800.0,4700.0
2024-02-15,53600.0,20000.0,-4200.0,12100.0,7900.0
2024-02-15,53700.0,6400.0,3000.0,1700.0,4700.0
2024-02-15,53800.0,13000.0,6600.0,3200.0,9800.0
2024-02-15,53900.0,12900.0,-5900.0,9400.0,3500.0
2024-02-15,54000.0,100300.0,-16700.0,58500.0,41800.0
2024-02-15,54100.0,39500.0,-24300.0,31900.0,7600.0
2024-02-15,54200.0,61100.0,4700.0,28200.0,32900.0
2024-02-15,54300.0,31900.0,27900.0,2000.0,29900.0
2024-02-15,54400.0,48000.0,-10800.0,29400.0,18600.0
2024-02-15,54500.0,53800.0,16800.0,18500.0,35300.0
2024-02-15,54600.0,20400.0,400.0,10000.0,10400.0
2024-02-15,54700.0,30700.0,-7700.0,19200.0,11500.0
2024-02-15,54800.0,20200.0,-5800.0,13000.0,7200.0
2024-02-15,54900.0,43300.0,-4500.0,23900.0,19400.0
2024-02-15,55000.0,64500.0,23500.0,20500.0,44000.0
2024-02-15,55100.0,24100.0,-14500.0,19300.0,4800.0
2024-02-15,55200.0,64000.0,13600.0,25200.0,38800.0
2024-02-15,55300.0,63600.0,-6200.0,34900.0,28700.0
2024-02-15,55400.0,27600.0,27600.0,0.0,27600.0
2024-02-15,55500.0,13300.0,13300.0,0.0,13300.0
2024-02-16,54100.0,4900.0,-4900.0,4900.0,0.0
2024-02-16,54200.0,200.0,200.0,0.0,200.0
2024-02-16,54300.0,1900.0,1700.0,100.0,1800.0
2024-02-16,54400.0,14300.0,6300.0,4000.0,10300.0
2024-02-16,54500.0,37300.0,27900.0,4700.0,32600.0
2024-02-16,54600.0,3900.0,1700.0,1100.0,2800.0
2024-02-16,54700.0,3300.0,3300.0,0.0,3300.0
2024-02-16,54800.0,3800.0,3800.0,0.0,3800.0
2024-02-16,54900.0,900.0,900.0,0.0,900.0
2024-02-16,55000.0,14300.0,14300.0,0.0,14300.0
2024-02-16,55100.0,18600.0,-10600.0,14600.0,4000.0
2024-02-16,55200.0,55300.0,1500.0,26900.0,28400.0
2024-02-16,55300.0,45000.0,4400.0,20300.0,24700.0
2024-02-16,55400.0,50600.0,-7600.0,29100.0,21500.0
2024-02-16,55500.0,97900.0,61700.0,18100.0,79800.0
2024-02-16,55600.0,22500.0,1700.0,10400.0,12100.0
2024-02-16,55700.0,9800.0,5400.0,2200.0,7600.0
2024-02-16,55800.0,8900.0,2100.0,3400.0,5500.0
2024-02-16,55900.0,10700.0,9100.0,800.0,9900.0
2024-02-16,56000.0,19700.0,18700.0,500.0,19200.0
2024-02-16,56100.0,2000.0,-2000.0,2000.0,0.0
