t,p,q,d,b,a
2024-02-15,31600.0,300.0,300.0,0.0,300.0
2024-02-15,31800.0,24878.0,-4478.0,14678.0,10200.0
2024-02-15,31900.0,14803.0,4003.0,5400.0,9403.0
2024-02-15,32000.0,53300.0,2100.0,25600.0,27700.0
2024-02-15,32100.0,52505.0,-5895.0,29200.0,23305.0
2024-02-15,32200.0,64579.0,-43065.0,53822.0,10757.0
2024-02-15,32300.0,53100.0,-15700.0,34400.0,18700.0
2024-02-15,32400.0,62013.0,28803.0,16605.0,45408.0
2024-02-15,32500.0,32006.0,29606.0,1200.0,30806.0
2024-02-15,32600.0,100.0,100.0,0.0,100.0
2024-02-16,32200.0,10000.0,-10000.0,10000.0,0.0
2024-02-16,32300.0,38400.0,-26600.0,32500.0,5900.0
2024-02-16,32400.0,43325.0,-23925.0,33625.0,9700.0
2024-02-16,32500.0,75546.0,1656.0,36945.0,38601.0
2024-02-16,32600.0,11701.0,11701.0,0.0,11701.0
2024-02-19,32500.0,7300.0,-7300.0,7300.0,0.0
2024-02-19,32600.0,23300.0,2100.0,10600.0,12700.0
2024-02-19,32700.0,18200.0,-3600.0,10900.0,7300.0
2024-02-19,32800.0,45711.0,-3709.0,24710.0,21001.0
2024-02-19,32900.0,44605.0,7999.0,18303.0,26302.0
2024-02-19,33000.0,99349.0,-47149.0,73249.0,26100.0
2024-02-19,33100.0,41600.0,-6800.0,24200.0,17400.0
2024-02-19,33200.0,83810.0,-43008.0,63409.0,20401.0
2024-02-19,33300.0,28200.0,-3600.0,15900.0,12300.0
2024-02-19,33400.0,5300.0,4500.0,400.0,4900.0
2024-02-19,33500.0,6600.0,4600.0,1000.0,5600.0
2024-02-19,33600.0,11100.0,10300.0,400.0,10700.0
2024-02-19,33700.0,6200.0,3000.0,1600.0,4600.0
2024-02-19,33800.0,200.0,200.0,0.0,200.0
2024-02-20,32600.0,21501.0,-21501.0,21501.0,0.0
2024-02-20,32700.0,45035.0,12965.0,16035.0,29000.0
2024-02-20,32800.0,63125.0,-15325.0,39225.0,23900.0
2024-02-20,32900.0,43348.0,19546.0,11901.0,31447.0
2024-02-20,33000.0,13621.0,-979.0,7300.0,6321.0
2024-02-20,33200.0,2001.0,-1001.0,1501.0,500.0
2024-02-20,33500.0,206.0,206.0,0.0,206.0
2024-02-21,32400.0,1000.0,-1000.0,1000.0,0.0
2024-02-21,32500.0,13600.0,6400.0,3600.0,10000.0
2024-02-21,32600.0,40840.0,-1360.0,21100.0,19740.0
2024-02-21,32700.0,36552.0,-19072.0,27812.0,8740.0
2024-02-21,32800.0,16337.0,9935.0,3201.0,13136.0
2024-02-21,32900.0,200.0,200.0,0.0,200.0
2024-02-21,33000.0,400.0,400.0,0.0,400.0
2024-02-21,33100.0,400.0,400.0,0.0,400.0
2024-02-21,33200.0,100.0,100.0,0.0,100.0
2024-02-22,32400.0,1000.0,-1000.0,1000.0,0.0
2024-02-22,32500.0,27000.0,-26800.0,26900.0,100.0
2024-02-22,32600.0,28806.0,-8794.0,18800.0,10006.0
2024-02-22,32700.0,42022.0,23578.0,9222.0,32800.0
2024-02-22,32800.0,36200.0,29200.0,3500.0,32700.0
2024-02-22,32900.0,5700.0,4900.0,400.0,5300.0
2024-02-22,33000.0,15510.0,15510.0,0.0,15510.0
2024-02-23,31500.0,14650.0,-14650.0,14650.0,0.0
2024-02-23,31600.0,18879.0,-1521.0,10200.0,8679.0
2024-02-23,31700.0,3100.0,3100.0,0.0,3100.0
2024-02-23,31800.0,5100.0,-3900.0,4500.0,600.0
2024-02-23,31900.0,26900.0,-26900.0,26900.0,0.0
2024-02-23,32000.0,46600.0,2000.0,22300.0,24300.0
2024-02-23,32100.0,27900.0,-21700.0,24800.0,3100.0
2024-02-23,32200.0,30300.0,-8900.0,19600.0,10700.0
2024-02-23,32300.0,14800.0,11600.0,1600.0,13200.0
2024-02-23,32400.0,30800.0,-27800.0,29300.0,1500.0
2024-02-23,32500.0,44318.0,-6718.0,25518.0,18800.0
2024-02-23,32600.0,57908.0,39292.0,9308.0,48600.0
2024-02-23,32700.0,6311.0,5091.0,610.0,5701.0
2024-02-23,32800.0,500.0,500.0,0.0,500.0
2024-02-23,32900.0,2000.0,2000.0,0.0,2000.0
2024-02-26,31600.0,5000.0,-5000.0,5000.0,0.0
2024-02-26,31700.0,38000.0,2200.0,17900.0,20100.0
