t,p,q,d,b,a
2024-07-08,44000.0,4900.0,4900.0,0.0,4900.0
2024-07-08,44050.0,1200.0,1200.0,0.0,1200.0
2024-07-08,44100.0,88200.0,-45200.0,66700.0,21500.0
2024-07-08,44150.0,69300.0,-25100.0,47200.0,22100.0
2024-07-08,44200.0,101700.0,-78300.0,90000.0,11700.0
2024-07-08,44250.0,115200.0,2800.0,56200.0,59000.0
2024-07-08,44300.0,202100.0,1300.0,100400.0,101700.0
2024-07-08,44350.0,96700.0,-52300.0,74500.0,22200.0
2024-07-08,44400.0,155100.0,52900.0,51100.0,104000.0
2024-07-08,44450.0,70500.0,46300.0,12100.0,58400.0
2024-07-08,44500.0,308000.0,89400.0,109300.0,198700.0
2024-07-08,44550.0,188800.0,-4000.0,96400.0,92400.0
2024-07-08,44600.0,151000.0,86800.0,32100.0,118900.0
2024-07-08,44650.0,101000.0,100800.0,100.0,100900.0
2024-07-08,44700.0,103000.0,95200.0,3900.0,99100.0
2024-07-08,44750.0,1800.0,1800.0,0.0,1800.0
2024-07-08,44800.0,14700.0,14700.0,0.0,14700.0
2024-07-08,44850.0,1300.0,1300.0,0.0,1300.0
2024-07-08,44900.0,18900.0,17900.0,500.0,18400.0
2024-07-08,44950.0,1800.0,800.0,500.0,1300.0
2024-07-08,45000.0,191500.0,190900.0,300.0,191200.0
2024-07-08,45050.0,1400.0,1400.0,0.0,1400.0
2024-07-08,45100.0,21000.0,20800.0,100.0,20900.0
2024-07-08,45150.0,5500.0,5300.0,100.0,5400.0
2024-07-08,45200.0,24100.0,16100.0,4000.0,20100.0
2024-07-08,45250.0,100.0,100.0,0.0,100.0
2024-07-08,45300.0,149500.0,-10900.0,80200.0,69300.0
2024-07-08,45350.0,154300.0,-3100.0,78700.0,75600.0
2024-07-08,45400.0,207300.0,80700.0,63300.0,144000.0
2024-07-08,45450.0,111500.0,111300.0,100.0,111400.0
2024-07-08,45500.0,134300.0,134300.0,0.0,134300.0
2024-07-08,45550.0,8400.0,8400.0,0.0,8400.0
2024-07-08,45600.0,36400.0,6000.0,15200.0,21200.0
2024-07-08,45650.0,13800.0,13200.0,300.0,13500.0
2024-07-08,45700.0,51500.0,26900.0,12300.0,39200.0
2024-07-08,45750.0,60500.0,13900.0,23300.0,37200.0
2024-07-08,45800.0,116700.0,21700.0,47500.0,69200.0
2024-07-08,45850.0,83000.0,-25200.0,54100.0,28900.0
2024-07-08,45900.0,173400.0,15800.0,78800.0,94600.0
2024-07-08,45950.0,226900.0,-20100.0,123500.0,103400.0
2024-07-08,46000.0,445400.0,105600.0,169900.0,275500.0
2024-07-08,46050.0,127300.0,-39700.0,83500.0,43800.0
2024-07-08,46100.0,139000.0,-39200.0,89100.0,49900.0
2024-07-08,46150.0,107600.0,-30400.0,69000.0,38600.0
2024-07-08,46200.0,117100.0,26900.0,45100.0,72000.0
2024-07-08,46250.0,123100.0,-51300.0,87200.0,35900.0
2024-07-08,46300.0,141400.0,82000.0,29700.0,111700.0
2024-07-08,46350.0,23400.0,-7400.0,15400.0,8000.0
2024-07-08,46400.0,98000.0,-21600.0,59800.0,38200.0
2024-07-08,46450.0,39400.0,5000.0,17200.0,22200.0
2024-07-08,46500.0,133800.0,81600.0,26100.0,107700.0
2024-07-08,46550.0,4600.0,400.0,2100.0,2500.0
2024-07-08,46600.0,10700.0,10700.0,0.0,10700.0
2024-07-09,45800.0,11400.0,-11400.0,11400.0,0.0
2024-07-09,45850.0,28700.0,2700.0,13000.0,15700.0
2024-07-09,45900.0,71900.0,-62900.0,67400.0,4500.0
2024-07-09,45950.0,42100.0,-5700.0,23900.0,18200.0
2024-07-09,46000.0,337800.0,-147000.0,242400.0,95400.0
2024-07-09,46050.0,232000.0,-141400.0,186700.0,45300.0
2024-07-09,46100.0,201000.0,-13200.0,107100.0,93900.0
2024-07-09,46150.0,167900.0,-32900.0,100400.0,67500.0
2024-07-09,46200.0,261600.0,-2400.0,132000.0,129600.0
2024-07-09,46250.0,127100.0,-57300.0,92200.0,34900.0
2024-07-09,46300.0,146600.0,-19000.0,82800.0,63800.0
2024-07-09,46350.0,38900.0,3900.0,17500.0,21400.0
2024-07-09,46400.0,87700.0,65900.0,10900.0,76800.0
2024-07-09,46450.0,12300.0,7700.0,2300.0,10000.0
2024-07-09,46500.0,13000.0,-4200.0,8600.0,4400.0
2024-07-09,46550.0,14100.0,-14100.0,14100.0,0.0
2024-07-09,46600.0,9000.0,-8400.0,8700.0,300.0
2024-07-10,46000.0,24200.0,-24200.0,24200.0,0.0
