t,p,q,d,b,a
2024-02-15,90000.0,44700.0,-44700.0,44700.0,0.0
2024-02-15,90100.0,60100.0,-10900.0,35500.0,24600.0
2024-02-15,90200.0,26200.0,-23200.0,24700.0,1500.0
2024-02-15,90300.0,86800.0,-83400.0,85100.0,1700.0
2024-02-15,90400.0,139700.0,-8300.0,74000.0,65700.0
2024-02-15,90500.0,144700.0,-45100.0,94900.0,49800.0
2024-02-15,90600.0,46400.0,-38600.0,42500.0,3900.0
2024-02-15,90700.0,13000.0,-10000.0,11500.0,1500.0
2024-02-15,90800.0,12600.0,2000.0,5300.0,7300.0
2024-02-15,90900.0,29300.0,7300.0,11000.0,18300.0
2024-02-15,91000.0,7000.0,-6600.0,6800.0,200.0
2024-02-15,91100.0,11700.0,-11300.0,11500.0,200.0
2024-02-15,91200.0,15000.0,-14400.0,14700.0,300.0
2024-02-15,91300.0,26900.0,-15500.0,21200.0,5700.0
2024-02-15,91400.0,43900.0,-8300.0,26100.0,17800.0
2024-02-15,91500.0,11800.0,-3000.0,7400.0,4400.0
2024-02-15,91600.0,15000.0,-10200.0,12600.0,2400.0
2024-02-15,91700.0,25000.0,11400.0,6800.0,18200.0
2024-02-15,91800.0,12400.0,11200.0,600.0,11800.0
2024-02-15,91900.0,19800.0,-4800.0,12300.0,7500.0
2024-02-15,92000.0,40200.0,16800.0,11700.0,28500.0
2024-02-15,92100.0,14000.0,8600.0,2700.0,11300.0
2024-02-15,92200.0,300.0,300.0,0.0,300.0
2024-02-16,90100.0,37000.0,-37000.0,37000.0,0.0
2024-02-16,90200.0,78900.0,-54700.0,66800.0,12100.0
2024-02-16,90300.0,89800.0,-46200.0,68000.0,21800.0
2024-02-16,90400.0,98700.0,45700.0,26500.0,72200.0
2024-02-16,90500.0,54400.0,34800.0,9800.0,44600.0
2024-02-16,90600.0,27600.0,18400.0,4600.0,23000.0
2024-02-16,90700.0,13500.0,5300.0,4100.0,9400.0
2024-02-16,90800.0,13100.0,8300.0,2400.0,10700.0
2024-02-16,90900.0,19500.0,19500.0,0.0,19500.0
2024-02-19,88800.0,20300.0,-13700.0,17000.0,3300.0
2024-02-19,88900.0,82400.0,-36000.0,59200.0,23200.0
2024-02-19,89000.0,226800.0,-41000.0,133900.0,92900.0
2024-02-19,89100.0,93100.0,-11900.0,52500.0,40600.0
2024-02-19,89200.0,51100.0,-3100.0,27100.0,24000.0
2024-02-19,89300.0,32200.0,-9600.0,20900.0,11300.0
2024-02-19,89400.0,26100.0,-1100.0,13600.0,12500.0
2024-02-19,89500.0,38400.0,-12400.0,25400.0,13000.0
2024-02-19,89600.0,13700.0,-13700.0,13700.0,0.0
2024-02-19,89700.0,18300.0,-9700.0,14000.0,4300.0
2024-02-19,89800.0,32500.0,-17100.0,24800.0,7700.0
2024-02-19,89900.0,23000.0,-6000.0,14500.0,8500.0
2024-02-19,90000.0,42300.0,2500.0,19900.0,22400.0
2024-02-19,90100.0,7600.0,-7600.0,7600.0,0.0
2024-02-19,90200.0,21600.0,-21600.0,21600.0,0.0
2024-02-19,90300.0,33300.0,-20900.0,27100.0,6200.0
2024-02-19,90400.0,9100.0,-9100.0,9100.0,0.0
2024-02-19,90500.0,14100.0,-14100.0,14100.0,0.0
2024-02-19,90600.0,19200.0,12800.0,3200.0,16000.0
2024-02-19,90700.0,18500.0,5500.0,6500.0,12000.0
2024-02-19,90800.0,12700.0,9500.0,1600.0,11100.0
2024-02-19,90900.0,13000.0,13000.0,0.0,13000.0
2024-02-20,88200.0,2600.0,-2600.0,2600.0,0.0
2024-02-20,88300.0,28500.0,-5300.0,16900.0,11600.0
2024-02-20,88400.0,17600.0,-800.0,9200.0,8400.0
2024-02-20,88500.0,42200.0,-10000.0,26100.0,16100.0
2024-02-20,88600.0,43100.0,-10700.0,26900.0,16200.0
2024-02-20,88700.0,172700.0,12700.0,80000.0,92700.0
2024-02-20,88800.0,128000.0,18600.0,54700.0,73300.0
2024-02-20,88900.0,114800.0,-52000.0,83400.0,31400.0
2024-02-20,89000.0,125500.0,25900.0,49800.0,75700.0
2024-02-20,89100.0,8900.0,8900.0,0.0,8900.0
2024-02-20,89200.0,600.0,600.0,0.0,600.0
2024-02-20,89300.0,3000.0,-1600.0,2300.0,700.0
2024-02-20,89400.0,100.0,100.0,0.0,100.0
2024-02-20,89500.0,7800.0,7400.0,200.0,7600.0
2024-02-20,89600.0,200.0,200.0,0.0,200.0
2024-02-20,89800.0,300.0,300.0,0.0,300.0
2024-02-21,87600.0,32800.0,-32800.0,32800.0,0.0
2024-02-21,87700.0,97600.0,-12800.0,55200.0,42400.0
2024-02-21,87800.0,140400.0,-39000.0,89700.0,50700.0
2024-02-21,87900.0,74900.0,-29300.0,52100.0,22800.0
2024-02-21,88000.0,202400.0,-31200.0,116800.0,85600.0
2024-02-21,88100.0,76700.0,-44900.0,60800.0,15900.0
2024-02-21,88200.0,135000.0,-107800.0,121400.0,13600.0
2024-02-21,88300.0,140600.0,13200.0,63700.0,76900.0
2024-02-21,88400.0,124400.0,-23600.0,74000.0,50400.0
2024-02-21,88500.0,109800.0,-60400.0,85100.0,24700.0
2024-02-21,88600.0,46300.0,12700.0,16800.0,29500.0
2024-02-21,88700.0,1700.0,-1700.0,1700.0,0.0
2024-02-21,88800.0,4500.0,-4500.0,4500.0,0.0
2024-02-22,88000.0,11800.0,-11800.0,11800.0,0.0
2024-02-22,88100.0,9500.0,-900.0,5200.0,4300.0
2024-02-22,88200.0,500.0,-500.0,500.0,0.0
2024-02-22,88300.0,600.0,-600.0,600.0,0.0
2024-02-22,88400.0,6400.0,-3000.0,4700.0,1700.0
2024-02-22,88500.0,16000.0,9200.0,3400.0,12600.0
2024-02-22,88600.0,17100.0,-5100.0,11100.0,6000.0
2024-02-22,88700.0,7700.0,-1100.0,4400.0,3300.0
2024-02-22,88800.0,3700.0,2100.0,800.0,2900.0
2024-02-22,88900.0,22800.0,-19600.0,21200.0,1600.0
2024-02-22,89000.0,74300.0,-37100.0,55700.0,18600.0
2024-02-22,89100.0,145800.0,-93800.0,119800.0,26000.0
2024-02-22,89200.0,247100.0,46700.0,100200.0,146900.0
2024-02-22,89300.0,170200.0,101200.0,34500.0,135700.0
2024-02-22,89400.0,31300.0,31300.0,0.0,31300.0
2024-02-22,89500.0,22000.0,22000.0,0.0,22000.0
2024-02-23,87700.0,2100.0,-2100.0,2100.0,0.0
2024-02-23,87800.0,39300.0,-39300.0,39300.0,0.0
2024-02-23,87900.0,45800.0,-19000.0,32400.0,13400.0
2024-02-23,88000.0,99800.0,-50800.0,75300.0,24500.0
2024-02-23,88100.0,19900.0,-18300.0,19100.0,800.0
2024-02-23,88200.0,50600.0,-34800.0,42700.0,7900.0
2024-02-23,88300.0,51900.0,-38700.0,45300.0,6600.0
2024-02-23,88400.0,68400.0,-65200.0,66800.0,1600.0
2024-02-23,88500.0,103900.0,-80500.0,92200.0,11700.0
2024-02-23,88600.0,77100.0,-41500.0,59300.0,17800.0
2024-02-23,88700.0,31400.0,-21200.0,26300.0,5100.0
2024-02-23,88800.0,34400.0,-26000.0,30200.0,4200.0
2024-02-23,88900.0,36100.0,-9100.0,22600.0,13500.0
2024-02-23,89000.0,105800.0,-65800.0,85800.0,20000.0
2024-02-23,89100.0,77700.0,-63500.0,70600.0,7100.0
2024-02-23,89200.0,94700.0,-7900.0,51300.0,43400.0
2024-02-23,89300.0,30700.0,29700.0,500.0,30200.0
2024-02-23,89400.0,56600.0,47800.0,4400.0,52200.0
2024-02-23,89500.0,42700.0,8900.0,16900.0,25800.0
2024-02-23,89600.0,37100.0,31700.0,2700.0,34400.0
2024-02-23,89700.0,11700.0,1700.0,5000.0,6700.0
2024-02-23,89900.0,12900.0,12900.0,0.0,12900.0
2024-02-26,87400.0,29100.0,-29100.0,29100.0,0.0
2024-02-26,87500.0,119700.0,-104900.0,112300.0,7400.0
2024-02-26,87600.0,125600.0,-7600.0,66600.0,59000.0
2024-02-26,87700.0,109700.0,23100.0,43300.0,66400.0
2024-02-26,87800.0,84300.0,63300.0,10500.0,73800.0
2024-02-26,87900.0,11800.0,10800.0,500.0,11300.0
2024-02-26,88000.0,43100.0,43100.0,0.0,43100.0
