t,p,q,d,b,a
2024-07-08,14600.0,3500.0,-3500.0,3500.0,0.0
2024-07-08,14650.0,155700.0,-65500.0,110600.0,45100.0
2024-07-08,14700.0,678000.0,-239600.0,458800.0,219200.0
2024-07-08,14750.0,813400.0,-1800.0,407600.0,405800.0
2024-07-08,14800.0,1321700.0,-595900.0,958800.0,362900.0
2024-07-08,14850.0,2105300.0,517100.0,794100.0,1311200.0
2024-07-08,14900.0,1957000.0,224600.0,866200.0,1090800.0
2024-07-08,14950.0,3879700.0,405700.0,1737000.0,2142700.0
2024-07-08,15000.0,1812200.0,1235000.0,288600.0,1523600.0
2024-07-08,15050.0,529200.0,446000.0,41600.0,487600.0
2024-07-09,15100.0,7700.0,-7700.0,7700.0,0.0
2024-07-09,15150.0,1080300.0,-511500.0,795900.0,284400.0
2024-07-09,15200.0,1106900.0,159300.0,473800.0,633100.0
2024-07-09,15250.0,1004700.0,202900.0,400900.0,603800.0
2024-07-09,15300.0,1034800.0,684400.0,175200.0,859600.0
2024-07-09,15350.0,984800.0,669800.0,157500.0,827300.0
2024-07-09,15400.0,526500.0,500700.0,12900.0,513600.0
2024-07-09,15450.0,252800.0,142800.0,55000.0,197800.0
2024-07-09,15500.0,2906700.0,183900.0,1361400.0,1545300.0
2024-07-09,15550.0,3574100.0,-336500.0,1955300.0,1618800.0
2024-07-09,15600.0,2507100.0,739900.0,883600.0,1623500.0
2024-07-09,15650.0,2306900.0,-1522900.0,1914900.0,392000.0
2024-07-09,15700.0,3100000.0,642200.0,1228900.0,1871100.0
2024-07-09,15750.0,638600.0,240800.0,198900.0,439700.0
2024-07-09,15800.0,1000300.0,-13900.0,507100.0,493200.0
2024-07-09,15850.0,409300.0,204100.0,102600.0,306700.0
2024-07-09,15900.0,60300.0,60300.0,0.0,60300.0
2024-07-10,15000.0,294700.0,-294700.0,294700.0,0.0
2024-07-10,15050.0,2456700.0,-620500.0,1538600.0,918100.0
2024-07-10,15100.0,3983400.0,688600.0,1647400.0,2336000.0
2024-07-10,15150.0,1401000.0,-716200.0,1058600.0,342400.0
2024-07-10,15200.0,2465500.0,-489500.0,1477500.0,988000.0
2024-07-10,15250.0,1418000.0,224000.0,597000.0,821000.0
2024-07-10,15300.0,629100.0,-241900.0,435500.0,193600.0
2024-07-10,15350.0,291900.0,-25100.0,158500.0,133400.0
2024-07-10,15400.0,80900.0,80900.0,0.0,80900.0
2024-07-11,15050.0,64400.0,-64400.0,64400.0,0.0
2024-07-11,15100.0,340800.0,-115200.0,228000.0,112800.0
2024-07-11,15150.0,1610800.0,-408000.0,1009400.0,601400.0
2024-07-11,15200.0,2299600.0,-101400.0,1200500.0,1099100.0
2024-07-11,15250.0,1247700.0,-24900.0,636300.0,611400.0
2024-07-11,15300.0,1986600.0,146000.0,920300.0,1066300.0
2024-07-11,15350.0,1155100.0,279900.0,437600.0,717500.0
2024-07-11,15400.0,1021700.0,701900.0,159900.0,861800.0
2024-07-11,15450.0,741600.0,504800.0,118400.0,623200.0
2024-07-12,15000.0,26100.0,-26100.0,26100.0,0.0
2024-07-12,15050.0,1516800.0,-1203800.0,1360300.0,156500.0
2024-07-12,15100.0,3697800.0,10400.0,1843700.0,1854100.0
2024-07-12,15150.0,1488100.0,181500.0,653300.0,834800.0
2024-07-12,15200.0,1147100.0,599700.0,273700.0,873400.0
2024-07-12,15250.0,34500.0,34500.0,0.0,34500.0
2024-07-15,14850.0,34500.0,-34500.0,34500.0,0.0
2024-07-15,14900.0,555700.0,-368500.0,462100.0,93600.0
2024-07-15,14950.0,741000.0,-234000.0,487500.0,253500.0
2024-07-15,15000.0,1138800.0,-307000.0,722900.0,415900.0
2024-07-15,15050.0,1349400.0,-620400.0,984900.0,364500.0
2024-07-15,15100.0,1050800.0,-490800.0,770800.0,280000.0
2024-07-15,15150.0,1558700.0,-423300.0,991000.0,567700.0
2024-07-15,15200.0,1251000.0,-227400.0,739200.0,511800.0
2024-07-15,15250.0,522400.0,-99600.0,311000.0,211400.0
2024-07-15,15300.0,140200.0,50200.0,45000.0,95200.0
2024-07-15,15350.0,60700.0,60700.0,0.0,60700.0
2024-07-16,14900.0,0.0,0.0,0.0,0.0
2024-07-16,15100.0,190800.0,-190800.0,190800.0,0.0
2024-07-16,15150.0,824000.0,-554800.0,689400.0,134600.0
2024-07-16,15200.0,1750600.0,-658600.0,1204600.0,546000.0
2024-07-16,15250.0,1265500.0,-404100.0,834800.0,430700.0
2024-07-16,15300.0,782800.0,103000.0,339900.0,442900.0
2024-07-16,15350.0,1902000.0,-52000.0,977000.0,925000.0
2024-07-16,15400.0,2467200.0,957200.0,755000.0,1712200.0
2024-07-16,15450.0,1431400.0,411200.0,510100.0,921300.0
