t,p,q,d,b,a
2024-02-15,14200.0,37600.0,-37600.0,37600.0,0.0
2024-02-15,14300.0,573271.0,-79105.0,326188.0,247083.0
2024-02-15,14400.0,40268.0,40268.0,0.0,40268.0
2024-02-16,14300.0,1600.0,-1600.0,1600.0,0.0
2024-02-16,14400.0,562122.0,-201050.0,381586.0,180536.0
2024-02-16,14500.0,403583.0,281381.0,61101.0,342482.0
2024-02-16,14600.0,30000.0,30000.0,0.0,30000.0
2024-02-19,14600.0,5780.0,-2772.0,4276.0,1504.0
2024-02-19,14700.0,420179.0,206187.0,106996.0,313183.0
2024-02-19,14800.0,947378.0,305346.0,321016.0,626362.0
2024-02-19,14900.0,1546113.0,-425265.0,985689.0,560424.0
2024-02-19,15000.0,4800.0,4800.0,0.0,4800.0
2024-02-20,14600.0,242613.0,-242613.0,242613.0,0.0
2024-02-20,14700.0,352087.0,20847.0,165620.0,186467.0
2024-02-20,14800.0,69566.0,-43622.0,56594.0,12972.0
2024-02-20,14900.0,61863.0,61863.0,0.0,61863.0
2024-02-21,14500.0,400129.0,-356529.0,378329.0,21800.0
2024-02-21,14600.0,322099.0,-157055.0,239577.0,82522.0
2024-02-21,14700.0,38897.0,38897.0,0.0,38897.0
2024-02-22,14500.0,56421.0,-56421.0,56421.0,0.0
2024-02-22,14600.0,71105.0,27569.0,21768.0,49337.0
2024-02-22,14700.0,394700.0,118700.0,138000.0,256700.0
2024-02-22,14800.0,612021.0,-155609.0,383815.0,228206.0
2024-02-22,14900.0,475327.0,139987.0,167670.0,307657.0
2024-02-22,15000.0,590859.0,590859.0,0.0,590859.0
2024-02-23,14300.0,137380.0,-132780.0,135080.0,2300.0
2024-02-23,14400.0,266541.0,-129707.0,198124.0,68417.0
2024-02-23,14500.0,252080.0,-197880.0,224980.0,27100.0
2024-02-23,14600.0,275614.0,-15492.0,145553.0,130061.0
2024-02-23,14700.0,96282.0,-70948.0,83615.0,12667.0
2024-02-23,14800.0,28601.0,28601.0,0.0,28601.0
2024-02-26,14100.0,90672.0,-90672.0,90672.0,0.0
2024-02-26,14200.0,604451.0,-78359.0,341405.0,263046.0
2024-02-26,14300.0,140267.0,114267.0,13000.0,127267.0
2024-02-26,14400.0,100.0,100.0,0.0,100.0
2024-02-27,14300.0,254022.0,-207812.0,230917.0,23105.0
2024-02-27,14400.0,178533.0,98115.0,40209.0,138324.0
2024-02-27,14500.0,208123.0,208123.0,0.0,208123.0
