t,p,q,d,b,a
2024-02-15,28400.0,61900.0,-61900.0,61900.0,0.0
2024-02-15,28450.0,602500.0,-396700.0,499600.0,102900.0
2024-02-15,28500.0,940200.0,-605800.0,773000.0,167200.0
2024-02-15,28550.0,841700.0,-451300.0,646500.0,195200.0
2024-02-15,28600.0,932900.0,-233500.0,583200.0,349700.0
2024-02-15,28650.0,539400.0,68600.0,235400.0,304000.0
2024-02-15,28700.0,240300.0,18100.0,111100.0,129200.0
2024-02-15,28750.0,54200.0,-43200.0,48700.0,5500.0
2024-02-15,28800.0,52600.0,-50800.0,51700.0,900.0
2024-02-15,28850.0,68400.0,31000.0,18700.0,49700.0
2024-02-15,28900.0,5500.0,5500.0,0.0,5500.0
2024-02-15,28950.0,500.0,500.0,0.0,500.0
2024-02-16,28400.0,32900.0,-32900.0,32900.0,0.0
2024-02-16,28450.0,315500.0,-201700.0,258600.0,56900.0
2024-02-16,28500.0,399900.0,-8900.0,204400.0,195500.0
2024-02-16,28550.0,437000.0,-259600.0,348300.0,88700.0
2024-02-16,28600.0,683000.0,-240800.0,461900.0,221100.0
2024-02-16,28650.0,651400.0,-232600.0,442000.0,209400.0
2024-02-16,28700.0,581500.0,188100.0,196700.0,384800.0
2024-02-16,28750.0,412700.0,92500.0,160100.0,252600.0
2024-02-16,28800.0,356200.0,135400.0,110400.0,245800.0
2024-02-16,28850.0,100.0,100.0,0.0,100.0
2024-02-19,28500.0,113000.0,-113000.0,113000.0,0.0
2024-02-19,28550.0,95400.0,-13200.0,54300.0,41100.0
2024-02-19,28600.0,247300.0,83300.0,82000.0,165300.0
2024-02-19,28650.0,379300.0,-97100.0,238200.0,141100.0
2024-02-19,28700.0,955100.0,-131700.0,543400.0,411700.0
2024-02-19,28750.0,361700.0,-62100.0,211900.0,149800.0
2024-02-19,28800.0,313300.0,6500.0,153400.0,159900.0
2024-02-19,28850.0,505600.0,-226600.0,366100.0,139500.0
2024-02-19,28900.0,793100.0,-292500.0,542800.0,250300.0
2024-02-19,28950.0,840600.0,-100400.0,470500.0,370100.0
2024-02-19,29000.0,676000.0,260400.0,207800.0,468200.0
2024-02-19,29050.0,282800.0,-239400.0,261100.0,21700.0
2024-02-19,29100.0,548000.0,33400.0,257300.0,290700.0
2024-02-19,29150.0,735500.0,105900.0,314800.0,420700.0
2024-02-19,29200.0,154900.0,104700.0,25100.0,129800.0
2024-02-19,29250.0,13900.0,13900.0,0.0,13900.0
2024-02-20,28600.0,122100.0,-122100.0,122100.0,0.0
2024-02-20,28650.0,181700.0,-101100.0,141400.0,40300.0
