t,p,q,d,b,a
2024-07-09,18050.0,56200.0,-51200.0,53700.0,2500.0
2024-07-09,18100.0,202200.0,-44400.0,123300.0,78900.0
2024-07-09,18150.0,182600.0,-43800.0,113200.0,69400.0
2024-07-09,18200.0,138000.0,-4600.0,71300.0,66700.0
2024-07-09,18250.0,119500.0,-7700.0,63600.0,55900.0
2024-07-09,18300.0,28600.0,-8200.0,18400.0,10200.0
2024-07-09,18350.0,500.0,500.0,0.0,500.0
2024-07-09,18400.0,5600.0,-4400.0,5000.0,600.0
2024-07-09,18500.0,200.0,200.0,0.0,200.0
2024-07-10,17900.0,14000.0,-14000.0,14000.0,0.0
2024-07-10,17950.0,32500.0,-24300.0,28400.0,4100.0
2024-07-10,18000.0,98900.0,-87300.0,93100.0,5800.0
2024-07-10,18050.0,152700.0,-98100.0,125400.0,27300.0
2024-07-10,18100.0,162000.0,-97400.0,129700.0,32300.0
2024-07-10,18150.0,195600.0,94200.0,50700.0,144900.0
2024-07-10,18200.0,102700.0,-9700.0,56200.0,46500.0
2024-07-10,18250.0,114600.0,-31800.0,73200.0,41400.0
2024-07-10,18300.0,201200.0,80000.0,60600.0,140600.0
2024-07-10,18350.0,33300.0,25100.0,4100.0,29200.0
2024-07-10,18400.0,3000.0,3000.0,0.0,3000.0
2024-07-11,17700.0,69900.0,-49100.0,59500.0,10400.0
2024-07-11,17750.0,59300.0,2100.0,28600.0,30700.0
2024-07-11,17800.0,96700.0,-46100.0,71400.0,25300.0
2024-07-11,17850.0,97500.0,-37100.0,67300.0,30200.0
2024-07-11,17900.0,306900.0,81100.0,112900.0,194000.0
2024-07-11,17950.0,110700.0,-44100.0,77400.0,33300.0
2024-07-11,18000.0,75000.0,-1000.0,38000.0,37000.0
2024-07-11,18050.0,28900.0,-2700.0,15800.0,13100.0
2024-07-11,18100.0,6900.0,6900.0,0.0,6900.0
2024-07-12,17550.0,0.0,0.0,0.0,0.0
2024-07-12,17650.0,26000.0,-26000.0,26000.0,0.0
2024-07-12,17700.0,118700.0,-69100.0,93900.0,24800.0
2024-07-12,17750.0,121000.0,-59600.0,90300.0,30700.0
2024-07-12,17800.0,129600.0,37600.0,46000.0,83600.0
2024-07-12,17850.0,23600.0,-12800.0,18200.0,5400.0
2024-07-12,17900.0,48100.0,-23100.0,35600.0,12500.0
2024-07-15,17450.0,44200.0,-11800.0,28000.0,16200.0
2024-07-15,17500.0,101800.0,-25000.0,63400.0,38400.0
2024-07-15,17550.0,59800.0,-57600.0,58700.0,1100.0
2024-07-15,17600.0,143000.0,-89600.0,116300.0,26700.0
2024-07-15,17650.0,113700.0,26300.0,43700.0,70000.0
2024-07-15,17700.0,6500.0,6500.0,0.0,6500.0
2024-07-16,17650.0,500.0,-500.0,500.0,0.0
2024-07-16,17700.0,86500.0,-60500.0,73500.0,13000.0
2024-07-16,17750.0,199500.0,-152100.0,175800.0,23700.0
2024-07-16,17800.0,331900.0,-91900.0,211900.0,120000.0
2024-07-16,17850.0,64200.0,62800.0,700.0,63500.0
2024-07-16,17900.0,9300.0,9300.0,0.0,9300.0
2024-07-16,17950.0,0.0,0.0,0.0,0.0
2024-07-17,17500.0,15800.0,-15800.0,15800.0,0.0
2024-07-17,17550.0,43200.0,-32400.0,37800.0,5400.0
2024-07-17,17600.0,62100.0,-6100.0,34100.0,28000.0
2024-07-17,17650.0,31300.0,3900.0,13700.0,17600.0
2024-07-17,17700.0,21800.0,-7000.0,14400.0,7400.0
2024-07-17,17750.0,4500.0,-4100.0,4300.0,200.0
2024-07-17,17800.0,46800.0,-42600.0,44700.0,2100.0
2024-07-17,17850.0,11000.0,-11000.0,11000.0,0.0
2024-07-17,17900.0,97400.0,-67400.0,82400.0,15000.0
2024-07-17,17950.0,104400.0,-79400.0,91900.0,12500.0
2024-07-17,18000.0,341700.0,-112700.0,227200.0,114500.0
2024-07-17,18050.0,74600.0,29000.0,22800.0,51800.0
2024-07-17,18100.0,23100.0,-23100.0,23100.0,0.0
2024-07-17,18150.0,88400.0,-38400.0,63400.0,25000.0
2024-07-17,18200.0,129500.0,3500.0,63000.0,66500.0
2024-07-17,18250.0,88700.0,82100.0,3300.0,85400.0
2024-07-17,18300.0,10200.0,10200.0,0.0,10200.0
2024-07-18,17500.0,23800.0,-23800.0,23800.0,0.0
2024-07-18,17550.0,104300.0,-41500.0,72900.0,31400.0
2024-07-18,17600.0,198400.0,44000.0,77200.0,121200.0
2024-07-18,17650.0,99600.0,19600.0,40000.0,59600.0
2024-07-18,17700.0,92700.0,64100.0,14300.0,78400.0
2024-07-18,17750.0,68400.0,33600.0,17400.0,51000.0
2024-07-19,17850.0,4500.0,-4500.0,4500.0,0.0
2024-07-19,17900.0,85900.0,-38500.0,62200.0,23700.0
2024-07-19,17950.0,165000.0,2000.0,81500.0,83500.0
2024-07-19,18000.0,326400.0,-187400.0,256900.0,69500.0
2024-07-19,18050.0,221700.0,-55700.0,138700.0,83000.0
2024-07-19,18100.0,315200.0,-82200.0,198700.0,116500.0
2024-07-19,18150.0,176200.0,15800.0,80200.0,96000.0
2024-07-19,18200.0,133500.0,74100.0,29700.0,103800.0
2024-07-19,18250.0,68500.0,-700.0,34600.0,33900.0
2024-07-19,18300.0,149200.0,-14800.0,82000.0,67200.0
2024-07-19,18350.0,50500.0,6900.0,21800.0,28700.0
2024-07-19,18400.0,107200.0,36600.0,35300.0,71900.0
2024-07-19,18450.0,48800.0,48800.0,0.0,48800.0
2024-07-22,17750.0,46300.0,-46100.0,46200.0,100.0
2024-07-22,17800.0,158200.0,-88400.0,123300.0,34900.0
2024-07-22,17850.0,97900.0,-29500.0,63700.0,34200.0
2024-07-22,17900.0,209000.0,-86200.0,147600.0,61400.0
2024-07-22,17950.0,197000.0,2400.0,97300.0,99700.0
2024-07-22,18000.0,323900.0,-27300.0,175600.0,148300.0
2024-07-22,18050.0,106500.0,-24100.0,65300.0,41200.0
2024-07-22,18100.0,71700.0,11900.0,29900.0,41800.0
2024-07-22,18150.0,10700.0,10700.0,0.0,10700.0
2024-07-23,16750.0,400.0,-400.0,400.0,0.0
2024-07-23,16800.0,5000.0,-3000.0,4000.0,1000.0
2024-07-23,16900.0,2600.0,1400.0,600.0,2000.0
2024-07-23,16950.0,500.0,500.0,0.0,500.0
2024-07-23,17000.0,13100.0,-13100.0,13100.0,0.0
2024-07-23,17050.0,1000.0,-1000.0,1000.0,0.0
2024-07-23,17100.0,3200.0,-3000.0,3100.0,100.0
2024-07-23,17200.0,4400.0,-4400.0,4400.0,0.0
2024-07-23,17250.0,3200.0,-3200.0,3200.0,0.0
2024-07-23,17300.0,8800.0,-8800.0,8800.0,0.0
2024-07-23,17350.0,36600.0,-7400.0,22000.0,14600.0
2024-07-23,17400.0,103900.0,-52100.0,78000.0,25900.0
2024-07-23,17450.0,135500.0,-100300.0,117900.0,17600.0
2024-07-23,17500.0,176000.0,12600.0,81700.0,94300.0
2024-07-23,17550.0,89600.0,-27600.0,58600.0,31000.0
2024-07-23,17600.0,64700.0,21700.0,21500.0,43200.0
2024-07-23,17650.0,23000.0,-4600.0,13800.0,9200.0
2024-07-23,17700.0,49900.0,-34700.0,42300.0,7600.0
2024-07-23,17750.0,10000.0,-10000.0,10000.0,0.0
2024-07-23,17800.0,42300.0,-42300.0,42300.0,0.0
2024-07-23,17850.0,120000.0,-108800.0,114400.0,5600.0
2024-07-23,17900.0,81300.0,-48100.0,64700.0,16600.0
2024-07-23,17950.0,34200.0,-6000.0,20100.0,14100.0
2024-07-23,18000.0,763200.0,-177400.0,470300.0,292900.0
2024-07-23,18050.0,158700.0,-97100.0,127900.0,30800.0
2024-07-23,18100.0,290000.0,197200.0,46400.0,243600.0
2024-07-23,18150.0,26400.0,8200.0,9100.0,17300.0
2024-07-23,18200.0,17100.0,5100.0,6000.0,11100.0
2024-07-23,18250.0,9400.0,9400.0,0.0,9400.0
2024-07-24,17150.0,52800.0,-36200.0,44500.0,8300.0
2024-07-24,17200.0,92000.0,-17000.0,54500.0,37500.0
2024-07-24,17250.0,78600.0,-32800.0,55700.0,22900.0
2024-07-24,17300.0,136900.0,-60300.0,98600.0,38300.0
2024-07-24,17350.0,194700.0,-13900.0,104300.0,90400.0
2024-07-24,17400.0,48000.0,-10600.0,29300.0,18700.0
2024-07-24,17450.0,53300.0,-26500.0,39900.0,13400.0
2024-07-24,17500.0,92900.0,-3500.0,48200.0,44700.0
2024-07-24,17550.0,10100.0,-100.0,5100.0,5000.0
2024-07-24,17600.0,1500.0,1500.0,0.0,1500.0
2024-07-25,14900.0,18800.0,-18800.0,18800.0,0.0
2024-07-25,14950.0,8900.0,-1500.0,5200.0,3700.0
2024-07-25,15000.0,106300.0,-54100.0,80200.0,26100.0
2024-07-25,15050.0,283200.0,-205200.0,244200.0,39000.0
2024-07-25,15100.0,72500.0,-27100.0,49800.0,22700.0
2024-07-25,15150.0,70300.0,-6500.0,38400.0,31900.0
2024-07-25,15200.0,26600.0,26600.0,0.0,26600.0
2024-07-26,15100.0,600.0,-600.0,600.0,0.0
2024-07-26,15200.0,24500.0,700.0,11900.0,12600.0
2024-07-26,15250.0,36400.0,35800.0,300.0,36100.0
2024-07-26,15300.0,78200.0,-50000.0,64100.0,14100.0
2024-07-26,15350.0,245200.0,-59400.0,152300.0,92900.0
2024-07-26,15400.0,217900.0,-30100.0,124000.0,93900.0
2024-07-26,15450.0,72900.0,11900.0,30500.0,42400.0
2024-07-26,15500.0,60200.0,25000.0,17600.0,42600.0
2024-07-26,15550.0,4300.0,4300.0,0.0,4300.0
2024-07-29,15400.0,34600.0,-34600.0,34600.0,0.0
2024-07-29,15450.0,98300.0,-35500.0,66900.0,31400.0
2024-07-29,15500.0,84700.0,-32700.0,58700.0,26000.0
2024-07-29,15550.0,64100.0,7500.0,28300.0,35800.0
2024-07-29,15600.0,32100.0,32100.0,0.0,32100.0
2024-07-30,15450.0,1100.0,-1100.0,1100.0,0.0
2024-07-30,15500.0,7300.0,7300.0,0.0,7300.0
2024-07-30,15550.0,16300.0,1500.0,7400.0,8900.0
2024-07-30,15600.0,13800.0,13800.0,0.0,13800.0
2024-07-30,15650.0,8300.0,8300.0,0.0,8300.0
2024-07-30,15700.0,15200.0,15200.0,0.0,15200.0
2024-07-30,15750.0,6200.0,6000.0,100.0,6100.0
2024-07-30,15800.0,97400.0,-15200.0,56300.0,41100.0
2024-07-30,15850.0,163200.0,118000.0,22600.0,140600.0
2024-07-30,15900.0,111400.0,86200.0,12600.0,98800.0
2024-07-30,15950.0,62100.0,62100.0,0.0,62100.0
2024-07-30,16000.0,100800.0,100800.0,0.0,100800.0
2024-07-30,16050.0,61000.0,56400.0,2300.0,58700.0
2024-07-30,16100.0,52500.0,46100.0,3200.0,49300.0
2024-07-30,16150.0,11400.0,10600.0,400.0,11000.0
2024-07-30,16200.0,79800.0,78800.0,500.0,79300.0
2024-07-30,16250.0,5300.0,5300.0,0.0,5300.0
2024-07-30,16300.0,69000.0,69000.0,0.0,69000.0
2024-07-30,16350.0,31100.0,31100.0,0.0,31100.0
2024-07-30,16400.0,63700.0,61500.0,1100.0,62600.0
2024-07-30,16450.0,340900.0,-79100.0,210000.0,130900.0
2024-07-30,16500.0,3403300.0,-931700.0,2167500.0,1235800.0
2024-07-31,16350.0,3900.0,-3900.0,3900.0,0.0
2024-07-31,16400.0,128700.0,-81300.0,105000.0,23700.0
2024-07-31,16450.0,166900.0,-47300.0,107100.0,59800.0
2024-07-31,16500.0,353800.0,-183000.0,268400.0,85400.0
2024-07-31,16550.0,182300.0,-47700.0,115000.0,67300.0
2024-07-31,16600.0,329700.0,113500.0,108100.0,221600.0
2024-07-31,16650.0,69500.0,58700.0,5400.0,64100.0
2024-07-31,16700.0,25500.0,13300.0,6100.0,19400.0
2024-08-01,15300.0,1369500.0,163100.0,603200.0,766300.0
2024-08-01,15350.0,249400.0,-72600.0,161000.0,88400.0
2024-08-01,15400.0,160000.0,20400.0,69800.0,90200.0
