t,p,q,d,b,a
2024-02-15,37000.0,275100.0,-275100.0,275100.0,0.0
2024-02-15,37100.0,83534.0,-36734.0,60134.0,23400.0
2024-02-15,37200.0,727582.0,-506682.0,617132.0,110450.0
2024-02-15,37300.0,419051.0,-156051.0,287551.0,131500.0
2024-02-15,37400.0,1127727.0,-9827.0,568777.0,558950.0
2024-02-15,37500.0,251124.0,3924.0,123600.0,127524.0
2024-02-15,37600.0,416540.0,-317540.0,367040.0,49500.0
2024-02-15,37700.0,870544.0,38136.0,416204.0,454340.0
2024-02-15,37800.0,375108.0,-55692.0,215400.0,159708.0
2024-02-15,37900.0,153800.0,-10800.0,82300.0,71500.0
2024-02-15,38000.0,38300.0,38300.0,0.0,38300.0
2024-02-16,36700.0,200.0,200.0,0.0,200.0
2024-02-16,37200.0,757871.0,-9871.0,383871.0,374000.0
2024-02-16,37300.0,2097841.0,-521601.0,1309721.0,788120.0
2024-02-16,37400.0,1245618.0,165586.0,540016.0,705602.0
2024-02-16,37500.0,211000.0,117400.0,46800.0,164200.0
2024-02-16,37600.0,317094.0,112238.0,102428.0,214666.0
2024-02-16,37700.0,169193.0,169193.0,0.0,169193.0
2024-02-19,37100.0,16200.0,-16200.0,16200.0,0.0
2024-02-19,37200.0,208404.0,-152004.0,180204.0,28200.0
2024-02-19,37300.0,220606.0,92806.0,63900.0,156706.0
2024-02-19,37400.0,878030.0,-314230.0,596130.0,281900.0
2024-02-19,37500.0,2457299.0,407795.0,1024752.0,1432547.0
2024-02-19,37600.0,633761.0,258113.0,187824.0,445937.0
2024-02-19,37700.0,730916.0,109914.0,310501.0,420415.0
2024-02-19,37800.0,594217.0,451617.0,71300.0,522917.0
2024-02-19,37900.0,263800.0,179600.0,42100.0,221700.0
2024-02-19,38000.0,48300.0,48300.0,0.0,48300.0
2024-02-20,37200.0,132288.0,-132288.0,132288.0,0.0
2024-02-20,37300.0,1466273.0,29459.0,718407.0,747866.0
2024-02-20,37400.0,967695.0,-254527.0,611111.0,356584.0
2024-02-20,37500.0,499043.0,-259357.0,379200.0,119843.0
2024-02-20,37600.0,247770.0,-180570.0,214170.0,33600.0
2024-02-20,37700.0,389215.0,-133415.0,261315.0,127900.0
2024-02-20,37800.0,517971.0,-336259.0,427115.0,90856.0
2024-02-20,37900.0,884762.0,242562.0,321100.0,563662.0
2024-02-20,38000.0,180285.0,180285.0,0.0,180285.0
2024-02-21,36900.0,535000.0,364400.0,85300.0,449700.0
2024-02-21,37000.0,1759610.0,-683810.0,1221710.0,537900.0
2024-02-21,37100.0,884274.0,-120626.0,502450.0,381824.0
2024-02-21,37200.0,1302251.0,-1011837.0,1157044.0,145207.0
2024-02-21,37300.0,582610.0,61810.0,260400.0,322210.0
2024-02-21,37400.0,21100.0,-2900.0,12000.0,9100.0
2024-02-21,37500.0,900.0,900.0,0.0,900.0
2024-02-22,36700.0,4200.0,-4200.0,4200.0,0.0
2024-02-22,36800.0,4200.0,4200.0,0.0,4200.0
2024-02-22,36900.0,402109.0,-381509.0,391809.0,10300.0
2024-02-22,37000.0,588503.0,-341699.0,465101.0,123402.0
2024-02-22,37100.0,630112.0,-302512.0,466312.0,163800.0
2024-02-22,37200.0,461772.0,193646.0,134063.0,327709.0
2024-02-22,37300.0,1072394.0,-196094.0,634244.0,438150.0
2024-02-22,37400.0,848542.0,322566.0,262988.0,585554.0
2024-02-22,37500.0,542080.0,-132720.0,337400.0,204680.0
2024-02-22,37600.0,677800.0,430600.0,123600.0,554200.0
2024-02-22,37700.0,9718.0,9718.0,0.0,9718.0
2024-02-23,36000.0,928099.0,-621899.0,774999.0,153100.0
2024-02-23,36100.0,134001.0,22999.0,55501.0,78500.0
2024-02-23,36200.0,342511.0,-205111.0,273811.0,68700.0
2024-02-23,36300.0,452368.0,-260258.0,356313.0,96055.0
2024-02-23,36400.0,468231.0,-36867.0,252549.0,215682.0
2024-02-23,36500.0,467700.0,-325900.0,396800.0,70900.0
2024-02-23,36600.0,410800.0,-67200.0,239000.0,171800.0
2024-02-23,36700.0,810866.0,-496666.0,653766.0,157100.0
2024-02-23,36800.0,2065069.0,-848195.0,1456632.0,608437.0
2024-02-23,36900.0,1261882.0,29698.0,616092.0,645790.0
2024-02-23,37000.0,537817.0,97187.0,220315.0,317502.0
2024-02-23,37100.0,154800.0,-122000.0,138400.0,16400.0
2024-02-23,37200.0,18600.0,15600.0,1500.0,17100.0
2024-02-23,37300.0,4100.0,4100.0,0.0,4100.0
2024-02-26,35600.0,136806.0,-136806.0,136806.0,0.0
2024-02-26,35700.0,1197338.0,-702348.0,949843.0,247495.0
