t,p,q,d,b,a
2024-02-15,26700.0,77900.0,-77900.0,77900.0,0.0
2024-02-15,26750.0,1028000.0,-621600.0,824800.0,203200.0
2024-02-15,26800.0,678300.0,-111300.0,394800.0,283500.0
2024-02-15,26850.0,391400.0,9600.0,190900.0,200500.0
2024-02-15,26900.0,167300.0,22300.0,72500.0,94800.0
2024-02-15,26950.0,67500.0,50900.0,8300.0,59200.0
2024-02-16,26700.0,26600.0,-26600.0,26600.0,0.0
2024-02-16,26750.0,167600.0,-166800.0,167200.0,400.0
2024-02-16,26800.0,372500.0,56300.0,158100.0,214400.0
2024-02-16,26850.0,220900.0,193500.0,13700.0,207200.0
2024-02-16,26900.0,91500.0,91300.0,100.0,91400.0
2024-02-16,26950.0,156400.0,96600.0,29900.0,126500.0
2024-02-16,27000.0,417300.0,417300.0,0.0,417300.0
2024-02-16,27050.0,54900.0,54900.0,0.0,54900.0
2024-02-16,27100.0,57400.0,57400.0,0.0,57400.0
2024-02-16,27150.0,21300.0,8500.0,6400.0,14900.0
2024-02-16,27200.0,493100.0,-178500.0,335800.0,157300.0
2024-02-16,27250.0,880700.0,-201300.0,541000.0,339700.0
2024-02-16,27300.0,1174800.0,281400.0,446700.0,728100.0
2024-02-16,27350.0,656700.0,279300.0,188700.0,468000.0
2024-02-16,27400.0,746500.0,506900.0,119800.0,626700.0
2024-02-16,27450.0,27000.0,27000.0,0.0,27000.0
2024-02-19,27450.0,183400.0,-183400.0,183400.0,0.0
2024-02-19,27500.0,1145400.0,1600.0,571900.0,573500.0
2024-02-19,27550.0,558400.0,-14600.0,286500.0,271900.0
2024-02-19,27600.0,388000.0,15200.0,186400.0,201600.0
2024-02-19,27650.0,265400.0,-28000.0,146700.0,118700.0
2024-02-19,27700.0,330100.0,132300.0,98900.0,231200.0
2024-02-19,27750.0,131300.0,38900.0,46200.0,85100.0
2024-02-19,27800.0,202400.0,98000.0,52200.0,150200.0
2024-02-19,27850.0,33500.0,31500.0,1000.0,32500.0
2024-02-19,27900.0,9700.0,9700.0,0.0,9700.0
2024-02-20,27100.0,6400.0,-6400.0,6400.0,0.0
2024-02-20,27150.0,177700.0,-59900.0,118800.0,58900.0
2024-02-20,27200.0,322000.0,-91200.0,206600.0,115400.0
2024-02-20,27250.0,368600.0,-27200.0,197900.0,170700.0
2024-02-20,27300.0,541600.0,-31600.0,286600.0,255000.0
2024-02-20,27350.0,252400.0,-173800.0,213100.0,39300.0
2024-02-20,27400.0,332900.0,-8300.0,170600.0,162300.0
2024-02-20,27450.0,468200.0,-310200.0,389200.0,79000.0
2024-02-20,27500.0,497000.0,-71800.0,284400.0,212600.0
2024-02-20,27550.0,104800.0,53200.0,25800.0,79000.0
2024-02-20,27600.0,166200.0,6200.0,80000.0,86200.0
2024-02-20,27650.0,12400.0,8200.0,2100.0,10300.0
2024-02-20,27700.0,19000.0,-200.0,9600.0,9400.0
2024-02-20,27750.0,25000.0,25000.0,0.0,25000.0
2024-02-20,27800.0,20800.0,20800.0,0.0,20800.0
2024-02-21,26550.0,109100.0,-109100.0,109100.0,0.0
2024-02-21,26600.0,418000.0,-309400.0,363700.0,54300.0
2024-02-21,26650.0,653000.0,-454200.0,553600.0,99400.0
2024-02-21,26700.0,1058300.0,151900.0,453200.0,605100.0
2024-02-21,26750.0,609200.0,-16000.0,312600.0,296600.0
2024-02-21,26800.0,436300.0,-177100.0,306700.0,129600.0
2024-02-21,26850.0,567600.0,-259600.0,413600.0,154000.0
2024-02-21,26900.0,508400.0,32400.0,238000.0,270400.0
2024-02-21,26950.0,274900.0,25900.0,124500.0,150400.0
2024-02-21,27000.0,185200.0,-179800.0,182500.0,2700.0
2024-02-21,27050.0,162600.0,-157400.0,160000.0,2600.0
2024-02-21,27100.0,322900.0,-93300.0,208100.0,114800.0
2024-02-21,27150.0,204700.0,54300.0,75200.0,129500.0
2024-02-21,27200.0,82600.0,7600.0,37500.0,45100.0
2024-02-21,27250.0,9400.0,9400.0,0.0,9400.0
2024-02-22,26650.0,123100.0,-123100.0,123100.0,0.0
2024-02-22,26700.0,520300.0,-323500.0,421900.0,98400.0
2024-02-22,26750.0,419200.0,32600.0,193300.0,225900.0
2024-02-22,26800.0,432200.0,-55000.0,243600.0,188600.0
2024-02-22,26850.0,361300.0,34900.0,163200.0,198100.0
2024-02-22,26900.0,256700.0,57900.0,99400.0,157300.0
2024-02-22,26950.0,48200.0,16000.0,16100.0,32100.0
2024-02-22,27000.0,219600.0,137200.0,41200.0,178400.0
2024-02-23,26050.0,400.0,-400.0,400.0,0.0
2024-02-23,26100.0,229600.0,-228600.0,229100.0,500.0
2024-02-23,26150.0,332800.0,-42800.0,187800.0,145000.0
2024-02-23,26200.0,67700.0,-15900.0,41800.0,25900.0
2024-02-23,26250.0,65600.0,-37200.0,51400.0,14200.0
2024-02-23,26300.0,198700.0,-92700.0,145700.0,53000.0
